Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	32 , 	37 , 	15 , 	18 , 	53 , 	31 , 	40 , 	31 , 	34 , 	34 , 	16 , 	80 , 	98 , 	82 , 	69 , 	39 , 	28 , 	34 , 	12 , 	5 , 	12 , 	5 , 	10 , 	13 , 	39 , 	140 , 	126 , 	225 , 	189 , 	83 , 	80 , 	20 , 	20 , 	18 , 	4 , 	22 , 	55 , 	1 , 	8 , 	3 , 	9 , 	10 , 	5 , 	28 , 	6 , 	22 , 	8 , 	12 , 	5 , 	12 ," 	1,976 ",,,,,,,,,,,,,
CL, 	29 , 	29 , 	10 , 	10 , 	28 , 	14 , 	39 , 	28 , 	51 , 	42 , 	73 , 	11 , 	46 , 	53 , 	45 , 	23 , 	16 , 	19 , 	12 , 	5 , 	5 , 	4 , 	2 , 	5 , 	30 , 	84 , 	80 , 	115 , 	98 , 	46 , 	47 , 	18 , 	17 , 	19 , 	4 , 	12 , 	26 , 	2 , 	9 , 	2 , 	5 , 	7 , 	3 , 	11 , 	5 , 	13 , 	4 , 	8 , 	5 , 	12 ," 	1,283 ",,,,,,,,,,,,,
SL, 	16 , 	19 , 	9 , 	8 , 	24 , 	15 , 	28 , 	28 , 	53 , 	71 , 	104 , 	52 , 	8 , 	41 , 	48 , 	38 , 	21 , 	20 , 	5 , 	5 , 	4 , 	3 , 	2 , 	7 , 	18 , 	104 , 	115 , 	142 , 	97 , 	45 , 	33 , 	13 , 	12 , 	14 , 	3 , 	14 , 	33 , 	1 , 	5 , 	5 , 	3 , 	9 , 	3 , 	15 , 	4 , 	14 , 	6 , 	7 , 	5 , 	4 ," 	1,353 ",,,,,,,,,,,,,
BF, 	8 , 	12 , 	3 , 	7 , 	21 , 	7 , 	22 , 	36 , 	44 , 	63 , 	84 , 	57 , 	41 , 	7 , 	30 , 	23 , 	19 , 	32 , 	7 , 	3 , 	5 , 	2 , 	3 , 	3 , 	18 , 	89 , 	95 , 	120 , 	102 , 	46 , 	27 , 	8 , 	16 , 	10 , 	4 , 	12 , 	40 , 	2 , 	3 , 	3 , 	5 , 	8 , 	4 , 	23 , 	1 , 	16 , 	6 , 	7 , 	1 , 	2 ," 	1,208 ",,,,,,,,,,,,,
HY, 	10 , 	16 , 	3 , 	5 , 	14 , 	7 , 	18 , 	28 , 	40 , 	34 , 	66 , 	44 , 	51 , 	32 , 	5 , 	29 , 	48 , 	55 , 	6 , 	3 , 	5 , 	3 , 	1 , 	6 , 	12 , 	60 , 	43 , 	79 , 	50 , 	22 , 	18 , 	11 , 	9 , 	7 , 	3 , 	3 , 	20 , 	1 , 	4 , 	2 , 	4 , 	5 , 	4 , 	7 , 	2 , 	24 , 	15 , 	12 , 	3 , 	5 , 	959 ,,,,,,,,,,,,,
SH, 	8 , 	10 , 	5 , 	3 , 	10 , 	3 , 	13 , 	13 , 	20 , 	22 , 	37 , 	22 , 	32 , 	27 , 	27 , 	4 , 	16 , 	30 , 	4 , 	1 , 	2 , 	1 , 	1 , 	2 , 	9 , 	42 , 	49 , 	52 , 	45 , 	19 , 	16 , 	6 , 	5 , 	3 , 	2 , 	6 , 	11 , 	1 , 	3 , 	3 , 	2 , 	3 , 	2 , 	8 , 	2 , 	21 , 	7 , 	6 , 	1 , 	4 , 	641 ,,,,,,,,,,,,,
UC, 	6 , 	9 , 	4 , 	1 , 	13 , 	6 , 	14 , 	17 , 	25 , 	21 , 	30 , 	21 , 	21 , 	19 , 	37 , 	18 , 	5 , 	28 , 	3 , 	1 , 	1 , 	1 , 	0 , 	3 , 	4 , 	35 , 	37 , 	38 , 	44 , 	13 , 	12 , 	3 , 	4 , 	4 , 	1 , 	4 , 	14 , 	0 , 	3 , 	3 , 	1 , 	3 , 	1 , 	8 , 	1 , 	22 , 	11 , 	11 , 	2 , 	2 , 	582 ,,,,,,,,,,,,,
FM, 	7 , 	12 , 	4 , 	3 , 	8 , 	3 , 	14 , 	11 , 	20 , 	19 , 	38 , 	24 , 	22 , 	33 , 	51 , 	30 , 	41 , 	5 , 	3 , 	4 , 	1 , 	0 , 	1 , 	1 , 	4 , 	32 , 	32 , 	38 , 	31 , 	17 , 	9 , 	3 , 	4 , 	4 , 	2 , 	7 , 	10 , 	0 , 	2 , 	2 , 	4 , 	3 , 	2 , 	2 , 	3 , 	12 , 	18 , 	17 , 	1 , 	2 , 	615 ,,,,,,,,,,,,,
CN, 	8 , 	9 , 	4 , 	3 , 	8 , 	4 , 	25 , 	25 , 	33 , 	5 , 	14 , 	12 , 	6 , 	7 , 	7 , 	3 , 	3 , 	3 , 	7 , 	21 , 	56 , 	30 , 	12 , 	17 , 	6 , 	79 , 	74 , 	115 , 	103 , 	33 , 	28 , 	14 , 	12 , 	8 , 	5 , 	1 , 	2 , 	12 , 	44 , 	5 , 	9 , 	23 , 	7 , 	1 , 	5 , 	1 , 	2 , 	3 , 	37 , 	38 , 	993 ,,,,,,,,,,,,,
PH, 	2 , 	4 , 	2 , 	4 , 	6 , 	4 , 	25 , 	25 , 	29 , 	5 , 	5 , 	5 , 	5 , 	4 , 	2 , 	1 , 	1 , 	4 , 	26 , 	4 , 	20 , 	13 , 	6 , 	16 , 	5 , 	77 , 	81 , 	89 , 	69 , 	28 , 	18 , 	10 , 	3 , 	6 , 	3 , 	0 , 	2 , 	6 , 	24 , 	2 , 	6 , 	17 , 	2 , 	1 , 	6 , 	2 , 	0 , 	2 , 	16 , 	12 , 	702 ,,,,,,,,,,,,,
