Exit stations,Entry stations->,,SUNDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	25 , 	22 , 	11 , 	8 , 	23 , 	15 , 	19 , 	11 , 	12 , 	35 , 	12 , 	34 , 	31 , 	53 , 	30 , 	25 , 	9 , 	12 , 	10 , 	2 , 	8 , 	5 , 	2 , 	10 , 	17 , 	50 , 	29 , 	116 , 	68 , 	36 , 	39 , 	4 , 	9 , 	8 , 	1 , 	9 , 	18 , 	-   , 	5 , 	2 , 	4 , 	8 , 	2 , 	13 , 	6 , 	4 , 	5 , 	13 , 	3 , 	4 , 	893 ,,,,,,,,,,,
CL, 	13 , 	13 , 	6 , 	3 , 	12 , 	7 , 	12 , 	12 , 	15 , 	20 , 	33 , 	8 , 	18 , 	32 , 	19 , 	14 , 	7 , 	5 , 	4 , 	1 , 	4 , 	-   , 	1 , 	3 , 	13 , 	15 , 	16 , 	64 , 	27 , 	17 , 	18 , 	2 , 	7 , 	4 , 	1 , 	7 , 	12 , 	1 , 	5 , 	2 , 	2 , 	8 , 	1 , 	9 , 	10 , 	3 , 	3 , 	6 , 	3 , 	3 , 	517 ,,,,,,,,,,,
SL, 	9 , 	6 , 	4 , 	4 , 	10 , 	7 , 	9 , 	14 , 	13 , 	31 , 	31 , 	18 , 	6 , 	21 , 	17 , 	10 , 	8 , 	7 , 	3 , 	1 , 	3 , 	2 , 	0 , 	1 , 	8 , 	30 , 	20 , 	67 , 	24 , 	11 , 	13 , 	2 , 	3 , 	8 , 	2 , 	8 , 	14 , 	-   , 	2 , 	1 , 	2 , 	5 , 	1 , 	10 , 	2 , 	4 , 	3 , 	6 , 	2 , 	3 , 	485 ,,,,,,,,,,,
BF, 	6 , 	9 , 	2 , 	3 , 	8 , 	8 , 	8 , 	12 , 	16 , 	28 , 	62 , 	32 , 	24 , 	6 , 	20 , 	12 , 	9 , 	16 , 	4 , 	1 , 	3 , 	0 , 	2 , 	3 , 	9 , 	28 , 	27 , 	66 , 	23 , 	15 , 	19 , 	4 , 	6 , 	4 , 	3 , 	9 , 	16 , 	0 , 	3 , 	0 , 	3 , 	8 , 	1 , 	14 , 	2 , 	8 , 	6 , 	9 , 	1 , 	2 , 	578 ,,,,,,,,,,,
HY, 	5 , 	9 , 	2 , 	1 , 	10 , 	2 , 	5 , 	8 , 	13 , 	17 , 	28 , 	12 , 	18 , 	20 , 	5 , 	10 , 	13 , 	20 , 	4 , 	1 , 	2 , 	1 , 	-   , 	1 , 	3 , 	11 , 	5 , 	27 , 	10 , 	4 , 	5 , 	4 , 	4 , 	5 , 	2 , 	3 , 	7 , 	0 , 	5 , 	2 , 	1 , 	3 , 	2 , 	5 , 	2 , 	7 , 	8 , 	12 , 	0 , 	4 , 	339 ,,,,,,,,,,,
SH, 	2 , 	4 , 	3 , 	1 , 	7 , 	2 , 	6 , 	4 , 	5 , 	8 , 	15 , 	15 , 	10 , 	14 , 	12 , 	3 , 	7 , 	10 , 	3 , 	-   , 	-   , 	0 , 	-   , 	1 , 	5 , 	12 , 	6 , 	12 , 	8 , 	4 , 	5 , 	1 , 	4 , 	3 , 	0 , 	1 , 	3 , 	0 , 	1 , 	1 , 	3 , 	3 , 	1 , 	3 , 	3 , 	5 , 	4 , 	9 , 	0 , 	0 , 	223 ,,,,,,,,,,,
UC, 	1 , 	3 , 	2 , 	1 , 	6 , 	3 , 	5 , 	4 , 	3 , 	8 , 	9 , 	8 , 	6 , 	8 , 	14 , 	5 , 	4 , 	12 , 	3 , 	1 , 	1 , 	-   , 	1 , 	1 , 	2 , 	13 , 	11 , 	17 , 	8 , 	4 , 	3 , 	2 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	2 , 	-   , 	-   , 	4 , 	-   , 	3 , 	2 , 	6 , 	5 , 	11 , 	1 , 	2 , 	207 ,,,,,,,,,,,
FM, 	3 , 	3 , 	1 , 	1 , 	4 , 	3 , 	5 , 	4 , 	4 , 	9 , 	12 , 	7 , 	8 , 	12 , 	15 , 	10 , 	8 , 	6 , 	2 , 	1 , 	1 , 	0 , 	1 , 	-   , 	2 , 	15 , 	8 , 	15 , 	7 , 	5 , 	3 , 	2 , 	5 , 	1 , 	1 , 	1 , 	4 , 	0 , 	1 , 	2 , 	-   , 	4 , 	0 , 	2 , 	3 , 	3 , 	12 , 	9 , 	0 , 	2 , 	225 ,,,,,,,,,,,
CN, 	5 , 	8 , 	3 , 	2 , 	4 , 	2 , 	18 , 	8 , 	10 , 	3 , 	12 , 	6 , 	3 , 	4 , 	5 , 	3 , 	2 , 	2 , 	9 , 	14 , 	40 , 	19 , 	7 , 	7 , 	3 , 	23 , 	14 , 	41 , 	19 , 	9 , 	13 , 	5 , 	3 , 	6 , 	1 , 	-   , 	1 , 	6 , 	30 , 	2 , 	2 , 	21 , 	3 , 	2 , 	5 , 	1 , 	1 , 	5 , 	15 , 	18 , 	436 ,,,,,,,,,,,
PH, 	0 , 	3 , 	3 , 	1 , 	4 , 	1 , 	8 , 	4 , 	5 , 	1 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	12 , 	4 , 	14 , 	8 , 	5 , 	6 , 	2 , 	19 , 	18 , 	25 , 	17 , 	7 , 	7 , 	2 , 	1 , 	1 , 	1 , 	-   , 	2 , 	2 , 	9 , 	1 , 	3 , 	17 , 	1 , 	0 , 	5 , 	1 , 	0 , 	2 , 	5 , 	6 , 	238 ,,,,,,,,,,,
WC, 	4 , 	5 , 	4 , 	3 , 	5 , 	1 , 	8 , 	10 , 	6 , 	1 , 	5 , 	4 , 	4 , 	2 , 	-   , 	1 , 	1 , 	1 , 	56 , 	15 , 	2 , 	10 , 	8 , 	7 , 	2 , 	15 , 	19 , 	30 , 	14 , 	10 , 	6 , 	2 , 	5 , 	3 , 	1 , 	1 , 	-   , 	6 , 	22 , 	2 , 	3 , 	20 , 	2 , 	0 , 	5 , 	0 , 	1 , 	2 , 	8 , 	9 , 	346 ,,,,,,,,,,,
LF, 	1 , 	2 , 	1 , 	-   , 	1 , 	1 , 	4 , 	2 , 	3 , 	-   , 	2 , 	-   , 	2 , 	1 , 	-   , 	0 , 	0 , 	0 , 	26 , 	7 , 	11 , 	3 , 	3 , 	5 , 	2 , 	8 , 	8 , 	10 , 	8 , 	4 , 	3 , 	1 , 	2 , 	0 , 	-   , 	-   , 	-   , 	1 , 	5 , 	-   , 	-   , 	8 , 	-   , 	-   , 	1 , 	0 , 	1 , 	1 , 	2 , 	2 , 	139 ,,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	2 , 	4 , 	3 , 	1 , 	3 , 	-   , 	-   , 	2 , 	-   , 	0 , 	1 , 	0 , 	6 , 	3 , 	8 , 	3 , 	0 , 	4 , 	1 , 	7 , 	3 , 	12 , 	2 , 	7 , 	3 , 	1 , 	1 , 	1 , 	-   , 	-   , 	0 , 	0 , 	0 , 	-   , 	1 , 	9 , 	0 , 	-   , 	1 , 	0 , 	1 , 	-   , 	1 , 	1 , 	91 ,,,,,,,,,,,
RR, 	6 , 	2 , 	4 , 	1 , 	3 , 	-   , 	6 , 	8 , 	4 , 	4 , 	7 , 	3 , 	3 , 	3 , 	1 , 	0 , 	2 , 	0 , 	8 , 	10 , 	5 , 	6 , 	9 , 	2 , 	3 , 	20 , 	19 , 	28 , 	17 , 	14 , 	8 , 	4 , 	3 , 	2 , 	1 , 	-   , 	1 , 	1 , 	2 , 	0 , 	-   , 	13 , 	4 , 	-   , 	3 , 	1 , 	-   , 	1 , 	3 , 	3 , 	241 ,,,,,,,,,,,
OW, 	4 , 	5 , 	1 , 	1 , 	5 , 	2 , 	7 , 	5 , 	12 , 	5 , 	16 , 	12 , 	7 , 	8 , 	5 , 	2 , 	2 , 	2 , 	3 , 	3 , 	4 , 	2 , 	1 , 	4 , 	11 , 	84 , 	41 , 	122 , 	57 , 	40 , 	28 , 	7 , 	11 , 	11 , 	2 , 	4 , 	5 , 	0 , 	2 , 	2 , 	4 , 	16 , 	3 , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	4 , 	572 ,,,,,,,,,,,
