Exit stations,Entry stations->,,SATURDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	5 , 	19 , 	23 , 	13 , 	48 , 	17 , 	17 , 	17 , 	15 , 	7 , 	26 , 	17 , 	8 , 	5 , 	6 , 	5 , 	2 , 	3 , 	4 , 	3 , 	3 , 	1 , 	1 , 	5 , 	6 , 	43 , 	31 , 	92 , 	37 , 	42 , 	52 , 	9 , 	15 , 	12 , 	4 , 	0 , 	5 , 	1 , 	1 , 	2 , 	4 , 	7 , 	4 , 	2 , 	2 , 	1 , 	4 , 	4 , 	2 , 	2 , 	657 ,,,,,,,,,,
EN, 	16 , 	6 , 	18 , 	11 , 	68 , 	21 , 	28 , 	15 , 	28 , 	9 , 	33 , 	14 , 	11 , 	10 , 	9 , 	7 , 	4 , 	6 , 	9 , 	4 , 	4 , 	1 , 	1 , 	5 , 	11 , 	57 , 	52 , 	126 , 	49 , 	42 , 	41 , 	11 , 	16 , 	11 , 	8 , 	0 , 	2 , 	0 , 	4 , 	2 , 	4 , 	17 , 	2 , 	1 , 	6 , 	3 , 	5 , 	4 , 	2 , 	3 , 	820 ,,,,,,,,,,
EP, 	20 , 	14 , 	4 , 	12 , 	63 , 	16 , 	12 , 	12 , 	12 , 	6 , 	14 , 	7 , 	6 , 	5 , 	2 , 	3 , 	2 , 	3 , 	3 , 	2 , 	4 , 	1 , 	2 , 	3 , 	2 , 	30 , 	23 , 	45 , 	20 , 	13 , 	12 , 	3 , 	2 , 	4 , 	1 , 	3 , 	1 , 	0 , 	2 , 	1 , 	2 , 	6 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	411 ,,,,,,,,,,
NB, 	13 , 	11 , 	11 , 	3 , 	8 , 	9 , 	11 , 	7 , 	8 , 	5 , 	12 , 	3 , 	5 , 	4 , 	2 , 	2 , 	1 , 	2 , 	2 , 	1 , 	2 , 	0 , 	1 , 	0 , 	2 , 	24 , 	12 , 	23 , 	17 , 	14 , 	10 , 	3 , 	1 , 	3 , 	1 , 	0 , 	1 , 	0 , 	2 , 	-   , 	1 , 	5 , 	0 , 	0 , 	1 , 	1 , 	1 , 	2 , 	0 , 	1 , 	249 ,,,,,,,,,,
BK, 	63 , 	76 , 	64 , 	10 , 	9 , 	37 , 	32 , 	33 , 	40 , 	13 , 	32 , 	21 , 	10 , 	15 , 	12 , 	5 , 	10 , 	5 , 	5 , 	6 , 	8 , 	2 , 	3 , 	1 , 	10 , 	58 , 	38 , 	91 , 	56 , 	42 , 	22 , 	6 , 	11 , 	12 , 	2 , 	1 , 	7 , 	0 , 	7 , 	1 , 	3 , 	6 , 	3 , 	2 , 	6 , 	1 , 	5 , 	12 , 	1 , 	1 , 	917 ,,,,,,,,,,
AS, 	16 , 	26 , 	13 , 	9 , 	24 , 	4 , 	15 , 	18 , 	20 , 	4 , 	19 , 	15 , 	10 , 	6 , 	4 , 	4 , 	3 , 	2 , 	4 , 	2 , 	2 , 	0 , 	1 , 	2 , 	6 , 	23 , 	18 , 	36 , 	29 , 	21 , 	11 , 	3 , 	6 , 	4 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	4 , 	1 , 	0 , 	1 , 	2 , 	1 , 	2 , 	1 , 	2 , 	404 ,,,,,,,,,,
MA, 	27 , 	29 , 	10 , 	13 , 	27 , 	14 , 	10 , 	15 , 	15 , 	5 , 	31 , 	20 , 	11 , 	13 , 	12 , 	5 , 	5 , 	5 , 	14 , 	10 , 	14 , 	3 , 	2 , 	7 , 	10 , 	60 , 	36 , 	78 , 	48 , 	41 , 	28 , 	12 , 	10 , 	7 , 	5 , 	2 , 	2 , 	2 , 	12 , 	1 , 	3 , 	9 , 	2 , 	0 , 	3 , 	0 , 	2 , 	4 , 	6 , 	9 , 	707 ,,,,,,,,,,
19, 	14 , 	18 , 	14 , 	7 , 	27 , 	20 , 	13 , 	5 , 	3 , 	2 , 	18 , 	18 , 	16 , 	18 , 	9 , 	4 , 	4 , 	4 , 	7 , 	9 , 	11 , 	3 , 	3 , 	6 , 	7 , 	48 , 	39 , 	75 , 	55 , 	41 , 	24 , 	9 , 	8 , 	10 , 	3 , 	1 , 	1 , 	3 , 	7 , 	1 , 	3 , 	7 , 	2 , 	1 , 	2 , 	2 , 	1 , 	5 , 	4 , 	7 , 	619 ,,,,,,,,,,
12, 	18 , 	20 , 	15 , 	8 , 	33 , 	17 , 	14 , 	2 , 	9 , 	2 , 	20 , 	16 , 	17 , 	19 , 	13 , 	5 , 	8 , 	5 , 	12 , 	9 , 	7 , 	4 , 	4 , 	8 , 	17 , 	58 , 	53 , 	110 , 	53 , 	40 , 	25 , 	14 , 	14 , 	9 , 	9 , 	1 , 	2 , 	2 , 	5 , 	2 , 	7 , 	14 , 	5 , 	1 , 	4 , 	2 , 	1 , 	5 , 	3 , 	5 , 	745 ,,,,,,,,,,
LM, 	6 , 	11 , 	7 , 	6 , 	14 , 	4 , 	5 , 	3 , 	2 , 	3 , 	30 , 	30 , 	31 , 	36 , 	17 , 	8 , 	11 , 	10 , 	2 , 	0 , 	3 , 	1 , 	0 , 	3 , 	6 , 	50 , 	39 , 	92 , 	56 , 	34 , 	19 , 	9 , 	14 , 	9 , 	1 , 	14 , 	16 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	9 , 	2 , 	3 , 	5 , 	10 , 	1 , 	3 , 	645 ,,,,,,,,,,
