Muni Fast Pass Adult/Clipper OD,,,,,,Feb 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,22,64,91,361,677,576,908,"2,737"
MT,27,37,48,84,447,916,820,"1,709","4,088"
PL,113,69,40,56,353,586,443,"1,196","2,856"
CC,79,83,60,23,185,377,350,724,"1,879"
16,318,367,423,195,13,94,136,364,"1,909"
24,535,679,681,369,101,20,87,350,"2,823"
GP,505,604,536,322,136,101,13,70,"2,287"
BP,785,"1,062","1,641",692,346,357,75,36,"4,995"
Entries,"2,399","2,924","3,493","1,831","1,940","3,129","2,500","5,356","23,573"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,31,23,129,172,121,280,781
MT,7,19,16,15,111,182,170,670,"1,189"
PL,35,15,44,24,309,444,329,897,"2,096"
CC,23,10,28,21,117,160,111,240,708
16,120,88,328,113,19,88,91,208,"1,054"
24,136,118,488,186,83,27,69,210,"1,316"
GP,86,94,377,98,82,77,23,33,868
BP,229,295,"1,151",223,169,192,33,51,"2,341"
Entries,657,643,"2,460",702,"1,018","1,340",947,"2,588","10,354"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,2,13,10,63,86,60,154,406
MT,4,9,9,10,69,108,99,374,680
PL,16,9,38,12,199,263,190,560,"1,287"
CC,10,5,14,24,84,101,75,188,501
16,70,40,225,71,15,47,60,131,657
24,92,65,323,132,47,23,48,135,865
GP,61,61,269,80,58,49,10,19,607
BP,162,177,877,166,126,128,18,28,"1,681"
Entries,432,367,"1,768",504,661,804,560,"1,590","6,684"
