Exit stations,Entry stations->,,SATURDAY,,,Feb 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	9 , 	76 , 	83 , 	59 , 	287 , 	76 , 	93 , 	52 , 	77 , 	25 , 	66 , 	80 , 	27 , 	25 , 	27 , 	15 , 	12 , 	23 , 	14 , 	5 , 	11 , 	4 , 	7 , 	17 , 	25 , 	145 , 	116 , 	303 , 	128 , 	106 , 	117 , 	23 , 	51 , 	32 , 	12 , 	5 , 	10 , 	2 , 	31 , 	6 , 	17 , 	29 , 	16 , 	3 , 	4 , 	-   ," 	2,342 ",,,Eastbay," 	46,788 ",,SF CBD," 	117,137 ",59.5%,,,
EN, 	80 , 	13 , 	84 , 	60 , 	464 , 	114 , 	137 , 	116 , 	177 , 	41 , 	102 , 	173 , 	32 , 	47 , 	40 , 	19 , 	21 , 	51 , 	27 , 	10 , 	22 , 	9 , 	8 , 	24 , 	34 , 	338 , 	270 , 	719 , 	259 , 	130 , 	115 , 	38 , 	54 , 	50 , 	16 , 	11 , 	11 , 	4 , 	49 , 	11 , 	28 , 	60 , 	22 , 	9 , 	18 , 	-   ," 	4,110 ",,,Westbay," 	56,814 ",,non-CBD," 	74,087 ",37.6%,,,
EP, 	86 , 	85 , 	11 , 	61 , 	468 , 	83 , 	80 , 	88 , 	139 , 	40 , 	38 , 	60 , 	20 , 	18 , 	12 , 	5 , 	12 , 	34 , 	6 , 	8 , 	15 , 	7 , 	11 , 	33 , 	14 , 	197 , 	158 , 	360 , 	157 , 	79 , 	52 , 	16 , 	14 , 	16 , 	4 , 	9 , 	10 , 	2 , 	13 , 	5 , 	7 , 	46 , 	18 , 	6 , 	19 , 	-   ," 	2,615 ",,,Transbay," 	97,699 ",,,,,,,
NB, 	68 , 	62 , 	74 , 	17 , 	136 , 	61 , 	80 , 	116 , 	135 , 	56 , 	51 , 	42 , 	26 , 	22 , 	17 , 	10 , 	12 , 	29 , 	10 , 	13 , 	17 , 	12 , 	6 , 	19 , 	15 , 	275 , 	214 , 	372 , 	275 , 	155 , 	101 , 	33 , 	21 , 	21 , 	5 , 	9 , 	8 , 	2 , 	12 , 	3 , 	5 , 	56 , 	18 , 	10 , 	24 , 	-   ," 	2,716 ",,,,,,,,,,,
BK, 	280 , 	473 , 	502 , 	171 , 	45 , 	297 , 	291 , 	356 , 	463 , 	132 , 	203 , 	133 , 	109 , 	111 , 	81 , 	53 , 	84 , 	220 , 	65 , 	86 , 	92 , 	53 , 	44 , 	44 , 	78 , 	696 , 	469 ," 	1,200 ", 	527 , 	331 , 	212 , 	85 , 	82 , 	95 , 	18 , 	29 , 	79 , 	11 , 	52 , 	16 , 	24 , 	133 , 	123 , 	29 , 	52 , 	-   ," 	8,723 ",,,,,,,,,,,
AS, 	84 , 	116 , 	83 , 	52 , 	257 , 	16 , 	92 , 	157 , 	162 , 	65 , 	106 , 	68 , 	29 , 	29 , 	31 , 	13 , 	14 , 	25 , 	13 , 	17 , 	21 , 	7 , 	4 , 	12 , 	38 , 	244 , 	185 , 	376 , 	272 , 	232 , 	133 , 	26 , 	26 , 	18 , 	6 , 	5 , 	10 , 	3 , 	12 , 	6 , 	7 , 	40 , 	14 , 	7 , 	18 , 	-   ," 	3,146 ",,,,,,,,,,,
MA, 	102 , 	142 , 	77 , 	69 , 	282 , 	108 , 	19 , 	109 , 	150 , 	44 , 	126 , 	132 , 	53 , 	57 , 	63 , 	20 , 	25 , 	53 , 	46 , 	30 , 	45 , 	20 , 	16 , 	54 , 	62 , 	398 , 	270 , 	599 , 	458 , 	312 , 	200 , 	40 , 	45 , 	31 , 	10 , 	13 , 	19 , 	13 , 	83 , 	5 , 	11 , 	63 , 	24 , 	11 , 	16 , 	-   ," 	4,520 ",,,,,,,,,,,
19, 	58 , 	130 , 	85 , 	92 , 	339 , 	178 , 	111 , 	21 , 	31 , 	19 , 	96 , 	85 , 	65 , 	61 , 	53 , 	23 , 	32 , 	66 , 	50 , 	42 , 	64 , 	39 , 	25 , 	109 , 	62 , 	392 , 	349 , 	619 , 	474 , 	335 , 	218 , 	73 , 	49 , 	57 , 	15 , 	15 , 	36 , 	12 , 	63 , 	9 , 	16 , 	42 , 	28 , 	13 , 	15 , 	-   ," 	4,760 ",,,,,,,,,,,
12, 	78 , 	174 , 	153 , 	174 , 	443 , 	191 , 	136 , 	23 , 	25 , 	30 , 	127 , 	140 , 	104 , 	130 , 	91 , 	43 , 	63 , 	110 , 	77 , 	68 , 	82 , 	34 , 	37 , 	107 , 	99 , 	448 , 	352 , 	715 , 	420 , 	235 , 	177 , 	74 , 	82 , 	53 , 	23 , 	15 , 	32 , 	19 , 	76 , 	20 , 	31 , 	60 , 	44 , 	13 , 	25 , 	-   ," 	5,648 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	40 , 	27 , 	34 , 	116 , 	47 , 	39 , 	15 , 	19 , 	12 , 	101 , 	142 , 	155 , 	176 , 	61 , 	33 , 	48 , 	76 , 	12 , 	12 , 	14 , 	7 , 	6 , 	20 , 	25 , 	341 , 	281 , 	641 , 	312 , 	192 , 	117 , 	30 , 	31 , 	35 , 	5 , 	67 , 	75 , 	2 , 	14 , 	2 , 	8 , 	18 , 	10 , 	33 , 	14 , 	-   ," 	3,479 ",,,Dtwn SF," 	2,483 "," 	10,039 "," 	16,640 "," 	8,788 "," 	7,676 "," 	10,155 "," 	5,523 "," 	61,303 "
