Exit stations,Entry stations->,,SUNDAY,,,Feb 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	61 , 	68 , 	30 , 	40 , 	132 , 	82 , 	86 , 	67 , 	80 , 	99 , 	17 , 	109 , 	96 , 	105 , 	98 , 	38 , 	34 , 	72 , 	24 , 	9 , 	25 , 	7 , 	9 , 	29 , 	59 , 	241 , 	178 , 	496 , 	283 , 	147 , 	117 , 	31 , 	47 , 	33 , 	9 , 	33 , 	43 , 	5 , 	38 , 	9 , 	12 , 	45 , 	12 , 	33 , 	15 , 	-   ," 	3,294 ",,,OAK," 	6,045 ", 	822 ," 	2,163 "," 	1,931 ", 	888 ," 	1,886 ", 	470 ," 	14,204 "
CL, 	44 , 	56 , 	15 , 	19 , 	57 , 	37 , 	56 , 	52 , 	78 , 	56 , 	91 , 	7 , 	49 , 	77 , 	96 , 	39 , 	32 , 	45 , 	16 , 	12 , 	15 , 	6 , 	3 , 	11 , 	45 , 	97 , 	71 , 	225 , 	100 , 	46 , 	45 , 	20 , 	28 , 	20 , 	7 , 	23 , 	61 , 	6 , 	57 , 	5 , 	12 , 	19 , 	7 , 	30 , 	27 , 	-   ," 	1,914 ",,,CM line," 	10,390 "," 	2,152 "," 	4,056 "," 	1,652 "," 	1,033 "," 	1,424 "," 	1,917 "," 	22,624 "
SL, 	22 , 	22 , 	17 , 	22 , 	62 , 	24 , 	38 , 	40 , 	77 , 	96 , 	104 , 	52 , 	11 , 	55 , 	70 , 	31 , 	24 , 	39 , 	11 , 	7 , 	9 , 	5 , 	4 , 	17 , 	15 , 	120 , 	89 , 	285 , 	105 , 	44 , 	38 , 	13 , 	19 , 	25 , 	5 , 	25 , 	29 , 	2 , 	13 , 	4 , 	4 , 	29 , 	5 , 	34 , 	10 , 	-   ," 	1,765 ",,,RM line," 	5,053 "," 	1,986 "," 	1,692 "," 	3,063 ", 	628 ," 	1,658 ", 	662 ," 	14,741 "
BF, 	10 , 	25 , 	8 , 	11 , 	46 , 	18 , 	30 , 	28 , 	55 , 	75 , 	93 , 	82 , 	39 , 	4 , 	51 , 	33 , 	35 , 	73 , 	11 , 	6 , 	5 , 	3 , 	2 , 	5 , 	22 , 	86 , 	78 , 	215 , 	60 , 	30 , 	25 , 	12 , 	18 , 	16 , 	5 , 	35 , 	53 , 	3 , 	13 , 	2 , 	5 , 	10 , 	2 , 	55 , 	6 , 	-   ," 	1,494 ",,,WP line," 	4,600 ", 	961 ," 	1,062 ", 	679 ," 	2,191 ", 	673 , 	759 ," 	10,924 "
HY, 	22 , 	24 , 	9 , 	13 , 	56 , 	22 , 	35 , 	35 , 	65 , 	41 , 	93 , 	82 , 	67 , 	66 , 	9 , 	53 , 	59 , 	104 , 	10 , 	6 , 	12 , 	4 , 	1 , 	11 , 	19 , 	76 , 	37 , 	166 , 	49 , 	32 , 	22 , 	13 , 	10 , 	19 , 	3 , 	15 , 	29 , 	1 , 	17 , 	3 , 	6 , 	17 , 	8 , 	30 , 	13 , 	-   ," 	1,476 ",,,FT/ED line," 	5,875 "," 	1,963 "," 	1,455 "," 	1,672 ", 	677 ," 	4,485 ", 	457 ," 	16,584 "
SH, 	12 , 	17 , 	5 , 	5 , 	22 , 	10 , 	13 , 	15 , 	24 , 	24 , 	43 , 	37 , 	23 , 	42 , 	45 , 	4 , 	35 , 	52 , 	5 , 	2 , 	5 , 	2 , 	0 , 	3 , 	5 , 	49 , 	33 , 	105 , 	27 , 	21 , 	19 , 	7 , 	13 , 	15 , 	4 , 	6 , 	13 , 	1 , 	16 , 	2 , 	6 , 	8 , 	6 , 	12 , 	11 , 	-   , 	820 ,,,SFIA," 	3,650 ", 	402 ," 	1,645 ", 	527 , 	617 , 	339 , 	914 ," 	8,094 "
UC, 	7 , 	11 , 	6 , 	10 , 	54 , 	17 , 	20 , 	18 , 	35 , 	33 , 	38 , 	30 , 	27 , 	44 , 	53 , 	27 , 	12 , 	79 , 	9 , 	3 , 	4 , 	3 , 	1 , 	7 , 	5 , 	90 , 	67 , 	171 , 	55 , 	19 , 	18 , 	10 , 	10 , 	18 , 	3 , 	12 , 	24 , 	2 , 	12 , 	3 , 	4 , 	26 , 	4 , 	15 , 	15 , 	-   ," 	1,124 ",,,Entries," 	36,982 "," 	14,400 "," 	22,093 "," 	14,361 "," 	10,283 "," 	16,044 "," 	8,872 "," 	123,035 "
FM, 	19 , 	42 , 	24 , 	28 , 	157 , 	28 , 	43 , 	42 , 	63 , 	62 , 	73 , 	51 , 	41 , 	63 , 	109 , 	51 , 	76 , 	18 , 	18 , 	14 , 	17 , 	8 , 	4 , 	17 , 	11 , 	194 , 	129 , 	336 , 	118 , 	58 , 	23 , 	16 , 	19 , 	25 , 	7 , 	18 , 	53 , 	5 , 	28 , 	4 , 	5 , 	43 , 	2 , 	24 , 	27 , 	-   ," 	2,208 ",,,,,,,,,,,
CN, 	20 , 	17 , 	7 , 	11 , 	42 , 	10 , 	31 , 	38 , 	45 , 	11 , 	25 , 	14 , 	11 , 	8 , 	11 , 	5 , 	8 , 	16 , 	8 , 	48 , 	138 , 	46 , 	15 , 	32 , 	10 , 	127 , 	70 , 	215 , 	75 , 	28 , 	30 , 	16 , 	22 , 	17 , 	10 , 	4 , 	6 , 	14 , 	142 , 	8 , 	12 , 	60 , 	14 , 	2 , 	21 , 	-   ," 	1,515 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	8 , 	7 , 	8 , 	9 , 	40 , 	8 , 	23 , 	25 , 	33 , 	8 , 	12 , 	12 , 	6 , 	5 , 	5 , 	4 , 	2 , 	18 , 	41 , 	9 , 	72 , 	24 , 	14 , 	45 , 	6 , 	143 , 	96 , 	234 , 	102 , 	42 , 	25 , 	15 , 	10 , 	18 , 	6 , 	2 , 	4 , 	10 , 	42 , 	5 , 	5 , 	85 , 	13 , 	3 , 	33 , 	-   ," 	1,333 ",,,Dtwn SF," 	1,369 ",,,,,,,
