Exit stations,Entry stations->,,SATURDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	54 , 	90 , 	41 , 	45 , 	185 , 	83 , 	120 , 	136 , 	102 , 	73 , 	19 , 	143 , 	121 , 	221 , 	113 , 	56 , 	46 , 	97 , 	27 , 	13 , 	25 , 	17 , 	9 , 	35 , 	84 , 	346 , 	296 ," 	1,006 ", 	355 , 	178 , 	160 , 	43 , 	59 , 	44 , 	14 , 	40 , 	70 , 	6 , 	43 , 	11 , 	20 , 	51 , 	19 , 	58 , 	11 , 	-   ," 	4,779 ",,,OAK," 	9,458 "," 	1,029 "," 	2,605 "," 	2,493 "," 	1,214 "," 	2,635 ", 	545 ," 	19,978 "
CL, 	47 , 	75 , 	22 , 	22 , 	90 , 	48 , 	90 , 	101 , 	145 , 	70 , 	135 , 	13 , 	93 , 	152 , 	91 , 	41 , 	55 , 	87 , 	23 , 	28 , 	33 , 	12 , 	9 , 	23 , 	55 , 	218 , 	133 , 	447 , 	173 , 	94 , 	75 , 	33 , 	50 , 	72 , 	9 , 	30 , 	89 , 	9 , 	61 , 	11 , 	16 , 	22 , 	22 , 	55 , 	25 , 	-   ," 	3,196 ",,,CM line," 	17,347 "," 	2,745 "," 	5,315 "," 	2,211 "," 	1,440 "," 	2,045 "," 	2,380 "," 	33,483 "
SL, 	18 , 	43 , 	17 , 	25 , 	92 , 	33 , 	47 , 	113 , 	86 , 	135 , 	127 , 	91 , 	8 , 	108 , 	82 , 	32 , 	32 , 	57 , 	15 , 	13 , 	11 , 	3 , 	5 , 	23 , 	23 , 	202 , 	171 , 	593 , 	164 , 	58 , 	57 , 	26 , 	29 , 	31 , 	9 , 	34 , 	37 , 	3 , 	26 , 	8 , 	5 , 	32 , 	7 , 	42 , 	8 , 	-   ," 	2,775 ",,,RM line," 	7,902 "," 	2,468 "," 	2,122 "," 	4,106 ", 	841 ," 	2,036 ", 	703 ," 	20,177 "
BF, 	19 , 	35 , 	13 , 	13 , 	85 , 	27 , 	55 , 	79 , 	106 , 	135 , 	218 , 	160 , 	108 , 	16 , 	125 , 	57 , 	81 , 	166 , 	15 , 	7 , 	10 , 	3 , 	3 , 	7 , 	22 , 	156 , 	157 , 	594 , 	125 , 	54 , 	42 , 	21 , 	31 , 	28 , 	7 , 	56 , 	95 , 	4 , 	25 , 	5 , 	15 , 	19 , 	9 , 	113 , 	5 , 	-   ," 	3,121 ",,,WP line," 	8,692 "," 	1,239 "," 	1,435 ", 	849 ," 	2,958 ", 	896 , 	889 ," 	16,957 "
HY, 	19 , 	26 , 	11 , 	13 , 	73 , 	19 , 	36 , 	48 , 	60 , 	50 , 	114 , 	98 , 	80 , 	129 , 	10 , 	63 , 	80 , 	148 , 	11 , 	6 , 	6 , 	3 , 	2 , 	12 , 	18 , 	118 , 	85 , 	303 , 	74 , 	28 , 	26 , 	11 , 	17 , 	23 , 	6 , 	18 , 	37 , 	2 , 	21 , 	3 , 	10 , 	16 , 	5 , 	42 , 	11 , 	-   ," 	1,986 ",,,FT/ED line," 	11,312 "," 	2,789 "," 	2,054 "," 	2,145 ", 	854 ," 	6,819 ", 	569 ," 	26,542 "
SH, 	14 , 	19 , 	5 , 	7 , 	34 , 	10 , 	15 , 	26 , 	27 , 	26 , 	57 , 	39 , 	34 , 	64 , 	56 , 	8 , 	51 , 	95 , 	7 , 	4 , 	7 , 	2 , 	1 , 	6 , 	6 , 	67 , 	57 , 	237 , 	55 , 	28 , 	25 , 	5 , 	16 , 	14 , 	5 , 	13 , 	19 , 	1 , 	8 , 	3 , 	4 , 	8 , 	4 , 	18 , 	5 , 	-   ," 	1,207 ",,,SFIA," 	5,726 ", 	585 ," 	2,286 ", 	911 , 	878 , 	534 , 	959 ," 	11,879 "
UC, 	10 , 	21 , 	13 , 	12 , 	61 , 	15 , 	24 , 	34 , 	48 , 	42 , 	39 , 	55 , 	29 , 	78 , 	79 , 	49 , 	12 , 	94 , 	7 , 	7 , 	5 , 	3 , 	3 , 	7 , 	9 , 	151 , 	100 , 	426 , 	89 , 	33 , 	19 , 	12 , 	15 , 	19 , 	4 , 	14 , 	34 , 	1 , 	9 , 	4 , 	5 , 	25 , 	4 , 	20 , 	18 , 	-   ," 	1,752 ",,,Entries," 	63,321 "," 	21,125 "," 	33,675 "," 	21,285 "," 	17,591 "," 	27,010 "," 	12,600 "," 	196,605 "
FM, 	29 , 	50 , 	35 , 	26 , 	213 , 	33 , 	50 , 	77 , 	77 , 	64 , 	100 , 	84 , 	64 , 	136 , 	143 , 	88 , 	105 , 	27 , 	23 , 	14 , 	18 , 	10 , 	6 , 	15 , 	16 , 	290 , 	190 , 	822 , 	184 , 	83 , 	38 , 	19 , 	28 , 	33 , 	8 , 	23 , 	84 , 	5 , 	24 , 	5 , 	8 , 	38 , 	7 , 	30 , 	22 , 	-   ," 	3,440 ",,,,,,,,,,,
CN, 	13 , 	21 , 	9 , 	9 , 	48 , 	16 , 	44 , 	46 , 	68 , 	8 , 	31 , 	28 , 	16 , 	15 , 	14 , 	8 , 	7 , 	23 , 	12 , 	58 , 	186 , 	56 , 	20 , 	52 , 	9 , 	180 , 	135 , 	467 , 	115 , 	60 , 	40 , 	29 , 	22 , 	24 , 	10 , 	4 , 	6 , 	26 , 	215 , 	9 , 	13 , 	77 , 	13 , 	5 , 	21 , 	-   ," 	2,283 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	9 , 	12 , 	8 , 	49 , 	10 , 	34 , 	47 , 	59 , 	8 , 	16 , 	25 , 	16 , 	7 , 	4 , 	6 , 	5 , 	13 , 	56 , 	13 , 	94 , 	26 , 	7 , 	49 , 	7 , 	248 , 	192 , 	559 , 	157 , 	47 , 	37 , 	27 , 	15 , 	17 , 	6 , 	3 , 	6 , 	12 , 	70 , 	5 , 	10 , 	102 , 	12 , 	2 , 	30 , 	-   ," 	2,138 ",,,Dtwn SF," 	2,885 ",,,,,,,
