Muni Fast Pass Adult/Clipper OD,,,,,,Dec 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,32,21,77,74,297,566,496,852,"2,415"
MT,24,33,46,67,386,775,695,"1,436","3,463"
PL,137,85,36,59,323,523,394,"1,093","2,651"
CC,66,69,54,18,144,303,287,643,"1,585"
16,255,308,393,151,9,79,106,305,"1,607"
24,433,537,642,303,87,16,71,236,"2,324"
GP,413,530,503,264,113,77,11,52,"1,963"
BP,719,883,"1,447",555,289,246,53,41,"4,232"
Entries,"2,079","2,465","3,199","1,492","1,649","2,585","2,113","4,660","20,241"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,9,7,30,13,114,131,83,255,642
MT,5,9,14,12,98,152,145,566,999
PL,45,12,38,26,306,452,353,965,"2,197"
CC,14,8,26,14,92,130,88,217,589
16,97,57,325,91,12,66,70,182,899
24,119,93,500,154,64,15,57,158,"1,159"
GP,73,87,398,72,71,55,7,23,785
BP,233,254,"1,176",188,161,132,25,42,"2,208"
Entries,594,525,"2,506",569,917,"1,132",828,"2,409","9,478"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,5,14,7,53,76,53,146,367
MT,4,7,8,9,63,84,76,321,570
PL,22,10,35,19,198,297,224,612,"1,416"
CC,12,2,21,17,67,88,64,164,433
16,73,40,216,65,12,43,45,123,615
24,78,57,352,105,46,16,35,102,792
GP,45,54,279,58,49,31,11,13,540
BP,163,156,825,147,125,87,16,26,"1,545"
Entries,409,331,"1,750",425,612,722,524,"1,505","6,277"
