Exit stations,Entry stations->,,SUNDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	47 , 	58 , 	23 , 	34 , 	108 , 	55 , 	83 , 	69 , 	64 , 	72 , 	13 , 	368 , 	70 , 	132 , 	66 , 	35 , 	26 , 	73 , 	27 , 	10 , 	17 , 	8 , 	6 , 	25 , 	50 , 	202 , 	179 , 	645 , 	262 , 	121 , 	105 , 	33 , 	32 , 	33 , 	5 , 	25 , 	47 , 	3 , 	34 , 	7 , 	12 , 	51 , 	12 , 	41 , 	15 , 	-   ," 	3,398 ",,,OAK," 	5,869 ", 	732 ," 	1,790 "," 	1,506 ", 	802 ," 	2,219 ", 	590 ," 	13,506 "
CL, 	82 , 	307 , 	112 , 	95 , 	73 , 	86 , 	177 , 	113 , 	224 , 	205 , 	378 , 	21 , 	506 , 	451 , 	244 , 	153 , 	204 , 	625 , 	116 , 	126 , 	146 , 	100 , 	101 , 	72 , 	85 , 	312 , 	195 , 	641 , 	227 , 	77 , 	65 , 	46 , 	37 , 	100 , 	13 , 	225 ," 	1,107 ", 	72 , 	151 , 	21 , 	26 , 	64 , 	41 , 	298 , 	284 , 	-   ," 	8,799 ",,,CM line," 	10,751 "," 	1,763 "," 	3,313 "," 	1,291 ", 	977 ," 	1,447 "," 	1,981 "," 	21,522 "
SL, 	17 , 	26 , 	10 , 	18 , 	48 , 	20 , 	37 , 	39 , 	49 , 	72 , 	76 , 	485 , 	15 , 	77 , 	55 , 	24 , 	18 , 	45 , 	13 , 	6 , 	4 , 	2 , 	3 , 	15 , 	20 , 	113 , 	100 , 	391 , 	107 , 	38 , 	33 , 	10 , 	19 , 	25 , 	5 , 	20 , 	23 , 	3 , 	17 , 	6 , 	3 , 	34 , 	6 , 	31 , 	12 , 	-   ," 	2,182 ",,,RM line," 	4,763 "," 	1,544 "," 	1,335 "," 	2,553 ", 	522 ," 	1,860 ", 	677 ," 	13,254 "
BF, 	18 , 	28 , 	9 , 	11 , 	39 , 	20 , 	43 , 	45 , 	59 , 	82 , 	142 , 	426 , 	64 , 	7 , 	82 , 	41 , 	48 , 	139 , 	7 , 	4 , 	6 , 	5 , 	2 , 	6 , 	20 , 	112 , 	98 , 	358 , 	103 , 	39 , 	29 , 	17 , 	18 , 	23 , 	5 , 	41 , 	75 , 	2 , 	19 , 	5 , 	9 , 	31 , 	5 , 	90 , 	10 , 	-   ," 	2,433 ",,,WP line," 	5,631 ", 	882 , 	986 , 	574 ," 	2,053 "," 	1,295 ", 	910 ," 	12,330 "
HY, 	12 , 	19 , 	7 , 	10 , 	37 , 	12 , 	30 , 	37 , 	39 , 	34 , 	69 , 	229 , 	50 , 	81 , 	10 , 	34 , 	50 , 	109 , 	6 , 	4 , 	6 , 	1 , 	2 , 	8 , 	12 , 	62 , 	42 , 	173 , 	40 , 	21 , 	22 , 	5 , 	11 , 	10 , 	4 , 	14 , 	23 , 	2 , 	17 , 	3 , 	6 , 	13 , 	5 , 	31 , 	19 , 	-   ," 	1,424 ",,,FT/ED line," 	7,615 "," 	2,338 "," 	1,501 "," 	1,935 "," 	1,375 "," 	11,118 ", 	615 ," 	26,496 "
SH, 	11 , 	11 , 	3 , 	4 , 	18 , 	8 , 	13 , 	22 , 	23 , 	20 , 	33 , 	140 , 	20 , 	43 , 	42 , 	7 , 	26 , 	63 , 	5 , 	5 , 	2 , 	1 , 	1 , 	2 , 	5 , 	34 , 	28 , 	132 , 	24 , 	12 , 	14 , 	5 , 	10 , 	10 , 	4 , 	10 , 	16 , 	2 , 	12 , 	1 , 	4 , 	11 , 	5 , 	11 , 	8 , 	-   , 	877 ,,,SFIA," 	4,009 ", 	534 ," 	1,623 ", 	673 , 	806 , 	501 , 	907 ," 	9,053 "
UC, 	10 , 	13 , 	10 , 	7 , 	38 , 	10 , 	15 , 	24 , 	30 , 	28 , 	33 , 	188 , 	18 , 	51 , 	58 , 	23 , 	7 , 	65 , 	8 , 	4 , 	4 , 	1 , 	2 , 	5 , 	6 , 	72 , 	48 , 	207 , 	57 , 	17 , 	15 , 	11 , 	11 , 	12 , 	3 , 	7 , 	23 , 	1 , 	11 , 	1 , 	2 , 	23 , 	4 , 	15 , 	15 , 	-   ," 	1,208 ",,,Entries," 	40,467 "," 	13,792 "," 	20,922 "," 	13,328 "," 	11,856 "," 	25,679 "," 	10,735 "," 	136,779 "
FM, 	18 , 	37 , 	25 , 	19 , 	119 , 	30 , 	41 , 	52 , 	42 , 	49 , 	77 , 	570 , 	49 , 	108 , 	117 , 	54 , 	83 , 	27 , 	17 , 	13 , 	13 , 	8 , 	3 , 	14 , 	13 , 	167 , 	110 , 	475 , 	130 , 	47 , 	24 , 	18 , 	17 , 	23 , 	4 , 	16 , 	66 , 	4 , 	27 , 	2 , 	8 , 	50 , 	3 , 	30 , 	42 , 	-   ," 	2,856 ",,,,,,,,,,,
CN, 	8 , 	18 , 	7 , 	6 , 	29 , 	11 , 	33 , 	32 , 	45 , 	7 , 	21 , 	107 , 	10 , 	7 , 	6 , 	2 , 	8 , 	16 , 	9 , 	46 , 	133 , 	45 , 	15 , 	31 , 	6 , 	116 , 	69 , 	286 , 	90 , 	28 , 	23 , 	21 , 	18 , 	19 , 	6 , 	2 , 	5 , 	17 , 	139 , 	8 , 	8 , 	88 , 	12 , 	2 , 	34 , 	-   ," 	1,642 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	7 , 	7 , 	8 , 	29 , 	9 , 	26 , 	28 , 	31 , 	5 , 	11 , 	106 , 	4 , 	5 , 	4 , 	3 , 	3 , 	14 , 	39 , 	13 , 	59 , 	20 , 	9 , 	45 , 	5 , 	147 , 	100 , 	338 , 	120 , 	33 , 	19 , 	19 , 	10 , 	18 , 	5 , 	1 , 	5 , 	8 , 	39 , 	4 , 	8 , 	131 , 	12 , 	2 , 	50 , 	-   ," 	1,559 ",,,Dtwn SF," 	1,829 ",,,,,,,
