Exit stations,Entry stations->,,SATURDAY,,,Jan 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	52 , 	85 , 	29 , 	34 , 	101 , 	71 , 	111 , 	77 , 	128 , 	66 , 	128 , 	4 , 	58 , 	133 , 	101 , 	45 , 	34 , 	63 , 	34 , 	19 , 	19 , 	14 , 	9 , 	29 , 	63 , 	128 , 	93 , 	277 , 	124 , 	57 , 	56 , 	27 , 	26 , 	21 , 	6 , 	23 , 	74 , 	10 , 	61 , 	7 , 	9 , 	21 , 	9 ," 	2,536 ",,,CM line," 	17,034 "," 	1,673 "," 	6,190 "," 	1,727 "," 	1,078 "," 	1,510 "," 	1,852 "," 	31,064 "
SL, 	18 , 	28 , 	13 , 	14 , 	81 , 	31 , 	53 , 	51 , 	103 , 	112 , 	151 , 	65 , 	6 , 	100 , 	90 , 	36 , 	36 , 	47 , 	13 , 	7 , 	15 , 	5 , 	4 , 	9 , 	22 , 	147 , 	120 , 	356 , 	115 , 	34 , 	45 , 	15 , 	20 , 	21 , 	5 , 	30 , 	48 , 	2 , 	17 , 	7 , 	9 , 	21 , 	8 ," 	2,129 ",,,RM line," 	6,300 "," 	2,375 "," 	1,739 "," 	3,928 ", 	829 ," 	2,295 ", 	562 ," 	18,028 "
BF, 	23 , 	36 , 	18 , 	16 , 	109 , 	33 , 	76 , 	71 , 	136 , 	110 , 	235 , 	152 , 	104 , 	8 , 	140 , 	103 , 	90 , 	154 , 	17 , 	7 , 	9 , 	6 , 	4 , 	14 , 	38 , 	149 , 	106 , 	352 , 	115 , 	36 , 	41 , 	14 , 	20 , 	24 , 	9 , 	63 , 	140 , 	3 , 	19 , 	7 , 	7 , 	15 , 	8 ," 	2,834 ",,,WP line," 	6,196 "," 	1,029 "," 	1,134 ", 	843 ," 	2,995 ", 	852 , 	613 ," 	13,661 "
HY, 	22 , 	41 , 	13 , 	13 , 	65 , 	27 , 	45 , 	46 , 	71 , 	41 , 	154 , 	107 , 	92 , 	149 , 	9 , 	87 , 	94 , 	151 , 	13 , 	7 , 	5 , 	2 , 	4 , 	8 , 	19 , 	72 , 	63 , 	184 , 	64 , 	24 , 	31 , 	7 , 	17 , 	19 , 	7 , 	15 , 	50 , 	4 , 	22 , 	4 , 	6 , 	14 , 	4 ," 	1,888 ",,,FT/ED line," 	7,880 "," 	2,649 "," 	1,540 "," 	2,290 ", 	838 ," 	7,038 ", 	521 ," 	22,756 "
SH, 	10 , 	19 , 	8 , 	5 , 	46 , 	10 , 	25 , 	17 , 	35 , 	27 , 	58 , 	48 , 	42 , 	96 , 	77 , 	7 , 	48 , 	76 , 	8 , 	2 , 	4 , 	2 , 	3 , 	7 , 	8 , 	61 , 	40 , 	138 , 	45 , 	16 , 	26 , 	6 , 	10 , 	12 , 	5 , 	13 , 	34 , 	2 , 	10 , 	5 , 	4 , 	7 , 	2 ," 	1,125 ",,,SFIA," 	3,551 ", 	296 ," 	1,719 ", 	458 , 	500 , 	390 , 	810 ," 	7,724 "
UC, 	11 , 	14 , 	11 , 	9 , 	67 , 	14 , 	21 , 	23 , 	46 , 	41 , 	47 , 	33 , 	35 , 	90 , 	90 , 	52 , 	6 , 	87 , 	7 , 	4 , 	9 , 	3 , 	2 , 	9 , 	10 , 	93 , 	70 , 	224 , 	78 , 	16 , 	17 , 	8 , 	15 , 	18 , 	10 , 	8 , 	27 , 	1 , 	10 , 	5 , 	5 , 	19 , 	6 ," 	1,369 ",,,Entries," 	49,561 "," 	15,559 "," 	31,190 "," 	17,918 "," 	13,608 "," 	22,722 "," 	8,711 "," 	159,272 "
FM, 	15 , 	38 , 	27 , 	19 , 	188 , 	35 , 	52 , 	41 , 	94 , 	62 , 	91 , 	69 , 	52 , 	141 , 	156 , 	78 , 	99 , 	16 , 	19 , 	13 , 	14 , 	3 , 	5 , 	14 , 	12 , 	206 , 	147 , 	478 , 	183 , 	33 , 	25 , 	13 , 	23 , 	32 , 	6 , 	19 , 	47 , 	6 , 	22 , 	6 , 	11 , 	46 , 	6 ," 	2,665 ",,,,,,,,,,,
CN, 	20 , 	22 , 	10 , 	13 , 	46 , 	13 , 	42 , 	32 , 	67 , 	10 , 	27 , 	38 , 	15 , 	16 , 	11 , 	6 , 	9 , 	15 , 	8 , 	54 , 	208 , 	72 , 	31 , 	39 , 	7 , 	159 , 	89 , 	278 , 	108 , 	27 , 	38 , 	16 , 	27 , 	27 , 	9 , 	4 , 	12 , 	29 , 	215 , 	9 , 	7 , 	46 , 	10 ," 	1,938 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	9 , 	10 , 	12 , 	59 , 	9 , 	25 , 	24 , 	44 , 	5 , 	13 , 	26 , 	6 , 	6 , 	9 , 	2 , 	4 , 	14 , 	55 , 	6 , 	76 , 	18 , 	14 , 	53 , 	5 , 	199 , 	142 , 	330 , 	138 , 	27 , 	27 , 	15 , 	13 , 	21 , 	7 , 	2 , 	5 , 	11 , 	66 , 	5 , 	5 , 	69 , 	10 ," 	1,601 ",,,Dtwn SF," 	2,218 ",,,,,,,
WC, 	7 , 	16 , 	13 , 	15 , 	94 , 	22 , 	47 , 	36 , 	61 , 	9 , 	20 , 	24 , 	13 , 	10 , 	6 , 	4 , 	10 , 	8 , 	256 , 	92 , 	8 , 	56 , 	36 , 	117 , 	9 , 	274 , 	178 , 	438 , 	202 , 	37 , 	35 , 	21 , 	16 , 	31 , 	14 , 	4 , 	6 , 	29 , 	92 , 	7 , 	6 , 	96 , 	15 ," 	2,490 ",,,OAK," 	13,058 ", 	862 ,,,,,,
LF, 	6 , 	4 , 	7 , 	4 , 	48 , 	7 , 	20 , 	13 , 	30 , 	7 , 	17 , 	16 , 	3 , 	5 , 	2 , 	3 , 	2 , 	6 , 	90 , 	25 , 	60 , 	5 , 	14 , 	45 , 	2 , 	173 , 	98 , 	255 , 	111 , 	19 , 	24 , 	10 , 	4 , 	9 , 	1 , 	1 , 	1 , 	6 , 	19 , 	2 , 	1 , 	42 , 	7 ," 	1,226 ",,,CM line," 	34,269 "," 	3,306 "," 	6,190 ",,,,,
OR, 	6 , 	6 , 	4 , 	5 , 	36 , 	5 , 	18 , 	15 , 	31 , 	4 , 	14 , 	7 , 	5 , 	3 , 	3 , 	2 , 	2 , 	5 , 	32 , 	14 , 	32 , 	14 , 	3 , 	45 , 	2 , 	139 , 	88 , 	226 , 	79 , 	19 , 	15 , 	10 , 	9 , 	8 , 	4 , 	1 , 	3 , 	3 , 	11 , 	3 , 	1 , 	32 , 	8 , 	971 ,,,RM line," 	12,729 "," 	4,620 "," 	3,465 "," 	3,928 ",,,,
RR, 	14 , 	17 , 	26 , 	15 , 	51 , 	21 , 	44 , 	63 , 	65 , 	19 , 	37 , 	34 , 	11 , 	12 , 	9 , 	5 , 	5 , 	15 , 	40 , 	50 , 	115 , 	48 , 	49 , 	10 , 	17 , 	303 , 	247 , 	609 , 	316 , 	148 , 	95 , 	26 , 	18 , 	20 , 	4 , 	4 , 	8 , 	7 , 	18 , 	3 , 	7 , 	80 , 	12 ," 	2,717 ",,,WP line," 	12,574 "," 	2,019 "," 	2,212 "," 	1,672 "," 	2,995 ",,,
OW, 	22 , 	24 , 	8 , 	14 , 	55 , 	50 , 	50 , 	27 , 	82 , 	20 , 	92 , 	69 , 	20 , 	37 , 	22 , 	9 , 	8 , 	14 , 	9 , 	6 , 	11 , 	3 , 	2 , 	19 , 	6 , 	333 , 	308 , 	713 , 	280 , 	124 , 	95 , 	22 , 	28 , 	19 , 	4 , 	6 , 	18 , 	5 , 	15 , 	6 , 	6 , 	26 , 	9 ," 	2,697 ",,,FT/ED line," 	15,959 "," 	5,207 "," 	3,051 "," 	4,585 "," 	1,690 "," 	7,038 ",,
