Fast Pass OD,,,,,,Jan 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,68,48,203,201,637,"1,061",826,"1,342","4,386"
MT,53,61,120,219,855,"1,493","1,222","2,432","6,453"
PL,269,168,90,168,814,"1,163",763,"2,153","5,589"
CC,172,189,191,58,572,799,564,"1,431","3,977"
16,587,681,"1,020",610,28,253,245,709,"4,133"
24,884,"1,138","1,416",813,262,39,183,627,"5,361"
GP,749,923,986,502,240,202,22,156,"3,781"
BP,"1,180","1,359","3,100","1,328",690,667,164,45,"8,534"
Entries,"3,961","4,567","7,125","3,898","4,098","5,679","3,990","8,896","42,214"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,7,69,46,229,272,142,330,"1,130"
MT,11,22,31,39,309,339,338,"1,162","2,251"
PL,76,24,76,72,662,916,572,"1,460","3,858"
CC,35,24,72,41,370,423,207,488,"1,661"
16,195,173,820,390,39,182,148,395,"2,341"
24,241,206,"1,047",467,159,37,148,349,"2,655"
GP,129,138,744,187,144,126,23,79,"1,570"
BP,315,324,"2,276",422,356,352,81,41,"4,166"
Entries,"1,037",917,"5,135","1,664","2,268","2,647","1,659","4,305","19,631"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,7,37,23,144,155,80,206,675
MT,4,20,19,32,183,217,207,786,"1,468"
PL,40,13,82,53,496,644,390,"1,042","2,759"
CC,19,14,58,54,285,324,166,419,"1,338"
16,159,98,617,299,39,129,112,276,"1,729"
24,161,134,782,381,123,45,92,246,"1,964"
GP,87,78,558,145,105,96,22,41,"1,130"
BP,216,188,"1,701",351,248,260,41,35,"3,039"
Entries,709,552,"3,853","1,337","1,622","1,870","1,110","3,050","14,101"
