Exit stations,Entry stations->,,SUNDAY,,,Sep 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	38 , 	38 , 	28 , 	125 , 	35 , 	41 , 	32 , 	33 , 	19 , 	36 , 	79 , 	8 , 	11 , 	9 , 	5 , 	4 , 	8 , 	9 , 	5 , 	9 , 	2 , 	2 , 	9 , 	6 , 	95 , 	52 , 	164 , 	76 , 	46 , 	51 , 	12 , 	14 , 	13 , 	3 , 	3 , 	7 , 	2 , 	8 , 	3 , 	7 , 	42 , 	8 , 	1 , 	14 , 	5 , 	-   , 	-   , 	5 , 	7 ," 	1,245 ",,,,,,,,,,,
EN, 	39 , 	20 , 	41 , 	31 , 	217 , 	54 , 	65 , 	74 , 	63 , 	33 , 	55 , 	227 , 	17 , 	20 , 	15 , 	8 , 	7 , 	23 , 	14 , 	8 , 	11 , 	4 , 	5 , 	11 , 	12 , 	157 , 	125 , 	294 , 	145 , 	60 , 	56 , 	18 , 	29 , 	23 , 	11 , 	4 , 	7 , 	2 , 	7 , 	9 , 	10 , 	82 , 	10 , 	4 , 	33 , 	16 , 	-   , 	-   , 	3 , 	8 ," 	2,186 ",,,,,,,,,,,
EP, 	38 , 	40 , 	13 , 	31 , 	224 , 	45 , 	41 , 	66 , 	49 , 	28 , 	30 , 	128 , 	15 , 	14 , 	11 , 	4 , 	8 , 	15 , 	11 , 	6 , 	9 , 	5 , 	3 , 	17 , 	6 , 	131 , 	75 , 	180 , 	101 , 	43 , 	31 , 	16 , 	9 , 	12 , 	5 , 	2 , 	6 , 	1 , 	4 , 	4 , 	4 , 	58 , 	10 , 	4 , 	31 , 	9 , 	-   , 	-   , 	1 , 	3 ," 	1,599 ",,,,,,,,,,,
NB, 	35 , 	27 , 	29 , 	18 , 	61 , 	29 , 	31 , 	82 , 	48 , 	17 , 	34 , 	125 , 	14 , 	12 , 	9 , 	3 , 	10 , 	16 , 	10 , 	9 , 	15 , 	8 , 	3 , 	11 , 	6 , 	138 , 	90 , 	145 , 	133 , 	60 , 	49 , 	14 , 	12 , 	12 , 	4 , 	2 , 	10 , 	2 , 	4 , 	2 , 	5 , 	79 , 	13 , 	3 , 	35 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	1,490 ",,,,,,,,,,,
BK, 	143 , 	218 , 	219 , 	71 , 	52 , 	107 , 	123 , 	202 , 	156 , 	72 , 	109 , 	203 , 	43 , 	39 , 	42 , 	17 , 	52 , 	108 , 	27 , 	33 , 	42 , 	24 , 	15 , 	22 , 	19 , 	296 , 	184 , 	391 , 	283 , 	145 , 	99 , 	52 , 	39 , 	50 , 	9 , 	13 , 	56 , 	7 , 	12 , 	8 , 	12 , 	132 , 	60 , 	17 , 	65 , 	137 , 	-   , 	-   , 	4 , 	9 ," 	4,236 ",,,,,,,,,,,
AS, 	34 , 	49 , 	41 , 	29 , 	97 , 	20 , 	39 , 	102 , 	48 , 	29 , 	56 , 	95 , 	16 , 	17 , 	14 , 	5 , 	11 , 	18 , 	9 , 	5 , 	10 , 	6 , 	2 , 	6 , 	9 , 	101 , 	78 , 	127 , 	126 , 	69 , 	50 , 	17 , 	7 , 	10 , 	4 , 	3 , 	10 , 	2 , 	7 , 	3 , 	2 , 	53 , 	10 , 	4 , 	32 , 	15 , 	-   , 	-   , 	2 , 	4 ," 	1,503 ",,,,,,,,,,,
MA, 	48 , 	66 , 	38 , 	42 , 	114 , 	46 , 	34 , 	87 , 	53 , 	25 , 	71 , 	206 , 	27 , 	32 , 	25 , 	14 , 	13 , 	24 , 	28 , 	19 , 	28 , 	14 , 	12 , 	41 , 	17 , 	189 , 	108 , 	230 , 	217 , 	106 , 	84 , 	21 , 	17 , 	14 , 	6 , 	4 , 	15 , 	9 , 	28 , 	3 , 	9 , 	95 , 	13 , 	4 , 	33 , 	15 , 	-   , 	-   , 	8 , 	18 ," 	2,369 ",,,,,,,,,,,
19, 	38 , 	75 , 	65 , 	70 , 	168 , 	94 , 	74 , 	29 , 	15 , 	26 , 	86 , 	176 , 	63 , 	44 , 	38 , 	21 , 	21 , 	30 , 	45 , 	37 , 	54 , 	28 , 	28 , 	82 , 	29 , 	167 , 	139 , 	262 , 	276 , 	138 , 	97 , 	39 , 	33 , 	32 , 	6 , 	13 , 	40 , 	8 , 	17 , 	5 , 	7 , 	75 , 	20 , 	10 , 	34 , 	32 , 	-   , 	-   , 	5 , 	14 ," 	2,904 ",,,,,,,,,,,
12, 	30 , 	62 , 	46 , 	51 , 	138 , 	52 , 	52 , 	16 , 	32 , 	14 , 	67 , 	175 , 	60 , 	59 , 	41 , 	22 , 	35 , 	41 , 	35 , 	24 , 	34 , 	17 , 	20 , 	59 , 	24 , 	173 , 	131 , 	279 , 	179 , 	86 , 	61 , 	28 , 	38 , 	33 , 	9 , 	11 , 	21 , 	6 , 	22 , 	10 , 	12 , 	84 , 	20 , 	8 , 	30 , 	22 , 	-   , 	-   , 	7 , 	15 ," 	2,492 ",,,,,,,,,,,
LM, 	21 , 	32 , 	29 , 	20 , 	71 , 	32 , 	30 , 	24 , 	15 , 	27 , 	118 , 	290 , 	91 , 	97 , 	37 , 	26 , 	32 , 	42 , 	9 , 	8 , 	10 , 	7 , 	7 , 	12 , 	14 , 	143 , 	123 , 	237 , 	164 , 	93 , 	71 , 	25 , 	27 , 	21 , 	3 , 	46 , 	67 , 	1 , 	8 , 	4 , 	4 , 	28 , 	5 , 	33 , 	37 , 	33 , 	-   , 	-   , 	1 , 	5 ," 	2,277 ",,,,,,,,,,,
FV, 	46 , 	48 , 	28 , 	36 , 	106 , 	53 , 	60 , 	91 , 	58 , 	96 , 	31 , 	367 , 	91 , 	109 , 	69 , 	30 , 	28 , 	47 , 	21 , 	16 , 	14 , 	9 , 	5 , 	20 , 	29 , 	175 , 	131 , 	322 , 	213 , 	98 , 	90 , 	17 , 	21 , 	29 , 	4 , 	30 , 	55 , 	3 , 	19 , 	6 , 	7 , 	45 , 	10 , 	41 , 	17 , 	25 , 	-   , 	-   , 	4 , 	9 ," 	2,882 ",,,,,,,,,,,
CL, 	90 , 	247 , 	130 , 	136 , 	180 , 	100 , 	190 , 	156 , 	172 , 	238 , 	337 , 	49 , 	447 , 	378 , 	268 , 	145 , 	243 , 	407 , 	128 , 	163 , 	153 , 	97 , 	119 , 	103 , 	61 , 	270 , 	164 , 	410 , 	221 , 	97 , 	101 , 	74 , 	84 , 	188 , 	29 , 	212 , 	885 , 	63 , 	86 , 	25 , 	46 , 	41 , 	76 , 	314 , 	140 , 	384 , 	-   , 	-   , 	13 , 	69 ," 	8,730 ",,,,,,,,,,,
SL, 	13 , 	18 , 	12 , 	15 , 	44 , 	15 , 	26 , 	68 , 	58 , 	108 , 	96 , 	431 , 	13 , 	70 , 	40 , 	24 , 	31 , 	38 , 	8 , 	9 , 	7 , 	4 , 	2 , 	14 , 	13 , 	118 , 	97 , 	212 , 	104 , 	38 , 	24 , 	18 , 	12 , 	21 , 	5 , 	16 , 	29 , 	2 , 	5 , 	4 , 	3 , 	34 , 	5 , 	26 , 	8 , 	15 , 	-   , 	-   , 	2 , 	4 ," 	1,980 ",,,,,,,,,,,
BF, 	9 , 	24 , 	8 , 	11 , 	42 , 	16 , 	38 , 	53 , 	62 , 	97 , 	112 , 	378 , 	69 , 	12 , 	50 , 	32 , 	27 , 	54 , 	10 , 	4 , 	6 , 	4 , 	3 , 	8 , 	14 , 	111 , 	84 , 	204 , 	87 , 	36 , 	24 , 	15 , 	20 , 	21 , 	4 , 	30 , 	61 , 	1 , 	10 , 	2 , 	6 , 	24 , 	4 , 	46 , 	9 , 	23 , 	-   , 	-   , 	2 , 	7 ," 	1,970 ",,,,,,,,,,,
HY, 	12 , 	26 , 	10 , 	9 , 	35 , 	13 , 	27 , 	45 , 	42 , 	40 , 	71 , 	247 , 	44 , 	55 , 	12 , 	32 , 	37 , 	83 , 	6 , 	4 , 	7 , 	4 , 	2 , 	4 , 	10 , 	69 , 	45 , 	103 , 	53 , 	20 , 	16 , 	7 , 	8 , 	10 , 	2 , 	12 , 	18 , 	1 , 	7 , 	0 , 	3 , 	17 , 	3 , 	21 , 	9 , 	22 , 	-   , 	-   , 	3 , 	5 ," 	1,327 ",,,,,,,,,,,
SH, 	6 , 	7 , 	4 , 	4 , 	16 , 	6 , 	10 , 	24 , 	20 , 	24 , 	28 , 	129 , 	23 , 	34 , 	35 , 	9 , 	16 , 	36 , 	7 , 	2 , 	3 , 	1 , 	1 , 	4 , 	5 , 	59 , 	33 , 	71 , 	47 , 	14 , 	15 , 	4 , 	7 , 	10 , 	2 , 	8 , 	13 , 	1 , 	5 , 	1 , 	5 , 	6 , 	1 , 	11 , 	7 , 	15 , 	-   , 	-   , 	2 , 	3 , 	794 ,,,,,,,,,,,
