Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Oct 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	160 , 	129 , 	95 , 	477 , 	127 , 	164 , 	158 , 	241 , 	75 , 	134 , 	96 , 	51 , 	44 , 	52 , 	28 , 	19 , 	37 , 	39 , 	26 , 	34 , 	10 , 	11 , 	28 , 	29 , 	216 , 	237 , 	313 , 	234 , 	119 , 	167 , 	30 , 	54 , 	68 , 	29 , 	8 , 	21 , 	7 , 	27 ," 	3,800 ",,,Eastbay," 	76,986 ",,SF CBD," 	194,002 ",63.9%,,,
EN, 	167 , 	12 , 	92 , 	87 , 	969 , 	139 , 	198 , 	385 , 	606 , 	112 , 	127 , 	137 , 	55 , 	40 , 	64 , 	27 , 	42 , 	63 , 	49 , 	29 , 	32 , 	14 , 	12 , 	24 , 	37 , 	740 , 	823 , 	679 , 	604 , 	100 , 	152 , 	60 , 	84 , 	160 , 	58 , 	8 , 	31 , 	8 , 	20 ," 	7,047 ",,,Westbay," 	79,164 ",,non-CBD," 	109,795 ",36.1%,,,
EP, 	154 , 	52 , 	15 , 	30 , 	731 , 	54 , 	121 , 	136 , 	311 , 	77 , 	63 , 	51 , 	25 , 	11 , 	32 , 	7 , 	21 , 	32 , 	20 , 	26 , 	19 , 	11 , 	6 , 	21 , 	7 , 	490 , 	360 , 	365 , 	230 , 	55 , 	31 , 	36 , 	22 , 	69 , 	12 , 	20 , 	17 , 	5 , 	16 ," 	3,764 ",,,Transbay," 	147,646 ",,,,,,,
NB, 	388 , 	46 , 	42 , 	3 , 	357 , 	31 , 	72 , 	113 , 	390 , 	46 , 	38 , 	58 , 	11 , 	9 , 	15 , 	4 , 	8 , 	23 , 	12 , 	11 , 	12 , 	5 , 	11 , 	11 , 	10 , 	333 , 	362 , 	227 , 	267 , 	53 , 	39 , 	19 , 	22 , 	57 , 	10 , 	2 , 	10 , 	1 , 	5 ," 	3,129 ",,,,,,,,,,,
BK, 	445 ," 	1,108 ", 	733 , 	244 , 	20 , 	427 , 	377 , 	500 , 	681 , 	297 , 	313 , 	288 , 	185 , 	151 , 	163 , 	115 , 	159 , 	300 , 	122 , 	177 , 	141 , 	74 , 	63 , 	43 , 	65 , 	656 , 	670 , 	774 , 	760 , 	244 , 	265 , 	143 , 	127 , 	228 , 	92 , 	46 , 	122 , 	41 , 	91 ," 	11,449 ",,,Extensions," 	40,513 ",,,,,,,
AS, 	113 , 	140 , 	69 , 	51 , 	372 , 	8 , 	67 , 	163 , 	227 , 	99 , 	105 , 	105 , 	40 , 	43 , 	45 , 	19 , 	26 , 	53 , 	31 , 	19 , 	24 , 	7 , 	10 , 	13 , 	33 , 	408 , 	477 , 	330 , 	335 , 	94 , 	93 , 	32 , 	36 , 	74 , 	18 , 	8 , 	27 , 	3 , 	21 ," 	3,839 ",,,,,,,,,,,
MA, 	7 , 	7 , 	4 , 	4 , 	2 , 	2 , 	3 , 	5 , 	-   , 	-   , 	226 , 	248 , 	105 , 	209 , 	533 , 	184 , 	39 , 	191 , 	6 , 	4 , 	5 , 	1 , 	2 , 	2 , 	1 ," 	1,010 ", 	920 , 	701 , 	665 , 	204 , 	161 , 	68 , 	81 , 	145 , 	2 , 	-   , 	-   , 	-   , 	-   ," 	5,748 ",,,,,,,,,,,
19, 	156 , 	439 , 	174 , 	171 , 	446 , 	169 , 	122 , 	11 , 	74 , 	41 , 	116 , 	168 , 	170 , 	166 , 	177 , 	141 , 	179 , 	285 , 	218 , 	298 , 	213 , 	112 , 	75 , 	107 , 	37 , 	641 , 	643 , 	491 , 	537 , 	133 , 	153 , 	119 , 	113 , 	165 , 	147 , 	37 , 	139 , 	104 , 	205 ," 	7,894 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	228 , 	677 , 	280 , 	257 , 	620 , 	232 , 	198 , 	73 , 	38 , 	71 , 	228 , 	341 , 	341 , 	351 , 	315 , 	200 , 	230 , 	362 , 	298 , 	377 , 	285 , 	172 , 	142 , 	186 , 	65 , 	845 , 	886 , 	966 , 	770 , 	199 , 	222 , 	152 , 	167 , 	241 , 	192 , 	59 , 	224 , 	102 , 	267 ," 	11,857 ",,,Dtwn SF," 	3,928 "," 	13,263 "," 	33,011 "," 	11,046 "," 	17,624 "," 	21,119 "," 	99,991 ",
LM, 	62 , 	121 , 	98 , 	83 , 	269 , 	109 , 	83 , 	40 , 	72 , 	8 , 	195 , 	229 , 	242 , 	200 , 	154 , 	107 , 	127 , 	147 , 	32 , 	20 , 	24 , 	11 , 	14 , 	34 , 	37 , 	470 , 	485 , 	439 , 	355 , 	93 , 	83 , 	46 , 	67 , 	114 , 	30 , 	89 , 	225 , 	13 , 	27 ," 	5,051 ",,,OAK," 	14,006 "," 	1,170 "," 	3,411 "," 	4,815 "," 	3,437 "," 	8,066 "," 	34,906 ",
FV, 	113 , 	137 , 	56 , 	68 , 	308 , 	102 , 	153 , 	141 , 	262 , 	180 , 	13 , 	258 , 	258 , 	256 , 	270 , 	120 , 	106 , 	154 , 	50 , 	30 , 	38 , 	27 , 	37 , 	57 , 	99 , 	560 , 	653 , 	637 , 	537 , 	162 , 	194 , 	56 , 	88 , 	136 , 	36 , 	59 , 	165 , 	10 , 	43 ," 	6,628 ",,,CM line," 	32,866 "," 	3,399 "," 	9,358 "," 	2,910 "," 	2,309 "," 	3,045 "," 	53,887 ",
CL, 	93 , 	168 , 	75 , 	83 , 	321 , 	121 , 	181 , 	204 , 	394 , 	201 , 	270 , 	10 , 	137 , 	183 , 	231 , 	112 , 	107 , 	140 , 	70 , 	70 , 	70 , 	35 , 	30 , 	77 , 	96 , 	563 , 	517 , 	510 , 	420 , 	118 , 	122 , 	66 , 	65 , 	103 , 	48 , 	54 , 	180 , 	24 , 	68 ," 	6,336 ",,,RM line," 	10,892 "," 	5,795 "," 	2,951 "," 	8,096 "," 	1,443 "," 	3,850 "," 	33,027 ",
SL, 	165 , 	126 , 	25 , 	21 , 	180 , 	48 , 	98 , 	181 , 	253 , 	173 , 	264 , 	139 , 	7 , 	126 , 	208 , 	97 , 	79 , 	117 , 	40 , 	18 , 	24 , 	6 , 	8 , 	15 , 	22 , 	569 , 	594 , 	398 , 	362 , 	55 , 	73 , 	30 , 	55 , 	57 , 	29 , 	35 , 	93 , 	12 , 	31 ," 	4,834 ",,,WP line," 	18,060 "," 	4,113 "," 	2,360 "," 	1,527 "," 	6,695 "," 	1,569 "," 	34,324 ",
BF, 	40 , 	41 , 	15 , 	12 , 	151 , 	40 , 	85 , 	179 , 	347 , 	214 , 	254 , 	183 , 	122 , 	8 , 	161 , 	125 , 	138 , 	239 , 	30 , 	18 , 	18 , 	5 , 	5 , 	13 , 	34 , 	487 , 	522 , 	350 , 	285 , 	54 , 	58 , 	27 , 	31 , 	75 , 	24 , 	46 , 	250 , 	3 , 	15 ," 	4,704 ",,,FT/ED line," 	18,186 "," 	7,220 "," 	3,064 "," 	4,529 "," 	1,589 "," 	13,073 "," 	47,660 ",
HY, 	122 , 	98 , 	34 , 	27 , 	157 , 	50 , 	90 , 	193 , 	261 , 	124 , 	302 , 	245 , 	222 , 	169 , 	9 , 	149 , 	251 , 	409 , 	30 , 	26 , 	17 , 	6 , 	8 , 	16 , 	35 , 	391 , 	325 , 	262 , 	231 , 	50 , 	53 , 	29 , 	31 , 	37 , 	20 , 	23 , 	97 , 	11 , 	33 ," 	4,642 ",,,Entries," 	97,938 "," 	34,959 "," 	54,157 "," 	32,924 "," 	33,097 "," 	50,722 "," 	303,796 ",
SH, 	58 , 	86 , 	7 , 	7 , 	133 , 	77 , 	37 , 	110 , 	229 , 	114 , 	187 , 	153 , 	84 , 	108 , 	182 , 	49 , 	87 , 	165 , 	15 , 	16 , 	17 , 	2 , 	4 , 	10 , 	26 , 	220 , 	208 , 	168 , 	152 , 	28 , 	32 , 	10 , 	13 , 	39 , 	11 , 	16 , 	44 , 	2 , 	13 ," 	2,920 ",,,,,,,,,,,
UC, 	19 , 	42 , 	16 , 	13 , 	157 , 	30 , 	60 , 	178 , 	251 , 	135 , 	121 , 	118 , 	87 , 	143 , 	265 , 	101 , 	11 , 	209 , 	21 , 	27 , 	16 , 	5 , 	7 , 	13 , 	18 , 	537 , 	444 , 	289 , 	238 , 	31 , 	30 , 	18 , 	28 , 	56 , 	14 , 	17 , 	52 , 	6 , 	21 ," 	3,844 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	36 , 	79 , 	40 , 	35 , 	331 , 	54 , 	98 , 	292 , 	384 , 	155 , 	159 , 	149 , 	117 , 	259 , 	409 , 	194 , 	205 , 	24 , 	28 , 	29 , 	21 , 	6 , 	12 , 	25 , 	16 , 	773 , 	744 , 	440 , 	324 , 	47 , 	43 , 	22 , 	27 , 	78 , 	21 , 	24 , 	79 , 	6 , 	37 ," 	5,823 ",,,Dtwn SF," 	3,928 ",,,,,,,
