Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Oct 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	6 , 	109 , 	92 , 	49 , 	264 , 	99 , 	72 , 	45 , 	85 , 	20 , 	104 , 	58 , 	22 , 	21 , 	20 , 	10 , 	9 , 	18 , 	17 , 	7 , 	12 , 	4 , 	8 , 	14 , 	17 , 	102 , 	73 , 	214 , 	107 , 	93 , 	149 , 	16 , 	32 , 	26 , 	24 , 	4 , 	10 , 	4 , 	19 ," 	2,055 ",,,Eastbay," 	36,229 ",,SF CBD," 	99,359 ",64.7%,,
EN, 	112 , 	18 , 	70 , 	65 , 	589 , 	108 , 	93 , 	80 , 	162 , 	33 , 	100 , 	83 , 	36 , 	37 , 	33 , 	22 , 	24 , 	46 , 	30 , 	12 , 	14 , 	5 , 	7 , 	14 , 	25 , 	288 , 	221 , 	551 , 	267 , 	77 , 	119 , 	32 , 	47 , 	56 , 	41 , 	6 , 	19 , 	6 , 	19 ," 	3,567 ",,,Westbay," 	41,333 ",,non-CBD," 	54,253 ",35.3%,,
EP, 	95 , 	50 , 	12 , 	28 , 	459 , 	70 , 	44 , 	38 , 	81 , 	23 , 	45 , 	28 , 	12 , 	10 , 	15 , 	5 , 	10 , 	22 , 	9 , 	7 , 	12 , 	6 , 	3 , 	17 , 	3 , 	195 , 	127 , 	331 , 	231 , 	35 , 	33 , 	10 , 	9 , 	18 , 	9 , 	5 , 	5 , 	3 , 	8 ," 	2,126 ",,,Transbay," 	76,050 ",,,,,,
NB, 	227 , 	43 , 	26 , 	7 , 	336 , 	32 , 	31 , 	29 , 	139 , 	22 , 	35 , 	37 , 	12 , 	16 , 	10 , 	4 , 	5 , 	13 , 	7 , 	9 , 	9 , 	3 , 	4 , 	15 , 	10 , 	198 , 	157 , 	327 , 	346 , 	51 , 	47 , 	20 , 	8 , 	12 , 	11 , 	3 , 	5 , 	1 , 	4 ," 	2,274 ",,,,,,,,,,
BK, 	283 , 	587 , 	448 , 	164 , 	26 , 	323 , 	238 , 	229 , 	340 , 	147 , 	248 , 	160 , 	104 , 	94 , 	92 , 	48 , 	87 , 	228 , 	78 , 	103 , 	117 , 	67 , 	66 , 	54 , 	42 , 	583 , 	424 ," 	1,297 ", 	681 , 	155 , 	172 , 	100 , 	52 , 	139 , 	79 , 	30 , 	143 , 	20 , 	45 ," 	8,287 ",,,Extensions," 	18,598 ",,,,,,
AS, 	96 , 	111 , 	72 , 	41 , 	254 , 	7 , 	66 , 	83 , 	126 , 	54 , 	79 , 	72 , 	24 , 	31 , 	23 , 	13 , 	15 , 	26 , 	12 , 	7 , 	14 , 	6 , 	5 , 	11 , 	33 , 	165 , 	159 , 	338 , 	342 , 	95 , 	76 , 	17 , 	18 , 	20 , 	10 , 	4 , 	15 , 	2 , 	8 ," 	2,548 ",,,,,,,,,,
MA, 	38 , 	33 , 	12 , 	17 , 	15 , 	5 , 	8 , 	15 , 	-   , 	-   , 	92 , 	133 , 	45 , 	81 , 	307 , 	108 , 	20 , 	59 , 	27 , 	9 , 	10 , 	4 , 	3 , 	11 , 	15 , 	447 , 	303 , 	655 , 	340 , 	140 , 	135 , 	31 , 	34 , 	25 , 	9 , 	-   , 	-   , 	-   , 	-   ," 	3,188 ",,,,,,,,,,
19, 	47 , 	80 , 	35 , 	44 , 	226 , 	88 , 	45 , 	24 , 	24 , 	16 , 	70 , 	69 , 	38 , 	45 , 	39 , 	20 , 	36 , 	38 , 	35 , 	22 , 	37 , 	12 , 	15 , 	47 , 	23 , 	152 , 	138 , 	337 , 	258 , 	75 , 	68 , 	20 , 	28 , 	35 , 	20 , 	7 , 	15 , 	10 , 	39 ," 	2,377 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	70 , 	153 , 	94 , 	75 , 	313 , 	118 , 	72 , 	26 , 	11 , 	21 , 	97 , 	108 , 	93 , 	100 , 	80 , 	38 , 	55 , 	87 , 	61 , 	51 , 	62 , 	34 , 	33 , 	58 , 	42 , 	253 , 	290 , 	713 , 	306 , 	112 , 	68 , 	47 , 	59 , 	65 , 	54 , 	7 , 	33 , 	11 , 	60 ," 	4,028 ",,,Dtwn SF," 	1,970 "," 	6,664 "," 	17,080 "," 	8,467 "," 	7,376 "," 	10,859 "," 	52,416 "
LM, 	16 , 	41 , 	20 , 	29 , 	130 , 	40 , 	32 , 	15 , 	18 , 	6 , 	79 , 	72 , 	116 , 	107 , 	42 , 	27 , 	51 , 	54 , 	13 , 	10 , 	8 , 	7 , 	5 , 	16 , 	21 , 	178 , 	150 , 	412 , 	209 , 	67 , 	54 , 	28 , 	38 , 	18 , 	16 , 	40 , 	58 , 	6 , 	9 ," 	2,252 ",,,OAK," 	6,618 ", 	556 ," 	1,438 "," 	1,879 ", 	760 ," 	2,781 "," 	14,032 "
FV, 	90 , 	96 , 	52 , 	46 , 	235 , 	90 , 	86 , 	74 , 	112 , 	74 , 	14 , 	139 , 	147 , 	234 , 	157 , 	62 , 	60 , 	80 , 	42 , 	23 , 	24 , 	12 , 	19 , 	29 , 	62 , 	265 , 	210 , 	580 , 	271 , 	115 , 	193 , 	25 , 	53 , 	46 , 	28 , 	39 , 	85 , 	6 , 	33 ," 	4,004 ",,,CM line," 	16,689 "," 	1,385 "," 	5,594 "," 	1,917 "," 	1,148 "," 	1,728 "," 	28,462 "
CL, 	57 , 	88 , 	32 , 	34 , 	177 , 	70 , 	79 , 	77 , 	146 , 	68 , 	146 , 	11 , 	68 , 	123 , 	108 , 	57 , 	42 , 	60 , 	35 , 	23 , 	19 , 	10 , 	7 , 	25 , 	49 , 	221 , 	147 , 	393 , 	197 , 	73 , 	104 , 	39 , 	45 , 	40 , 	32 , 	19 , 	57 , 	6 , 	52 ," 	3,037 ",,,RM line," 	7,724 "," 	2,410 "," 	1,907 "," 	5,377 ", 	925 ," 	2,515 "," 	20,856 "
