Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Oct 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	33 , 	38 , 	9 , 	15 , 	43 , 	23 , 	32 , 	25 , 	59 , 	55 , 	125 , 	342 , 	10 , 	83 , 	67 , 	29 , 	26 , 	40 , 	11 , 	5 , 	7 , 	3 , 	2 , 	8 , 	8 , 	148 , 	101 , 	222 , 	104 , 	23 , 	34 , 	17 , 	23 , 	15 , 	15 , 	19 , 	42 , 	2 , 	13 ," 	1,871 ",,,WP line," 	5,345 ", 	619 ," 	1,020 ", 	479 ," 	2,084 "," 	1,434 "," 	10,981 "
BF, 	19 , 	22 , 	7 , 	9 , 	39 , 	23 , 	30 , 	31 , 	76 , 	62 , 	201 , 	400 , 	86 , 	10 , 	79 , 	66 , 	59 , 	88 , 	9 , 	5 , 	4 , 	2 , 	2 , 	6 , 	18 , 	118 , 	69 , 	190 , 	80 , 	18 , 	23 , 	8 , 	19 , 	20 , 	12 , 	30 , 	73 , 	2 , 	12 ," 	2,024 ",,,FT/ED line," 	8,199 "," 	2,266 "," 	1,735 "," 	2,486 "," 	1,641 "," 	9,586 "," 	25,912 "
HY, 	18 , 	20 , 	7 , 	9 , 	39 , 	15 , 	31 , 	32 , 	50 , 	28 , 	109 , 	222 , 	73 , 	78 , 	11 , 	55 , 	62 , 	107 , 	9 , 	4 , 	8 , 	2 , 	1 , 	3 , 	9 , 	81 , 	36 , 	116 , 	45 , 	16 , 	23 , 	6 , 	12 , 	10 , 	11 , 	9 , 	34 , 	2 , 	18 ," 	1,414 ",,,Entries," 	35,505 "," 	10,214 "," 	19,926 "," 	12,605 "," 	10,932 "," 	25,392 "," 	114,575 "
SH, 	37 , 	43 , 	5 , 	2 , 	31 , 	14 , 	5 , 	8 , 	25 , 	24 , 	109 , 	182 , 	20 , 	37 , 	75 , 	37 , 	19 , 	34 , 	3 , 	5 , 	3 , 	0 , 	1 , 	4 , 	2 , 	18 , 	14 , 	49 , 	18 , 	4 , 	7 , 	6 , 	5 , 	10 , 	5 , 	3 , 	8 , 	1 , 	5 , 	882 ,,,,,,,,,,
UC, 	8 , 	17 , 	7 , 	6 , 	28 , 	15 , 	15 , 	13 , 	35 , 	42 , 	55 , 	206 , 	31 , 	63 , 	74 , 	44 , 	10 , 	69 , 	10 , 	5 , 	4 , 	3 , 	1 , 	4 , 	6 , 	135 , 	62 , 	157 , 	62 , 	11 , 	13 , 	8 , 	11 , 	13 , 	10 , 	5 , 	21 , 	2 , 	10 ," 	1,286 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	21 , 	44 , 	21 , 	20 , 	151 , 	26 , 	32 , 	36 , 	86 , 	84 , 	87 , 	219 , 	54 , 	114 , 	120 , 	60 , 	78 , 	31 , 	19 , 	15 , 	19 , 	6 , 	4 , 	14 , 	8 , 	389 , 	185 , 	375 , 	155 , 	26 , 	33 , 	13 , 	24 , 	31 , 	17 , 	11 , 	37 , 	4 , 	31 ," 	2,704 ",,,Dtwn SF," 	1,174 ",,,,,,
CN, 	22 , 	16 , 	8 , 	6 , 	23 , 	11 , 	23 , 	23 , 	46 , 	5 , 	24 , 	117 , 	9 , 	8 , 	6 , 	8 , 	9 , 	15 , 	11 , 	57 , 	241 , 	47 , 	29 , 	26 , 	2 , 	174 , 	78 , 	164 , 	100 , 	30 , 	50 , 	12 , 	26 , 	24 , 	41 , 	3 , 	7 , 	14 , 	144 ," 	1,656 ",,,OAK," 	9,255 ", 	374 ,,,,,
PH, 	5 , 	8 , 	5 , 	6 , 	31 , 	6 , 	13 , 	12 , 	39 , 	8 , 	11 , 	141 , 	3 , 	5 , 	4 , 	2 , 	3 , 	15 , 	62 , 	8 , 	44 , 	13 , 	9 , 	37 , 	2 , 	272 , 	139 , 	228 , 	127 , 	21 , 	18 , 	16 , 	25 , 	24 , 	30 , 	1 , 	3 , 	4 , 	28 ," 	1,432 ",,,CM line," 	22,745 "," 	1,928 "," 	3,743 ",,,,
WC, 	5 , 	9 , 	7 , 	8 , 	46 , 	9 , 	21 , 	24 , 	42 , 	8 , 	14 , 	141 , 	7 , 	4 , 	7 , 	3 , 	5 , 	17 , 	290 , 	44 , 	11 , 	38 , 	15 , 	47 , 	2 , 	304 , 	156 , 	289 , 	145 , 	15 , 	25 , 	16 , 	15 , 	21 , 	33 , 	2 , 	3 , 	18 , 	56 ," 	1,917 ",,,RM line," 	9,001 "," 	2,699 "," 	2,362 "," 	2,822 ",,,
LF, 	3 , 	4 , 	4 , 	2 , 	28 , 	4 , 	11 , 	18 , 	23 , 	4 , 	16 , 	124 , 	2 , 	2 , 	1 , 	0 , 	3 , 	2 , 	46 , 	17 , 	32 , 	6 , 	7 , 	26 , 	2 , 	216 , 	115 , 	171 , 	110 , 	8 , 	13 , 	7 , 	9 , 	9 , 	13 , 	1 , 	2 , 	4 , 	9 ," 	1,070 ",,,WP line," 	10,716 "," 	1,094 "," 	1,957 ", 	903 ," 	2,084 ",,
OR, 	3 , 	2 , 	5 , 	4 , 	26 , 	4 , 	11 , 	9 , 	14 , 	5 , 	16 , 	106 , 	2 , 	2 , 	3 , 	2 , 	2 , 	5 , 	27 , 	9 , 	12 , 	5 , 	6 , 	24 , 	1 , 	227 , 	117 , 	153 , 	96 , 	10 , 	9 , 	7 , 	11 , 	10 , 	8 , 	1 , 	2 , 	2 , 	6 , 	960 ,,,FT/ED line," 	16,466 "," 	4,365 "," 	3,413 "," 	4,813 "," 	3,075 "," 	9,586 "," 	114,575 "
RR, 	12 , 	12 , 	7 , 	11 , 	25 , 	11 , 	20 , 	27 , 	46 , 	16 , 	38 , 	128 , 	12 , 	6 , 	5 , 	3 , 	6 , 	13 , 	28 , 	27 , 	47 , 	30 , 	25 , 	7 , 	7 , 	300 , 	228 , 	490 , 	258 , 	62 , 	57 , 	25 , 	17 , 	18 , 	20 , 	2 , 	4 , 	4 , 	12 ," 	2,060 ",,,,,,,,,,
OW, 	14 , 	16 , 	4 , 	7 , 	23 , 	20 , 	25 , 	11 , 	31 , 	16 , 	62 , 	51 , 	13 , 	14 , 	9 , 	2 , 	3 , 	6 , 	5 , 	3 , 	4 , 	2 , 	0 , 	7 , 	3 , 	275 , 	170 , 	390 , 	142 , 	49 , 	35 , 	15 , 	15 , 	9 , 	6 , 	3 , 	7 , 	1 , 	9 ," 	1,474 ",,,,,,,,,,
EM, 	89 , 	271 , 	161 , 	226 , 	356 , 	164 , 	264 , 	163 , 	285 , 	174 , 	235 , 	499 , 	189 , 	160 , 	93 , 	65 , 	158 , 	403 , 	210 , 	323 , 	378 , 	270 , 	290 , 	411 , 	319 , 	42 , 	27 , 	128 , 	84 , 	238 , 	361 , 	211 , 	237 , 	314 , 	263 , 	166 , 	736 , 	93 , 	180 ," 	9,227 ",,,,,,,,,,
MT, 	81 , 	159 , 	92 , 	135 , 	229 , 	102 , 	165 , 	120 , 	241 , 	136 , 	150 , 	234 , 	90 , 	78 , 	44 , 	34 , 	66 , 	147 , 	69 , 	122 , 	149 , 	97 , 	98 , 	176 , 	168 , 	38 , 	29 , 	64 , 	48 , 	297 , 	380 , 	352 , 	934 , 	185 , 	161 , 	52 , 	221 , 	32 , 	81 ," 	6,050 ",,,,,,,,,,
PL, 	115 , 	292 , 	192 , 	296 , 	534 , 	245 , 	437 , 	229 , 	449 , 	281 , 	397 , 	523 , 	219 , 	161 , 	108 , 	79 , 	142 , 	289 , 	171 , 	223 , 	281 , 	172 , 	158 , 	425 , 	417 , 	111 , 	47 , 	112 , 	145 , 	835 ," 	1,272 ", 	704 ," 	1,134 ", 	672 , 	524 , 	114 , 	475 , 	62 , 	185 ," 	13,229 ",,,,,,,,,,
CC, 	55 , 	109 , 	83 , 	124 , 	239 , 	107 , 	177 , 	106 , 	167 , 	92 ," 	1,153 ", 	212 , 	68 , 	69 , 	31 , 	28 , 	42 , 	101 , 	68 , 	102 , 	112 , 	78 , 	87 , 	190 , 	121 , 	63 , 	35 , 	140 , 	62 , 	447 , 	563 , 	240 , 	449 , 	240 , 	240 , 	55 , 	184 , 	23 , 	59 ," 	6,520 ",,,,,,,,,,
16, 	49 , 	48 , 	23 , 	40 , 	110 , 	59 , 	81 , 	42 , 	68 , 	47 , 	108 , 	101 , 	26 , 	18 , 	17 , 	13 , 	11 , 	22 , 	32 , 	18 , 	14 , 	10 , 	12 , 	59 , 	51 , 	207 , 	228 , 	895 , 	494 , 	43 , 	167 , 	119 , 	238 , 	146 , 	110 , 	11 , 	32 , 	4 , 	28 ," 	3,796 ",,,,,,,,,,
24, 	80 , 	59 , 	19 , 	36 , 	86 , 	51 , 	74 , 	37 , 	57 , 	50 , 	123 , 	126 , 	38 , 	23 , 	25 , 	19 , 	12 , 	21 , 	47 , 	17 , 	24 , 	9 , 	8 , 	51 , 	38 , 	272 , 	290 ," 	1,314 ", 	678 , 	138 , 	48 , 	112 , 	268 , 	161 , 	174 , 	10 , 	37 , 	8 , 	50 ," 	4,685 ",,,,,,,,,,
GP, 	15 , 	21 , 	10 , 	10 , 	34 , 	18 , 	23 , 	12 , 	28 , 	19 , 	33 , 	79 , 	11 , 	9 , 	5 , 	5 , 	5 , 	18 , 	17 , 	13 , 	12 , 	6 , 	5 , 	18 , 	19 , 	177 , 	177 , 	914 , 	238 , 	117 , 	117 , 	21 , 	45 , 	31 , 	50 , 	4 , 	16 , 	2 , 	22 ," 	2,371 ",,,,,,,,,,
BP, 	26 , 	37 , 	12 , 	9 , 	22 , 	10 , 	25 , 	14 , 	44 , 	25 , 	41 , 	49 , 	25 , 	15 , 	10 , 	6 , 	11 , 	23 , 	22 , 	23 , 	17 , 	8 , 	10 , 	14 , 	19 , 	220 , 	302 ," 	1,958 ", 	454 , 	235 , 	263 , 	51 , 	41 , 	39 , 	90 , 	5 , 	36 , 	9 , 	40 ," 	4,251 ",,,,,,,,,,
DC, 	20 , 	26 , 	14 , 	10 , 	59 , 	11 , 	20 , 	15 , 	39 , 	17 , 	40 , 	102 , 	19 , 	21 , 	11 , 	6 , 	11 , 	21 , 	27 , 	18 , 	20 , 	12 , 	8 , 	13 , 	13 , 	265 , 	157 , 	703 , 	265 , 	122 , 	175 , 	41 , 	45 , 	14 , 	49 , 	10 , 	38 , 	5 , 	34 ," 	2,492 ",,,,,,,,,,
CM, 	23 , 	31 , 	6 , 	11 , 	42 , 	13 , 	15 , 	19 , 	39 , 	12 , 	35 , 	72 , 	16 , 	12 , 	7 , 	5 , 	9 , 	17 , 	37 , 	24 , 	26 , 	9 , 	7 , 	19 , 	7 , 	259 , 	157 , 	606 , 	267 , 	115 , 	166 , 	61 , 	89 , 	36 , 	10 , 	5 , 	32 , 	10 , 	48 ," 	2,370 ",,,,,,,,,,
CV, 	4 , 	4 , 	1 , 	1 , 	13 , 	3 , 	3 , 	3 , 	10 , 	25 , 	28 , 	179 , 	24 , 	34 , 	8 , 	6 , 	5 , 	9 , 	2 , 	1 , 	2 , 	1 , 	0 , 	4 , 	2 , 	151 , 	65 , 	128 , 	74 , 	14 , 	8 , 	5 , 	5 , 	11 , 	4 , 	7 , 	47 , 	1 , 	3 , 	898 ,,,,,,,,,,
ED, 	12 , 	12 , 	5 , 	8 , 	53 , 	7 , 	17 , 	9 , 	26 , 	57 , 	73 , 	424 , 	49 , 	113 , 	34 , 	28 , 	22 , 	39 , 	8 , 	5 , 	4 , 	1 , 	2 , 	7 , 	8 , 	893 , 	331 , 	621 , 	276 , 	29 , 	41 , 	20 , 	40 , 	42 , 	39 , 	61 , 	21 , 	1 , 	8 ," 	3,447 ",,,,,,,,,,
NC, 	2 , 	2 , 	2 , 	1 , 	4 , 	2 , 	4 , 	3 , 	10 , 	1 , 	5 , 	65 , 	3 , 	2 , 	2 , 	3 , 	1 , 	3 , 	13 , 	5 , 	16 , 	4 , 	2 , 	6 , 	1 , 	75 , 	43 , 	60 , 	28 , 	3 , 	6 , 	4 , 	9 , 	5 , 	9 , 	1 , 	0 , 	4 , 	20 , 	424 ,,,,,,,,,,
WP, 	22 , 	21 , 	4 , 	3 , 	15 , 	10 , 	43 , 	20 , 	37 , 	10 , 	28 , 	124 , 	9 , 	14 , 	19 , 	10 , 	10 , 	26 , 	151 , 	34 , 	55 , 	8 , 	7 , 	18 , 	9 , 	147 , 	79 , 	183 , 	75 , 	26 , 	48 , 	21 , 	49 , 	36 , 	54 , 	3 , 	5 , 	18 , 	17 ," 	1,463 ",,,,,,,,,,
Entries," 	1,592 "," 	2,376 "," 	1,416 "," 	1,535 "," 	3,940 "," 	1,748 "," 	2,325 "," 	1,580 "," 	2,935 "," 	1,853 "," 	4,473 "," 	6,938 "," 	1,974 "," 	2,160 "," 	1,551 ", 	998 ," 	1,284 "," 	2,368 "," 	1,718 "," 	1,431 "," 	1,885 "," 	1,081 "," 	1,002 "," 	1,948 "," 	1,521 "," 	7,869 "," 	5,153 "," 	15,571 "," 	6,910 "," 	3,786 "," 	4,757 "," 	2,410 "," 	4,109 "," 	2,554 "," 	2,310 ", 	928 ," 	2,718 ", 	439 ," 	1,427 "," 	114,575 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
