Total Trip OD																																																			
																																																			
2024 / 09																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	810	"2,010"	"1,759"	945	"7,687"	"1,455"	"2,115"	"1,714"	"1,996"	622	"1,754"	"1,534"	532	371	608	229	209	234	488	155	453	315	179	367	560	"5,202"	"3,963"	"6,272"	"4,086"	"2,716"	"3,207"	645	"1,165"	"2,033"	349	58	200	72	238	219	480	"1,547"	379	74	220	236	124	382	196	360	"63,524"
EN	"2,239"	520	"1,730"	"1,356"	"11,116"	"2,112"	"3,050"	"3,379"	"4,687"	"1,154"	"2,382"	"2,505"	920	626	986	319	391	433	698	273	536	279	254	519	614	"9,839"	"7,932"	"10,688"	"7,676"	"3,428"	"2,793"	889	"1,212"	"2,842"	310	136	262	69	226	345	538	"1,926"	704	155	664	463	111	214	422	635	"97,557"
EP	"2,009"	"1,423"	294	878	"8,814"	"1,378"	"1,682"	"2,202"	"2,706"	880	877	"1,420"	379	250	272	113	174	243	225	219	308	197	139	381	176	"6,055"	"5,109"	"3,932"	"4,095"	"1,476"	"1,055"	452	491	785	56	87	123	64	97	140	199	"1,323"	323	89	406	188	32	104	196	300	"54,816"
NB	942	"1,194"	959	233	"2,421"	741	"1,105"	"2,062"	"2,093"	583	"1,044"	"1,273"	457	297	338	92	195	276	292	267	339	154	148	296	198	"7,120"	"5,333"	"3,425"	"4,542"	"2,013"	"1,265"	487	425	422	80	67	133	38	105	59	121	"1,821"	312	57	516	137	20	85	230	316	"47,128"
BK	"8,649"	"11,589"	"9,310"	"2,777"	"1,157"	"4,529"	"5,112"	"6,820"	"6,528"	"2,666"	"4,537"	"3,273"	"2,375"	"1,762"	"1,841"	"1,129"	"1,997"	"2,041"	"1,504"	"1,368"	"1,690"	942	603	453	"1,318"	"13,671"	"9,556"	"10,059"	"9,328"	"5,104"	"4,202"	"2,077"	"1,690"	"1,984"	488	606	"1,500"	275	976	511	560	"3,748"	"1,937"	521	"1,544"	988	216	738	"2,317"	"3,257"	"163,823"
AS	"1,450"	"1,983"	"1,527"	921	"4,163"	256	"1,116"	"2,096"	"2,183"	814	"1,526"	"1,565"	537	400	461	216	306	237	315	212	167	167	92	183	340	"6,437"	"4,943"	"4,158"	"4,906"	"2,396"	"1,423"	488	517	632	109	97	291	58	176	88	133	"1,213"	387	87	352	177	54	170	268	382	"53,175"
MA	"2,436"	"2,753"	"1,596"	"1,081"	"5,065"	"1,171"	566	"2,267"	"2,596"	890	"2,748"	"3,127"	"1,623"	975	914	643	623	700	"1,849"	"1,557"	"1,699"	694	565	"1,132"	"1,067"	"10,887"	"8,272"	"7,949"	"8,607"	"4,747"	"3,284"	899	"1,025"	"1,117"	205	194	565	346	"1,720"	267	308	"2,235"	532	331	503	557	414	"1,799"	543	728	"98,371"
19	"1,927"	"3,442"	"2,191"	"2,211"	"6,341"	"2,051"	"2,163"	532	564	520	"1,726"	"2,986"	"2,135"	"1,468"	"1,679"	917	"1,309"	"1,406"	"1,890"	"2,079"	"2,375"	"1,343"	924	"1,988"	"1,174"	"13,658"	"10,714"	"10,087"	"10,125"	"5,289"	"3,879"	"1,769"	"1,434"	"1,676"	405	406	"1,137"	543	"1,158"	470	547	"1,987"	810	500	573	839	324	"1,342"	976	"1,250"	"119,239"
12	"2,213"	"4,439"	"2,539"	"2,068"	"6,219"	"2,042"	"2,372"	512	667	311	"1,746"	"3,525"	"3,133"	"2,194"	"1,790"	"1,305"	"1,769"	"1,832"	"2,437"	"2,808"	"2,568"	"1,318"	"1,093"	"1,834"	"1,232"	"13,484"	"9,616"	"11,547"	"9,203"	"4,600"	"3,831"	"1,707"	"1,782"	"2,133"	656	471	"1,694"	751	"1,760"	749	741	"2,799"	939	596	682	597	475	"1,836"	835	"1,061"	"128,511"
