Avg Sunday Trip OD																																																			
																																																			
2024 / 09																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	27	32	15	108	22	26	20	24	19	30	30	8	7	5	6	3	3	7	2	6	6	1	6	6	76	37	92	49	33	37	8	12	14	4	3	3		4	4	7	36	6	1	5	1	2	5	4	6	882
EN	42	15	33	26	153	34	44	52	45	21	35	65	14	12	12	7	6	10	13	6	8	4	5	10	11	144	80	193	115	51	43	11	15	15	8	3	5	1	6	5	7	61	10	4	21	6	2	3	12	22	"1,524"
EP	48	22	8	20	126	26	33	45	26	17	20	42	6	2	5	3	2	5	5	6	6	5	3	12	5	95	50	84	86	27	18	10	4	6	1	2	4	1	2	2	4	37	7	1	13	1	1	3	4	8	971
NB	19	25	25	8	34	18	23	58	30	10	18	46	11	5	6	2	4	8	5	5	9	4	3	4	5	137	75	82	96	49	38	13	5	7	1	2	5	0	2	1	2	52	7	1	19	4	1	0	11	11	"1,008"
BK	145	148	139	42	35	63	71	125	103	36	50	84	29	23	22	14	31	51	18	18	28	17	10	7	25	386	191	296	269	128	76	52	27	38	10	9	37	4	7	7	7	151	58	16	55	28	2	7	89	133	"3,418"
AS	26	33	24	20	50	4	20	63	37	16	30	42	10	7	6	5	6	6	6	4	5	2	2	6	8	102	63	98	117	68	42	12	8	11	2	2	8	1	3	1	2	38	8	2	14	3	1	1	8	12	"1,067"
MA	40	39	29	28	79	22	13	62	46	16	50	74	23	19	12	7	10	8	22	13	24	11	11	30	22	150	99	159	181	97	83	16	12	15	2	2	8	3	13	3	6	73	9	6	19	7	8	15	13	18	"1,726"
19	31	45	40	51	111	63	54	11	13	14	36	70	38	29	29	14	14	17	25	21	34	16	16	53	34	215	118	228	236	119	95	34	14	25	4	6	11	4	11	7	5	70	14	5	17	9	4	10	16	27	"2,185"
12	32	37	29	37	103	42	40	14	13	6	33	65	27	24	22	10	11	15	18	14	23	14	8	36	30	177	107	247	177	97	72	24	19	22	6	5	12	2	8	9	11	85	18	3	14	4	4	10	12	15	"1,861"
LM	20	21	13	11	28	17	17	19	8	9	83	116	77	62	32	18	18	21	4	2	5	1	4	5	17	139	95	181	140	83	70	17	26	15	3	26	37	1	6	2	2	17	5	14	20	15	1	2	23	24	"1,590"
FV	31	38	17	16	58	28	52	41	30	78	33	132	76	80	66	28	20	19	13	5	8	4	4	16	34	152	88	214	163	81	72	15	21	18	4	24	38	1	7	3	7	23	4	28	8	9	3	11	24	35	"1,982"
CL	33	63	43	47	71	40	76	70	65	89	120	16	141	89	68	48	60	71	21	29	39	24	30	36	35	166	89	193	93	50	61	29	29	55	7	61	203	13	18	8	7	23	17	65	46	39	3	20	74	104	"2,901"
SL	12	14	8	9	28	11	22	49	31	79	78	144	10	45	48	20	12	15	6	3	4	2	2	7	13	121	70	158	97	27	29	8	17	19	2	18	31	1	5	2	3	17	6	19	7	9	3	6	18	26	"1,392"
BF	6	14	4	3	23	7	16	32	26	62	93	98	35	12	37	25	16	19	8	2	5	2	0	6	15	89	58	165	73	27	21	7	12	11	2	15	42	1	3	4	5	15	2	25	6	14	2	3	17	22	"1,206"
HY	6	15	6	7	26	7	12	28	19	28	58	65	47	36	11	25	38	56	6	4	3	2	0	2	8	54	29	60	46	16	13	3	7	10	1	7	22	2	3	1	3	8	3	15	5	24	2	4	37	39	927
SH	6	4	4	2	13	2	7	11	10	15	27	44	24	23	23	6	12	27	2	0	3	2	1	3	2	48	25	45	29	9	12	2	2	5	0	5	9	0	1	1		5	1	8	5	20	1	1	21	25	551
UC	3	7	2	4	26	5	12	17	14	16	15	62	17	17	41	15	10	25	3	1	2	1	1	3	5	86	30	66	53	17	8	4	5	8	1	6	11	1	3	1	1	14	1	6	7	21	1	4	45	33	760
FM	4	8	5	5	41	4	7	19	13	19	24	70	16	20	51	26	28	13	4	1	4	2	1	3	4	83	46	73	56	21	11	7	6	13	2	5	15	1	2	0	2	17	2	5	11	18	1	4	55	51	902
CN	9	13	4	3	16	5	22	26	18	4	10	24	5	10	6	1	3	4	16	28	92	79	11	30	7	116	47	84	57	20	20	8	7	10	4	2	6	7	54	4	6	64	4	2	15	2	30	38	5	9	"1,067"
PH	3	8	3	4	17	5	18	25	16	2	5	29	5	2	2	0	1	0	28	7	40	44	6	27	6	120	59	88	78	17	11	9	5	7	2	1	3	3	23	2	6	78	2		17	1	8	14	5	4	868
WC	10	8	6	8	30	6	25	31	24	3	10	37	3	4	3	3	2	3	98	40	18	40	12	59	6	187	81	124	108	26	21	12	6	11	6	1	4	12	35	4	3	102	4	0	16	1	12	25	4	8	"1,300"
LF	8	5	5	5	13	2	13	14	14	1	5	25	3	2	4	2	1	1	79	45	45	7	23	35	2	109	54	63	78	16	11	7	8	6	1	1	2	5	9	1	2	52	4		9	2	6	10	1	2	817
OR	2	3	2	2	9	2	7	17	9	2	4	30	1	3		1	1	0	12	5	16	23	6	21	2	114	49	59	61	16	15	5	2	3	1	0	0	1	3	0	2	41	2	0	6	0	1	3	1	4	567
RR	6	7	15	5	9	4	22	70	35	3	15	41	5	6	3	1	3	3	31	27	61	33	24	10	11	175	95	131	150	69	45	21	9	8	2	2	1	4	10	3	3	83	7	1	10	1	3	11	5	4	"1,305"
OW	6	13	3	4	23	6	21	32	25	15	38	40	13	12	11	5	3	7	8	5	7	3	2	10	25	298	143	317	289	133	115	18	21	20	6	5	9	1	5	4	7	66	9	4	8	2	1	6	5	8	"1,835"
EM	98	152	100	143	392	125	172	233	196	127	167	190	130	108	57	52	91	95	115	132	203	140	143	197	354	81	14	86	82	164	236	145	131	153	39	73	395	37	78	34	41	236	78	97	47	39	12	71	103	92	"6,475"
MT	55	101	68	77	239	80	126	133	153	94	96	97	85	70	41	30	42	45	55	66	77	41	41	108	179	15	46	18	30	119	163	77	153	122	33	43	123	11	42	21	27	190	44	41	31	23	9	29	63	50	"3,723"
PL	102	156	69	75	262	85	141	186	206	141	183	168	135	132	60	40	53	59	78	72	95	53	55	95	312	77	15	89	68	362	462	207	384	316	103	51	149	21	78	70	81	636	109	40	31	27	10	62	98	70	"6,630"
CC	69	103	77	102	261	133	199	244	167	129	165	84	93	74	42	27	54	60	56	80	115	72	59	143	343	79	31	74	73	180	298	142	186	229	93	47	137	18	39	58	78	273	141	35	19	20	9	44	48	80	"5,385"
16	41	45	29	53	109	67	94	117	98	69	70	54	24	23	14	11	15	15	21	24	28	16	13	62	135	163	117	384	182	17	91	91	118	153	50	16	37	6	11	31	50	196	73	9	11	8	2	12	17	24	"3,113"
24	43	46	22	35	94	40	86	100	75	63	68	50	28	25	16	16	11	10	20	15	29	12	11	51	120	235	146	558	313	91	34	98	107	134	52	10	24	8	12	32	54	128	59	7	12	4	3	16	11	21	"3,260"
GP	13	11	7	11	44	13	23	34	22	13	12	36	9	6	5	3	5	8	11	8	10	7	5	15	22	139	78	235	128	87	96	13	14	28	17	5	15	2	6	14	22	101	35	4	9	1	0	7	6	8	"1,423"
BP	10	14	5	7	26	8	13	16	17	17	20	29	14	11	5	4	3	7	10	4	8	5	2	8	22	122	99	454	164	113	113	14	16	23	27	4	13	3	14	17	36	62	23	3	6	1	1	12	9	11	"1,642"
DC	18	15	4	5	37	8	14	21	22	16	21	55	18	11	9	5	9	10	12	10	11	5	3	11	22	152	112	376	272	150	145	27	30	25	19	6	36	3	11	23	52	147	68	6	7	4	1	17	13	13	"2,086"
CM	10	8	2	2	9	2	2	3	7	2	3	3	1	2	0	1	2	2	4	2	5	1	0	3	6	34	27	131	83	47	49	19	26	15	7	1	2	1	4	4	14	59	19	0	1	0	1	3	1	1	632
