Avg Saturday Trip OD																																																			
																																																			
2024 / 09																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	18	39	52	24	191	37	45	37	42	11	45	40	16	9	11	6	5	5	12	4	10	10	4	11	10	90	65	165	73	66	87	14	24	20	8	2	4	1	6	5	12	50	10	3	5	4	5	7	7	14	"1,434"
EN	47	11	44	31	230	45	63	52	68	19	61	77	23	21	21	9	10	12	14	6	14	9	6	18	14	172	124	267	124	69	75	21	24	25	10	5	8	1	9	10	16	57	12	2	16	8	4	8	9	24	"2,019"
EP	66	33	8	28	216	33	42	36	46	14	22	53	10	7	5	4	3	7	5	6	11	7	3	10	5	121	87	130	93	40	34	13	9	7	2	4	4	2	4	2	4	38	10	2	13	4	1	3	6	10	"1,316"
NB	22	30	30	11	64	23	24	45	37	11	30	36	11	7	10	2	4	7	6	9	11	5	3	7	4	159	86	114	85	66	46	13	8	9	4	1	4	1	3	2	4	58	9	2	13	3	1	2	10	13	"1,160"
BK	210	229	226	72	54	100	113	141	151	47	98	99	58	41	44	22	47	44	35	21	52	30	17	15	34	516	293	416	284	177	124	60	38	54	7	19	44	7	13	9	12	97	71	13	37	21	4	9	62	108	"4,489"
AS	38	41	25	27	86	8	31	52	50	14	36	52	13	11	13	6	7	6	9	4	7	3	1	7	15	139	79	126	96	82	62	13	8	12	5	4	6	1	2	2	3	36	13	2	5	4	1	2	8	14	"1,281"
MA	56	50	49	28	115	30	17	58	73	17	74	105	33	20	16	10	14	13	31	24	42	19	9	35	28	219	147	237	180	143	120	27	20	20	7	3	12	5	18	4	7	63	16	4	12	12	7	27	11	19	"2,298"
19	42	57	40	45	135	52	50	19	8	9	39	99	33	27	38	12	15	23	29	31	36	19	13	51	34	264	176	283	217	157	117	38	23	28	8	10	13	8	13	7	10	46	17	4	13	12	4	11	17	33	"2,478"
12	43	66	46	40	152	52	59	8	18	7	35	140	52	31	32	17	16	21	27	21	40	16	17	46	36	260	166	338	201	131	102	31	31	26	9	9	11	6	12	9	14	78	19	5	19	8	5	14	13	22	"2,571"
LM	9	15	12	8	46	15	17	9	8	9	55	134	95	81	43	22	21	28	4	2	6	2	2	7	17	170	128	232	129	94	87	21	28	20	3	35	41	1	3	2	2	16	4	23	17	13	1	3	17	29	"1,781"
FV	47	52	24	28	93	32	63	41	36	48	39	167	105	103	76	27	29	26	12	7	11	8	9	22	55	183	137	278	162	124	113	20	30	27	7	30	53	2	12	6	5	23	9	28	7	25	5	10	25	34	"2,512"
CL	42	71	59	33	92	51	97	85	132	100	150	22	173	102	85	57	83	67	35	58	48	26	35	50	38	260	136	302	125	61	73	36	38	74	6	92	291	10	22	12	10	35	17	83	52	51	3	26	83	130	"3,811"
SL	21	20	6	11	57	13	36	44	50	89	121	192	15	55	75	31	27	24	5	6	7	4	2	11	16	137	107	251	100	48	46	15	24	26	6	28	37	1	4	4	6	18	6	30	5	16	2	6	22	28	"1,906"
BF	10	22	6	7	45	10	24	30	36	72	99	112	59	19	50	37	25	31	7	4	6	4	1	5	18	120	89	216	72	28	43	10	13	18	4	18	45	2	4	3	5	9	1	30	6	22	3	3	15	24	"1,536"
HY	11	22	4	8	44	13	20	36	30	44	77	95	73	50	14	39	63	80	8	3	7	3	3	6	15	78	40	98	43	19	18	6	10	11	4	9	32	0	3	2	4	7	3	17	6	25	3	5	39	40	"1,286"
SH	7	8	3	1	24	7	12	12	14	16	28	56	24	32	37	8	21	35	2	2	3	2	1	4	6	53	34	66	28	12	15	3	5	8	2	7	13	1	3	1	2	5	1	13	3	30	0	3	26	29	724
UC	6	11	7	5	69	7	13	19	14	20	29	80	29	24	64	23	12	30	3	4	3	1	1	3	5	88	51	96	49	20	12	6	7	10	1	6	15	1	4	0	1	8	4	8	10	27	1	4	56	43	"1,003"
FM	7	13	8	7	61	7	12	25	18	26	31	61	27	37	80	41	35	16	3	2	4	2	2	5	7	115	59	100	67	26	17	4	9	12	1	6	24	1	6	1	3	18	2	9	9	32	1	4	61	65	"1,184"
CN	13	15	7	8	34	7	33	28	24	6	9	34	7	9	8	1	4	3	19	37	108	92	18	41	11	114	66	119	65	28	29	10	12	20	7	3	4	14	64	6	10	54	6	2	12	2	30	49	6	7	"1,312"
PH	6	6	4	7	22	5	22	28	21	4	7	53	6	3	4	3	2	3	40	13	57	73	9	33	6	168	81	146	74	27	17	8	8	13	6	2	3	4	30	3	3	78	4	2	15	3	11	19	3	5	"1,162"
WC	12	13	10	13	44	7	40	43	44	6	12	48	9	8	6	4	3	5	133	65	21	104	22	82	6	197	94	154	109	39	38	13	15	17	5	2	3	12	47	8	5	90	7	1	13	1	15	38	3	9	"1,687"
LF	11	9	9	10	23	4	19	21	15	1	8	27	6	3	4	3	1	4	113	84	103	13	56	51	3	125	58	86	81	24	18	9	8	8	2	2	2	20	18	1	2	57	3	1	7	2	6	15	2	6	"1,155"
OR	2	4	2	3	16	2	10	14	17	1	6	31	1	2	3	2		2	17	9	23	54	8	30	2	106	48	77	61	28	16	5	5	4	2		2	3	5	2	2	39	3	1	3	0	2	3	2	2	680
RR	12	15	13	7	16	6	31	50	49	8	22	49	8	7	4	3	3	5	35	29	77	58	32	16	13	234	150	189	175	109	74	30	14	24	6	3	7	5	12	2	5	62	6	1	5	1	5	17	3	5	"1,706"
OW	9	13	5	4	31	12	21	31	42	13	47	38	17	19	16	6	4	5	9	6	9	5	2	14	16	416	263	474	291	193	148	20	25	21	6	7	11	1	8	4	6	63	12	5	3	2	2	5	3	10	"2,388"
EM	120	207	130	191	594	172	269	323	314	184	208	244	173	138	95	56	105	127	137	214	242	152	125	282	472	94	17	125	95	279	347	205	212	223	59	96	384	46	87	61	59	292	83	120	53	57	13	79	115	104	"8,573"
MT	90	145	86	114	375	127	186	226	210	129	161	148	138	122	54	43	59	63	74	89	101	64	61	181	325	16	53	25	49	212	273	153	290	175	53	67	139	20	59	52	43	257	69	53	30	29	10	37	69	60	"5,659"
PL	150	230	119	116	373	129	226	273	319	189	259	293	200	170	100	61	80	78	111	134	140	81	79	171	483	123	21	116	92	530	670	335	581	432	146	75	230	33	114	115	126	956	166	64	50	38	14	78	82	104	"9,846"
CC	77	122	80	95	249	103	194	212	183	120	168	111	92	69	40	25	50	56	60	71	105	77	64	164	311	88	38	100	68	215	336	168	190	286	97	51	141	17	45	66	83	309	151	53	21	26	12	42	41	68	"5,607"
16	56	65	37	79	187	93	157	164	132	85	117	65	45	25	22	15	21	24	26	31	40	26	25	121	214	263	207	556	215	27	129	131	170	220	68	25	54	7	20	46	57	200	89	17	10	10	7	21	20	31	"4,466"
24	80	62	40	52	127	58	130	148	111	67	126	78	43	38	24	21	11	20	28	25	34	19	20	91	182	322	220	759	370	111	45	147	164	209	74	15	36	6	28	53	79	113	86	11	9	6	4	18	14	25	"4,549"
GP	14	21	10	14	67	15	28	41	32	18	22	39	11	8	8	5	3	6	8	8	14	11	9	25	28	166	122	358	149	119	147	13	20	34	23	4	12	5	10	14	33	75	46	4	7	3	4	8	4	9	"1,846"
BP	26	21	9	9	33	9	20	25	28	21	27	33	21	15	9	3	4	7	10	7	13	7	3	14	24	170	155	637	184	145	175	21	21	33	33	7	9	2	6	27	40	56	38	4	3	4	3	13	7	8	"2,194"
DC	18	23	11	9	55	14	17	25	29	20	28	72	25	14	11	8	9	8	18	10	18	6	6	20	29	198	148	525	308	203	230	32	46	27	25	9	27	3	14	29	68	136	77	6	4	8	3	10	10	13	"2,654"
CM	8	12	3	4	12	5	7	7	11	3	5	3	2	3	2		1	1	8	3	9	2	2	6	5	48	46	180	96	61	67	25	48	14	11	1	1	1	7	9	13	60	21	0		1	2	4	1	1	840
CV	3	6	3	2	19	3	3	10	10	32	31	84	26	18	12	7	8	8	4	1	3	2	1	1	9	84	56	103	47	23	16	6	6	11	1	9	46		1	0	3	8	1	40	5	2	0	2	3	5	782
ED	4	7	5	4	68	9	10	17	14	41	60	268	39	56	34	15	19	22	6	6	5	2	1	4	13	311	141	250	149	53	38	13	15	32	2	44	33	2	2	3	5	63	8	19	24	7	1	2	24	33	"1,997"
NC	1	1	1	1	6	1	8	7	5	1	2	11	3	1	1	2	1	1	13	5	12	18	3	7	1	41	17	30	21	7	8	3	3	5	1		2	5	7	1	2	24	2		3	1	4	8		1	301
WP	5	9	4	4	11	1	18	11	14	4	10	19	2	6	4	3	4	3	65	30	55	14	8	16	5	73	57	121	46	25	26	10	11	17	8	2	2	7	10	5	3	47	1	2	5	4	4	8	2	3	818
SS	6	9	3	1	12	2	4	11	8	2	8	9	4	3	2	3	1	1	4	3	6	2	2	3	6	62	43	129	71	44	48	15	30	32	6	1	3	2	4	4	13	39	19		2	1	1	6	1	2	686
SB	11	18	4	2	19	1	8	10	12	5	9	10	6	5	4	1	1	1	12	5	6	3	2	3	8	53	44	138	85	57	69	32	44	63	16	3	6	1	6	13	9	72	9		1	1	1	6	0	2	891
SO	42	42	34	48	116	28	51	37	54	16	16	33	11	9	8	3	8	13	45	74	70	47	35	51	46	208	189	731	210	145	71	50	44	103	40	4	45	16	38	31	47	71	239	11	11	4	3	38	9	5	"3,293"
MB	9	13	11	8	81	14	13	18	21	6	9	15	4	3	2	2	2	2	6	4	4	2	3	8	11	74	66	173	136	75	71	35	46	86	16	1	5	0	2	11	13	290	29	0	2	0	0	3	1	0	"1,400"
WD	3	2	2	3	20	3	6	7	3	29	27	84	29	34	19	16	8	6	1	3	2	0	1	2	5	111	52	70	52	14	12	6	6	9	1	42	15		2	1	0	22	2	6	9	4	0	0	9	12	765
OA	2	10	9	8	35	6	8	11	14	9	5	59	6	5	5	1	3	4	5	9	10	7	3	5	2	35	18	38	16	5	6	4	3	5		2	14	2	5			5	1	6	14	2	1	7	3	5	429
WS	4	8	3	4	31	3	10	11	3	15	19	47	11	16	22	24	24	29	3	2	1	2	1	2	3	54	23	39	24	11	6	4	3	7	1	1	7	1	3	1	1	6	1	3	2	8	1	1	26	31	556
PC	7	4	2	2	4	3	8	9	8	1	3	5	2	4	4	2	1	0	38	11	15	4	2	4	3	12	8	19	14	7	5	2	3	4	0	1	0	6	7	2	3	4		0	2	1	1	11	1	1	256
AN	9	7	2	3	14	3	28	14	14	4	14	27	6	6	8	4	4	5	51	19	34	14	4	19	6	76	41	89	48	19	23	14	14	21	6	2	5	7	10	8	7	50	2	1	11	3	10	14	4	6	802
ML	6	11	6	9	94	10	13	20	16	17	23	75	19	13	44	24	55	68	4	3	3	1	2	3	2	92	50	93	50	22	15	4	7	14	1	4	21		2	1	1	8	0	9	4	30	0	4	23	27	"1,017"
BE	18	21	11	17	166	16	24	36	19	25	34	123	31	25	55	31	46	69	8	9	8	4	4	8	8	107	56	116	66	32	19	11	14	19	0	5	34	1	7	2	1	8	0	6	5	37	1	5	22	20	"1,408"
Grand Total	"1,529"	"1,935"	"1,322"	"1,256"	"4,724"	"1,400"	"2,349"	"2,632"	"2,623"	"1,649"	"2,566"	"3,848"	"1,841"	"1,530"	"1,344"	765	980	"1,120"	"1,352"	"1,227"	"1,659"	"1,129"	733	"1,783"	"2,606"	"7,380"	"4,645"	"10,474"	"5,643"	"4,246"	"4,380"	"1,878"	"2,419"	"2,586"	810	769	"1,958"	295	811	658	856	"4,268"	"1,398"	722	585	612	215	715	995	"1,292"	"106,509"
