Avg Weekday Trip OD																																																			
																																																			
2024 / 09																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	33	84	68	38	313	59	89	72	84	24	69	60	21	14	26	9	9	9	20	7	19	12	8	14	24	219	173	250	175	112	132	27	50	93	14	2	8	3	10	9	19	56	15	3	9	11	5	16	7	14	"2,615"
EN	90	20	68	54	465	87	127	144	207	48	96	91	37	23	42	12	16	17	28	11	22	11	10	20	25	416	348	423	327	142	112	37	51	133	11	5	10	3	8	14	22	67	30	6	24	20	4	8	16	21	"4,023"
EP	73	58	11	32	359	55	66	91	119	37	34	49	15	10	11	4	7	9	8	8	12	7	6	14	7	252	223	146	163	58	41	17	22	36	2	3	4	3	3	6	8	47	12	4	14	8	1	4	8	10	"2,195"
NB	37	46	34	7	99	27	44	78	89	24	41	43	18	12	13	4	8	10	12	10	12	6	6	12	8	285	229	126	184	73	44	18	18	17	3	2	5	2	4	2	5	64	12	2	18	5	1	4	7	10	"1,836"
BK	347	491	379	112	36	187	213	278	266	114	192	118	98	72	77	48	80	78	63	59	66	36	24	17	52	466	363	331	333	181	162	77	69	77	20	24	54	11	44	21	24	121	65	19	52	37	10	33	74	98	"6,267"
AS	58	81	64	35	176	10	44	78	88	33	60	56	22	15	18	8	12	9	12	9	6	7	4	6	12	264	213	156	194	84	47	18	22	26	4	3	11	2	8	4	5	42	14	3	12	7	2	8	9	13	"2,095"
MA	99	117	62	40	208	46	21	85	102	36	108	114	67	39	39	28	26	30	79	69	70	28	24	41	42	457	357	303	344	181	117	34	44	48	8	9	23	16	78	12	12	76	21	14	17	23	17	80	21	28	"3,957"
19	79	148	91	88	259	75	83	19	23	21	68	108	90	60	68	40	58	61	82	92	102	59	39	75	43	569	466	382	399	199	145	72	63	72	17	17	51	24	52	20	24	68	33	23	20	37	14	62	41	48	"4,851"
12	92	198	110	85	250	81	96	20	26	13	71	128	138	96	77	59	82	83	111	132	113	58	49	73	46	571	417	437	369	176	151	73	77	95	29	21	79	36	83	33	31	97	38	28	26	27	22	86	36	45	"5,366"
