Fast Pass Adjusted OD,,,,,,Apr 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,38,123,123,524,840,737,"1,070","3,502"
MT,33,47,79,131,742,"1,260","1,039","2,211","5,542"
PL,163,95,65,103,636,944,608,"1,588","4,202"
CC,128,138,124,56,553,744,500,"1,346","3,589"
16,439,582,803,521,22,210,185,569,"3,332"
24,716,964,"1,139",743,213,28,130,494,"4,426"
GP,680,812,821,437,189,150,19,118,"3,226"
BP,948,"1,288","2,504","1,196",582,523,125,29,"7,196"
Entries,"3,154","3,964","5,658","3,309","3,462","4,700","3,344","7,424","35,016"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,35,38,193,237,118,229,878
MT,7,16,24,25,283,344,309,"1,012","2,020"
PL,42,20,57,38,489,727,422,981,"2,776"
CC,23,19,52,45,374,425,198,464,"1,600"
16,157,181,576,334,25,133,105,276,"1,788"
24,188,212,820,393,129,28,100,256,"2,127"
GP,103,147,578,154,101,92,16,54,"1,245"
BP,221,299,"1,712",422,272,245,60,21,"3,251"
Entries,762,900,"3,855","1,449","1,866","2,232","1,328","3,292","15,684"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,23,21,134,157,74,138,568
MT,3,16,14,21,174,207,196,627,"1,258"
PL,27,13,48,35,349,519,274,629,"1,893"
CC,16,12,38,39,292,313,148,354,"1,212"
16,118,112,419,269,23,97,75,158,"1,269"
24,149,146,583,316,89,25,65,170,"1,541"
GP,74,79,432,124,65,59,16,29,878
BP,141,195,"1,209",300,171,155,26,26,"2,223"
Entries,544,578,"2,765","1,124","1,296","1,531",874,"2,131","10,841"
