Exit stations,Entry stations->,,SUNDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	14 , 	13 , 	7 , 	30 , 	8 , 	12 , 	10 , 	11 , 	10 , 	15 , 	10 , 	5 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	5 , 	1 , 	1 , 	2 , 	3 , 	21 , 	17 , 	62 , 	19 , 	19 , 	19 , 	4 , 	7 , 	6 , 	3 , 	-   , 	2 , 	0 , 	2 , 	2 , 	6 , 	8 , 	1 , 	1 , 	1 , 	3 , 	1 , 	3 , 	2 , 	4 , 	389 ,,,,,,,,,,,
EN, 	16 , 	6 , 	6 , 	7 , 	33 , 	19 , 	17 , 	10 , 	15 , 	5 , 	16 , 	10 , 	5 , 	8 , 	4 , 	2 , 	3 , 	2 , 	7 , 	1 , 	5 , 	1 , 	1 , 	2 , 	4 , 	30 , 	25 , 	66 , 	20 , 	17 , 	16 , 	6 , 	8 , 	3 , 	4 , 	0 , 	3 , 	-   , 	4 , 	3 , 	3 , 	12 , 	1 , 	0 , 	5 , 	3 , 	2 , 	5 , 	2 , 	2 , 	439 ,,,,,,,,,,,
EP, 	10 , 	8 , 	4 , 	7 , 	32 , 	8 , 	4 , 	8 , 	12 , 	7 , 	11 , 	4 , 	2 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	1 , 	1 , 	-   , 	2 , 	2 , 	9 , 	9 , 	24 , 	9 , 	4 , 	5 , 	1 , 	1 , 	1 , 	-   , 	-   , 	0 , 	-   , 	2 , 	1 , 	1 , 	6 , 	1 , 	1 , 	1 , 	0 , 	1 , 	2 , 	1 , 	0 , 	212 ,,,,,,,,,,,
NB, 	10 , 	8 , 	11 , 	3 , 	4 , 	7 , 	6 , 	6 , 	6 , 	2 , 	7 , 	1 , 	3 , 	1 , 	2 , 	1 , 	-   , 	1 , 	2 , 	1 , 	3 , 	0 , 	0 , 	1 , 	1 , 	8 , 	3 , 	13 , 	7 , 	6 , 	2 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	0 , 	1 , 	0 , 	-   , 	3 , 	0 , 	-   , 	1 , 	1 , 	-   , 	1 , 	-   , 	0 , 	135 ,,,,,,,,,,,
BK, 	33 , 	35 , 	31 , 	4 , 	8 , 	10 , 	19 , 	18 , 	22 , 	9 , 	21 , 	16 , 	6 , 	8 , 	7 , 	1 , 	2 , 	2 , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	7 , 	14 , 	12 , 	26 , 	23 , 	12 , 	10 , 	4 , 	6 , 	4 , 	0 , 	1 , 	1 , 	0 , 	3 , 	1 , 	1 , 	7 , 	1 , 	1 , 	3 , 	1 , 	2 , 	4 , 	0 , 	2 , 	398 ,,,,,,,,,,,
AS, 	9 , 	21 , 	8 , 	6 , 	9 , 	2 , 	5 , 	7 , 	9 , 	3 , 	9 , 	8 , 	4 , 	3 , 	3 , 	2 , 	2 , 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	1 , 	4 , 	10 , 	8 , 	16 , 	10 , 	8 , 	7 , 	2 , 	2 , 	0 , 	1 , 	0 , 	1 , 	-   , 	1 , 	-   , 	-   , 	4 , 	-   , 	-   , 	3 , 	2 , 	1 , 	3 , 	-   , 	1 , 	196 ,,,,,,,,,,,
MA, 	17 , 	13 , 	7 , 	8 , 	15 , 	6 , 	5 , 	9 , 	11 , 	5 , 	28 , 	10 , 	10 , 	6 , 	6 , 	5 , 	4 , 	2 , 	11 , 	6 , 	7 , 	3 , 	1 , 	5 , 	8 , 	21 , 	19 , 	40 , 	23 , 	26 , 	11 , 	4 , 	4 , 	3 , 	3 , 	1 , 	3 , 	2 , 	7 , 	1 , 	3 , 	11 , 	2 , 	2 , 	2 , 	-   , 	2 , 	4 , 	3 , 	7 , 	403 ,,,,,,,,,,,
19, 	9 , 	10 , 	4 , 	5 , 	13 , 	7 , 	5 , 	4 , 	1 , 	2 , 	14 , 	12 , 	8 , 	14 , 	4 , 	2 , 	3 , 	3 , 	5 , 	4 , 	5 , 	1 , 	3 , 	3 , 	8 , 	30 , 	16 , 	48 , 	24 , 	17 , 	12 , 	3 , 	5 , 	4 , 	1 , 	0 , 	1 , 	2 , 	3 , 	1 , 	1 , 	7 , 	2 , 	0 , 	3 , 	4 , 	1 , 	2 , 	3 , 	4 , 	337 ,,,,,,,,,,,
12, 	14 , 	9 , 	12 , 	4 , 	15 , 	7 , 	9 , 	2 , 	7 , 	3 , 	9 , 	11 , 	14 , 	14 , 	7 , 	3 , 	4 , 	7 , 	7 , 	2 , 	4 , 	1 , 	1 , 	4 , 	8 , 	23 , 	22 , 	73 , 	34 , 	24 , 	12 , 	7 , 	8 , 	8 , 	3 , 	0 , 	1 , 	1 , 	3 , 	1 , 	3 , 	11 , 	3 , 	0 , 	5 , 	2 , 	2 , 	2 , 	1 , 	2 , 	423 ,,,,,,,,,,,
LM, 	8 , 	6 , 	5 , 	2 , 	9 , 	5 , 	8 , 	1 , 	4 , 	6 , 	36 , 	18 , 	17 , 	17 , 	10 , 	6 , 	7 , 	4 , 	2 , 	-   , 	1 , 	-   , 	-   , 	3 , 	5 , 	24 , 	18 , 	54 , 	24 , 	15 , 	13 , 	3 , 	6 , 	5 , 	1 , 	5 , 	12 , 	-   , 	1 , 	-   , 	0 , 	4 , 	1 , 	5 , 	4 , 	1 , 	4 , 	3 , 	-   , 	1 , 	379 ,,,,,,,,,,,
FV, 	13 , 	17 , 	10 , 	5 , 	22 , 	11 , 	25 , 	10 , 	10 , 	23 , 	14 , 	27 , 	23 , 	44 , 	22 , 	14 , 	7 , 	11 , 	9 , 	3 , 	6 , 	5 , 	1 , 	5 , 	20 , 	35 , 	28 , 	111 , 	68 , 	27 , 	25 , 	4 , 	7 , 	6 , 	-   , 	8 , 	16 , 	1 , 	3 , 	2 , 	2 , 	8 , 	2 , 	14 , 	5 , 	6 , 	6 , 	9 , 	2 , 	3 , 	749 ,,,,,,,,,,,
