Exit stations,Entry stations->,,SATURDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	2 , 	16 , 	17 , 	10 , 	43 , 	16 , 	19 , 	10 , 	17 , 	5 , 	23 , 	13 , 	7 , 	6 , 	5 , 	4 , 	2 , 	2 , 	4 , 	1 , 	5 , 	1 , 	-   , 	3 , 	5 , 	33 , 	28 , 	79 , 	26 , 	37 , 	34 , 	9 , 	11 , 	10 , 	3 , 	1 , 	3 , 	1 , 	2 , 	3 , 	5 , 	9 , 	2 , 	1 , 	3 , 	2 , 	2 , 	2 , 	3 , 	3 , 	542 ,,,,,,,,,,
SO, 	6 , 	11 , 	3 , 	1 , 	9 , 	4 , 	9 , 	6 , 	10 , 	2 , 	5 , 	2 , 	3 , 	4 , 	4 , 	2 , 	1 , 	2 , 	9 , 	7 , 	8 , 	3 , 	2 , 	8 , 	6 , 	9 , 	11 , 	34 , 	17 , 	13 , 	10 , 	8 , 	15 , 	22 , 	15 , 	1 , 	5 , 	3 , 	15 , 	5 , 	6 , 	6 , 	15 , 	2 , 	2 , 	1 , 	-   , 	1 , 	4 , 	8 , 	345 ,,,,,,,,,,
MB, 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	3 , 	1 , 	1 , 	0 , 	1 , 	2 , 	0 , 	0 , 	-   , 	-   , 	2 , 	0 , 	0 , 	0 , 	-   , 	2 , 	3 , 	1 , 	3 , 	13 , 	8 , 	7 , 	7 , 	2 , 	7 , 	10 , 	3 , 	0 , 	1 , 	0 , 	2 , 	3 , 	3 , 	21 , 	4 , 	-   , 	0 , 	-   , 	-   , 	-   , 	0 , 	1 , 	120 ,,,,,,,,,,
WD, 	1 , 	-   , 	2 , 	-   , 	1 , 	1 , 	2 , 	1 , 	0 , 	6 , 	13 , 	7 , 	14 , 	21 , 	7 , 	4 , 	3 , 	4 , 	1 , 	-   , 	-   , 	0 , 	-   , 	-   , 	3 , 	6 , 	7 , 	17 , 	6 , 	3 , 	2 , 	2 , 	3 , 	1 , 	-   , 	15 , 	10 , 	-   , 	-   , 	-   , 	-   , 	2 , 	0 , 	4 , 	1 , 	0 , 	1 , 	2 , 	-   , 	1 , 	170 ,,,,,,,,,,
OA, 	2 , 	2 , 	1 , 	1 , 	6 , 	2 , 	2 , 	2 , 	2 , 	1 , 	3 , 	4 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	2 , 	1 , 	0 , 	0 , 	0 , 	4 , 	1 , 	4 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	-   , 	0 , 	4 , 	1 , 	-   , 	-   , 	-   , 	2 , 	-   , 	1 , 	0 , 	-   , 	0 , 	1 , 	-   , 	-   , 	58 ,,,,,,,,,,
WS, 	2 , 	2 , 	1 , 	2 , 	1 , 	2 , 	2 , 	3 , 	2 , 	4 , 	10 , 	5 , 	5 , 	5 , 	5 , 	6 , 	10 , 	6 , 	1 , 	1 , 	1 , 	0 , 	0 , 	-   , 	1 , 	6 , 	-   , 	5 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	2 , 	-   , 	0 , 	0 , 	-   , 	0 , 	0 , 	1 , 	1 , 	2 , 	5 , 	6 , 	-   , 	0 , 	112 ,,,,,,,,,,
ML, 	4 , 	2 , 	1 , 	1 , 	3 , 	0 , 	2 , 	1 , 	2 , 	3 , 	4 , 	3 , 	3 , 	6 , 	7 , 	6 , 	5 , 	14 , 	1 , 	0 , 	2 , 	-   , 	-   , 	1 , 	-   , 	4 , 	4 , 	9 , 	5 , 	3 , 	2 , 	1 , 	0 , 	3 , 	-   , 	1 , 	3 , 	1 , 	0 , 	0 , 	0 , 	1 , 	-   , 	1 , 	0 , 	4 , 	2 , 	5 , 	0 , 	1 , 	116 ,,,,,,,,,,
BE, 	5 , 	5 , 	2 , 	1 , 	5 , 	3 , 	3 , 	3 , 	2 , 	5 , 	14 , 	5 , 	6 , 	8 , 	9 , 	4 , 	6 , 	10 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	3 , 	7 , 	6 , 	10 , 	4 , 	2 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	4 , 	-   , 	1 , 	0 , 	-   , 	1 , 	-   , 	1 , 	-   , 	5 , 	5 , 	4 , 	1 , 	1 , 	161 ,,,,,,,,,,
PC, 	2 , 	2 , 	2 , 	0 , 	1 , 	1 , 	5 , 	5 , 	3 , 	0 , 	3 , 	2 , 	1 , 	2 , 	2 , 	1 , 	1 , 	-   , 	14 , 	4 , 	13 , 	4 , 	2 , 	1 , 	1 , 	4 , 	3 , 	12 , 	6 , 	5 , 	5 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	4 , 	3 , 	1 , 	2 , 	3 , 	0 , 	1 , 	1 , 	-   , 	0 , 	0 , 	2 , 	6 , 	131 ,,,,,,,,,,
AN, 	2 , 	2 , 	1 , 	-   , 	2 , 	2 , 	11 , 	3 , 	5 , 	2 , 	6 , 	7 , 	2 , 	4 , 	1 , 	2 , 	1 , 	1 , 	18 , 	6 , 	7 , 	2 , 	1 , 	4 , 	1 , 	14 , 	9 , 	26 , 	9 , 	8 , 	6 , 	4 , 	4 , 	5 , 	2 , 	1 , 	0 , 	4 , 	5 , 	3 , 	1 , 	10 , 	1 , 	0 , 	3 , 	0 , 	1 , 	1 , 	5 , 	7 , 	218 ,,,,,,,,,,
Entries, 	512 , 	609 , 	310 , 	187 , 	581 , 	301 , 	556 , 	481 , 	626 , 	423 ," 	1,011 ", 	562 , 	555 , 	608 , 	401 , 	223 , 	218 , 	234 , 	373 , 	234 , 	307 , 	125 , 	89 , 	210 , 	697 , 	954 , 	834 ," 	2,913 "," 	1,067 ", 	972 ," 	1,001 ", 	408 , 	800 , 	614 , 	249 , 	165 , 	278 , 	75 , 	291 , 	149 , 	236 , 	403 , 	148 , 	157 , 	71 , 	118 , 	114 , 	161 , 	129 , 	200 ," 	22,933 ",,,,,,,,,,
