Exit stations,Entry stations->,,SATURDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	2 , 	16 , 	17 , 	10 , 	43 , 	16 , 	19 , 	10 , 	17 , 	5 , 	23 , 	13 , 	7 , 	6 , 	5 , 	4 , 	2 , 	2 , 	4 , 	1 , 	5 , 	1 , 	-   , 	3 , 	5 , 	33 , 	28 , 	79 , 	26 , 	37 , 	34 , 	9 , 	11 , 	10 , 	3 , 	1 , 	3 , 	1 , 	2 , 	3 , 	5 , 	9 , 	2 , 	1 , 	3 , 	2 , 	2 , 	2 , 	3 , 	3 , 	542 ,,,,,,,,,,
CL, 	11 , 	12 , 	5 , 	3 , 	17 , 	10 , 	13 , 	14 , 	14 , 	16 , 	39 , 	3 , 	19 , 	36 , 	20 , 	12 , 	10 , 	9 , 	3 , 	3 , 	3 , 	1 , 	1 , 	3 , 	15 , 	16 , 	21 , 	76 , 	30 , 	18 , 	20 , 	5 , 	6 , 	6 , 	1 , 	5 , 	11 , 	1 , 	4 , 	2 , 	3 , 	4 , 	-   , 	6 , 	5 , 	6 , 	3 , 	5 , 	4 , 	3 , 	549 ,,,,,,,,,,
SL, 	8 , 	9 , 	5 , 	3 , 	10 , 	6 , 	10 , 	12 , 	20 , 	29 , 	44 , 	23 , 	3 , 	34 , 	24 , 	13 , 	15 , 	10 , 	3 , 	2 , 	3 , 	2 , 	1 , 	6 , 	9 , 	25 , 	32 , 	79 , 	26 , 	17 , 	14 , 	2 , 	5 , 	7 , 	2 , 	9 , 	15 , 	1 , 	2 , 	2 , 	2 , 	6 , 	0 , 	9 , 	1 , 	3 , 	3 , 	5 , 	2 , 	2 , 	569 ,,,,,,,,,,
BF, 	7 , 	11 , 	3 , 	3 , 	7 , 	4 , 	12 , 	16 , 	16 , 	32 , 	76 , 	36 , 	40 , 	4 , 	25 , 	16 , 	13 , 	15 , 	3 , 	1 , 	3 , 	1 , 	2 , 	2 , 	8 , 	25 , 	27 , 	74 , 	33 , 	15 , 	16 , 	4 , 	11 , 	5 , 	3 , 	10 , 	21 , 	1 , 	1 , 	2 , 	2 , 	5 , 	3 , 	18 , 	1 , 	5 , 	3 , 	8 , 	2 , 	2 , 	646 ,,,,,,,,,,
HY, 	6 , 	6 , 	1 , 	3 , 	6 , 	5 , 	11 , 	8 , 	12 , 	11 , 	34 , 	23 , 	26 , 	28 , 	7 , 	19 , 	18 , 	18 , 	5 , 	1 , 	2 , 	1 , 	1 , 	2 , 	9 , 	14 , 	6 , 	37 , 	17 , 	10 , 	10 , 	4 , 	2 , 	3 , 	2 , 	4 , 	11 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	5 , 	1 , 	9 , 	10 , 	10 , 	1 , 	2 , 	425 ,,,,,,,,,,
SH, 	3 , 	3 , 	3 , 	0 , 	2 , 	1 , 	4 , 	3 , 	4 , 	4 , 	14 , 	8 , 	13 , 	17 , 	15 , 	3 , 	10 , 	13 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	3 , 	10 , 	11 , 	20 , 	7 , 	3 , 	7 , 	2 , 	3 , 	2 , 	1 , 	2 , 	5 , 	-   , 	2 , 	1 , 	0 , 	2 , 	2 , 	4 , 	1 , 	4 , 	5 , 	4 , 	1 , 	1 , 	225 ,,,,,,,,,,
UC, 	2 , 	5 , 	1 , 	1 , 	6 , 	4 , 	1 , 	3 , 	6 , 	6 , 	12 , 	11 , 	11 , 	9 , 	18 , 	9 , 	7 , 	16 , 	1 , 	1 , 	0 , 	-   , 	0 , 	1 , 	2 , 	8 , 	5 , 	27 , 	8 , 	6 , 	5 , 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	-   , 	1 , 	0 , 	0 , 	2 , 	-   , 	3 , 	1 , 	13 , 	8 , 	10 , 	0 , 	1 , 	238 ,,,,,,,,,,
FM, 	2 , 	4 , 	1 , 	0 , 	4 , 	1 , 	4 , 	4 , 	6 , 	5 , 	11 , 	7 , 	10 , 	11 , 	23 , 	10 , 	9 , 	6 , 	1 , 	2 , 	0 , 	-   , 	0 , 	1 , 	1 , 	9 , 	6 , 	22 , 	9 , 	6 , 	3 , 	1 , 	3 , 	3 , 	2 , 	4 , 	6 , 	-   , 	1 , 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	9 , 	16 , 	13 , 	-   , 	1 , 	239 ,,,,,,,,,,
CN, 	4 , 	5 , 	2 , 	1 , 	4 , 	2 , 	11 , 	6 , 	11 , 	2 , 	8 , 	3 , 	3 , 	4 , 	4 , 	1 , 	1 , 	1 , 	5 , 	12 , 	36 , 	23 , 	5 , 	7 , 	3 , 	20 , 	14 , 	50 , 	19 , 	11 , 	10 , 	4 , 	3 , 	3 , 	2 , 	0 , 	1 , 	4 , 	32 , 	3 , 	3 , 	10 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	19 , 	17 , 	394 ,,,,,,,,,,
PH, 	1 , 	2 , 	2 , 	2 , 	3 , 	2 , 	6 , 	5 , 	8 , 	1 , 	5 , 	4 , 	2 , 	1 , 	1 , 	0 , 	0 , 	1 , 	15 , 	3 , 	17 , 	10 , 	2 , 	10 , 	1 , 	14 , 	16 , 	39 , 	14 , 	3 , 	6 , 	2 , 	3 , 	1 , 	1 , 	-   , 	-   , 	2 , 	10 , 	1 , 	2 , 	8 , 	1 , 	-   , 	3 , 	0 , 	-   , 	2 , 	5 , 	7 , 	243 ,,,,,,,,,,
WC, 	3 , 	6 , 	2 , 	3 , 	3 , 	2 , 	9 , 	7 , 	11 , 	1 , 	4 , 	3 , 	4 , 	3 , 	2 , 	1 , 	1 , 	0 , 	42 , 	18 , 	5 , 	8 , 	8 , 	6 , 	2 , 	16 , 	18 , 	37 , 	9 , 	8 , 	9 , 	2 , 	2 , 	5 , 	1 , 	1 , 	2 , 	4 , 	23 , 	1 , 	4 , 	10 , 	1 , 	-   , 	3 , 	1 , 	1 , 	1 , 	11 , 	7 , 	323 ,,,,,,,,,,
LF, 	2 , 	1 , 	2 , 	1 , 	2 , 	0 , 	4 , 	1 , 	3 , 	1 , 	5 , 	1 , 	1 , 	2 , 	1 , 	0 , 	-   , 	1 , 	29 , 	8 , 	8 , 	2 , 	2 , 	3 , 	1 , 	7 , 	7 , 	13 , 	6 , 	3 , 	4 , 	-   , 	1 , 	0 , 	0 , 	1 , 	-   , 	3 , 	5 , 	0 , 	0 , 	4 , 	-   , 	-   , 	1 , 	0 , 	-   , 	0 , 	4 , 	2 , 	137 ,,,,,,,,,,
OR, 	0 , 	1 , 	0 , 	-   , 	1 , 	1 , 	2 , 	2 , 	2 , 	0 , 	3 , 	0 , 	0 , 	2 , 	-   , 	1 , 	0 , 	0 , 	5 , 	2 , 	5 , 	1 , 	1 , 	4 , 	1 , 	8 , 	5 , 	10 , 	4 , 	6 , 	2 , 	1 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	2 , 	0 , 	1 , 	2 , 	0 , 	-   , 	0 , 	-   , 	-   , 	-   , 	1 , 	1 , 	76 ,,,,,,,,,,
RR, 	4 , 	4 , 	5 , 	1 , 	2 , 	1 , 	7 , 	8 , 	7 , 	3 , 	14 , 	3 , 	5 , 	3 , 	1 , 	1 , 	1 , 	1 , 	8 , 	10 , 	7 , 	5 , 	4 , 	2 , 	3 , 	13 , 	16 , 	25 , 	11 , 	8 , 	7 , 	4 , 	2 , 	1 , 	1 , 	-   , 	1 , 	2 , 	1 , 	1 , 	0 , 	5 , 	1 , 	-   , 	1 , 	-   , 	1 , 	1 , 	1 , 	3 , 	214 ,,,,,,,,,,
OW, 	2 , 	5 , 	1 , 	2 , 	10 , 	5 , 	8 , 	8 , 	13 , 	7 , 	21 , 	11 , 	8 , 	10 , 	9 , 	2 , 	2 , 	3 , 	3 , 	1 , 	1 , 	-   , 	0 , 	3 , 	5 , 	71 , 	66 , 	171 , 	58 , 	49 , 	30 , 	6 , 	13 , 	7 , 	2 , 	2 , 	2 , 	1 , 	2 , 	2 , 	6 , 	7 , 	3 , 	4 , 	1 , 	2 , 	1 , 	2 , 	1 , 	3 , 	648 ,,,,,,,,,,
EM, 	27 , 	40 , 	20 , 	15 , 	34 , 	16 , 	37 , 	40 , 	45 , 	30 , 	49 , 	27 , 	33 , 	27 , 	15 , 	9 , 	9 , 	10 , 	17 , 	20 , 	18 , 	8 , 	9 , 	18 , 	84 , 	8 , 	4 , 	18 , 	13 , 	40 , 	39 , 	19 , 	53 , 	35 , 	14 , 	10 , 	21 , 	5 , 	20 , 	6 , 	6 , 	13 , 	6 , 	8 , 	3 , 	6 , 	4 , 	6 , 	4 , 	16 ," 	1,025 ",,,,,,,,,,
MT, 	35 , 	43 , 	17 , 	8 , 	25 , 	14 , 	33 , 	35 , 	49 , 	32 , 	47 , 	24 , 	40 , 	39 , 	9 , 	12 , 	8 , 	11 , 	19 , 	22 , 	14 , 	8 , 	8 , 	17 , 	74 , 	7 , 	4 , 	8 , 	9 , 	38 , 	46 , 	35 , 	92 , 	37 , 	14 , 	11 , 	19 , 	3 , 	19 , 	7 , 	9 , 	11 , 	4 , 	6 , 	5 , 	3 , 	4 , 	8 , 	5 , 	12 ," 	1,050 ",,,,,,,,,,
PL, 	64 , 	84 , 	32 , 	17 , 	40 , 	29 , 	64 , 	57 , 	85 , 	56 , 	123 , 	70 , 	58 , 	62 , 	29 , 	18 , 	19 , 	13 , 	38 , 	33 , 	38 , 	9 , 	12 , 	18 , 	181 , 	27 , 	6 , 	15 , 	17 , 	137 , 	205 , 	104 , 	232 , 	169 , 	56 , 	24 , 	27 , 	12 , 	40 , 	26 , 	35 , 	34 , 	17 , 	15 , 	3 , 	4 , 	6 , 	9 , 	10 , 	22 ," 	2,492 ",,,,,,,,,,
CC, 	23 , 	29 , 	12 , 	10 , 	30 , 	11 , 	34 , 	30 , 	39 , 	23 , 	80 , 	28 , 	21 , 	23 , 	14 , 	8 , 	5 , 	5 , 	13 , 	10 , 	9 , 	5 , 	5 , 	13 , 	68 , 	14 , 	11 , 	17 , 	9 , 	50 , 	58 , 	27 , 	63 , 	50 , 	26 , 	4 , 	13 , 	2 , 	9 , 	10 , 	17 , 	24 , 	10 , 	5 , 	1 , 	3 , 	5 , 	5 , 	6 , 	7 , 	988 ,,,,,,,,,,
16, 	30 , 	24 , 	7 , 	10 , 	18 , 	10 , 	30 , 	32 , 	27 , 	19 , 	41 , 	15 , 	13 , 	10 , 	6 , 	4 , 	6 , 	5 , 	9 , 	6 , 	7 , 	2 , 	5 , 	10 , 	45 , 	45 , 	31 , 	151 , 	62 , 	6 , 	19 , 	22 , 	69 , 	51 , 	18 , 	3 , 	9 , 	2 , 	10 , 	11 , 	15 , 	15 , 	11 , 	4 , 	2 , 	1 , 	3 , 	2 , 	4 , 	9 , 	959 ,,,,,,,,,,
24, 	38 , 	31 , 	7 , 	7 , 	11 , 	8 , 	19 , 	20 , 	18 , 	15 , 	43 , 	19 , 	16 , 	15 , 	9 , 	5 , 	4 , 	5 , 	8 , 	3 , 	7 , 	2 , 	1 , 	7 , 	34 , 	39 , 	39 , 	226 , 	70 , 	21 , 	7 , 	31 , 	46 , 	47 , 	25 , 	4 , 	4 , 	2 , 	11 , 	16 , 	22 , 	10 , 	8 , 	1 , 	2 , 	1 , 	4 , 	5 , 	3 , 	4 , 	994 ,,,,,,,,,,
