Exit stations,Entry stations->,,TOTAL,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	156 , 	737 , 	671 , 	526 ," 	1,740 ", 	603 , 	813 , 	597 , 	926 , 	269 , 	719 , 	709 , 	357 , 	290 , 	262 , 	166 , 	139 , 	127 , 	174 , 	59 , 	158 , 	35 , 	54 , 	131 , 	270 ," 	1,843 "," 	1,800 "," 	3,453 "," 	2,111 "," 	1,462 "," 	1,578 ", 	464 , 	490 , 	330 , 	159 , 	19 , 	88 , 	15 , 	107 , 	121 , 	283 , 	226 , 	114 , 	30 , 	73 , 	90 , 	65 , 	61 , 	79 , 	73 ," 	25,822 ",,,,,,,,,,,,,
GP, 	353 , 	468 , 	96 , 	56 , 	207 , 	101 , 	302 , 	330 , 	305 , 	265 , 	451 , 	275 , 	255 , 	159 , 	171 , 	122 , 	37 , 	31 , 	258 , 	114 , 	58 , 	60 , 	27 , 	127 , 	287 ," 	1,377 "," 	2,174 "," 	4,388 "," 	1,740 "," 	1,085 "," 	1,156 ", 	167 , 	388 , 	362 , 	276 , 	49 , 	93 , 	52 , 	169 , 	178 , 	453 , 	237 , 	206 , 	61 , 	22 , 	42 , 	26 , 	19 , 	88 , 	265 ," 	19,988 ",,,,,,,,,,,,,
BP, 	526 , 	511 , 	109 , 	80 , 	248 , 	123 , 	223 , 	372 , 	522 , 	449 , 	524 , 	340 , 	289 , 	320 , 	184 , 	98 , 	69 , 	90 , 	236 , 	68 , 	126 , 	44 , 	38 , 	100 , 	526 ," 	2,879 "," 	3,663 "," 	10,973 "," 	4,479 "," 	2,246 "," 	2,133 ", 	367 , 	253 , 	407 , 	461 , 	83 , 	152 , 	38 , 	220 , 	422 , 	955 , 	669 , 	547 , 	60 , 	41 , 	52 , 	29 , 	31 , 	35 , 	142 ," 	37,552 ",,,,,,,,,,,,,
DC, 	314 , 	394 , 	48 , 	128 , 	241 , 	76 , 	217 , 	295 , 	452 , 	312 , 	476 , 	433 , 	269 , 	179 , 	186 , 	76 , 	61 , 	127 , 	167 , 	102 , 	178 , 	29 , 	49 , 	31 , 	327 ," 	2,677 "," 	2,861 "," 	7,347 "," 	3,637 "," 	2,233 "," 	2,006 ", 	422 , 	521 , 	255 , 	219 , 	67 , 	247 , 	45 , 	210 , 	399 , 	804 ," 	1,028 ", 	690 , 	93 , 	31 , 	45 , 	73 , 	55 , 	105 , 	273 ," 	31,510 ",,,,,,,,,,,,,
CM, 	115 , 	200 , 	26 , 	36 , 	48 , 	35 , 	116 , 	158 , 	256 , 	63 , 	96 , 	64 , 	80 , 	98 , 	25 , 	39 , 	49 , 	42 , 	51 , 	53 , 	40 , 	12 , 	5 , 	10 , 	116 , 	974 , 	938 ," 	2,495 "," 	1,606 ", 	802 , 	947 , 	351 , 	508 , 	215 , 	90 , 	13 , 	52 , 	22 , 	146 , 	86 , 	289 , 	831 , 	308 , 	1 , 	2 , 	16 , 	9 , 	4 , 	74 , 	158 ," 	12,770 ",,,,,,,,,,,,,
CV, 	19 , 	40 , 	38 , 	22 , 	74 , 	17 , 	73 , 	58 , 	55 , 	499 , 	402 , 	247 , 	376 , 	310 , 	116 , 	128 , 	108 , 	130 , 	11 , 	4 , 	33 , 	9 , 	10 , 	-   , 	97 , 	654 , 	794 , 	922 , 	602 , 	261 , 	147 , 	61 , 	73 , 	112 , 	14 , 	57 , 	622 , 	-   , 	12 , 	25 , 	41 , 	57 , 	20 , 	497 , 	19 , 	55 , 	13 , 	7 , 	3 , 	10 ," 	7,954 ",,,,,,,,,,,,,
ED, 	74 , 	170 , 	22 , 	36 , 	108 , 	62 , 	197 , 	120 , 	153 , 	593 ," 	1,192 ", 	566 , 	729 ," 	1,006 ", 	370 , 	260 , 	257 , 	254 , 	64 , 	39 , 	43 , 	18 , 	3 , 	38 , 	219 ," 	1,355 "," 	1,275 "," 	1,802 "," 	1,442 ", 	404 , 	251 , 	111 , 	175 , 	249 , 	55 , 	579 , 	216 , 	10 , 	40 , 	44 , 	41 , 	335 , 	57 , 	201 , 	213 , 	70 , 	107 , 	93 , 	22 , 	32 ," 	15,772 ",,,,,,,,,,,,,
NC, 	8 , 	33 , 	20 , 	12 , 	35 , 	5 , 	114 , 	126 , 	107 , 	35 , 	31 , 	37 , 	41 , 	42 , 	34 , 	6 , 	8 , 	3 , 	203 , 	129 , 	137 , 	50 , 	27 , 	66 , 	12 , 	352 , 	426 , 	581 , 	460 , 	127 , 	97 , 	78 , 	48 , 	59 , 	25 , 	1 , 	12 , 	38 , 	289 , 	47 , 	42 , 	180 , 	13 , 	2 , 	43 , 	3 , 	6 , 	15 , 	132 , 	127 ," 	4,524 ",,,,,,,,,,,,,
WP, 	74 , 	176 , 	40 , 	68 , 	263 , 	59 , 	751 , 	466 , 	504 , 	64 , 	170 , 	150 , 	137 , 	84 , 	61 , 	80 , 	74 , 	51 ," 	1,292 ", 	511 , 	879 , 	159 , 	94 , 	252 , 	197 ," 	1,471 "," 	1,515 "," 	2,783 "," 	1,879 ", 	852 , 	797 , 	230 , 	252 , 	276 , 	134 , 	16 , 	39 , 	246 , 	134 , 	111 , 	151 , 	552 , 	57 , 	10 , 	104 , 	44 , 	12 , 	44 , 	152 , 	291 ," 	18,808 ",,,,,,,,,,,,,
SS, 	112 , 	201 , 	51 , 	10 , 	76 , 	14 , 	105 , 	94 , 	239 , 	56 , 	90 , 	87 , 	107 , 	87 , 	66 , 	34 , 	9 , 	15 , 	105 , 	49 , 	39 , 	2 , 	12 , 	10 , 	138 , 	727 , 	659 ," 	1,673 "," 	1,150 ", 	652 , 	803 , 	161 , 	393 , 	381 , 	120 , 	18 , 	39 , 	38 , 	103 , 	83 , 	197 , 	336 , 	202 , 	9 , 	8 , 	33 , 	6 , 	6 , 	35 , 	166 ," 	9,806 ",,,,,,,,,,,,,
SB, 	283 , 	210 , 	47 , 	18 , 	54 , 	108 , 	71 , 	125 , 	237 , 	68 , 	178 , 	123 , 	105 , 	151 , 	78 , 	50 , 	25 , 	79 , 	195 , 	79 , 	106 , 	8 , 	21 , 	50 , 	228 , 	495 , 	801 ," 	1,513 "," 	1,079 ", 	895 , 	971 , 	490 , 	932 , 	893 , 	265 , 	43 , 	15 , 	52 , 	172 , 	232 , 	101 , 	286 , 	140 , 	6 , 	17 , 	-   , 	37 , 	17 , 	76 , 	107 ," 	12,332 ",,,,,,,,,,,,,
SO, 	215 , 	405 , 	125 , 	99 , 	276 , 	89 , 	291 , 	251 , 	306 , 	97 , 	199 , 	141 , 	169 , 	143 , 	150 , 	66 , 	54 , 	38 , 	525 , 	342 , 	328 , 	117 , 	120 , 	180 , 	294 , 	349 , 	373 ," 	1,233 ", 	763 , 	556 , 	384 , 	216 , 	656 , 	945 , 	633 , 	43 , 	265 , 	170 , 	619 , 	219 , 	264 , 	254 , 	683 , 	83 , 	40 , 	12 , 	22 , 	14 , 	166 , 	633 ," 	14,615 ",,,,,,,,,,,,,
MB, 	115 , 	191 , 	77 , 	24 , 	138 , 	44 , 	115 , 	95 , 	177 , 	33 , 	80 , 	90 , 	27 , 	94 , 	72 , 	30 , 	8 , 	23 , 	128 , 	24 , 	67 , 	26 , 	10 , 	34 , 	96 , 	271 , 	514 , 	815 , 	799 , 	490 , 	370 , 	214 , 	568 , 	670 , 	321 , 	13 , 	47 , 	7 , 	80 , 	133 , 	95 , 	713 , 	118 , 	2 , 	7 , 	3 , 	1 , 	2 , 	11 , 	86 ," 	8,168 ",,,,,,,,,,,,,
WD, 	34 , 	43 , 	28 , 	5 , 	45 , 	22 , 	70 , 	78 , 	50 , 	328 , 	565 , 	257 , 	442 , 	687 , 	204 , 	222 , 	122 , 	116 , 	32 , 	7 , 	14 , 	4 , 	1 , 	8 , 	59 , 	446 , 	331 , 	625 , 	416 , 	145 , 	134 , 	108 , 	82 , 	75 , 	3 , 	519 , 	301 , 	10 , 	11 , 	5 , 	5 , 	78 , 	5 , 	92 , 	70 , 	43 , 	51 , 	61 , 	1 , 	19 ," 	7,079 ",,,,,,,,,,,,,
OA, 	54 , 	89 , 	36 , 	39 , 	105 , 	52 , 	42 , 	47 , 	65 , 	62 , 	93 , 	121 , 	44 , 	26 , 	28 , 	40 , 	30 , 	42 , 	80 , 	90 , 	73 , 	31 , 	11 , 	34 , 	33 , 	122 , 	77 , 	144 , 	98 , 	65 , 	39 , 	12 , 	47 , 	24 , 	-   , 	11 , 	144 , 	25 , 	89 , 	7 , 	18 , 	63 , 	6 , 	41 , 	23 , 	17 , 	20 , 	24 , 	21 , 	72 ," 	2,576 ",,,,,,,,,,,,,
WS, 	99 , 	112 , 	26 , 	69 , 	64 , 	96 , 	72 , 	113 , 	140 , 	259 , 	513 , 	346 , 	314 , 	315 , 	400 , 	347 , 	516 , 	245 , 	44 , 	29 , 	17 , 	15 , 	2 , 	2 , 	33 , 	208 , 	196 , 	165 , 	173 , 	100 , 	78 , 	44 , 	58 , 	64 , 	20 , 	48 , 	80 , 	-   , 	33 , 	18 , 	5 , 	27 , 	3 , 	55 , 	19 , 	63 , 	302 , 	321 , 	8 , 	19 ," 	6,295 ",,,,,,,,,,,,,
ML, 	67 , 	117 , 	39 , 	36 , 	86 , 	36 , 	104 , 	125 , 	86 , 	149 , 	150 , 	114 , 	115 , 	200 , 	328 , 	186 , 	305 , 	407 , 	43 , 	27 , 	16 , 	11 , 	3 , 	18 , 	16 , 	129 , 	243 , 	233 , 	244 , 	66 , 	67 , 	29 , 	22 , 	76 , 	16 , 	30 , 	112 , 	13 , 	27 , 	5 , 	30 , 	39 , 	3 , 	42 , 	25 , 	282 , 	98 , 	104 , 	16 , 	41 ," 	4,776 ",,,,,,,,,,,,,
BE, 	91 , 	134 , 	43 , 	38 , 	198 , 	100 , 	111 , 	131 , 	141 , 	238 , 	365 , 	187 , 	191 , 	193 , 	297 , 	224 , 	260 , 	456 , 	72 , 	47 , 	25 , 	6 , 	16 , 	18 , 	56 , 	284 , 	182 , 	393 , 	359 , 	83 , 	84 , 	25 , 	43 , 	68 , 	10 , 	11 , 	85 , 	12 , 	73 , 	10 , 	6 , 	21 , 	1 , 	53 , 	28 , 	392 , 	102 , 	104 , 	19 , 	36 ," 	6,122 ",,,,,,,,,,,,,
PC, 	68 , 	69 , 	32 , 	8 , 	59 , 	31 , 	355 , 	184 , 	188 , 	24 , 	102 , 	76 , 	90 , 	36 , 	49 , 	46 , 	25 , 	9 , 	747 , 	254 , 	462 , 	123 , 	59 , 	89 , 	58 , 	504 , 	312 , 	672 , 	523 , 	268 , 	271 , 	127 , 	55 , 	104 , 	51 , 	10 , 	9 , 	100 , 	120 , 	35 , 	68 , 	161 , 	18 , 	6 , 	24 , 	6 , 	17 , 	22 , 	55 , 	223 ," 	7,004 ",,,,,,,,,,,,,
AN, 	82 , 	92 , 	27 , 	22 , 	135 , 	79 , 	592 , 	366 , 	561 , 	104 , 	233 , 	296 , 	115 , 	57 , 	120 , 	65 , 	56 , 	60 , 	869 , 	273 , 	473 , 	107 , 	32 , 	202 , 	111 ," 	1,328 "," 	1,067 "," 	1,627 "," 	1,527 ", 	698 , 	441 , 	293 , 	141 , 	257 , 	178 , 	21 , 	40 , 	174 , 	297 , 	161 , 	91 , 	543 , 	115 , 	12 , 	118 , 	29 , 	37 , 	32 , 	181 , 	173 ," 	14,710 ",,,,,,,,,,,,,
Entries," 	26,190 "," 	33,111 "," 	13,346 "," 	8,481 "," 	22,921 "," 	12,893 "," 	26,456 "," 	24,147 "," 	31,380 "," 	22,088 "," 	45,784 "," 	29,462 "," 	29,081 "," 	27,429 "," 	19,786 "," 	13,750 "," 	12,541 "," 	12,426 "," 	21,321 "," 	14,196 "," 	14,339 "," 	5,777 "," 	4,423 "," 	8,387 "," 	30,597 "," 	59,918 "," 	59,337 "," 	112,301 "," 	71,648 "," 	41,660 "," 	43,046 "," 	20,907 "," 	39,712 "," 	30,167 "," 	13,102 "," 	8,098 "," 	15,927 "," 	4,841 "," 	18,637 "," 	9,421 "," 	11,872 "," 	15,568 "," 	8,689 "," 	6,686 "," 	3,175 "," 	6,934 "," 	4,710 "," 	5,701 "," 	7,490 "," 	15,068 "," 	1,144,927 ",,,,,,,,,,,,,
