Exit stations,Entry stations->,,TOTAL,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	156 , 	737 , 	671 , 	526 ," 	1,740 ", 	603 , 	813 , 	597 , 	926 , 	269 , 	719 , 	709 , 	357 , 	290 , 	262 , 	166 , 	139 , 	127 , 	174 , 	59 , 	158 , 	35 , 	54 , 	131 , 	270 ," 	1,843 "," 	1,800 "," 	3,453 "," 	2,111 "," 	1,462 "," 	1,578 ", 	464 , 	490 , 	330 , 	159 , 	19 , 	88 , 	15 , 	107 , 	121 , 	283 , 	226 , 	114 , 	30 , 	73 , 	90 , 	65 , 	61 , 	79 , 	73 ," 	25,822 ",,,,,,,,,,,,,
CL, 	694 , 	606 , 	191 , 	253 , 	668 , 	396 , 	895 , 	714 , 	989 , 	865 ," 	1,692 ", 	244 ," 	1,049 "," 	1,345 ", 	919 , 	471 , 	397 , 	456 , 	191 , 	115 , 	158 , 	40 , 	27 , 	122 , 	719 ," 	1,593 "," 	1,602 "," 	3,134 "," 	1,999 ", 	899 , 	955 , 	334 , 	394 , 	413 , 	66 , 	214 , 	575 , 	49 , 	224 , 	59 , 	128 , 	171 , 	103 , 	275 , 	167 , 	329 , 	90 , 	174 , 	150 , 	283 ," 	28,596 ",,,,,,,,,,,,,
SL, 	379 , 	397 , 	187 , 	135 , 	529 , 	310 , 	637 , 	552 ," 	1,137 "," 	1,564 "," 	2,203 "," 	1,253 ", 	153 ," 	1,124 "," 	1,097 ", 	820 , 	486 , 	457 , 	129 , 	112 , 	126 , 	48 , 	57 , 	163 , 	459 ," 	2,014 "," 	2,213 "," 	3,212 "," 	1,921 ", 	925 , 	786 , 	244 , 	263 , 	283 , 	71 , 	361 , 	831 , 	21 , 	107 , 	131 , 	74 , 	181 , 	41 , 	396 , 	65 , 	327 , 	123 , 	155 , 	106 , 	113 ," 	29,478 ",,,,,,,,,,,,,
BF, 	259 , 	345 , 	97 , 	165 , 	377 , 	158 , 	541 , 	736 , 	906 ," 	1,345 "," 	2,373 "," 	1,469 "," 	1,081 ", 	152 , 	882 , 	639 , 	525 , 	748 , 	137 , 	96 , 	125 , 	23 , 	64 , 	98 , 	409 ," 	1,755 "," 	1,833 "," 	2,772 "," 	2,126 ", 	789 , 	629 , 	177 , 	345 , 	234 , 	92 , 	289 ," 	1,010 ", 	44 , 	75 , 	85 , 	107 , 	166 , 	88 , 	574 , 	37 , 	434 , 	156 , 	206 , 	37 , 	63 ," 	27,873 ",,,,,,,,,,,,,
HY, 	239 , 	268 , 	51 , 	148 , 	289 , 	159 , 	435 , 	580 , 	744 , 	646 ," 	1,507 ", 	899 ," 	1,176 ", 	862 , 	200 , 	632 , 	947 ," 	1,107 ", 	130 , 	88 , 	103 , 	48 , 	21 , 	104 , 	333 ," 	1,019 ", 	846 ," 	1,643 "," 	1,061 ", 	471 , 	414 , 	211 , 	176 , 	208 , 	55 , 	135 , 	474 , 	40 , 	88 , 	50 , 	87 , 	89 , 	88 , 	182 , 	41 , 	638 , 	337 , 	278 , 	60 , 	134 ," 	20,541 ",,,,,,,,,,,,,
SH, 	186 , 	144 , 	98 , 	64 , 	177 , 	62 , 	283 , 	254 , 	323 , 	448 , 	789 , 	482 , 	726 , 	683 , 	549 , 	117 , 	381 , 	671 , 	58 , 	23 , 	45 , 	16 , 	11 , 	29 , 	197 , 	900 , 	913 ," 	1,139 ", 	766 , 	385 , 	312 , 	142 , 	73 , 	74 , 	44 , 	138 , 	211 , 	11 , 	67 , 	47 , 	32 , 	79 , 	34 , 	203 , 	48 , 	342 , 	186 , 	210 , 	41 , 	84 ," 	13,297 ",,,,,,,,,,,,,
UC, 	141 , 	187 , 	106 , 	35 , 	282 , 	139 , 	281 , 	274 , 	460 , 	396 , 	723 , 	445 , 	517 , 	484 , 	886 , 	386 , 	153 , 	633 , 	67 , 	36 , 	32 , 	15 , 	5 , 	62 , 	88 , 	805 , 	608 , 	845 , 	819 , 	272 , 	264 , 	49 , 	54 , 	69 , 	18 , 	76 , 	249 , 	7 , 	57 , 	11 , 	21 , 	67 , 	7 , 	171 , 	42 , 	608 , 	287 , 	258 , 	38 , 	51 ," 	12,586 ",,,,,,,,,,,,,
FM, 	143 , 	249 , 	83 , 	44 , 	177 , 	71 , 	274 , 	214 , 	373 , 	378 , 	824 , 	483 , 	566 , 	662 ," 	1,142 ", 	717 , 	715 , 	134 , 	78 , 	82 , 	26 , 	6 , 	24 , 	18 , 	84 , 	556 , 	578 , 	760 , 	608 , 	322 , 	190 , 	66 , 	109 , 	129 , 	43 , 	173 , 	253 , 	3 , 	66 , 	15 , 	83 , 	101 , 	21 , 	67 , 	57 , 	321 , 	450 , 	444 , 	14 , 	49 ," 	13,045 ",,,,,,,,,,,,,
CN, 	204 , 	187 , 	95 , 	41 , 	161 , 	122 , 	581 , 	494 , 	605 , 	94 , 	252 , 	215 , 	145 , 	130 , 	116 , 	46 , 	71 , 	72 , 	201 , 	533 ," 	1,297 ", 	793 , 	247 , 	367 , 	173 ," 	1,612 "," 	1,412 "," 	2,669 "," 	2,071 ", 	668 , 	629 , 	329 , 	258 , 	175 , 	76 , 	18 , 	72 , 	263 ," 	1,187 ", 	117 , 	185 , 	558 , 	118 , 	26 , 	117 , 	41 , 	49 , 	57 , 	795 , 	900 ," 	21,644 ",,,,,,,,,,,,,
PH, 	45 , 	112 , 	56 , 	72 , 	157 , 	102 , 	505 , 	483 , 	636 , 	122 , 	169 , 	131 , 	91 , 	76 , 	72 , 	10 , 	19 , 	83 , 	593 , 	127 , 	545 , 	308 , 	158 , 	334 , 	76 ," 	1,467 "," 	1,525 "," 	1,985 "," 	1,425 ", 	527 , 	310 , 	164 , 	87 , 	95 , 	54 , 	4 , 	44 , 	114 , 	520 , 	40 , 	119 , 	364 , 	43 , 	9 , 	114 , 	32 , 	23 , 	38 , 	335 , 	247 ," 	14,767 ",,,,,,,,,,,,,
WC, 	164 , 	205 , 	68 , 	140 , 	158 , 	58 , 	495 , 	361 , 	562 , 	107 , 	226 , 	158 , 	119 , 	109 , 	112 , 	59 , 	45 , 	15 ," 	1,365 ", 	553 , 	108 , 	290 , 	252 , 	370 , 	98 , 	915 ," 	1,135 "," 	1,394 ", 	931 , 	386 , 	324 , 	68 , 	103 , 	198 , 	29 , 	29 , 	33 , 	215 , 	924 , 	44 , 	109 , 	314 , 	60 , 	9 , 	88 , 	21 , 	21 , 	30 , 	481 , 	534 ," 	14,592 ",,,,,,,,,,,,,
