Exit stations,Entry stations->,,WEEKDAY,,,Dec 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	6 , 	28 , 	25 , 	21 , 	69 , 	24 , 	32 , 	24 , 	38 , 	10 , 	26 , 	29 , 	15 , 	12 , 	11 , 	7 , 	6 , 	5 , 	6 , 	2 , 	6 , 	1 , 	2 , 	5 , 	11 , 	75 , 	76 , 	133 , 	90 , 	58 , 	63 , 	19 , 	19 , 	12 , 	6 , 	1 , 	3 , 	1 , 	4 , 	5 , 	11 , 	7 , 	5 , 	1 , 	3 , 	3 , 	2 , 	2 , 	3 , 	2 ," 	1,024 ",,,,,,,,,,,,,
EN, 	30 , 	9 , 	16 , 	18 , 	93 , 	31 , 	50 , 	39 , 	60 , 	17 , 	37 , 	25 , 	17 , 	12 , 	9 , 	6 , 	8 , 	10 , 	9 , 	4 , 	7 , 	2 , 	3 , 	6 , 	11 , 	133 , 	126 , 	186 , 	145 , 	61 , 	69 , 	19 , 	27 , 	15 , 	8 , 	1 , 	6 , 	1 , 	7 , 	7 , 	9 , 	17 , 	9 , 	2 , 	4 , 	5 , 	5 , 	6 , 	3 , 	4 ," 	1,403 ",,,,,,,,,,,,,
EP, 	27 , 	13 , 	3 , 	14 , 	68 , 	18 , 	23 , 	18 , 	37 , 	8 , 	18 , 	8 , 	7 , 	4 , 	2 , 	4 , 	5 , 	3 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	4 , 	48 , 	39 , 	54 , 	45 , 	17 , 	15 , 	4 , 	6 , 	2 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	5 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	552 ,,,,,,,,,,,,,
NB, 	22 , 	16 , 	15 , 	3 , 	11 , 	11 , 	14 , 	13 , 	12 , 	5 , 	17 , 	11 , 	6 , 	6 , 	6 , 	2 , 	1 , 	3 , 	2 , 	3 , 	5 , 	0 , 	0 , 	1 , 	3 , 	26 , 	22 , 	26 , 	23 , 	12 , 	12 , 	2 , 	4 , 	5 , 	1 , 	1 , 	1 , 	1 , 	3 , 	0 , 	1 , 	4 , 	2 , 	0 , 	2 , 	2 , 	1 , 	1 , 	0 , 	2 , 	340 ,,,,,,,,,,,,,
BK, 	82 , 	103 , 	67 , 	13 , 	8 , 	34 , 	38 , 	35 , 	49 , 	16 , 	47 , 	29 , 	21 , 	15 , 	14 , 	8 , 	12 , 	8 , 	8 , 	5 , 	5 , 	3 , 	2 , 	2 , 	12 , 	47 , 	30 , 	54 , 	50 , 	24 , 	23 , 	7 , 	12 , 	10 , 	2 , 	4 , 	5 , 	2 , 	11 , 	3 , 	2 , 	7 , 	5 , 	2 , 	4 , 	3 , 	3 , 	6 , 	2 , 	6 , 	961 ,,,,,,,,,,,,,
AS, 	22 , 	31 , 	18 , 	7 , 	27 , 	3 , 	18 , 	19 , 	26 , 	6 , 	31 , 	15 , 	10 , 	6 , 	5 , 	3 , 	6 , 	2 , 	5 , 	2 , 	2 , 	0 , 	1 , 	1 , 	9 , 	28 , 	32 , 	42 , 	45 , 	17 , 	12 , 	3 , 	6 , 	2 , 	1 , 	1 , 	2 , 	0 , 	3 , 	1 , 	4 , 	4 , 	2 , 	1 , 	2 , 	5 , 	1 , 	3 , 	1 , 	2 , 	492 ,,,,,,,,,,,,,
MA, 	45 , 	49 , 	21 , 	12 , 	34 , 	18 , 	6 , 	16 , 	24 , 	9 , 	45 , 	33 , 	26 , 	20 , 	15 , 	9 , 	12 , 	10 , 	20 , 	18 , 	20 , 	6 , 	6 , 	6 , 	13 , 	65 , 	55 , 	111 , 	86 , 	48 , 	32 , 	13 , 	11 , 	10 , 	7 , 	2 , 	8 , 	4 , 	27 , 	4 , 	3 , 	10 , 	4 , 	3 , 	2 , 	3 , 	4 , 	5 , 	17 , 	23 ," 	1,050 ",,,,,,,,,,,,,
19, 	25 , 	38 , 	13 , 	12 , 	31 , 	16 , 	14 , 	4 , 	6 , 	4 , 	21 , 	30 , 	22 , 	29 , 	19 , 	11 , 	11 , 	8 , 	21 , 	20 , 	14 , 	5 , 	4 , 	9 , 	12 , 	73 , 	68 , 	92 , 	78 , 	37 , 	24 , 	11 , 	15 , 	13 , 	5 , 	2 , 	4 , 	7 , 	22 , 	3 , 	5 , 	8 , 	4 , 	3 , 	3 , 	3 , 	5 , 	4 , 	7 , 	18 , 	915 ,,,,,,,,,,,,,
12, 	37 , 	63 , 	33 , 	13 , 	40 , 	23 , 	21 , 	5 , 	10 , 	5 , 	28 , 	32 , 	40 , 	34 , 	29 , 	12 , 	17 , 	15 , 	25 , 	27 , 	22 , 	6 , 	8 , 	11 , 	18 , 	74 , 	74 , 	130 , 	83 , 	44 , 	33 , 	14 , 	21 , 	23 , 	11 , 	2 , 	5 , 	6 , 	21 , 	10 , 	11 , 	12 , 	7 , 	1 , 	2 , 	6 , 	3 , 	6 , 	8 , 	27 ," 	1,205 ",,,,,,,,,,,,,
LM, 	9 , 	17 , 	9 , 	5 , 	12 , 	7 , 	8 , 	4 , 	5 , 	4 , 	37 , 	45 , 	63 , 	51 , 	29 , 	22 , 	19 , 	17 , 	3 , 	5 , 	5 , 	1 , 	0 , 	2 , 	9 , 	70 , 	68 , 	112 , 	79 , 	36 , 	21 , 	11 , 	16 , 	10 , 	1 , 	21 , 	31 , 	2 , 	4 , 	1 , 	2 , 	4 , 	1 , 	13 , 	4 , 	11 , 	8 , 	7 , 	2 , 	4 , 	929 ,,,,,,,,,,,,,
FV, 	27 , 	39 , 	16 , 	17 , 	46 , 	26 , 	38 , 	25 , 	32 , 	32 , 	14 , 	73 , 	85 , 	84 , 	65 , 	34 , 	30 , 	31 , 	8 , 	6 , 	11 , 	6 , 	9 , 	14 , 	37 , 	126 , 	114 , 	219 , 	170 , 	71 , 	78 , 	20 , 	21 , 	19 , 	4 , 	21 , 	50 , 	1 , 	7 , 	3 , 	7 , 	8 , 	3 , 	24 , 	3 , 	23 , 	7 , 	12 , 	4 , 	9 ," 	1,829 ",,,,,,,,,,,,,
