Fast Pass Adjusted OD,,,,,,Oct 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,62,46,187,184,599,950,772,"1,212","4,013"
MT,51,57,120,176,864,"1,381","1,165","2,451","6,266"
PL,254,160,91,150,790,"1,145",760,"2,117","5,467"
CC,164,174,175,51,585,732,540,"1,473","3,894"
16,508,696,994,578,23,244,237,678,"3,959"
24,789,"1,092","1,389",724,263,36,158,606,"5,058"
GP,729,898,"1,032",481,233,182,19,135,"3,710"
BP,"1,103","1,432","3,103","1,395",681,655,155,41,"8,565"
Entries,"3,660","4,555","7,090","3,739","4,039","5,326","3,808","8,713","40,931"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,8,74,56,255,285,145,309,"1,158"
MT,8,19,34,35,337,384,359,"1,119","2,294"
PL,79,30,89,78,679,991,608,"1,408","3,961"
CC,44,26,81,42,412,445,223,569,"1,840"
16,196,213,791,414,15,174,139,373,"2,315"
24,235,233,"1,078",455,174,43,115,340,"2,671"
GP,123,167,785,175,123,119,20,67,"1,579"
BP,284,412,"2,193",492,350,329,70,35,"4,164"
Entries,995,"1,106","5,125","1,748","2,343","2,770","1,677","4,219","19,981"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,8,42,27,141,160,79,179,666
MT,6,20,24,21,181,226,199,716,"1,393"
PL,44,16,79,44,453,638,389,875,"2,539"
CC,25,16,65,40,310,289,144,379,"1,269"
16,145,127,545,306,25,112,83,202,"1,544"
24,157,157,736,312,109,27,76,209,"1,783"
GP,76,102,561,133,81,74,17,28,"1,073"
BP,204,259,"1,489",333,197,214,30,32,"2,757"
Entries,687,705,"3,541","1,216","1,497","1,742","1,018","2,619","13,024"
