Fast Pass Adjusted OD,,,,,,May 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,53,35,119,134,486,874,736,"1,077","3,513"
MT,34,43,68,128,745,"1,258","1,049","2,156","5,481"
PL,166,88,69,108,632,"1,010",651,"1,659","4,382"
CC,126,123,121,66,559,785,533,"1,470","3,782"
16,403,580,767,531,27,204,178,538,"3,226"
24,742,998,"1,154",740,219,47,153,548,"4,601"
GP,684,783,836,446,179,162,19,116,"3,224"
BP,946,"1,280","2,448","1,277",552,561,114,29,"7,208"
Entries,"3,153","3,930","5,582","3,431","3,398","4,900","3,433","7,592","35,417"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,6,37,37,196,248,113,228,884
MT,6,18,20,29,280,361,305,975,"1,995"
PL,30,13,56,38,495,741,425,"1,003","2,800"
CC,26,22,42,46,342,396,189,520,"1,583"
16,147,173,568,332,20,124,98,266,"1,729"
24,196,229,804,380,127,31,110,251,"2,129"
GP,114,147,574,178,91,98,16,67,"1,285"
BP,192,340,"1,678",455,269,246,60,26,"3,265"
Entries,728,947,"3,779","1,495","1,822","2,245","1,316","3,337","15,669"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,4,18,28,145,181,77,144,618
MT,8,17,18,27,191,208,174,643,"1,285"
PL,25,13,59,38,374,532,291,668,"2,000"
CC,19,12,42,45,295,318,134,338,"1,203"
16,103,119,425,301,23,110,70,164,"1,315"
24,151,151,593,344,108,29,90,204,"1,670"
GP,71,78,442,135,74,83,15,36,934
BP,138,202,"1,240",302,177,187,37,22,"2,306"
Entries,535,597,"2,837","1,220","1,387","1,648",888,"2,220","11,332"
