Exit stations,Entry stations->,,TOTAL,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	567 ," 	1,713 "," 	1,553 ", 	909 ," 	6,129 "," 	1,380 "," 	1,997 "," 	1,415 "," 	1,917 ", 	594 ," 	1,324 "," 	1,202 ", 	611 , 	269 , 	464 , 	230 , 	203 , 	216 , 	386 , 	159 , 	365 , 	175 , 	150 , 	348 , 	502 ," 	5,181 "," 	3,943 "," 	6,891 "," 	3,697 "," 	2,425 "," 	2,799 ", 	788 , 	607 , 	577 , 	288 , 	94 , 	152 , 	73 , 	185 , 	179 , 	400 ," 	1,125 ", 	334 , 	59 , 	217 , 	309 , 	201 , 	231 , 	127 , 	193 ," 	55,853 ",,,,,,,,,,,,,
ED, 	175 , 	343 , 	133 , 	162 ," 	1,351 ", 	217 , 	672 ," 	1,211 "," 	1,546 "," 	2,170 "," 	2,082 "," 	3,538 "," 	1,910 "," 	1,700 ", 	933 , 	665 , 	915 , 	713 , 	149 , 	82 , 	97 , 	33 , 	31 , 	89 , 	487 ," 	17,166 "," 	10,380 "," 	7,841 "," 	6,342 "," 	1,712 "," 	1,047 ", 	497 , 	428 , 	759 , 	123 ," 	1,573 "," 	1,082 ", 	17 , 	76 , 	118 , 	109 ," 	2,177 ", 	252 , 	627 ," 	1,035 ", 	442 , 	504 , 	528 , 	50 , 	75 ," 	76,364 ",,,,,,,,,,,,,
NC, 	74 , 	82 , 	42 , 	45 , 	167 , 	48 , 	284 , 	364 , 	456 , 	127 , 	100 , 	234 , 	91 , 	21 , 	40 , 	20 , 	20 , 	13 , 	615 , 	278 , 	334 , 	112 , 	74 , 	262 , 	81 ," 	2,037 "," 	1,469 "," 	1,566 "," 	1,589 ", 	476 , 	402 , 	91 , 	151 , 	147 , 	55 , 	11 , 	27 , 	167 , 	544 , 	120 , 	61 , 	655 , 	32 , 	4 , 	131 , 	40 , 	22 , 	42 , 	457 , 	438 ," 	14,718 ",,,,,,,,,,,,,
WP, 	186 , 	259 , 	85 , 	101 , 	539 , 	148 ," 	1,316 ", 	998 ," 	1,602 ", 	181 , 	232 , 	429 , 	194 , 	139 , 	179 , 	85 , 	88 , 	121 ," 	2,840 "," 	1,119 "," 	2,075 ", 	374 , 	200 , 	493 , 	232 ," 	4,975 "," 	4,241 "," 	6,429 "," 	4,103 "," 	1,631 "," 	1,279 ", 	498 , 	450 , 	439 , 	190 , 	23 , 	90 , 	505 , 	396 , 	207 , 	219 ," 	1,524 ", 	95 , 	40 , 	259 , 	128 , 	83 , 	83 , 	219 , 	496 ," 	42,817 ",,,,,,,,,,,,,
SS, 	137 , 	343 , 	88 , 	98 , 	387 , 	72 , 	311 , 	454 , 	770 , 	159 , 	185 , 	247 , 	159 , 	160 , 	66 , 	51 , 	51 , 	21 , 	214 , 	153 , 	249 , 	67 , 	57 , 	155 , 	266 ," 	4,253 "," 	4,363 "," 	4,888 "," 	3,772 "," 	1,930 "," 	1,694 ", 	681 , 	953 ," 	1,381 ", 	323 , 	37 , 	126 , 	126 , 	176 , 	274 , 	462 , 	919 , 	772 , 	33 , 	21 , 	54 , 	15 , 	17 , 	20 , 	302 ," 	32,512 ",,,,,,,,,,,,,
SB, 	389 , 	420 , 	126 , 	105 , 	451 , 	207 , 	312 , 	513 , 	693 , 	199 , 	271 , 	347 , 	140 , 	132 , 	161 , 	64 , 	52 , 	67 , 	382 , 	225 , 	223 , 	113 , 	85 , 	158 , 	366 ," 	3,890 "," 	3,946 "," 	4,619 "," 	4,031 "," 	2,268 "," 	2,079 ", 	974 ," 	1,533 "," 	1,700 ", 	711 , 	99 , 	135 , 	82 , 	278 , 	550 , 	315 ," 	1,714 ", 	624 , 	62 , 	38 , 	56 , 	27 , 	17 , 	76 , 	298 ," 	36,323 ",,,,,,,,,,,,,
SO," 	1,193 "," 	1,609 "," 	1,323 "," 	1,874 "," 	2,285 "," 	1,219 "," 	1,940 "," 	1,581 "," 	1,804 ", 	438 , 	886 , 	442 , 	435 , 	226 , 	159 , 	134 , 	240 , 	471 ," 	1,778 "," 	2,178 "," 	2,753 "," 	1,673 "," 	1,312 "," 	2,227 "," 	2,077 "," 	5,623 "," 	5,174 "," 	16,173 "," 	5,393 "," 	3,747 "," 	2,475 "," 	1,759 "," 	1,628 "," 	3,119 "," 	1,537 ", 	194 ," 	1,932 ", 	607 ," 	1,463 ", 	668 ," 	1,262 "," 	2,050 "," 	7,209 ", 	493 , 	297 , 	178 , 	152 , 	123 , 	203 ," 	1,427 "," 	97,143 ",,,,,,,,,,,,,
MB, 	386 , 	674 , 	292 , 	354 ," 	1,566 ", 	366 , 	578 , 	807 , 	860 , 	186 , 	174 , 	335 , 	136 , 	115 , 	85 , 	58 , 	29 , 	50 , 	266 , 	130 , 	189 , 	91 , 	65 , 	173 , 	437 ," 	6,241 "," 	6,381 "," 	6,141 "," 	6,132 "," 	3,146 "," 	2,296 "," 	1,242 "," 	1,715 "," 	2,913 "," 	1,065 ", 	65 , 	222 , 	22 , 	107 , 	643 , 	495 ," 	8,194 "," 	1,095 ", 	94 , 	84 , 	4 , 	19 , 	14 , 	61 , 	211 ," 	57,004 ",,,,,,,,,,,,,
WD, 	100 , 	207 , 	83 , 	78 , 	411 , 	61 , 	239 , 	581 , 	519 ," 	1,085 "," 	1,053 "," 	1,226 "," 	1,013 "," 	1,014 ", 	596 , 	390 , 	460 , 	333 , 	95 , 	45 , 	34 , 	5 , 	30 , 	31 , 	159 ," 	6,695 "," 	4,040 "," 	2,551 "," 	2,321 ", 	948 , 	394 , 	269 , 	272 , 	306 , 	29 ," 	1,133 ", 	716 , 	5 , 	27 , 	43 , 	57 , 	641 , 	86 , 	301 , 	433 , 	208 , 	226 , 	370 , 	13 , 	22 ," 	31,954 ",,,,,,,,,,,,,
OA, 	170 , 	575 , 	405 , 	421 , 	845 , 	324 , 	430 , 	446 , 	533 , 	346 , 	193 , 	605 , 	136 , 	120 , 	197 , 	121 , 	177 , 	236 , 	402 , 	468 , 	427 , 	257 , 	119 , 	212 , 	134 ," 	1,644 "," 	1,145 "," 	1,287 ", 	859 , 	370 , 	330 , 	224 , 	173 , 	192 , 	23 , 	87 , 	819 , 	112 , 	245 , 	24 , 	48 , 	391 , 	70 , 	373 , 	283 , 	104 , 	227 , 	153 , 	52 , 	234 ," 	17,768 ",,,,,,,,,,,,,
WS, 	369 , 	482 , 	164 , 	182 ," 	1,035 ", 	209 , 	568 , 	794 , 	662 , 	987 ," 	1,216 "," 	1,147 "," 	1,011 "," 	1,016 "," 	1,505 "," 	1,410 "," 	1,808 "," 	1,736 ", 	123 , 	91 , 	97 , 	17 , 	43 , 	76 , 	223 ," 	2,413 "," 	1,976 "," 	1,311 "," 	1,210 ", 	555 , 	270 , 	162 , 	169 , 	212 , 	16 , 	137 , 	416 , 	40 , 	129 , 	62 , 	57 , 	239 , 	3 , 	130 , 	89 , 	331 ," 	1,692 "," 	1,557 ", 	44 , 	136 ," 	30,327 ",,,,,,,,,,,,,
ML, 	260 , 	319 , 	164 , 	181 ," 	1,341 ", 	276 , 	439 , 	729 , 	754 , 	626 , 	670 ," 	1,209 ", 	709 , 	604 ," 	1,018 ", 	643 ," 	1,576 "," 	1,973 ", 	152 , 	103 , 	118 , 	45 , 	63 , 	123 , 	120 ," 	3,135 "," 	2,741 "," 	2,058 "," 	1,544 ", 	413 , 	261 , 	129 , 	201 , 	188 , 	38 , 	104 , 	507 , 	16 , 	67 , 	12 , 	29 , 	232 , 	20 , 	189 , 	200 ," 	1,842 ", 	462 , 	558 , 	27 , 	111 ," 	29,299 ",,,,,,,,,,,,,
BE, 	237 , 	508 , 	205 , 	272 ," 	1,828 ", 	417 , 	674 , 	967 ," 	1,057 ", 	822 , 	912 ," 	1,938 ", 	671 , 	724 ," 	1,053 ", 	728 ," 	1,184 "," 	1,783 ", 	169 , 	170 , 	155 , 	59 , 	53 , 	181 , 	189 ," 	3,685 "," 	2,920 "," 	2,458 "," 	2,064 ", 	728 , 	414 , 	126 , 	188 , 	217 , 	27 , 	97 , 	591 , 	44 , 	88 , 	21 , 	30 , 	198 , 	19 , 	282 , 	191 ," 	1,778 ", 	522 , 	545 , 	32 , 	123 ," 	34,344 ",,,,,,,,,,,,,
PC, 	126 , 	67 , 	41 , 	57 , 	243 , 	61 , 	513 , 	324 , 	379 , 	127 , 	152 , 	164 , 	84 , 	54 , 	66 , 	33 , 	15 , 	26 ," 	1,380 ", 	481 , 	775 , 	136 , 	167 , 	235 , 	127 , 	669 , 	723 ," 	1,308 ", 	859 , 	406 , 	265 , 	97 , 	168 , 	115 , 	75 , 	2 , 	45 , 	334 , 	215 , 	69 , 	57 , 	193 , 	29 , 	19 , 	77 , 	46 , 	23 , 	41 , 	58 , 	488 ," 	12,214 ",,,,,,,,,,,,,
AN, 	233 , 	236 , 	74 , 	64 , 	569 , 	170 ," 	1,499 "," 	1,197 "," 	1,849 ", 	288 , 	278 , 	677 , 	371 , 	149 , 	210 , 	100 , 	97 , 	166 ," 	2,018 "," 	1,002 "," 	1,672 ", 	284 , 	208 , 	494 , 	323 ," 	5,425 "," 	4,428 "," 	4,699 "," 	4,207 "," 	1,452 "," 	1,028 ", 	716 , 	541 , 	419 , 	334 , 	32 , 	110 , 	418 , 	661 , 	288 , 	281 ," 	1,556 ", 	216 , 	23 , 	391 , 	181 , 	105 , 	149 , 	575 , 	444 ," 	42,907 ",,,,,,,,,,,,,
Entries," 	58,940 "," 	87,642 "," 	49,852 "," 	46,950 "," 	118,302 "," 	51,830 "," 	94,830 "," 	113,251 "," 	119,623 "," 	71,296 "," 	95,590 "," 	80,998 "," 	76,414 "," 	62,762 "," 	50,911 "," 	34,806 "," 	43,594 "," 	48,888 "," 	59,232 "," 	54,380 "," 	63,845 "," 	35,684 "," 	28,986 "," 	58,658 "," 	93,142 "," 	370,182 "," 	295,434 "," 	337,468 "," 	251,308 "," 	150,447 "," 	139,558 "," 	81,193 "," 	96,422 "," 	97,685 "," 	37,259 "," 	29,002 "," 	77,292 "," 	15,056 "," 	42,324 "," 	32,478 "," 	34,767 "," 	111,823 "," 	59,485 "," 	30,657 "," 	18,667 "," 	32,346 "," 	29,439 "," 	33,569 "," 	12,839 "," 	42,109 "," 	4,159,215 ",,,,,,,,,,,,,
