Exit stations,Entry stations->,,TOTAL,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	567 ," 	1,713 "," 	1,553 ", 	909 ," 	6,129 "," 	1,380 "," 	1,997 "," 	1,415 "," 	1,917 ", 	594 ," 	1,324 "," 	1,202 ", 	611 , 	269 , 	464 , 	230 , 	203 , 	216 , 	386 , 	159 , 	365 , 	175 , 	150 , 	348 , 	502 ," 	5,181 "," 	3,943 "," 	6,891 "," 	3,697 "," 	2,425 "," 	2,799 ", 	788 , 	607 , 	577 , 	288 , 	94 , 	152 , 	73 , 	185 , 	179 , 	400 ," 	1,125 ", 	334 , 	59 , 	217 , 	309 , 	201 , 	231 , 	127 , 	193 ," 	55,853 ",,,,,,,,,,,,,
CL," 	1,232 "," 	1,934 ", 	912 , 	931 ," 	2,020 "," 	1,337 "," 	2,545 "," 	2,480 "," 	2,631 "," 	2,933 "," 	4,302 ", 	549 ," 	3,482 "," 	2,756 "," 	2,292 "," 	1,306 "," 	1,744 "," 	1,660 ", 	727 , 	712 , 	749 , 	517 , 	474 , 	862 ," 	1,404 "," 	5,337 "," 	4,191 "," 	6,118 "," 	4,336 "," 	1,905 "," 	1,879 ", 	858 , 	728 ," 	1,280 ", 	138 ," 	1,339 "," 	3,736 ", 	288 , 	583 , 	302 , 	309 , 	468 , 	347 ," 	1,269 ", 	600 ," 	1,344 "," 	1,357 "," 	2,037 ", 	193 , 	734 ," 	84,167 ",,,,,,,,,,,,,
SL, 	702 , 	770 , 	344 , 	504 ," 	1,995 ", 	639 ," 	1,563 "," 	2,098 "," 	2,981 "," 	3,929 "," 	3,810 "," 	3,439 ", 	415 ," 	2,199 "," 	2,735 "," 	1,526 "," 	1,333 "," 	1,321 ", 	384 , 	259 , 	335 , 	72 , 	108 , 	339 , 	695 ," 	8,196 "," 	7,244 "," 	7,985 "," 	6,067 "," 	2,084 "," 	1,439 ", 	516 , 	722 , 	814 , 	119 , 	711 ," 	1,900 ", 	41 , 	204 , 	190 , 	154 , 	537 , 	136 , 	922 , 	178 ," 	1,066 ", 	642 , 	617 , 	122 , 	375 ," 	77,476 ",,,,,,,,,,,,,
BF, 	304 , 	495 , 	163 , 	279 ," 	1,389 ", 	333 , 	964 ," 	1,564 "," 	2,456 "," 	2,812 "," 	3,565 "," 	2,668 "," 	2,153 ", 	498 ," 	1,650 "," 	1,169 "," 	1,114 "," 	1,408 ", 	302 , 	95 , 	233 , 	61 , 	62 , 	218 , 	560 ," 	6,555 "," 	5,796 "," 	7,993 "," 	5,036 "," 	1,541 ", 	997 , 	426 , 	506 , 	467 , 	109 , 	655 ," 	1,825 ", 	27 , 	157 , 	159 , 	154 , 	337 , 	167 ," 	1,076 ", 	175 ," 	1,208 ", 	571 , 	588 , 	53 , 	140 ," 	63,233 ",,,,,,,,,,,,,
HY, 	487 , 	541 , 	187 , 	286 ," 	1,234 ", 	355 ," 	1,100 "," 	1,668 "," 	2,126 "," 	1,834 "," 	2,716 "," 	2,108 "," 	2,991 "," 	1,747 ", 	376 ," 	1,394 "," 	2,271 "," 	2,816 ", 	256 , 	127 , 	183 , 	86 , 	36 , 	193 , 	542 ," 	4,279 "," 	3,206 "," 	3,456 "," 	2,735 ", 	946 , 	617 , 	243 , 	311 , 	339 , 	130 , 	257 , 	926 , 	54 , 	206 , 	82 , 	142 , 	224 , 	125 , 	527 , 	163 ," 	1,811 "," 	1,095 ", 	922 , 	61 , 	191 ," 	50,708 ",,,,,,,,,,,,,
SH, 	253 , 	185 , 	125 , 	218 , 	834 , 	214 , 	591 , 	945 ," 	1,202 "," 	1,101 "," 	1,414 "," 	1,263 "," 	1,480 "," 	1,042 "," 	1,328 ", 	261 , 	929 ," 	1,416 ", 	87 , 	94 , 	169 , 	20 , 	17 , 	62 , 	231 ," 	3,274 "," 	2,851 "," 	2,533 "," 	2,358 ", 	707 , 	666 , 	126 , 	193 , 	173 , 	46 , 	211 , 	584 , 	18 , 	81 , 	40 , 	65 , 	137 , 	44 , 	332 , 	156 ," 	1,618 ", 	602 , 	703 , 	24 , 	109 ," 	33,132 ",,,,,,,,,,,,,
UC, 	225 , 	462 , 	202 , 	138 ," 	1,600 ", 	279 , 	718 ," 	1,123 "," 	1,738 "," 	1,093 "," 	1,268 "," 	1,656 "," 	1,356 "," 	1,259 "," 	2,302 "," 	1,054 ", 	478 ," 	1,504 ", 	121 , 	139 , 	141 , 	20 , 	26 , 	94 , 	242 ," 	5,455 "," 	3,848 "," 	3,164 "," 	2,702 ", 	944 , 	461 , 	231 , 	228 , 	350 , 	91 , 	215 , 	909 , 	17 , 	93 , 	64 , 	45 , 	328 , 	32 , 	458 , 	252 ," 	1,982 "," 	1,566 "," 	1,180 ", 	33 , 	87 ," 	43,973 ",,,,,,,,,,,,,
FM, 	237 , 	470 , 	188 , 	239 ," 	1,655 ", 	304 , 	731 ," 	1,301 "," 	1,701 "," 	1,188 "," 	1,307 "," 	1,579 "," 	1,432 "," 	1,438 "," 	2,931 "," 	1,570 "," 	1,553 ", 	579 , 	235 , 	86 , 	146 , 	37 , 	80 , 	130 , 	221 ," 	7,043 "," 	4,703 "," 	3,153 "," 	2,732 ", 	771 , 	429 , 	224 , 	189 , 	300 , 	102 , 	317 , 	740 , 	16 , 	108 , 	25 , 	68 , 	591 , 	56 , 	331 , 	270 ," 	1,885 "," 	1,999 "," 	1,719 ", 	24 , 	164 ," 	49,297 ",,,,,,,,,,,,,
CN, 	391 , 	353 , 	247 , 	229 , 	870 , 	216 ," 	1,692 "," 	1,673 "," 	1,952 ", 	319 , 	424 , 	695 , 	410 , 	267 , 	267 , 	76 , 	129 , 	239 , 	703 ," 	1,280 "," 	3,942 "," 	1,949 ", 	614 ," 	1,013 ", 	292 ," 	6,894 "," 	5,732 "," 	5,594 "," 	4,994 "," 	1,547 "," 	1,120 ", 	562 , 	446 , 	615 , 	175 , 	65 , 	165 , 	650 ," 	2,617 ", 	234 , 	362 ," 	1,880 ", 	288 , 	82 , 	462 , 	98 , 	149 , 	182 ," 	1,485 "," 	2,012 "," 	58,652 ",,,,,,,,,,,,,
PH, 	187 , 	264 , 	204 , 	190 , 	904 , 	233 ," 	1,240 "," 	1,802 "," 	2,249 ", 	170 , 	292 , 	716 , 	207 , 	96 , 	137 , 	144 , 	129 , 	111 ," 	1,390 ", 	476 ," 	1,611 ", 	593 , 	341 ," 	1,239 ", 	217 ," 	10,407 "," 	8,225 "," 	5,144 "," 	4,449 "," 	1,368 ", 	748 , 	498 , 	363 , 	453 , 	91 , 	47 , 	101 , 	272 , 	988 , 	181 , 	191 ," 	2,416 ", 	189 , 	59 , 	528 , 	140 , 	107 , 	155 , 	506 ," 	1,004 "," 	53,772 ",,,,,,,,,,,,,
WC, 	347 , 	498 , 	312 , 	318 ," 	1,098 ", 	226 ," 	1,632 "," 	2,090 "," 	2,362 ", 	333 , 	410 , 	683 , 	319 , 	255 , 	158 , 	157 , 	95 , 	165 ," 	4,093 "," 	1,578 ", 	543 , 	961 , 	600 ," 	1,917 ", 	278 ," 	11,315 "," 	8,433 "," 	5,147 "," 	4,604 "," 	1,543 ", 	714 , 	415 , 	327 , 	483 , 	155 , 	91 , 	104 , 	510 ," 	1,995 ", 	280 , 	233 ," 	2,849 ", 	183 , 	35 , 	516 , 	70 , 	113 , 	130 , 	807 ," 	1,553 "," 	64,033 ",,,,,,,,,,,,,
