Exit stations,Entry stations->,,SUNDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
CL, 	20 , 	44 , 	25 , 	20 , 	21 , 	31 , 	35 , 	34 , 	31 , 	50 , 	62 , 	13 , 	66 , 	48 , 	42 , 	28 , 	31 , 	28 , 	12 , 	13 , 	17 , 	8 , 	9 , 	19 , 	22 , 	83 , 	62 , 	127 , 	94 , 	35 , 	34 , 	12 , 	12 , 	17 , 	3 , 	27 , 	99 , 	6 , 	10 , 	3 , 	2 , 	11 , 	5 , 	38 , 	21 , 	18 , 	22 , 	50 , 	2 , 	7 ," 	1,523 ",,,,,,,,,,,
SL, 	12 , 	12 , 	5 , 	9 , 	28 , 	14 , 	21 , 	26 , 	27 , 	66 , 	52 , 	75 , 	14 , 	40 , 	40 , 	18 , 	15 , 	14 , 	4 , 	3 , 	6 , 	1 , 	-   , 	4 , 	12 , 	114 , 	87 , 	194 , 	153 , 	29 , 	26 , 	6 , 	11 , 	9 , 	1 , 	15 , 	28 , 	1 , 	2 , 	3 , 	3 , 	16 , 	4 , 	17 , 	4 , 	11 , 	10 , 	17 , 	1 , 	5 ," 	1,277 ",,,,,,,,,,,
BF, 	7 , 	9 , 	4 , 	6 , 	24 , 	8 , 	18 , 	22 , 	24 , 	60 , 	70 , 	47 , 	42 , 	22 , 	38 , 	20 , 	18 , 	24 , 	5 , 	2 , 	4 , 	-   , 	1 , 	3 , 	10 , 	116 , 	80 , 	181 , 	117 , 	25 , 	17 , 	8 , 	9 , 	7 , 	3 , 	10 , 	38 , 	0 , 	3 , 	1 , 	2 , 	10 , 	0 , 	22 , 	7 , 	14 , 	11 , 	21 , 	1 , 	2 ," 	1,184 ",,,,,,,,,,,
HY, 	10 , 	10 , 	5 , 	2 , 	16 , 	12 , 	17 , 	17 , 	23 , 	30 , 	50 , 	41 , 	40 , 	33 , 	10 , 	27 , 	32 , 	39 , 	4 , 	3 , 	2 , 	2 , 	-   , 	4 , 	9 , 	55 , 	30 , 	73 , 	81 , 	12 , 	13 , 	4 , 	5 , 	6 , 	2 , 	3 , 	16 , 	-   , 	3 , 	1 , 	2 , 	8 , 	3 , 	7 , 	6 , 	20 , 	23 , 	23 , 	1 , 	3 , 	831 ,,,,,,,,,,,
SH, 	3 , 	2 , 	2 , 	4 , 	9 , 	3 , 	8 , 	9 , 	12 , 	17 , 	26 , 	27 , 	20 , 	19 , 	20 , 	7 , 	15 , 	27 , 	2 , 	1 , 	3 , 	-   , 	1 , 	1 , 	1 , 	44 , 	27 , 	61 , 	56 , 	12 , 	11 , 	4 , 	4 , 	3 , 	1 , 	4 , 	8 , 	0 , 	1 , 	0 , 	1 , 	3 , 	1 , 	8 , 	4 , 	21 , 	14 , 	23 , 	1 , 	1 , 	548 ,,,,,,,,,,,
UC, 	5 , 	9 , 	2 , 	4 , 	20 , 	7 , 	7 , 	9 , 	11 , 	13 , 	19 , 	31 , 	14 , 	17 , 	30 , 	18 , 	15 , 	22 , 	2 , 	1 , 	1 , 	0 , 	1 , 	2 , 	6 , 	86 , 	39 , 	84 , 	106 , 	20 , 	7 , 	4 , 	3 , 	5 , 	1 , 	4 , 	12 , 	-   , 	2 , 	2 , 	1 , 	8 , 	1 , 	5 , 	9 , 	21 , 	31 , 	32 , 	-   , 	1 , 	744 ,,,,,,,,,,,
FM, 	6 , 	7 , 	4 , 	4 , 	29 , 	4 , 	12 , 	15 , 	12 , 	19 , 	15 , 	27 , 	18 , 	25 , 	42 , 	22 , 	19 , 	19 , 	3 , 	1 , 	2 , 	-   , 	1 , 	2 , 	3 , 	117 , 	51 , 	94 , 	104 , 	19 , 	14 , 	6 , 	4 , 	8 , 	2 , 	6 , 	14 , 	-   , 	3 , 	1 , 	1 , 	17 , 	1 , 	6 , 	6 , 	14 , 	36 , 	37 , 	1 , 	3 , 	866 ,,,,,,,,,,,
CN, 	7 , 	9 , 	3 , 	2 , 	13 , 	3 , 	17 , 	15 , 	15 , 	4 , 	9 , 	10 , 	6 , 	4 , 	4 , 	1 , 	1 , 	2 , 	28 , 	23 , 	91 , 	54 , 	10 , 	18 , 	6 , 	100 , 	46 , 	111 , 	123 , 	26 , 	12 , 	5 , 	8 , 	6 , 	2 , 	1 , 	3 , 	9 , 	54 , 	5 , 	3 , 	42 , 	4 , 	1 , 	11 , 	2 , 	3 , 	5 , 	24 , 	32 , 	988 ,,,,,,,,,,,
PH, 	2 , 	4 , 	2 , 	3 , 	11 , 	4 , 	13 , 	9 , 	12 , 	3 , 	4 , 	11 , 	1 , 	0 , 	3 , 	3 , 	1 , 	2 , 	20 , 	12 , 	43 , 	11 , 	8 , 	19 , 	4 , 	121 , 	56 , 	89 , 	107 , 	24 , 	15 , 	4 , 	5 , 	7 , 	1 , 	0 , 	1 , 	4 , 	20 , 	1 , 	3 , 	57 , 	3 , 	1 , 	11 , 	3 , 	2 , 	5 , 	8 , 	15 , 	761 ,,,,,,,,,,,
WC, 	4 , 	6 , 	5 , 	3 , 	14 , 	3 , 	19 , 	17 , 	13 , 	3 , 	6 , 	13 , 	6 , 	6 , 	2 , 	2 , 	1 , 	1 , 	89 , 	41 , 	19 , 	21 , 	13 , 	29 , 	4 , 	149 , 	84 , 	123 , 	169 , 	34 , 	14 , 	9 , 	5 , 	8 , 	2 , 	1 , 	2 , 	9 , 	36 , 	5 , 	3 , 	65 , 	2 , 	0 , 	11 , 	2 , 	2 , 	3 , 	12 , 	22 ," 	1,104 ",,,,,,,,,,,
LF, 	2 , 	4 , 	3 , 	2 , 	5 , 	2 , 	13 , 	11 , 	7 , 	3 , 	2 , 	5 , 	2 , 	-   , 	2 , 	0 , 	-   , 	0 , 	53 , 	14 , 	21 , 	10 , 	5 , 	17 , 	2 , 	95 , 	55 , 	72 , 	133 , 	20 , 	7 , 	7 , 	4 , 	4 , 	0 , 	0 , 	1 , 	2 , 	3 , 	1 , 	1 , 	33 , 	1 , 	-   , 	6 , 	-   , 	1 , 	2 , 	4 , 	6 , 	641 ,,,,,,,,,,,
OR, 	2 , 	2 , 	0 , 	1 , 	5 , 	1 , 	5 , 	6 , 	10 , 	1 , 	3 , 	8 , 	0 , 	3 , 	-   , 	-   , 	2 , 	2 , 	11 , 	8 , 	12 , 	7 , 	12 , 	13 , 	1 , 	86 , 	44 , 	68 , 	89 , 	16 , 	5 , 	4 , 	2 , 	1 , 	1 , 	-   , 	1 , 	2 , 	3 , 	-   , 	1 , 	28 , 	1 , 	-   , 	4 , 	-   , 	1 , 	2 , 	3 , 	2 , 	473 ,,,,,,,,,,,
RR, 	6 , 	11 , 	7 , 	4 , 	5 , 	3 , 	18 , 	32 , 	26 , 	4 , 	11 , 	18 , 	4 , 	3 , 	3 , 	1 , 	2 , 	3 , 	15 , 	20 , 	27 , 	14 , 	12 , 	18 , 	8 , 	224 , 	112 , 	179 , 	249 , 	70 , 	39 , 	15 , 	6 , 	8 , 	4 , 	1 , 	2 , 	3 , 	7 , 	3 , 	5 , 	78 , 	5 , 	0 , 	6 , 	1 , 	2 , 	3 , 	2 , 	7 ," 	1,301 ",,,,,,,,,,,
OW, 	6 , 	11 , 	5 , 	4 , 	15 , 	7 , 	17 , 	23 , 	24 , 	17 , 	44 , 	20 , 	12 , 	6 , 	7 , 	3 , 	4 , 	3 , 	6 , 	2 , 	3 , 	2 , 	1 , 	10 , 	19 , 	325 , 	191 , 	355 , 	393 , 	127 , 	72 , 	18 , 	18 , 	17 , 	4 , 	5 , 	11 , 	1 , 	3 , 	4 , 	8 , 	54 , 	6 , 	3 , 	5 , 	3 , 	2 , 	4 , 	1 , 	5 ," 	1,902 ",,,,,,,,,,,
EM, 	101 , 	209 , 	133 , 	190 , 	334 , 	159 , 	261 , 	231 , 	200 , 	152 , 	163 , 	115 , 	135 , 	150 , 	70 , 	54 , 	113 , 	144 , 	137 , 	160 , 	198 , 	161 , 	121 , 	294 , 	449 , 	180 , 	14 , 	147 , 	237 , 	213 , 	288 , 	198 , 	168 , 	271 , 	61 , 	102 , 	511 , 	52 , 	80 , 	52 , 	87 , 	184 , 	258 , 	114 , 	34 , 	62 , 	120 , 	154 , 	13 , 	84 ," 	8,111 ",,,,,,,,,,,
MT, 	66 , 	104 , 	70 , 	105 , 	211 , 	87 , 	149 , 	144 , 	159 , 	110 , 	115 , 	71 , 	94 , 	94 , 	42 , 	45 , 	58 , 	59 , 	50 , 	62 , 	88 , 	52 , 	44 , 	138 , 	237 , 	20 , 	56 , 	21 , 	91 , 	139 , 	188 , 	137 , 	173 , 	182 , 	51 , 	63 , 	186 , 	17 , 	51 , 	45 , 	55 , 	162 , 	151 , 	46 , 	28 , 	29 , 	67 , 	82 , 	9 , 	27 ," 	4,522 ",,,,,,,,,,,
PL, 	124 , 	203 , 	107 , 	125 , 	245 , 	114 , 	171 , 	194 , 	211 , 	172 , 	203 , 	121 , 	164 , 	142 , 	69 , 	61 , 	66 , 	81 , 	105 , 	83 , 	111 , 	53 , 	57 , 	172 , 	368 , 	103 , 	24 , 	131 , 	148 , 	432 , 	490 , 	287 , 	410 , 	393 , 	122 , 	63 , 	242 , 	33 , 	79 , 	101 , 	125 , 	496 , 	241 , 	52 , 	38 , 	39 , 	80 , 	126 , 	13 , 	62 ," 	7,849 ",,,,,,,,,,,
CC, 	96 , 	180 , 	117 , 	191 , 	235 , 	142 , 	226 , 	230 , 	167 , 	149 , 	218 , 	89 , 	130 , 	102 , 	68 , 	48 , 	87 , 	78 , 	107 , 	86 , 	141 , 	110 , 	76 , 	221 , 	392 , 	191 , 	113 , 	138 , 	117 , 	293 , 	359 , 	219 , 	203 , 	374 , 	98 , 	73 , 	260 , 	52 , 	67 , 	78 , 	126 , 	196 , 	431 , 	63 , 	18 , 	36 , 	89 , 	159 , 	12 , 	64 ," 	7,507 ",,,,,,,,,,,
