Exit stations,Entry stations->,,SATURDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CL, 	22 , 	18 , 	10 , 	11 , 	24 , 	19 , 	38 , 	36 , 	31 , 	40 , 	65 , 	12 , 	54 , 	52 , 	46 , 	29 , 	19 , 	32 , 	12 , 	12 , 	10 , 	7 , 	4 , 	10 , 	23 , 	87 , 	61 , 	142 , 	81 , 	41 , 	35 , 	12 , 	11 , 	19 , 	3 , 	23 , 	82 , 	6 , 	11 , 	3 , 	5 , 	14 , 	3 , 	25 , 	17 , 	23 , 	14 , 	30 , 	4 , 	14 ," 	1,395 ",,,,,,,,,,
SL, 	16 , 	19 , 	9 , 	10 , 	50 , 	14 , 	26 , 	31 , 	46 , 	79 , 	85 , 	57 , 	16 , 	71 , 	67 , 	33 , 	29 , 	28 , 	5 , 	5 , 	8 , 	1 , 	1 , 	9 , 	15 , 	129 , 	98 , 	201 , 	106 , 	44 , 	30 , 	9 , 	20 , 	19 , 	2 , 	20 , 	41 , 	1 , 	3 , 	2 , 	4 , 	13 , 	5 , 	25 , 	5 , 	20 , 	16 , 	24 , 	1 , 	7 ," 	1,571 ",,,,,,,,,,
BF, 	10 , 	14 , 	6 , 	7 , 	27 , 	11 , 	23 , 	30 , 	36 , 	65 , 	104 , 	56 , 	69 , 	13 , 	50 , 	25 , 	28 , 	32 , 	7 , 	2 , 	5 , 	1 , 	1 , 	5 , 	19 , 	109 , 	84 , 	209 , 	87 , 	43 , 	30 , 	11 , 	19 , 	12 , 	5 , 	14 , 	44 , 	2 , 	3 , 	2 , 	3 , 	11 , 	2 , 	32 , 	5 , 	20 , 	13 , 	22 , 	1 , 	3 ," 	1,422 ",,,,,,,,,,
HY, 	11 , 	14 , 	6 , 	7 , 	26 , 	10 , 	21 , 	26 , 	33 , 	39 , 	68 , 	42 , 	70 , 	48 , 	13 , 	44 , 	38 , 	53 , 	5 , 	2 , 	2 , 	2 , 	1 , 	3 , 	12 , 	57 , 	33 , 	80 , 	45 , 	21 , 	15 , 	8 , 	8 , 	10 , 	3 , 	6 , 	16 , 	1 , 	4 , 	4 , 	2 , 	5 , 	4 , 	9 , 	2 , 	32 , 	28 , 	33 , 	1 , 	5 ," 	1,022 ",,,,,,,,,,
SH, 	5 , 	6 , 	3 , 	5 , 	16 , 	4 , 	7 , 	10 , 	15 , 	16 , 	37 , 	26 , 	37 , 	24 , 	40 , 	8 , 	23 , 	25 , 	3 , 	3 , 	4 , 	1 , 	1 , 	1 , 	4 , 	48 , 	31 , 	59 , 	35 , 	18 , 	13 , 	1 , 	5 , 	7 , 	1 , 	7 , 	11 , 	1 , 	1 , 	1 , 	2 , 	5 , 	1 , 	8 , 	3 , 	34 , 	13 , 	23 , 	-   , 	4 , 	651 ,,,,,,,,,,
UC, 	6 , 	11 , 	3 , 	4 , 	22 , 	9 , 	11 , 	16 , 	18 , 	23 , 	29 , 	19 , 	31 , 	27 , 	44 , 	22 , 	19 , 	26 , 	2 , 	3 , 	2 , 	1 , 	-   , 	2 , 	8 , 	92 , 	40 , 	80 , 	48 , 	20 , 	15 , 	9 , 	6 , 	9 , 	1 , 	4 , 	17 , 	-   , 	2 , 	1 , 	1 , 	11 , 	1 , 	6 , 	7 , 	40 , 	35 , 	36 , 	-   , 	3 , 	833 ,,,,,,,,,,
FM, 	8 , 	6 , 	7 , 	5 , 	44 , 	7 , 	14 , 	18 , 	15 , 	21 , 	29 , 	32 , 	27 , 	31 , 	51 , 	34 , 	30 , 	23 , 	4 , 	3 , 	2 , 	1 , 	2 , 	5 , 	4 , 	105 , 	64 , 	96 , 	59 , 	30 , 	12 , 	7 , 	4 , 	10 , 	3 , 	4 , 	18 , 	1 , 	3 , 	1 , 	3 , 	23 , 	2 , 	9 , 	7 , 	23 , 	46 , 	47 , 	0 , 	3 , 	999 ,,,,,,,,,,
CN, 	8 , 	8 , 	6 , 	5 , 	15 , 	1 , 	23 , 	21 , 	25 , 	3 , 	10 , 	10 , 	6 , 	6 , 	6 , 	2 , 	1 , 	5 , 	17 , 	36 , 	104 , 	63 , 	20 , 	27 , 	10 , 	103 , 	67 , 	115 , 	67 , 	35 , 	23 , 	10 , 	10 , 	11 , 	4 , 	1 , 	4 , 	12 , 	66 , 	3 , 	5 , 	52 , 	4 , 	0 , 	8 , 	4 , 	6 , 	4 , 	28 , 	39 ," 	1,115 ",,,,,,,,,,
PH, 	4 , 	4 , 	5 , 	3 , 	16 , 	6 , 	17 , 	19 , 	16 , 	1 , 	5 , 	12 , 	4 , 	3 , 	2 , 	3 , 	1 , 	3 , 	36 , 	21 , 	45 , 	14 , 	11 , 	22 , 	3 , 	123 , 	69 , 	106 , 	78 , 	29 , 	15 , 	6 , 	5 , 	11 , 	2 , 	2 , 	4 , 	5 , 	22 , 	6 , 	3 , 	51 , 	3 , 	1 , 	11 , 	2 , 	3 , 	5 , 	7 , 	22 , 	859 ,,,,,,,,,,
WC, 	7 , 	8 , 	9 , 	13 , 	21 , 	7 , 	28 , 	34 , 	28 , 	5 , 	8 , 	11 , 	8 , 	6 , 	3 , 	4 , 	1 , 	3 , 	128 , 	54 , 	23 , 	24 , 	15 , 	44 , 	6 , 	165 , 	96 , 	122 , 	107 , 	48 , 	22 , 	11 , 	7 , 	11 , 	3 , 	0 , 	2 , 	10 , 	49 , 	3 , 	4 , 	61 , 	5 , 	1 , 	9 , 	2 , 	4 , 	4 , 	17 , 	32 ," 	1,288 ",,,,,,,,,,
LF, 	3 , 	3 , 	4 , 	3 , 	8 , 	1 , 	14 , 	20 , 	13 , 	3 , 	5 , 	5 , 	2 , 	-   , 	3 , 	1 , 	0 , 	1 , 	75 , 	17 , 	25 , 	8 , 	6 , 	18 , 	1 , 	105 , 	59 , 	68 , 	67 , 	20 , 	9 , 	5 , 	4 , 	3 , 	1 , 	1 , 	1 , 	4 , 	11 , 	2 , 	2 , 	37 , 	2 , 	0 , 	4 , 	1 , 	1 , 	1 , 	6 , 	8 , 	654 ,,,,,,,,,,
OR, 	1 , 	2 , 	3 , 	2 , 	11 , 	2 , 	11 , 	15 , 	7 , 	1 , 	5 , 	4 , 	1 , 	2 , 	-   , 	1 , 	1 , 	2 , 	17 , 	10 , 	17 , 	8 , 	8 , 	15 , 	3 , 	90 , 	38 , 	52 , 	48 , 	18 , 	13 , 	5 , 	2 , 	2 , 	2 , 	-   , 	1 , 	1 , 	7 , 	2 , 	1 , 	29 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	3 , 	3 , 	467 ,,,,,,,,,,
