Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	80 , 	67 , 	46 , 	173 , 	69 , 	66 , 	29 , 	68 , 	17 , 	62 , 	87 , 	13 , 	18 , 	19 , 	11 , 	11 , 	16 , 	11 , 	3 , 	10 , 	3 , 	5 , 	8 , 	20 , 	47 , 	53 , 	184 , 	74 , 	59 , 	89 , 	14 , 	31 , 	19 , 	20 , 	1 , 	6 , 	3 , 	19 ," 	1,539 ",,,Eastbay," 	26,307 ",,SF CBD," 	55,319 ",59.6%,,
EN, 	82 , 	17 , 	41 , 	49 , 	237 , 	72 , 	78 , 	54 , 	90 , 	26 , 	65 , 	110 , 	14 , 	18 , 	17 , 	8 , 	11 , 	29 , 	10 , 	8 , 	14 , 	6 , 	3 , 	9 , 	13 , 	82 , 	82 , 	346 , 	98 , 	35 , 	60 , 	20 , 	39 , 	20 , 	32 , 	2 , 	7 , 	2 , 	13 ," 	1,921 ",,,Westbay," 	26,159 ",,non-CBD," 	37,509 ",40.4%,,
EP, 	58 , 	29 , 	5 , 	19 , 	189 , 	28 , 	17 , 	27 , 	42 , 	17 , 	20 , 	108 , 	7 , 	8 , 	7 , 	3 , 	4 , 	14 , 	7 , 	3 , 	8 , 	3 , 	2 , 	11 , 	3 , 	45 , 	71 , 	207 , 	72 , 	21 , 	18 , 	10 , 	10 , 	8 , 	11 , 	1 , 	5 , 	0 , 	4 ," 	1,120 ",,,Transbay," 	40,363 ",,,,,,
NB, 	42 , 	41 , 	17 , 	4 , 	59 , 	30 , 	24 , 	28 , 	45 , 	17 , 	30 , 	83 , 	7 , 	10 , 	10 , 	2 , 	5 , 	16 , 	6 , 	6 , 	5 , 	3 , 	4 , 	8 , 	6 , 	73 , 	92 , 	261 , 	105 , 	33 , 	38 , 	8 , 	9 , 	9 , 	10 , 	1 , 	3 , 	1 , 	4 ," 	1,154 ",,,,,,,,,,
BK, 	144 , 	228 , 	172 , 	54 , 	9 , 	154 , 	108 , 	130 , 	175 , 	61 , 	108 , 	113 , 	39 , 	37 , 	34 , 	14 , 	36 , 	87 , 	20 , 	24 , 	32 , 	13 , 	13 , 	20 , 	42 , 	150 , 	142 , 	507 , 	236 , 	72 , 	64 , 	34 , 	20 , 	34 , 	35 , 	10 , 	28 , 	4 , 	17 ," 	3,223 ",,,Extensions," 	11,652 ",,,,,,
AS, 	54 , 	58 , 	24 , 	21 , 	122 , 	5 , 	43 , 	43 , 	62 , 	27 , 	43 , 	88 , 	15 , 	23 , 	11 , 	6 , 	8 , 	14 , 	10 , 	3 , 	6 , 	2 , 	2 , 	10 , 	19 , 	60 , 	67 , 	210 , 	97 , 	43 , 	36 , 	9 , 	10 , 	8 , 	15 , 	5 , 	8 , 	0 , 	5 ," 	1,296 ",,,,,,,,,,
MA, 	52 , 	62 , 	16 , 	19 , 	107 , 	49 , 	7 , 	27 , 	46 , 	12 , 	51 , 	149 , 	20 , 	28 , 	24 , 	10 , 	11 , 	19 , 	23 , 	11 , 	15 , 	5 , 	5 , 	14 , 	34 , 	90 , 	125 , 	373 , 	157 , 	60 , 	43 , 	14 , 	21 , 	13 , 	18 , 	3 , 	12 , 	4 , 	28 ," 	1,775 ",,,,,,,,,,
19, 	28 , 	48 , 	21 , 	23 , 	106 , 	46 , 	21 , 	5 , 	19 , 	10 , 	45 , 	73 , 	23 , 	25 , 	21 , 	9 , 	13 , 	24 , 	20 , 	13 , 	25 , 	13 , 	9 , 	25 , 	17 , 	60 , 	69 , 	211 , 	123 , 	40 , 	35 , 	10 , 	8 , 	11 , 	12 , 	5 , 	15 , 	5 , 	18 ," 	1,303 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	55 , 	78 , 	42 , 	60 , 	150 , 	64 , 	43 , 	20 , 	16 , 	16 , 	74 , 	137 , 	57 , 	69 , 	45 , 	19 , 	35 , 	49 , 	38 , 	27 , 	36 , 	11 , 	15 , 	35 , 	34 , 	118 , 	153 , 	471 , 	175 , 	55 , 	53 , 	18 , 	39 , 	32 , 	39 , 	2 , 	9 , 	8 , 	26 ," 	2,420 ",,,Dtwn SF," 	1,398 "," 	3,745 "," 	10,404 "," 	3,359 "," 	3,796 "," 	5,446 "," 	28,149 "
LM, 	14 , 	19 , 	14 , 	21 , 	74 , 	29 , 	13 , 	12 , 	27 , 	5 , 	56 , 	145 , 	64 , 	58 , 	23 , 	13 , 	28 , 	40 , 	8 , 	4 , 	7 , 	5 , 	4 , 	10 , 	11 , 	93 , 	100 , 	360 , 	170 , 	47 , 	45 , 	17 , 	21 , 	18 , 	11 , 	16 , 	35 , 	2 , 	4 ," 	1,646 ",,,OAK," 	3,638 ", 	487 , 	798 ," 	1,323 ", 	498 ," 	1,738 "," 	8,481 "
