Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	8 , 	110 , 	83 , 	44 , 	236 , 	78 , 	87 , 	49 , 	78 , 	18 , 	98 , 	86 , 	18 , 	23 , 	21 , 	13 , 	12 , 	16 , 	22 , 	7 , 	10 , 	6 , 	9 , 	15 , 	23 , 	58 , 	72 , 	263 , 	95 , 	89 , 	151 , 	18 , 	29 , 	21 , 	24 , 	3 , 	10 , 	4 , 	19 ," 	2,028 ",,,Eastbay," 	33,872 ",,SF CBD," 	79,911 ",61.9%,,
EN, 	110 , 	19 , 	56 , 	76 , 	382 , 	103 , 	100 , 	89 , 	149 , 	36 , 	86 , 	117 , 	32 , 	32 , 	27 , 	15 , 	20 , 	36 , 	27 , 	9 , 	17 , 	5 , 	5 , 	14 , 	26 , 	139 , 	161 , 	602 , 	146 , 	56 , 	109 , 	25 , 	42 , 	40 , 	36 , 	4 , 	14 , 	5 , 	19 ," 	2,988 ",,,Westbay," 	37,061 ",,non-CBD," 	49,101 ",38.1%,,
EP, 	78 , 	52 , 	6 , 	21 , 	255 , 	37 , 	37 , 	33 , 	66 , 	19 , 	25 , 	74 , 	11 , 	8 , 	12 , 	6 , 	7 , 	18 , 	7 , 	7 , 	8 , 	4 , 	4 , 	17 , 	5 , 	76 , 	108 , 	341 , 	99 , 	23 , 	29 , 	14 , 	11 , 	13 , 	13 , 	1 , 	7 , 	1 , 	5 ," 	1,560 ",,,Transbay," 	58,080 ",,,,,,
NB, 	49 , 	55 , 	23 , 	6 , 	106 , 	31 , 	38 , 	41 , 	71 , 	22 , 	40 , 	64 , 	15 , 	9 , 	15 , 	4 , 	7 , 	20 , 	8 , 	8 , 	10 , 	3 , 	4 , 	9 , 	10 , 	106 , 	146 , 	408 , 	152 , 	51 , 	52 , 	16 , 	11 , 	14 , 	16 , 	2 , 	6 , 	2 , 	5 ," 	1,658 ",,,,,,,,,,
BK, 	224 , 	381 , 	268 , 	102 , 	12 , 	243 , 	164 , 	171 , 	262 , 	94 , 	169 , 	123 , 	60 , 	64 , 	52 , 	23 , 	38 , 	104 , 	34 , 	35 , 	44 , 	25 , 	17 , 	25 , 	58 , 	173 , 	198 , 	774 , 	282 , 	89 , 	91 , 	41 , 	38 , 	55 , 	41 , 	13 , 	44 , 	9 , 	30 ," 	4,671 ",,,Extensions," 	16,151 ",,,,,,
AS, 	72 , 	90 , 	36 , 	30 , 	197 , 	3 , 	58 , 	61 , 	78 , 	35 , 	60 , 	74 , 	23 , 	30 , 	22 , 	6 , 	13 , 	13 , 	11 , 	9 , 	10 , 	3 , 	4 , 	13 , 	31 , 	80 , 	105 , 	295 , 	132 , 	52 , 	55 , 	12 , 	16 , 	11 , 	16 , 	6 , 	9 , 	3 , 	8 ," 	1,782 ",,,,,,,,,,
MA, 	73 , 	95 , 	35 , 	33 , 	154 , 	59 , 	9 , 	43 , 	72 , 	22 , 	61 , 	122 , 	35 , 	45 , 	33 , 	8 , 	15 , 	30 , 	40 , 	17 , 	28 , 	10 , 	6 , 	22 , 	46 , 	141 , 	194 , 	588 , 	215 , 	99 , 	69 , 	22 , 	35 , 	20 , 	20 , 	3 , 	16 , 	5 , 	35 ," 	2,574 ",,,,,,,,,,
19, 	46 , 	80 , 	29 , 	44 , 	150 , 	55 , 	40 , 	6 , 	27 , 	12 , 	66 , 	68 , 	40 , 	42 , 	39 , 	18 , 	28 , 	40 , 	38 , 	24 , 	30 , 	21 , 	17 , 	38 , 	27 , 	77 , 	109 , 	289 , 	138 , 	52 , 	44 , 	20 , 	21 , 	22 , 	21 , 	6 , 	19 , 	11 , 	39 ," 	1,892 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	75 , 	145 , 	69 , 	77 , 	223 , 	87 , 	62 , 	31 , 	10 , 	18 , 	125 , 	161 , 	95 , 	96 , 	74 , 	31 , 	63 , 	81 , 	58 , 	38 , 	50 , 	29 , 	20 , 	54 , 	60 , 	151 , 	199 , 	605 , 	194 , 	60 , 	65 , 	29 , 	44 , 	47 , 	41 , 	9 , 	26 , 	11 , 	43 ," 	3,356 ",,,Dtwn SF," 	2,131 "," 	5,183 "," 	14,818 "," 	5,319 "," 	5,690 "," 	7,814 "," 	40,955 "
LM, 	20 , 	33 , 	21 , 	23 , 	86 , 	34 , 	22 , 	14 , 	24 , 	4 , 	72 , 	132 , 	83 , 	91 , 	35 , 	18 , 	40 , 	53 , 	8 , 	5 , 	12 , 	6 , 	3 , 	13 , 	14 , 	102 , 	130 , 	430 , 	126 , 	55 , 	55 , 	22 , 	23 , 	20 , 	12 , 	25 , 	44 , 	2 , 	6 ," 	1,917 ",,,OAK," 	4,973 ", 	709 ," 	1,097 "," 	1,895 ", 	778 ," 	2,334 "," 	11,787 "
