Fast Pass Adjusted OD,,,,,,Dec 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,52,39,155,123,445,817,682,"1,044","3,357"
MT,38,40,92,109,666,"1,194",990,"1,706","4,835"
PL,294,172,98,142,858,"1,195",758,"1,820","5,337"
CC,130,127,144,60,441,738,507,"1,220","3,367"
16,429,606,905,444,28,204,182,533,"3,332"
24,689,925,"1,220",630,189,41,146,461,"4,301"
GP,650,822,907,435,166,148,25,105,"3,257"
BP,660,908,"1,781",798,350,399,80,35,"5,011"
Entries,"2,943","3,639","5,302","2,741","3,143","4,736","3,369","6,924","32,797"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,43,24,158,181,77,164,671
MT,3,16,23,22,192,255,184,453,"1,148"
PL,54,35,90,67,631,963,546,"1,070","3,456"
CC,21,20,59,44,281,380,176,405,"1,385"
16,139,167,637,267,26,148,90,237,"1,713"
24,153,197,867,348,123,37,92,231,"2,048"
GP,72,120,600,146,78,81,20,44,"1,160"
BP,96,186,"1,083",244,136,173,32,22,"1,971"
Entries,554,747,"3,402","1,162","1,626","2,218","1,218","2,625","13,552"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,5,29,14,106,115,50,102,444
MT,3,13,13,12,94,135,133,316,719
PL,30,13,89,49,449,667,380,771,"2,448"
CC,17,13,46,48,227,332,113,325,"1,121"
16,97,99,480,223,35,95,55,126,"1,209"
24,109,128,658,297,85,46,54,163,"1,539"
GP,55,82,455,95,52,50,21,25,836
BP,70,91,766,175,84,122,16,19,"1,343"
Entries,403,444,"2,537",912,"1,133","1,563",822,"1,846","9,660"
