Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Dec 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	165 , 	120 , 	98 , 	424 , 	119 , 	170 , 	162 , 	254 , 	44 , 	123 , 	104 , 	48 , 	33 , 	45 , 	20 , 	17 , 	32 , 	32 , 	22 , 	25 , 	14 , 	11 , 	23 , 	32 , 	243 , 	296 , 	389 , 	237 , 	122 , 	181 , 	35 , 	52 , 	55 , 	33 , 	7 , 	27 , 	9 , 	31 ," 	3,864 ",,,Eastbay," 	69,796 ",,SF CBD," 	194,401 ",66.5%,,,
EN, 	178 , 	34 , 	97 , 	122 , 	900 , 	172 , 	214 , 	432 , 	630 , 	108 , 	117 , 	132 , 	59 , 	37 , 	56 , 	25 , 	35 , 	69 , 	54 , 	25 , 	37 , 	12 , 	13 , 	22 , 	39 , 	783 , 	889 , 	799 , 	589 , 	109 , 	160 , 	57 , 	73 , 	116 , 	59 , 	4 , 	34 , 	8 , 	24 ," 	7,317 ",,,Westbay," 	81,059 ",,non-CBD," 	97,990 ",33.5%,,,
EP, 	159 , 	40 , 	21 , 	21 , 	597 , 	35 , 	121 , 	110 , 	285 , 	36 , 	57 , 	28 , 	25 , 	5 , 	25 , 	5 , 	25 , 	21 , 	14 , 	24 , 	13 , 	13 , 	7 , 	23 , 	5 , 	554 , 	331 , 	472 , 	167 , 	56 , 	25 , 	32 , 	16 , 	50 , 	9 , 	26 , 	21 , 	10 , 	9 ," 	3,492 ",,,Transbay," 	141,536 ",,,,,,,
NB, 	93 , 	81 , 	41 , 	5 , 	196 , 	50 , 	69 , 	153 , 	225 , 	53 , 	59 , 	58 , 	19 , 	13 , 	26 , 	8 , 	13 , 	31 , 	14 , 	17 , 	21 , 	7 , 	11 , 	13 , 	15 , 	488 , 	553 , 	435 , 	319 , 	77 , 	59 , 	24 , 	29 , 	50 , 	18 , 	5 , 	13 , 	2 , 	6 ," 	3,369 ",,,,,,,,,,,
BK, 	393 , 	898 , 	571 , 	193 , 	16 , 	401 , 	318 , 	425 , 	561 , 	203 , 	275 , 	213 , 	134 , 	114 , 	127 , 	78 , 	114 , 	221 , 	91 , 	136 , 	119 , 	54 , 	44 , 	35 , 	88 , 	537 , 	611 , 	810 , 	581 , 	159 , 	184 , 	94 , 	86 , 	150 , 	86 , 	47 , 	108 , 	36 , 	74 ," 	9,384 ",,,Extensions," 	39,104 ",,,,,,,
AS, 	101 , 	141 , 	55 , 	44 , 	347 , 	5 , 	69 , 	151 , 	212 , 	69 , 	91 , 	109 , 	41 , 	39 , 	44 , 	13 , 	21 , 	41 , 	28 , 	23 , 	23 , 	8 , 	10 , 	16 , 	36 , 	392 , 	477 , 	391 , 	311 , 	85 , 	70 , 	28 , 	30 , 	59 , 	20 , 	8 , 	28 , 	6 , 	20 ," 	3,662 ",,,,,,,,,,,
MA, 	145 , 	202 , 	69 , 	59 , 	323 , 	73 , 	8 , 	121 , 	187 , 	57 , 	134 , 	151 , 	88 , 	81 , 	74 , 	38 , 	48 , 	84 , 	88 , 	73 , 	94 , 	24 , 	28 , 	52 , 	67 , 	581 , 	707 , 	646 , 	500 , 	153 , 	114 , 	55 , 	64 , 	72 , 	39 , 	17 , 	47 , 	27 , 	99 ," 	5,491 ",,,,,,,,,,,
19, 	146 , 	438 , 	169 , 	162 , 	384 , 	154 , 	110 , 	9 , 	83 , 	40 , 	119 , 	148 , 	181 , 	170 , 	166 , 	139 , 	152 , 	266 , 	192 , 	277 , 	182 , 	99 , 	75 , 	93 , 	43 , 	608 , 	628 , 	577 , 	499 , 	124 , 	132 , 	102 , 	98 , 	131 , 	138 , 	48 , 	150 , 	99 , 	189 ," 	7,519 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	259 , 	683 , 	382 , 	271 , 	489 , 	222 , 	185 , 	76 , 	29 , 	67 , 	348 , 	353 , 	337 , 	329 , 	302 , 	195 , 	226 , 	333 , 	322 , 	372 , 	261 , 	159 , 	132 , 	165 , 	91 , 	746 , 	807 , 	910 , 	643 , 	152 , 	186 , 	134 , 	130 , 	175 , 	187 , 	68 , 	214 , 	92 , 	215 ," 	11,246 ",,,Dtwn SF," 	5,780 "," 	12,800 "," 	33,233 "," 	11,522 "," 	17,578 "," 	18,805 "," 	99,718 ",
LM, 	34 , 	95 , 	55 , 	55 , 	189 , 	69 , 	51 , 	35 , 	61 , 	19 , 	130 , 	168 , 	197 , 	162 , 	113 , 	78 , 	105 , 	115 , 	27 , 	23 , 	19 , 	8 , 	11 , 	26 , 	23 , 	433 , 	461 , 	499 , 	328 , 	74 , 	74 , 	32 , 	57 , 	82 , 	23 , 	58 , 	131 , 	7 , 	22 ," 	4,149 ",,,OAK," 	12,851 "," 	1,574 "," 	2,826 "," 	5,360 "," 	3,638 "," 	6,666 "," 	32,916 ",
FV, 	105 , 	130 , 	42 , 	66 , 	287 , 	97 , 	134 , 	136 , 	272 , 	124 , 	13 , 	242 , 	243 , 	259 , 	277 , 	106 , 	97 , 	145 , 	48 , 	31 , 	51 , 	24 , 	37 , 	57 , 	106 , 	624 , 	768 , 	885 , 	518 , 	178 , 	201 , 	61 , 	78 , 	104 , 	32 , 	46 , 	162 , 	11 , 	32 ," 	6,830 ",,,CM line," 	33,640 "," 	2,807 "," 	8,407 "," 	2,307 "," 	1,920 "," 	2,754 "," 	51,834 ",
CL, 	271 , 	90 , 	45 , 	35 , 	210 , 	68 , 	128 , 	103 , 	330 , 	92 , 	626 , 	6 , 	97 , 	104 , 	149 , 	58 , 	74 , 	99 , 	36 , 	43 , 	31 , 	18 , 	13 , 	58 , 	62 ," 	1,150 ", 	288 , 	382 , 	222 , 	90 , 	82 , 	55 , 	42 , 	77 , 	29 , 	33 , 	128 , 	12 , 	44 ," 	5,480 ",,,RM line," 	11,653 "," 	5,288 "," 	2,549 "," 	6,939 "," 	1,290 "," 	3,368 "," 	31,087 ",
SL, 	67 , 	75 , 	23 , 	21 , 	131 , 	50 , 	93 , 	190 , 	316 , 	182 , 	243 , 	118 , 	6 , 	111 , 	184 , 	84 , 	76 , 	123 , 	29 , 	22 , 	24 , 	5 , 	7 , 	15 , 	29 , 	526 , 	594 , 	453 , 	298 , 	49 , 	68 , 	30 , 	45 , 	63 , 	23 , 	39 , 	82 , 	7 , 	24 ," 	4,526 ",,,WP line," 	17,982 "," 	3,621 "," 	1,947 "," 	1,370 "," 	5,825 "," 	1,395 "," 	32,139 ",
BF, 	33 , 	36 , 	11 , 	13 , 	115 , 	35 , 	82 , 	177 , 	329 , 	154 , 	250 , 	180 , 	106 , 	8 , 	150 , 	119 , 	125 , 	243 , 	30 , 	17 , 	17 , 	7 , 	3 , 	13 , 	37 , 	514 , 	579 , 	437 , 	242 , 	52 , 	63 , 	27 , 	27 , 	51 , 	21 , 	42 , 	226 , 	5 , 	13 ," 	4,591 ",,,FT/ED line," 	18,557 "," 	6,343 "," 	2,677 "," 	3,629 "," 	1,331 "," 	12,158 "," 	44,695 ",
HY, 	116 , 	89 , 	24 , 	26 , 	119 , 	50 , 	85 , 	171 , 	234 , 	86 , 	295 , 	204 , 	201 , 	164 , 	9 , 	139 , 	215 , 	368 , 	28 , 	15 , 	19 , 	5 , 	8 , 	12 , 	28 , 	380 , 	332 , 	307 , 	203 , 	49 , 	43 , 	24 , 	26 , 	31 , 	18 , 	20 , 	90 , 	8 , 	23 ," 	4,265 ",,,Entries," 	100,462 "," 	32,434 "," 	51,638 "," 	31,128 "," 	31,583 "," 	45,145 "," 	292,391 ",
SH, 	17 , 	24 , 	8 , 	7 , 	76 , 	17 , 	36 , 	144 , 	185 , 	72 , 	93 , 	97 , 	76 , 	113 , 	126 , 	6 , 	86 , 	183 , 	13 , 	10 , 	15 , 	4 , 	3 , 	9 , 	23 , 	270 , 	286 , 	247 , 	181 , 	36 , 	40 , 	13 , 	19 , 	27 , 	13 , 	13 , 	59 , 	2 , 	19 ," 	2,668 ",,,,,,,,,,,
UC, 	20 , 	39 , 	14 , 	14 , 	109 , 	23 , 	51 , 	152 , 	217 , 	105 , 	115 , 	107 , 	81 , 	132 , 	232 , 	94 , 	12 , 	192 , 	22 , 	22 , 	15 , 	5 , 	5 , 	10 , 	19 , 	439 , 	450 , 	352 , 	201 , 	33 , 	27 , 	17 , 	23 , 	32 , 	16 , 	16 , 	53 , 	4 , 	19 ," 	3,489 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	32 , 	83 , 	37 , 	35 , 	232 , 	50 , 	91 , 	268 , 	340 , 	125 , 	154 , 	160 , 	126 , 	254 , 	378 , 	187 , 	183 , 	28 , 	25 , 	25 , 	28 , 	10 , 	12 , 	22 , 	14 , 	634 , 	681 , 	528 , 	273 , 	36 , 	38 , 	25 , 	21 , 	64 , 	20 , 	22 , 	78 , 	8 , 	38 ," 	5,367 ",,,Dtwn SF," 	5,780 ",,,,,,,
CN, 	33 , 	50 , 	23 , 	16 , 	97 , 	24 , 	96 , 	196 , 	286 , 	26 , 	51 , 	61 , 	29 , 	31 , 	27 , 	12 , 	24 , 	25 , 	43 , 	160 , 	499 , 	116 , 	61 , 	103 , 	13 , 	715 , 	703 , 	449 , 	345 , 	64 , 	82 , 	41 , 	39 , 	74 , 	55 , 	3 , 	14 , 	64 , 	436 ," 	5,186 ",,,OAK," 	25,651 "," 	1,574 ",,,,,,
