Exit stations,Entry stations->,,SATURDAY,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	15 , 	25 , 	31 , 	15 , 	86 , 	20 , 	32 , 	16 , 	26 , 	5 , 	29 , 	12 , 	8 , 	7 , 	6 , 	5 , 	4 , 	5 , 	6 , 	3 , 	4 , 	3 , 	2 , 	5 , 	14 , 	51 , 	38 , 	138 , 	51 , 	43 , 	45 , 	10 , 	15 , 	10 , 	4 , 	1 , 	4 , 	0 , 	4 , 	3 , 	4 , 	15 , 	4 , 	-   , 	4 , 	5 , 	3 , 	6 , 	3 , 	4 , 	844 ,,,,,,,,,,
EN, 	34 , 	24 , 	20 , 	16 , 	135 , 	30 , 	37 , 	30 , 	48 , 	10 , 	30 , 	18 , 	16 , 	10 , 	13 , 	5 , 	8 , 	12 , 	9 , 	4 , 	9 , 	4 , 	1 , 	3 , 	11 , 	108 , 	83 , 	236 , 	73 , 	51 , 	50 , 	13 , 	17 , 	16 , 	9 , 	4 , 	4 , 	1 , 	7 , 	5 , 	11 , 	34 , 	5 , 	3 , 	10 , 	6 , 	6 , 	9 , 	2 , 	3 ," 	1,296 ",,,,,,,,,,
EP, 	33 , 	24 , 	11 , 	15 , 	130 , 	17 , 	17 , 	27 , 	30 , 	6 , 	13 , 	6 , 	9 , 	6 , 	3 , 	2 , 	4 , 	4 , 	3 , 	1 , 	6 , 	5 , 	1 , 	6 , 	4 , 	61 , 	51 , 	107 , 	47 , 	24 , 	18 , 	10 , 	4 , 	5 , 	2 , 	2 , 	3 , 	2 , 	2 , 	1 , 	4 , 	20 , 	3 , 	1 , 	5 , 	1 , 	1 , 	6 , 	1 , 	2 , 	758 ,,,,,,,,,,
NB, 	15 , 	16 , 	17 , 	15 , 	31 , 	12 , 	17 , 	22 , 	17 , 	7 , 	19 , 	5 , 	5 , 	3 , 	3 , 	1 , 	4 , 	7 , 	2 , 	4 , 	7 , 	3 , 	2 , 	4 , 	4 , 	75 , 	48 , 	85 , 	59 , 	37 , 	28 , 	9 , 	6 , 	7 , 	2 , 	2 , 	2 , 	1 , 	2 , 	1 , 	3 , 	29 , 	4 , 	1 , 	9 , 	1 , 	4 , 	5 , 	1 , 	2 , 	659 ,,,,,,,,,,
BK, 	88 , 	136 , 	131 , 	38 , 	69 , 	61 , 	60 , 	86 , 	75 , 	29 , 	46 , 	20 , 	28 , 	24 , 	22 , 	12 , 	17 , 	19 , 	10 , 	13 , 	20 , 	8 , 	6 , 	8 , 	18 , 	191 , 	123 , 	313 , 	145 , 	84 , 	57 , 	38 , 	17 , 	26 , 	3 , 	8 , 	28 , 	3 , 	10 , 	7 , 	8 , 	48 , 	30 , 	8 , 	15 , 	15 , 	17 , 	38 , 	3 , 	2 ," 	2,277 ",,,,,,,,,,
AS, 	25 , 	27 , 	19 , 	9 , 	54 , 	14 , 	18 , 	28 , 	29 , 	9 , 	14 , 	12 , 	9 , 	10 , 	8 , 	6 , 	3 , 	2 , 	3 , 	3 , 	2 , 	2 , 	1 , 	2 , 	7 , 	64 , 	38 , 	91 , 	72 , 	43 , 	24 , 	9 , 	7 , 	4 , 	2 , 	2 , 	3 , 	1 , 	1 , 	1 , 	3 , 	17 , 	4 , 	2 , 	7 , 	4 , 	2 , 	7 , 	0 , 	2 , 	718 ,,,,,,,,,,
MA, 	30 , 	41 , 	22 , 	21 , 	66 , 	24 , 	21 , 	31 , 	40 , 	14 , 	39 , 	18 , 	22 , 	12 , 	8 , 	2 , 	8 , 	7 , 	19 , 	12 , 	21 , 	6 , 	12 , 	19 , 	14 , 	126 , 	85 , 	194 , 	124 , 	91 , 	60 , 	19 , 	12 , 	9 , 	5 , 	4 , 	8 , 	3 , 	15 , 	4 , 	3 , 	29 , 	8 , 	3 , 	7 , 	1 , 	6 , 	12 , 	7 , 	8 ," 	1,365 ",,,,,,,,,,
19, 	20 , 	32 , 	25 , 	22 , 	75 , 	28 , 	33 , 	24 , 	8 , 	5 , 	25 , 	14 , 	20 , 	17 , 	15 , 	7 , 	7 , 	8 , 	18 , 	14 , 	24 , 	7 , 	10 , 	31 , 	14 , 	138 , 	106 , 	194 , 	126 , 	103 , 	51 , 	18 , 	19 , 	12 , 	6 , 	1 , 	7 , 	2 , 	7 , 	4 , 	3 , 	34 , 	9 , 	4 , 	10 , 	8 , 	5 , 	11 , 	5 , 	12 ," 	1,392 ",,,,,,,,,,
12, 	27 , 	44 , 	27 , 	21 , 	67 , 	24 , 	40 , 	10 , 	20 , 	4 , 	27 , 	18 , 	22 , 	25 , 	22 , 	5 , 	9 , 	11 , 	17 , 	17 , 	20 , 	8 , 	7 , 	21 , 	24 , 	134 , 	80 , 	209 , 	129 , 	68 , 	46 , 	19 , 	21 , 	16 , 	8 , 	3 , 	4 , 	4 , 	8 , 	6 , 	8 , 	36 , 	15 , 	4 , 	6 , 	5 , 	6 , 	8 , 	3 , 	8 ," 	1,387 ",,,,,,,,,,
LM, 	8 , 	9 , 	10 , 	8 , 	29 , 	11 , 	8 , 	7 , 	4 , 	12 , 	38 , 	32 , 	43 , 	46 , 	21 , 	11 , 	12 , 	13 , 	3 , 	4 , 	3 , 	1 , 	1 , 	3 , 	9 , 	106 , 	73 , 	169 , 	97 , 	69 , 	48 , 	18 , 	14 , 	9 , 	2 , 	16 , 	26 , 	0 , 	2 , 	1 , 	2 , 	8 , 	3 , 	11 , 	9 , 	10 , 	10 , 	15 , 	0 , 	3 ," 	1,064 ",,,,,,,,,,
FV, 	31 , 	30 , 	16 , 	22 , 	47 , 	18 , 	38 , 	30 , 	30 , 	22 , 	19 , 	54 , 	57 , 	77 , 	44 , 	22 , 	20 , 	25 , 	8 , 	6 , 	6 , 	5 , 	8 , 	12 , 	31 , 	114 , 	83 , 	238 , 	131 , 	69 , 	72 , 	15 , 	17 , 	19 , 	4 , 	17 , 	32 , 	2 , 	4 , 	3 , 	7 , 	13 , 	5 , 	26 , 	5 , 	19 , 	11 , 	25 , 	2 , 	5 ," 	1,608 ",,,,,,,,,,
