Exit stations,Entry stations->,,SUNDAY,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	23 , 	20 , 	10 , 	55 , 	15 , 	23 , 	13 , 	18 , 	9 , 	21 , 	10 , 	8 , 	4 , 	4 , 	2 , 	2 , 	2 , 	3 , 	3 , 	4 , 	3 , 	2 , 	4 , 	6 , 	35 , 	20 , 	96 , 	30 , 	22 , 	29 , 	7 , 	11 , 	7 , 	2 , 	3 , 	3 , 	1 , 	4 , 	3 , 	6 , 	13 , 	1 , 	-   , 	6 , 	3 , 	2 , 	5 , 	3 , 	3 , 	585 ,,,,,,,,,,,
EN, 	26 , 	18 , 	11 , 	10 , 	81 , 	19 , 	28 , 	22 , 	24 , 	11 , 	22 , 	13 , 	8 , 	9 , 	9 , 	4 , 	7 , 	7 , 	7 , 	4 , 	7 , 	2 , 	1 , 	5 , 	8 , 	58 , 	40 , 	162 , 	41 , 	33 , 	20 , 	7 , 	8 , 	9 , 	8 , 	0 , 	3 , 	0 , 	4 , 	2 , 	6 , 	32 , 	3 , 	3 , 	10 , 	4 , 	7 , 	9 , 	2 , 	3 , 	831 ,,,,,,,,,,,
EP, 	21 , 	9 , 	5 , 	10 , 	58 , 	17 , 	17 , 	20 , 	18 , 	8 , 	9 , 	6 , 	4 , 	5 , 	4 , 	3 , 	1 , 	3 , 	3 , 	2 , 	4 , 	1 , 	-   , 	5 , 	1 , 	30 , 	23 , 	71 , 	27 , 	13 , 	10 , 	2 , 	3 , 	5 , 	1 , 	-   , 	2 , 	1 , 	2 , 	0 , 	3 , 	15 , 	1 , 	1 , 	8 , 	2 , 	4 , 	3 , 	0 , 	2 , 	455 ,,,,,,,,,,,
NB, 	10 , 	10 , 	11 , 	6 , 	11 , 	11 , 	10 , 	19 , 	12 , 	7 , 	14 , 	3 , 	4 , 	5 , 	1 , 	1 , 	4 , 	2 , 	2 , 	3 , 	3 , 	1 , 	1 , 	2 , 	2 , 	34 , 	25 , 	68 , 	37 , 	18 , 	11 , 	5 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	0 , 	2 , 	27 , 	1 , 	1 , 	9 , 	2 , 	4 , 	4 , 	1 , 	0 , 	410 ,,,,,,,,,,,
BK, 	57 , 	82 , 	70 , 	13 , 	30 , 	30 , 	32 , 	50 , 	38 , 	23 , 	39 , 	17 , 	19 , 	13 , 	12 , 	7 , 	15 , 	20 , 	7 , 	7 , 	11 , 	4 , 	5 , 	3 , 	10 , 	89 , 	49 , 	164 , 	65 , 	35 , 	27 , 	17 , 	8 , 	10 , 	3 , 	2 , 	12 , 	4 , 	4 , 	1 , 	5 , 	34 , 	7 , 	5 , 	17 , 	12 , 	23 , 	34 , 	3 , 	3 ," 	1,241 ",,,,,,,,,,,
AS, 	12 , 	18 , 	11 , 	6 , 	28 , 	6 , 	12 , 	12 , 	12 , 	9 , 	18 , 	7 , 	7 , 	8 , 	3 , 	4 , 	4 , 	3 , 	1 , 	2 , 	3 , 	1 , 	1 , 	2 , 	6 , 	24 , 	23 , 	50 , 	33 , 	25 , 	15 , 	2 , 	4 , 	2 , 	0 , 	1 , 	3 , 	1 , 	2 , 	1 , 	0 , 	13 , 	2 , 	0 , 	7 , 	2 , 	5 , 	6 , 	-   , 	1 , 	414 ,,,,,,,,,,,
MA, 	25 , 	25 , 	16 , 	14 , 	32 , 	14 , 	17 , 	19 , 	17 , 	10 , 	27 , 	17 , 	16 , 	13 , 	13 , 	4 , 	6 , 	6 , 	10 , 	9 , 	13 , 	6 , 	3 , 	14 , 	9 , 	58 , 	43 , 	128 , 	75 , 	51 , 	41 , 	16 , 	9 , 	7 , 	2 , 	1 , 	3 , 	6 , 	8 , 	1 , 	4 , 	38 , 	4 , 	3 , 	17 , 	3 , 	8 , 	8 , 	5 , 	8 , 	894 ,,,,,,,,,,,
19, 	13 , 	25 , 	25 , 	22 , 	48 , 	19 , 	20 , 	21 , 	6 , 	5 , 	19 , 	10 , 	17 , 	16 , 	15 , 	6 , 	6 , 	8 , 	11 , 	12 , 	15 , 	10 , 	9 , 	27 , 	11 , 	74 , 	59 , 	148 , 	80 , 	62 , 	44 , 	16 , 	11 , 	16 , 	4 , 	1 , 	2 , 	3 , 	8 , 	2 , 	2 , 	32 , 	4 , 	0 , 	11 , 	5 , 	6 , 	11 , 	3 , 	6 , 	999 ,,,,,,,,,,,
12, 	18 , 	21 , 	15 , 	9 , 	37 , 	7 , 	19 , 	3 , 	18 , 	4 , 	15 , 	19 , 	18 , 	19 , 	14 , 	5 , 	6 , 	9 , 	11 , 	10 , 	12 , 	4 , 	5 , 	15 , 	12 , 	59 , 	51 , 	145 , 	68 , 	41 , 	29 , 	19 , 	15 , 	13 , 	7 , 	1 , 	4 , 	2 , 	4 , 	6 , 	7 , 	38 , 	3 , 	1 , 	8 , 	10 , 	7 , 	7 , 	1 , 	7 , 	873 ,,,,,,,,,,,
LM, 	11 , 	14 , 	9 , 	9 , 	19 , 	10 , 	10 , 	5 , 	3 , 	10 , 	33 , 	25 , 	30 , 	30 , 	12 , 	9 , 	12 , 	8 , 	2 , 	3 , 	2 , 	1 , 	1 , 	2 , 	10 , 	58 , 	41 , 	119 , 	51 , 	47 , 	36 , 	8 , 	9 , 	6 , 	0 , 	11 , 	31 , 	1 , 	3 , 	2 , 	1 , 	10 , 	0 , 	10 , 	9 , 	7 , 	6 , 	9 , 	1 , 	2 , 	753 ,,,,,,,,,,,
FV, 	20 , 	22 , 	11 , 	13 , 	36 , 	16 , 	28 , 	23 , 	12 , 	26 , 	18 , 	29 , 	38 , 	63 , 	36 , 	22 , 	9 , 	14 , 	8 , 	4 , 	6 , 	3 , 	4 , 	10 , 	18 , 	59 , 	52 , 	187 , 	91 , 	45 , 	40 , 	9 , 	10 , 	10 , 	3 , 	12 , 	24 , 	1 , 	3 , 	3 , 	4 , 	15 , 	1 , 	14 , 	8 , 	10 , 	14 , 	17 , 	2 , 	3 ," 	1,119 ",,,,,,,,,,,
