Exit stations,Entry stations->,,TOTAL,,,Dec 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	384 ," 	1,375 "," 	1,193 ", 	740 ," 	3,946 ", 	964 ," 	1,651 "," 	1,003 "," 	1,446 ", 	340 ," 	1,197 ", 	628 , 	443 , 	308 , 	358 , 	172 , 	162 , 	207 , 	252 , 	115 , 	233 , 	133 , 	92 , 	280 , 	460 ," 	3,497 "," 	2,834 "," 	5,886 "," 	2,924 "," 	2,295 "," 	2,336 ", 	534 , 	668 , 	559 , 	223 , 	73 , 	200 , 	68 , 	150 , 	179 , 	276 , 	640 , 	137 , 	28 , 	187 , 	206 , 	105 , 	176 , 	152 , 	159 ," 	42,574 ",,,,,,,,,,,,,
EN," 	1,513 ", 	493 ," 	1,072 ", 	799 ," 	6,427 "," 	1,140 "," 	2,197 "," 	2,275 "," 	3,008 ", 	706 ," 	1,318 ", 	924 , 	581 , 	538 , 	532 , 	264 , 	374 , 	384 , 	337 , 	160 , 	415 , 	102 , 	157 , 	267 , 	492 ," 	6,994 "," 	5,727 "," 	9,516 "," 	5,710 "," 	2,478 "," 	2,275 ", 	737 , 	814 , 	944 , 	354 , 	81 , 	249 , 	79 , 	135 , 	221 , 	389 ," 	1,498 ", 	320 , 	83 , 	465 , 	342 , 	210 , 	305 , 	116 , 	129 ," 	66,646 ",,,,,,,,,,,,,
EP," 	1,295 ", 	975 , 	274 , 	658 ," 	5,099 ", 	703 ," 	1,170 "," 	1,392 "," 	1,654 ", 	408 , 	645 , 	268 , 	394 , 	226 , 	194 , 	151 , 	178 , 	206 , 	189 , 	94 , 	209 , 	129 , 	44 , 	311 , 	135 ," 	3,052 "," 	2,919 "," 	3,794 "," 	2,689 ", 	964 , 	859 , 	294 , 	239 , 	298 , 	44 , 	56 , 	115 , 	42 , 	109 , 	79 , 	145 , 	811 , 	120 , 	49 , 	298 , 	126 , 	116 , 	184 , 	43 , 	83 ," 	34,529 ",,,,,,,,,,,,,
NB, 	761 , 	696 , 	674 , 	276 ," 	1,622 ", 	471 , 	809 ," 	1,206 ", 	977 , 	338 , 	800 , 	282 , 	261 , 	178 , 	182 , 	46 , 	123 , 	186 , 	139 , 	203 , 	181 , 	55 , 	66 , 	124 , 	143 ," 	3,069 "," 	2,597 "," 	2,908 "," 	2,673 "," 	1,187 ", 	797 , 	283 , 	313 , 	257 , 	71 , 	71 , 	94 , 	33 , 	116 , 	64 , 	82 ," 	1,075 ", 	101 , 	27 , 	379 , 	113 , 	101 , 	119 , 	21 , 	72 ," 	27,422 ",,,,,,,,,,,,,
BK," 	4,320 "," 	6,686 "," 	5,245 "," 	1,635 "," 	1,070 "," 	2,570 "," 	2,756 "," 	3,276 "," 	3,216 "," 	1,141 "," 	2,410 "," 	1,234 "," 	1,382 ", 	821 , 	921 , 	494 , 	929 , 	845 , 	662 , 	673 , 	722 , 	435 , 	313 , 	269 , 	722 ," 	5,305 "," 	3,961 "," 	7,491 "," 	4,372 "," 	2,348 "," 	1,887 ", 	915 , 	694 , 	673 , 	207 , 	304 , 	704 , 	202 , 	440 , 	189 , 	307 ," 	1,688 ", 	592 , 	259 , 	652 , 	461 , 	698 ," 	1,015 ", 	206 , 	354 ," 	80,671 ",,,,,,,,,,,,,
AS, 	994 ," 	1,103 ", 	629 , 	370 ," 	2,261 ", 	269 , 	752 ," 	1,272 "," 	1,272 ", 	391 , 	993 , 	561 , 	398 , 	354 , 	218 , 	183 , 	179 , 	244 , 	157 , 	152 , 	172 , 	110 , 	22 , 	99 , 	230 ," 	2,713 "," 	2,392 "," 	3,045 "," 	2,815 "," 	1,371 ", 	817 , 	274 , 	335 , 	254 , 	62 , 	40 , 	172 , 	35 , 	68 , 	73 , 	110 , 	683 , 	114 , 	35 , 	291 , 	186 , 	165 , 	197 , 	23 , 	107 ," 	29,762 ",,,,,,,,,,,,,
MA," 	1,849 "," 	2,169 "," 	1,199 ", 	806 ," 	2,673 ", 	822 , 	551 ," 	1,176 "," 	1,491 ", 	503 ," 	1,994 "," 	1,257 "," 	1,234 ", 	700 , 	638 , 	372 , 	526 , 	535 , 	882 , 	920 ," 	1,013 ", 	321 , 	293 , 	619 , 	607 ," 	5,632 "," 	4,864 "," 	6,493 "," 	5,238 "," 	3,143 "," 	2,173 ", 	648 , 	681 , 	499 , 	214 , 	151 , 	372 , 	264 , 	890 , 	176 , 	151 ," 	1,398 ", 	244 , 	122 , 	380 , 	157 , 	230 , 	333 , 	506 ," 	1,076 "," 	61,185 ",,,,,,,,,,,,,
19," 	1,036 "," 	2,268 "," 	1,266 "," 	1,245 "," 	3,163 "," 	1,411 "," 	1,232 ", 	575 , 	366 , 	299 ," 	1,301 ", 	990 ," 	1,095 ", 	960 , 	847 , 	563 , 	581 , 	570 ," 	1,130 ", 	979 ," 	1,244 ", 	516 , 	455 ," 	1,036 ", 	593 ," 	6,343 "," 	5,204 "," 	6,810 "," 	5,208 "," 	3,341 "," 	2,030 ", 	675 , 	810 , 	643 , 	248 , 	159 , 	452 , 	278 , 	658 , 	220 , 	189 ," 	1,205 ", 	292 , 	140 , 	379 , 	390 , 	289 , 	415 , 	268 , 	791 ," 	63,158 ",,,,,,,,,,,,,
12," 	1,579 "," 	2,757 "," 	1,629 ", 	966 ," 	2,830 "," 	1,060 "," 	1,570 ", 	342 , 	559 , 	225 ," 	1,223 "," 	1,439 "," 	1,820 "," 	1,375 "," 	1,325 ", 	701 , 	925 , 	832 ," 	1,403 "," 	1,277 "," 	1,313 ", 	541 , 	428 , 	939 , 	776 ," 	5,919 "," 	4,653 "," 	7,771 "," 	5,377 "," 	2,302 "," 	1,995 ", 	938 ," 	1,053 "," 	1,201 ", 	436 , 	200 , 	630 , 	320 , 	942 , 	405 , 	422 ," 	1,402 ", 	402 , 	178 , 	317 , 	463 , 	290 , 	438 , 	317 ," 	1,165 "," 	69,370 ",,,,,,,,,,,,,
LM, 	367 , 	687 , 	414 , 	329 ," 	1,409 ", 	382 , 	478 , 	297 , 	215 , 	284 ," 	1,609 "," 	1,622 "," 	2,604 "," 	2,260 "," 	1,083 ", 	936 , 	850 , 	799 , 	228 , 	180 , 	179 , 	62 , 	44 , 	137 , 	313 ," 	4,843 "," 	4,131 "," 	5,937 "," 	4,237 "," 	2,202 "," 	1,420 ", 	613 , 	689 , 	447 , 	77 ," 	1,080 "," 	1,498 ", 	52 , 	135 , 	72 , 	90 , 	335 , 	71 , 	641 , 	374 , 	519 , 	352 , 	403 , 	86 , 	249 ," 	48,321 ",,,,,,,,,,,,,
FV," 	1,228 "," 	1,343 ", 	622 , 	751 ," 	2,418 ", 	986 ," 	1,851 "," 	1,358 "," 	1,404 "," 	1,384 ", 	610 ," 	2,713 "," 	2,894 "," 	2,952 "," 	2,315 "," 	1,419 "," 	1,079 "," 	1,202 ", 	364 , 	212 , 	389 , 	226 , 	255 , 	553 ," 	1,343 "," 	6,068 "," 	4,629 "," 	9,621 "," 	6,946 "," 	2,820 "," 	2,705 ", 	658 , 	804 , 	874 , 	141 , 	670 ," 	1,617 ", 	92 , 	231 , 	120 , 	340 , 	595 , 	112 , 	871 , 	238 , 	819 , 	479 , 	562 , 	163 , 	388 ," 	74,434 ",,,,,,,,,,,,,
