Exit stations,Entry stations->,,SUNDAY,,,Jul 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	31 , 	32 , 	9 , 	105 , 	15 , 	23 , 	16 , 	15 , 	19 , 	28 , 	22 , 	7 , 	7 , 	5 , 	4 , 	2 , 	2 , 	5 , 	2 , 	1 , 	3 , 	1 , 	8 , 	6 , 	76 , 	41 , 	106 , 	36 , 	36 , 	27 , 	7 , 	14 , 	11 , 	5 , 	1 , 	2 , 	0 , 	3 , 	2 , 	6 , 	27 , 	7 , 	0 , 	4 , 	5 , 	4 , 	7 , 	3 , 	1 , 	810 ,,,,,,,,,,,
CL, 	19 , 	26 , 	13 , 	14 , 	30 , 	13 , 	32 , 	29 , 	30 , 	51 , 	54 , 	10 , 	47 , 	47 , 	35 , 	22 , 	16 , 	24 , 	12 , 	11 , 	14 , 	10 , 	7 , 	10 , 	23 , 	66 , 	48 , 	129 , 	57 , 	31 , 	34 , 	14 , 	9 , 	9 , 	2 , 	21 , 	81 , 	6 , 	9 , 	2 , 	2 , 	14 , 	3 , 	28 , 	32 , 	23 , 	23 , 	26 , 	3 , 	8 ," 	1,278 ",,,,,,,,,,,
SL, 	9 , 	12 , 	3 , 	8 , 	22 , 	8 , 	22 , 	20 , 	25 , 	53 , 	51 , 	53 , 	13 , 	35 , 	33 , 	21 , 	9 , 	15 , 	3 , 	2 , 	5 , 	1 , 	1 , 	4 , 	12 , 	89 , 	54 , 	133 , 	56 , 	26 , 	22 , 	5 , 	10 , 	11 , 	1 , 	14 , 	24 , 	2 , 	6 , 	1 , 	3 , 	18 , 	3 , 	14 , 	8 , 	8 , 	7 , 	13 , 	2 , 	4 , 	975 ,,,,,,,,,,,
BF, 	7 , 	8 , 	3 , 	5 , 	20 , 	8 , 	18 , 	20 , 	31 , 	48 , 	72 , 	52 , 	38 , 	14 , 	29 , 	15 , 	11 , 	14 , 	8 , 	2 , 	4 , 	1 , 	1 , 	2 , 	10 , 	96 , 	54 , 	143 , 	49 , 	24 , 	17 , 	7 , 	8 , 	7 , 	3 , 	12 , 	37 , 	0 , 	3 , 	2 , 	3 , 	15 , 	2 , 	21 , 	9 , 	15 , 	10 , 	13 , 	2 , 	4 , 	993 ,,,,,,,,,,,
HY, 	7 , 	12 , 	4 , 	4 , 	16 , 	7 , 	15 , 	15 , 	18 , 	22 , 	43 , 	36 , 	32 , 	33 , 	11 , 	17 , 	10 , 	17 , 	3 , 	4 , 	2 , 	2 , 	-   , 	2 , 	4 , 	38 , 	14 , 	55 , 	24 , 	12 , 	11 , 	3 , 	4 , 	5 , 	1 , 	7 , 	11 , 	1 , 	2 , 	1 , 	2 , 	7 , 	2 , 	8 , 	6 , 	17 , 	19 , 	17 , 	1 , 	4 , 	606 ,,,,,,,,,,,
SH, 	4 , 	6 , 	6 , 	4 , 	23 , 	5 , 	8 , 	11 , 	12 , 	19 , 	24 , 	19 , 	15 , 	18 , 	20 , 	5 , 	8 , 	11 , 	4 , 	1 , 	3 , 	0 , 	0 , 	2 , 	5 , 	63 , 	29 , 	65 , 	22 , 	13 , 	15 , 	6 , 	4 , 	5 , 	1 , 	5 , 	8 , 	1 , 	2 , 	0 , 	1 , 	9 , 	2 , 	4 , 	6 , 	10 , 	9 , 	13 , 	1 , 	2 , 	529 ,,,,,,,,,,,
UC, 	2 , 	5 , 	3 , 	4 , 	12 , 	4 , 	4 , 	8 , 	6 , 	7 , 	14 , 	19 , 	11 , 	9 , 	16 , 	7 , 	9 , 	25 , 	2 , 	1 , 	2 , 	1 , 	0 , 	0 , 	2 , 	31 , 	13 , 	32 , 	19 , 	6 , 	7 , 	2 , 	2 , 	3 , 	0 , 	3 , 	7 , 	0 , 	1 , 	1 , 	0 , 	6 , 	1 , 	3 , 	6 , 	20 , 	25 , 	28 , 	0 , 	2 , 	391 ,,,,,,,,,,,
FM, 	3 , 	5 , 	3 , 	2 , 	21 , 	3 , 	12 , 	8 , 	7 , 	9 , 	17 , 	24 , 	13 , 	15 , 	18 , 	12 , 	19 , 	16 , 	2 , 	1 , 	1 , 	1 , 	0 , 	3 , 	2 , 	65 , 	29 , 	45 , 	23 , 	13 , 	5 , 	3 , 	2 , 	2 , 	1 , 	3 , 	7 , 	-   , 	1 , 	0 , 	1 , 	10 , 	0 , 	3 , 	8 , 	20 , 	38 , 	34 , 	-   , 	3 , 	532 ,,,,,,,,,,,
CN, 	7 , 	5 , 	3 , 	3 , 	9 , 	3 , 	25 , 	16 , 	14 , 	3 , 	7 , 	10 , 	4 , 	8 , 	4 , 	2 , 	0 , 	3 , 	17 , 	20 , 	74 , 	31 , 	9 , 	15 , 	3 , 	100 , 	39 , 	77 , 	42 , 	26 , 	19 , 	7 , 	5 , 	9 , 	4 , 	1 , 	2 , 	7 , 	41 , 	4 , 	4 , 	42 , 	3 , 	1 , 	12 , 	1 , 	1 , 	6 , 	24 , 	26 , 	795 ,,,,,,,,,,,
PH, 	3 , 	2 , 	3 , 	3 , 	9 , 	4 , 	12 , 	11 , 	14 , 	4 , 	4 , 	10 , 	2 , 	2 , 	3 , 	2 , 	1 , 	2 , 	16 , 	8 , 	29 , 	12 , 	7 , 	20 , 	4 , 	106 , 	46 , 	96 , 	36 , 	20 , 	10 , 	8 , 	4 , 	6 , 	2 , 	0 , 	2 , 	2 , 	18 , 	1 , 	5 , 	65 , 	2 , 	0 , 	20 , 	0 , 	1 , 	3 , 	7 , 	13 , 	660 ,,,,,,,,,,,
WC, 	3 , 	6 , 	5 , 	4 , 	12 , 	2 , 	17 , 	22 , 	20 , 	4 , 	7 , 	17 , 	3 , 	4 , 	1 , 	4 , 	1 , 	2 , 	79 , 	32 , 	13 , 	14 , 	12 , 	33 , 	6 , 	165 , 	54 , 	96 , 	53 , 	32 , 	18 , 	9 , 	7 , 	10 , 	4 , 	1 , 	2 , 	8 , 	34 , 	3 , 	5 , 	68 , 	6 , 	0 , 	20 , 	1 , 	3 , 	3 , 	16 , 	12 , 	953 ,,,,,,,,,,,
LF, 	4 , 	2 , 	2 , 	2 , 	8 , 	3 , 	11 , 	10 , 	7 , 	1 , 	4 , 	9 , 	-   , 	1 , 	3 , 	0 , 	0 , 	-   , 	35 , 	13 , 	14 , 	8 , 	3 , 	18 , 	1 , 	100 , 	32 , 	56 , 	26 , 	15 , 	5 , 	5 , 	2 , 	4 , 	1 , 	-   , 	0 , 	2 , 	8 , 	1 , 	1 , 	40 , 	3 , 	0 , 	10 , 	0 , 	1 , 	2 , 	5 , 	5 , 	483 ,,,,,,,,,,,
OR, 	0 , 	0 , 	1 , 	2 , 	7 , 	2 , 	6 , 	7 , 	9 , 	1 , 	4 , 	8 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	8 , 	7 , 	12 , 	3 , 	3 , 	12 , 	1 , 	67 , 	26 , 	43 , 	23 , 	15 , 	7 , 	6 , 	2 , 	4 , 	1 , 	1 , 	1 , 	0 , 	3 , 	-   , 	1 , 	27 , 	1 , 	0 , 	4 , 	0 , 	0 , 	1 , 	2 , 	1 , 	335 ,,,,,,,,,,,
RR, 	6 , 	7 , 	7 , 	3 , 	4 , 	2 , 	15 , 	21 , 	23 , 	3 , 	11 , 	10 , 	3 , 	2 , 	2 , 	3 , 	0 , 	3 , 	15 , 	18 , 	29 , 	21 , 	13 , 	9 , 	7 , 	147 , 	70 , 	108 , 	82 , 	57 , 	31 , 	14 , 	6 , 	10 , 	1 , 	1 , 	3 , 	2 , 	6 , 	3 , 	2 , 	55 , 	4 , 	1 , 	8 , 	0 , 	1 , 	5 , 	1 , 	4 , 	860 ,,,,,,,,,,,
OW, 	6 , 	7 , 	4 , 	2 , 	14 , 	8 , 	11 , 	16 , 	24 , 	14 , 	29 , 	21 , 	8 , 	9 , 	7 , 	5 , 	1 , 	3 , 	3 , 	3 , 	5 , 	1 , 	1 , 	9 , 	17 , 	246 , 	120 , 	282 , 	138 , 	98 , 	69 , 	17 , 	12 , 	13 , 	7 , 	3 , 	9 , 	0 , 	4 , 	2 , 	6 , 	49 , 	7 , 	4 , 	8 , 	2 , 	3 , 	6 , 	2 , 	5 ," 	1,341 ",,,,,,,,,,,
EM, 	78 , 	113 , 	71 , 	126 , 	305 , 	96 , 	182 , 	166 , 	181 , 	111 , 	111 , 	86 , 	104 , 	106 , 	45 , 	68 , 	33 , 	75 , 	103 , 	126 , 	174 , 	115 , 	79 , 	166 , 	279 , 	98 , 	9 , 	87 , 	45 , 	168 , 	178 , 	98 , 	121 , 	111 , 	38 , 	59 , 	290 , 	37 , 	79 , 	31 , 	47 , 	182 , 	69 , 	86 , 	55 , 	33 , 	73 , 	60 , 	14 , 	58 ," 	5,227 ",,,,,,,,,,,
MT, 	53 , 	74 , 	44 , 	69 , 	198 , 	51 , 	98 , 	112 , 	103 , 	83 , 	79 , 	53 , 	63 , 	68 , 	21 , 	31 , 	19 , 	31 , 	52 , 	63 , 	60 , 	34 , 	28 , 	74 , 	146 , 	12 , 	43 , 	16 , 	22 , 	116 , 	138 , 	78 , 	165 , 	94 , 	40 , 	38 , 	101 , 	10 , 	38 , 	23 , 	40 , 	189 , 	49 , 	39 , 	38 , 	16 , 	39 , 	32 , 	5 , 	27 ," 	3,116 ",,,,,,,,,,,
PL, 	95 , 	131 , 	58 , 	69 , 	230 , 	58 , 	141 , 	130 , 	178 , 	119 , 	160 , 	104 , 	104 , 	108 , 	40 , 	47 , 	26 , 	34 , 	62 , 	67 , 	80 , 	47 , 	43 , 	87 , 	260 , 	103 , 	14 , 	88 , 	38 , 	338 , 	377 , 	195 , 	333 , 	266 , 	103 , 	36 , 	156 , 	20 , 	68 , 	58 , 	80 , 	576 , 	112 , 	45 , 	42 , 	22 , 	36 , 	52 , 	17 , 	47 ," 	5,698 ",,,,,,,,,,,
