Muni Fast Pass Adult/Clipper OD,,,,,,Dec 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,39,26,101,100,378,701,608,894,"2,845"
MT,35,34,62,96,457,867,835,"1,620","4,005"
PL,182,100,41,81,436,656,521,"1,359","3,376"
CC,78,77,83,24,210,393,318,741,"1,925"
16,332,357,531,232,14,124,138,348,"2,074"
24,532,628,802,385,138,17,107,342,"2,953"
GP,517,582,664,305,142,122,21,72,"2,425"
BP,740,938,"1,813",675,340,350,80,47,"4,983"
Entries,"2,455","2,741","4,097","1,897","2,114","3,229","2,628","5,423","24,585"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,6,36,22,131,157,94,246,708
MT,7,13,22,14,147,207,194,672,"1,275"
PL,46,20,46,33,393,557,403,"1,062","2,561"
CC,16,7,42,21,140,204,98,244,772
16,106,83,420,155,13,98,102,218,"1,195"
24,139,126,580,207,94,18,79,207,"1,449"
GP,88,103,498,103,81,85,13,37,"1,009"
BP,201,262,"1,363",216,182,176,31,31,"2,463"
Entries,617,622,"3,007",770,"1,182","1,503","1,014","2,718","11,433"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,17,14,64,91,51,149,408
MT,5,12,11,8,81,123,116,416,773
PL,25,8,58,27,287,406,283,728,"1,823"
CC,11,7,26,30,109,145,86,196,610
16,67,45,332,112,27,67,61,148,860
24,92,78,474,156,68,27,55,141,"1,090"
GP,58,63,385,87,62,55,22,24,756
BP,149,165,"1,030",164,126,130,21,63,"1,846"
Entries,425,381,"2,334",598,824,"1,044",696,"1,864","8,167"
