Exit stations,Entry stations->,,SUNDAY,,,Dec 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	77 , 	221 , 	80 , 	67 , 	139 , 	87 , 	149 , 	106 , 	123 , 	122 , 	265 , 	19 , 	306 , 	320 , 	181 , 	101 , 	152 , 	353 , 	82 , 	87 , 	90 , 	44 , 	48 , 	46 , 	81 , 	232 , 	159 , 	512 , 	215 , 	79 , 	73 , 	43 , 	54 , 	54 , 	13 , 	126 , 	576 , 	45 , 	149 , 	14 , 	17 , 	45 , 	31 , 	132 ," 	5,915 ",,,CM line," 	12,130 "," 	1,503 "," 	4,043 "," 	1,340 "," 	1,060 "," 	1,500 "," 	1,995 "," 	23,570 "
SL, 	18 , 	21 , 	10 , 	14 , 	52 , 	19 , 	39 , 	37 , 	52 , 	71 , 	86 , 	311 , 	9 , 	78 , 	54 , 	29 , 	25 , 	38 , 	8 , 	4 , 	8 , 	3 , 	4 , 	6 , 	21 , 	88 , 	78 , 	360 , 	104 , 	29 , 	31 , 	15 , 	23 , 	18 , 	4 , 	21 , 	23 , 	2 , 	15 , 	5 , 	6 , 	25 , 	9 , 	27 ," 	1,897 ",,,RM line," 	4,773 "," 	1,618 "," 	1,354 "," 	2,529 ", 	629 ," 	1,854 ", 	590 ," 	13,347 "
BF, 	17 , 	31 , 	13 , 	17 , 	45 , 	26 , 	51 , 	46 , 	73 , 	78 , 	190 , 	335 , 	82 , 	19 , 	95 , 	63 , 	61 , 	87 , 	18 , 	6 , 	10 , 	7 , 	2 , 	8 , 	33 , 	100 , 	75 , 	361 , 	77 , 	33 , 	29 , 	15 , 	29 , 	25 , 	7 , 	42 , 	73 , 	1 , 	19 , 	4 , 	6 , 	16 , 	6 , 	83 ," 	2,413 ",,,WP line," 	5,569 ", 	847 ," 	1,085 ", 	641 ," 	2,150 "," 	1,177 ", 	826 ," 	12,295 "
HY, 	22 , 	24 , 	7 , 	8 , 	46 , 	14 , 	38 , 	34 , 	45 , 	36 , 	86 , 	179 , 	57 , 	111 , 	8 , 	43 , 	60 , 	86 , 	9 , 	4 , 	8 , 	4 , 	1 , 	6 , 	18 , 	60 , 	40 , 	173 , 	45 , 	20 , 	16 , 	11 , 	19 , 	15 , 	5 , 	12 , 	20 , 	3 , 	19 , 	3 , 	6 , 	14 , 	6 , 	31 ," 	1,472 ",,,FT/ED line," 	6,978 "," 	2,103 "," 	1,542 "," 	1,904 "," 	1,136 "," 	8,420 ", 	519 ," 	22,601 "
SH, 	10 , 	12 , 	4 , 	7 , 	22 , 	8 , 	14 , 	21 , 	25 , 	22 , 	41 , 	100 , 	30 , 	64 , 	42 , 	7 , 	29 , 	58 , 	5 , 	4 , 	4 , 	1 , 	1 , 	2 , 	7 , 	33 , 	29 , 	144 , 	34 , 	13 , 	17 , 	7 , 	9 , 	9 , 	2 , 	10 , 	15 , 	1 , 	9 , 	3 , 	3 , 	7 , 	4 , 	13 , 	902 ,,,SFIA," 	4,100 ", 	407 ," 	1,856 ", 	610 , 	654 , 	426 , 	908 ," 	8,962 "
UC, 	6 , 	16 , 	9 , 	5 , 	33 , 	8 , 	13 , 	16 , 	29 , 	28 , 	32 , 	150 , 	29 , 	58 , 	57 , 	29 , 	12 , 	54 , 	5 , 	6 , 	8 , 	3 , 	1 , 	5 , 	4 , 	67 , 	50 , 	242 , 	58 , 	20 , 	12 , 	8 , 	16 , 	15 , 	3 , 	12 , 	21 , 	2 , 	14 , 	4 , 	3 , 	22 , 	5 , 	10 ," 	1,199 ",,,Entries," 	40,926 "," 	12,754 "," 	23,119 "," 	13,135 "," 	11,436 "," 	21,985 "," 	9,900 "," 	133,255 "
FM, 	11 , 	34 , 	19 , 	22 , 	109 , 	23 , 	35 , 	35 , 	47 , 	43 , 	65 , 	354 , 	36 , 	89 , 	82 , 	54 , 	56 , 	19 , 	18 , 	12 , 	17 , 	7 , 	4 , 	14 , 	8 , 	142 , 	97 , 	436 , 	116 , 	34 , 	24 , 	17 , 	33 , 	29 , 	6 , 	12 , 	38 , 	4 , 	31 , 	3 , 	4 , 	43 , 	3 , 	18 ," 	2,302 ",,,,,,,,,,,
CN, 	16 , 	22 , 	9 , 	10 , 	32 , 	10 , 	39 , 	22 , 	37 , 	10 , 	23 , 	83 , 	11 , 	16 , 	10 , 	6 , 	6 , 	17 , 	13 , 	39 , 	141 , 	52 , 	18 , 	36 , 	6 , 	113 , 	74 , 	266 , 	96 , 	27 , 	34 , 	23 , 	29 , 	23 , 	5 , 	4 , 	8 , 	14 , 	156 , 	9 , 	8 , 	67 , 	12 , 	5 ," 	1,656 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	10 , 	5 , 	6 , 	36 , 	9 , 	25 , 	22 , 	23 , 	6 , 	15 , 	95 , 	5 , 	4 , 	6 , 	4 , 	5 , 	14 , 	37 , 	10 , 	65 , 	18 , 	16 , 	37 , 	4 , 	132 , 	111 , 	362 , 	125 , 	25 , 	23 , 	23 , 	28 , 	18 , 	4 , 	3 , 	4 , 	8 , 	43 , 	6 , 	8 , 	107 , 	13 , 	2 ," 	1,523 ",,,Dtwn SF," 	1,893 ",,,,,,,
WC, 	12 , 	19 , 	15 , 	10 , 	45 , 	18 , 	44 , 	31 , 	43 , 	11 , 	27 , 	93 , 	7 , 	9 , 	6 , 	4 , 	5 , 	13 , 	150 , 	60 , 	11 , 	38 , 	18 , 	63 , 	10 , 	204 , 	150 , 	518 , 	194 , 	48 , 	32 , 	30 , 	28 , 	30 , 	9 , 	3 , 	6 , 	19 , 	84 , 	4 , 	4 , 	131 , 	16 , 	3 ," 	2,276 ",,,OAK," 	11,013 ", 	746 ,,,,,,
