Exit stations,Entry stations->,,WEEKDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	20 , 	120 , 	87 , 	70 , 	390 , 	93 , 	140 , 	169 , 	183 , 	46 , 	78 , 	54 , 	35 , 	22 , 	28 , 	17 , 	17 , 	20 , 	20 , 	16 , 	19 , 	4 , 	10 , 	22 , 	22 , 	417 , 	416 , 	452 , 	361 , 	201 , 	213 , 	55 , 	66 , 	57 , 	17 , 	4 , 	12 , 	3 , 	16 , 	15 , 	26 , 	57 , 	23 , 	7 , 	10 , 	15 , 	-   , 	-   , 	10 , 	10 ," 	4,162 ",,,,,,,,,,,,,
EN, 	131 , 	22 , 	89 , 	85 , 	707 , 	122 , 	250 , 	433 , 	559 , 	82 , 	85 , 	73 , 	51 , 	34 , 	57 , 	22 , 	28 , 	30 , 	26 , 	20 , 	26 , 	10 , 	10 , 	32 , 	32 , 	880 , 	903 , 	834 , 	756 , 	280 , 	205 , 	79 , 	101 , 	91 , 	29 , 	8 , 	21 , 	4 , 	12 , 	29 , 	37 , 	122 , 	63 , 	11 , 	29 , 	40 , 	-   , 	-   , 	6 , 	12 ," 	7,570 ",,,,,,,,,,,,,
EP, 	88 , 	80 , 	12 , 	57 , 	635 , 	77 , 	134 , 	289 , 	336 , 	54 , 	43 , 	27 , 	28 , 	15 , 	21 , 	7 , 	15 , 	24 , 	15 , 	19 , 	22 , 	6 , 	7 , 	29 , 	14 , 	549 , 	595 , 	384 , 	424 , 	131 , 	70 , 	29 , 	37 , 	35 , 	5 , 	4 , 	11 , 	4 , 	7 , 	8 , 	13 , 	68 , 	33 , 	6 , 	21 , 	25 , 	-   , 	-   , 	4 , 	6 ," 	4,520 ",,,,,,,,,,,,,
NB, 	70 , 	76 , 	49 , 	11 , 	194 , 	56 , 	95 , 	247 , 	257 , 	46 , 	57 , 	25 , 	28 , 	17 , 	24 , 	8 , 	19 , 	16 , 	18 , 	21 , 	18 , 	7 , 	9 , 	15 , 	13 , 	591 , 	596 , 	339 , 	460 , 	158 , 	88 , 	31 , 	34 , 	25 , 	6 , 	6 , 	13 , 	3 , 	7 , 	6 , 	9 , 	87 , 	33 , 	3 , 	27 , 	21 , 	-   , 	-   , 	2 , 	4 ," 	3,947 ",,,,,,,,,,,,,
BK, 	437 , 	764 , 	641 , 	204 , 	42 , 	313 , 	351 , 	534 , 	489 , 	205 , 	257 , 	132 , 	173 , 	113 , 	118 , 	70 , 	120 , 	115 , 	99 , 	136 , 	105 , 	60 , 	43 , 	39 , 	69 , 	826 , 	793 , 	556 , 	616 , 	276 , 	217 , 	116 , 	91 , 	84 , 	31 , 	51 , 	101 , 	32 , 	68 , 	31 , 	33 , 	171 , 	119 , 	40 , 	61 , 	127 , 	-   , 	-   , 	28 , 	47 ," 	10,142 ",,,,,,,,,,,,,
AS, 	96 , 	116 , 	76 , 	58 , 	289 , 	15 , 	99 , 	258 , 	259 , 	61 , 	92 , 	50 , 	44 , 	32 , 	30 , 	19 , 	34 , 	30 , 	22 , 	24 , 	18 , 	6 , 	6 , 	12 , 	24 , 	667 , 	745 , 	397 , 	502 , 	227 , 	108 , 	32 , 	40 , 	29 , 	8 , 	7 , 	21 , 	6 , 	12 , 	12 , 	13 , 	57 , 	35 , 	10 , 	20 , 	29 , 	-   , 	-   , 	4 , 	11 ," 	4,761 ",,,,,,,,,,,,,
MA, 	155 , 	242 , 	127 , 	87 , 	336 , 	100 , 	50 , 	221 , 	268 , 	71 , 	144 , 	115 , 	114 , 	78 , 	93 , 	46 , 	75 , 	79 , 	137 , 	159 , 	147 , 	56 , 	33 , 	66 , 	41 ," 	1,134 "," 	1,249 ", 	758 , 	914 , 	404 , 	203 , 	85 , 	77 , 	68 , 	31 , 	26 , 	64 , 	40 , 	142 , 	25 , 	27 , 	111 , 	63 , 	24 , 	24 , 	65 , 	-   , 	-   , 	50 , 	106 ," 	8,732 ",,,,,,,,,,,,,
19, 	181 , 	462 , 	293 , 	261 , 	484 , 	257 , 	216 , 	35 , 	64 , 	36 , 	186 , 	144 , 	223 , 	216 , 	196 , 	151 , 	205 , 	241 , 	307 , 	377 , 	321 , 	169 , 	120 , 	182 , 	63 ," 	1,543 "," 	1,671 ", 	964 ," 	1,039 ", 	465 , 	319 , 	164 , 	150 , 	137 , 	86 , 	86 , 	232 , 	129 , 	163 , 	64 , 	67 , 	92 , 	127 , 	108 , 	29 , 	218 , 	-   , 	-   , 	55 , 	131 ," 	13,431 ",,,,,,,,,,,,,
12, 	204 , 	563 , 	324 , 	267 , 	417 , 	244 , 	256 , 	57 , 	48 , 	29 , 	207 , 	211 , 	325 , 	315 , 	279 , 	169 , 	229 , 	275 , 	302 , 	475 , 	328 , 	157 , 	116 , 	196 , 	87 ," 	1,286 "," 	1,282 ", 	871 , 	932 , 	345 , 	297 , 	179 , 	189 , 	197 , 	124 , 	112 , 	292 , 	136 , 	238 , 	101 , 	88 , 	126 , 	156 , 	134 , 	46 , 	201 , 	-   , 	-   , 	59 , 	185 ," 	13,657 ",,,,,,,,,,,,,
LM, 	39 , 	78 , 	51 , 	45 , 	201 , 	66 , 	67 , 	36 , 	34 , 	21 , 	142 , 	174 , 	282 , 	234 , 	140 , 	76 , 	108 , 	88 , 	33 , 	23 , 	26 , 	8 , 	7 , 	27 , 	38 , 	970 ," 	1,077 ", 	661 , 	640 , 	262 , 	139 , 	62 , 	83 , 	65 , 	5 , 	108 , 	181 , 	6 , 	21 , 	12 , 	14 , 	30 , 	14 , 	93 , 	19 , 	89 , 	-   , 	-   , 	10 , 	23 ," 	6,625 ",,,,,,,,,,,,,
