Exit stations,Entry stations->,,SATURDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	55 , 	53 , 	32 , 	34 , 	123 , 	61 , 	85 , 	85 , 	120 , 	64 , 	19 , 	113 , 	98 , 	127 , 	78 , 	39 , 	36 , 	39 , 	16 , 	11 , 	19 , 	8 , 	9 , 	30 , 	47 , 	303 , 	220 , 	571 , 	266 , 	155 , 	140 , 	27 , 	37 , 	35 , 	7 , 	37 , 	55 , 	4 , 	13 , 	7 , 	11 , 	40 , 	10 , 	43 , 	10 , 	50 , 	-   , 	-   , 	4 , 	11 ," 	3,452 ",,,,,,,,,,
CL, 	32 , 	45 , 	15 , 	17 , 	55 , 	23 , 	50 , 	63 , 	80 , 	58 , 	103 , 	13 , 	57 , 	77 , 	46 , 	27 , 	35 , 	24 , 	16 , 	39 , 	10 , 	7 , 	6 , 	14 , 	37 , 	145 , 	95 , 	202 , 	115 , 	67 , 	62 , 	17 , 	26 , 	25 , 	3 , 	18 , 	40 , 	4 , 	10 , 	4 , 	7 , 	19 , 	2 , 	24 , 	11 , 	20 , 	-   , 	-   , 	5 , 	13 ," 	1,880 ",,,,,,,,,,
SL, 	24 , 	23 , 	14 , 	16 , 	63 , 	19 , 	38 , 	67 , 	102 , 	143 , 	101 , 	59 , 	11 , 	77 , 	52 , 	26 , 	31 , 	26 , 	8 , 	3 , 	11 , 	5 , 	3 , 	12 , 	24 , 	209 , 	175 , 	341 , 	153 , 	61 , 	46 , 	18 , 	24 , 	29 , 	5 , 	23 , 	27 , 	4 , 	7 , 	5 , 	8 , 	34 , 	6 , 	26 , 	4 , 	25 , 	-   , 	-   , 	4 , 	7 ," 	2,191 ",,,,,,,,,,
BF, 	16 , 	21 , 	13 , 	10 , 	56 , 	12 , 	28 , 	53 , 	95 , 	139 , 	119 , 	76 , 	70 , 	14 , 	54 , 	37 , 	35 , 	43 , 	9 , 	5 , 	5 , 	3 , 	2 , 	8 , 	19 , 	170 , 	159 , 	345 , 	133 , 	60 , 	34 , 	19 , 	27 , 	20 , 	7 , 	24 , 	53 , 	2 , 	4 , 	3 , 	7 , 	25 , 	7 , 	50 , 	4 , 	37 , 	-   , 	-   , 	1 , 	5 ," 	2,134 ",,,,,,,,,,
HY, 	16 , 	26 , 	7 , 	13 , 	48 , 	19 , 	36 , 	43 , 	71 , 	43 , 	82 , 	47 , 	53 , 	54 , 	7 , 	51 , 	62 , 	77 , 	9 , 	7 , 	6 , 	2 , 	2 , 	8 , 	15 , 	102 , 	70 , 	168 , 	59 , 	27 , 	37 , 	7 , 	11 , 	18 , 	2 , 	12 , 	24 , 	2 , 	6 , 	4 , 	6 , 	14 , 	3 , 	21 , 	6 , 	47 , 	-   , 	-   , 	2 , 	9 ," 	1,453 ",,,,,,,,,,
SH, 	10 , 	14 , 	4 , 	7 , 	27 , 	10 , 	11 , 	16 , 	22 , 	22 , 	40 , 	30 , 	30 , 	41 , 	42 , 	5 , 	18 , 	44 , 	6 , 	1 , 	2 , 	1 , 	1 , 	4 , 	5 , 	85 , 	59 , 	118 , 	46 , 	19 , 	25 , 	6 , 	6 , 	12 , 	6 , 	7 , 	14 , 	0 , 	6 , 	2 , 	5 , 	11 , 	3 , 	12 , 	7 , 	41 , 	-   , 	-   , 	1 , 	3 , 	899 ,,,,,,,,,,
UC, 	9 , 	13 , 	11 , 	9 , 	42 , 	12 , 	18 , 	33 , 	59 , 	45 , 	40 , 	35 , 	24 , 	35 , 	57 , 	20 , 	12 , 	39 , 	6 , 	6 , 	6 , 	2 , 	1 , 	8 , 	5 , 	136 , 	86 , 	183 , 	72 , 	37 , 	21 , 	9 , 	9 , 	18 , 	4 , 	6 , 	20 , 	1 , 	3 , 	2 , 	3 , 	16 , 	2 , 	11 , 	10 , 	42 , 	-   , 	-   , 	2 , 	4 ," 	1,238 ",,,,,,,,,,
FM, 	11 , 	13 , 	9 , 	9 , 	59 , 	11 , 	24 , 	34 , 	58 , 	49 , 	45 , 	29 , 	26 , 	44 , 	83 , 	39 , 	37 , 	14 , 	7 , 	6 , 	5 , 	2 , 	3 , 	9 , 	6 , 	168 , 	102 , 	203 , 	90 , 	40 , 	26 , 	9 , 	13 , 	14 , 	5 , 	7 , 	22 , 	1 , 	3 , 	2 , 	3 , 	21 , 	3 , 	9 , 	10 , 	41 , 	-   , 	-   , 	1 , 	3 ," 	1,419 ",,,,,,,,,,
CN, 	14 , 	17 , 	10 , 	8 , 	32 , 	10 , 	29 , 	39 , 	49 , 	8 , 	21 , 	17 , 	7 , 	8 , 	10 , 	6 , 	6 , 	7 , 	19 , 	49 , 	128 , 	41 , 	19 , 	32 , 	9 , 	186 , 	110 , 	235 , 	114 , 	46 , 	32 , 	21 , 	14 , 	21 , 	9 , 	2 , 	4 , 	16 , 	78 , 	5 , 	12 , 	75 , 	12 , 	3 , 	14 , 	11 , 	-   , 	-   , 	40 , 	43 ," 	1,690 ",,,,,,,,,,
PH, 	4 , 	10 , 	6 , 	8 , 	38 , 	7 , 	29 , 	40 , 	54 , 	6 , 	10 , 	31 , 	5 , 	4 , 	4 , 	2 , 	4 , 	5 , 	49 , 	18 , 	70 , 	19 , 	11 , 	43 , 	10 , 	228 , 	150 , 	270 , 	142 , 	56 , 	34 , 	17 , 	14 , 	16 , 	6 , 	1 , 	3 , 	9 , 	27 , 	6 , 	11 , 	97 , 	10 , 	2 , 	19 , 	11 , 	-   , 	-   , 	10 , 	21 ," 	1,642 ",,,,,,,,,,
