Exit stations,Entry stations->,,SUNDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	40 , 	45 , 	25 , 	26 , 	98 , 	42 , 	57 , 	59 , 	60 , 	92 , 	13 , 	68 , 	68 , 	90 , 	57 , 	31 , 	29 , 	26 , 	14 , 	9 , 	17 , 	6 , 	6 , 	19 , 	25 , 	110 , 	94 , 	270 , 	131 , 	67 , 	66 , 	14 , 	20 , 	19 , 	4 , 	18 , 	45 , 	4 , 	8 , 	3 , 	5 , 	30 , 	3 , 	26 , 	16 , 	30 , 	-   , 	-   , 	3 , 	7 ," 	2,010 ",,,,,,,,,,,
CL, 	23 , 	29 , 	8 , 	9 , 	36 , 	18 , 	37 , 	37 , 	50 , 	46 , 	67 , 	9 , 	30 , 	46 , 	33 , 	20 , 	21 , 	12 , 	7 , 	7 , 	5 , 	1 , 	1 , 	9 , 	19 , 	71 , 	40 , 	117 , 	57 , 	32 , 	23 , 	7 , 	11 , 	12 , 	3 , 	12 , 	22 , 	1 , 	10 , 	3 , 	5 , 	14 , 	2 , 	12 , 	22 , 	14 , 	-   , 	-   , 	3 , 	10 ," 	1,077 ",,,,,,,,,,,
SL, 	15 , 	15 , 	11 , 	14 , 	39 , 	15 , 	32 , 	38 , 	52 , 	108 , 	78 , 	38 , 	11 , 	50 , 	36 , 	15 , 	19 , 	21 , 	4 , 	6 , 	7 , 	3 , 	2 , 	8 , 	9 , 	84 , 	76 , 	190 , 	85 , 	29 , 	23 , 	13 , 	17 , 	14 , 	3 , 	16 , 	25 , 	4 , 	3 , 	3 , 	6 , 	35 , 	3 , 	22 , 	7 , 	26 , 	-   , 	-   , 	2 , 	2 ," 	1,327 ",,,,,,,,,,,
BF, 	7 , 	14 , 	8 , 	8 , 	37 , 	12 , 	29 , 	35 , 	55 , 	99 , 	99 , 	44 , 	53 , 	9 , 	34 , 	28 , 	32 , 	32 , 	6 , 	6 , 	7 , 	2 , 	3 , 	6 , 	16 , 	79 , 	93 , 	202 , 	73 , 	32 , 	20 , 	14 , 	14 , 	16 , 	6 , 	23 , 	44 , 	2 , 	7 , 	3 , 	5 , 	21 , 	2 , 	44 , 	4 , 	29 , 	-   , 	-   , 	1 , 	4 ," 	1,414 ",,,,,,,,,,,
HY, 	11 , 	14 , 	7 , 	11 , 	33 , 	12 , 	24 , 	30 , 	32 , 	36 , 	61 , 	36 , 	40 , 	41 , 	4 , 	27 , 	28 , 	46 , 	6 , 	4 , 	3 , 	1 , 	1 , 	5 , 	11 , 	58 , 	40 , 	111 , 	40 , 	18 , 	20 , 	6 , 	8 , 	7 , 	2 , 	10 , 	15 , 	1 , 	5 , 	3 , 	2 , 	11 , 	3 , 	14 , 	10 , 	37 , 	-   , 	-   , 	1 , 	5 , 	947 ,,,,,,,,,,,
SH, 	6 , 	7 , 	4 , 	7 , 	14 , 	8 , 	12 , 	11 , 	19 , 	20 , 	31 , 	20 , 	19 , 	28 , 	24 , 	8 , 	14 , 	25 , 	2 , 	3 , 	3 , 	0 , 	1 , 	4 , 	4 , 	34 , 	27 , 	65 , 	23 , 	11 , 	9 , 	3 , 	5 , 	7 , 	6 , 	7 , 	9 , 	-   , 	4 , 	2 , 	4 , 	12 , 	1 , 	8 , 	7 , 	24 , 	-   , 	-   , 	1 , 	3 , 	563 ,,,,,,,,,,,
UC, 	10 , 	7 , 	5 , 	4 , 	29 , 	6 , 	15 , 	15 , 	32 , 	30 , 	25 , 	22 , 	19 , 	31 , 	39 , 	17 , 	8 , 	35 , 	5 , 	3 , 	3 , 	3 , 	2 , 	3 , 	3 , 	60 , 	43 , 	111 , 	47 , 	16 , 	14 , 	4 , 	6 , 	10 , 	2 , 	3 , 	14 , 	0 , 	2 , 	1 , 	3 , 	17 , 	1 , 	6 , 	14 , 	37 , 	-   , 	-   , 	1 , 	4 , 	783 ,,,,,,,,,,,
FM, 	8 , 	12 , 	7 , 	8 , 	42 , 	9 , 	16 , 	19 , 	36 , 	34 , 	27 , 	13 , 	20 , 	31 , 	46 , 	21 , 	27 , 	9 , 	5 , 	6 , 	2 , 	2 , 	1 , 	3 , 	3 , 	79 , 	51 , 	106 , 	47 , 	17 , 	15 , 	6 , 	8 , 	9 , 	4 , 	7 , 	16 , 	1 , 	4 , 	1 , 	2 , 	25 , 	1 , 	8 , 	19 , 	29 , 	-   , 	-   , 	2 , 	5 , 	864 ,,,,,,,,,,,
CN, 	9 , 	10 , 	5 , 	6 , 	24 , 	7 , 	24 , 	23 , 	26 , 	7 , 	18 , 	8 , 	9 , 	7 , 	6 , 	5 , 	4 , 	5 , 	17 , 	33 , 	99 , 	33 , 	14 , 	24 , 	6 , 	98 , 	66 , 	147 , 	68 , 	20 , 	28 , 	17 , 	12 , 	14 , 	7 , 	3 , 	4 , 	16 , 	64 , 	4 , 	9 , 	82 , 	6 , 	2 , 	17 , 	10 , 	-   , 	-   , 	26 , 	29 ," 	1,170 ",,,,,,,,,,,
PH, 	3 , 	5 , 	7 , 	6 , 	21 , 	7 , 	32 , 	17 , 	34 , 	8 , 	7 , 	5 , 	4 , 	5 , 	4 , 	3 , 	4 , 	6 , 	37 , 	12 , 	43 , 	12 , 	10 , 	27 , 	8 , 	107 , 	77 , 	196 , 	103 , 	24 , 	28 , 	14 , 	8 , 	17 , 	4 , 	2 , 	4 , 	4 , 	20 , 	4 , 	6 , 	103 , 	9 , 	1 , 	30 , 	8 , 	-   , 	-   , 	8 , 	16 ," 	1,113 ",,,,,,,,,,,
WC, 	6 , 	10 , 	14 , 	12 , 	34 , 	6 , 	26 , 	33 , 	28 , 	4 , 	14 , 	5 , 	9 , 	7 , 	2 , 	2 , 	3 , 	3 , 	109 , 	47 , 	11 , 	24 , 	19 , 	52 , 	7 , 	159 , 	105 , 	204 , 	115 , 	39 , 	29 , 	11 , 	13 , 	20 , 	6 , 	1 , 	3 , 	9 , 	40 , 	3 , 	6 , 	119 , 	5 , 	1 , 	25 , 	7 , 	-   , 	-   , 	11 , 	25 ," 	1,435 ",,,,,,,,,,,
LF, 	1 , 	3 , 	5 , 	4 , 	16 , 	3 , 	15 , 	13 , 	14 , 	3 , 	6 , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	43 , 	16 , 	18 , 	6 , 	4 , 	27 , 	2 , 	82 , 	59 , 	124 , 	75 , 	21 , 	14 , 	8 , 	4 , 	8 , 	1 , 	0 , 	2 , 	2 , 	16 , 	1 , 	4 , 	72 , 	2 , 	0 , 	12 , 	2 , 	-   , 	-   , 	7 , 	4 , 	721 ,,,,,,,,,,,
OR, 	3 , 	3 , 	3 , 	3 , 	16 , 	4 , 	10 , 	11 , 	13 , 	5 , 	5 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	13 , 	13 , 	17 , 	4 , 	4 , 	19 , 	4 , 	95 , 	58 , 	113 , 	63 , 	23 , 	16 , 	4 , 	5 , 	3 , 	2 , 	1 , 	1 , 	2 , 	4 , 	1 , 	1 , 	44 , 	3 , 	1 , 	11 , 	4 , 	-   , 	-   , 	2 , 	4 , 	614 ,,,,,,,,,,,
RR, 	9 , 	17 , 	12 , 	7 , 	18 , 	6 , 	30 , 	44 , 	50 , 	8 , 	19 , 	8 , 	8 , 	6 , 	6 , 	3 , 	4 , 	4 , 	22 , 	29 , 	49 , 	26 , 	18 , 	13 , 	14 , 	185 , 	133 , 	297 , 	202 , 	101 , 	86 , 	26 , 	17 , 	20 , 	2 , 	2 , 	3 , 	5 , 	8 , 	1 , 	6 , 	129 , 	14 , 	1 , 	16 , 	12 , 	-   , 	-   , 	3 , 	9 ," 	1,699 ",,,,,,,,,,,
