Fast Pass OD,,,,,,Oct 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,75,50,210,219,662,"1,085",838,"1,412","4,551"
MT,59,58,129,222,871,"1,526","1,237","2,706","6,807"
PL,277,172,105,178,847,"1,224",830,"2,462","6,096"
CC,196,207,210,70,593,842,608,"1,678","4,404"
16,599,709,"1,074",624,34,241,261,795,"4,337"
24,890,"1,157","1,478",844,259,49,193,769,"5,639"
GP,767,923,"1,072",545,258,208,29,199,"4,000"
BP,"1,275","1,490","3,545","1,550",776,805,200,62,"9,703"
Entries,"4,139","4,765","7,824","4,251","4,300","5,980","4,195","10,084","45,538"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,15,98,77,273,314,160,404,"1,379"
MT,13,28,41,49,339,378,338,"1,219","2,405"
PL,93,33,98,101,785,"1,043",667,"1,683","4,502"
CC,56,33,120,73,447,536,250,622,"2,137"
16,236,206,944,483,40,205,194,466,"2,773"
24,264,235,"1,158",550,181,44,142,433,"3,006"
GP,148,147,821,212,173,137,32,91,"1,760"
BP,348,394,"2,476",549,452,400,99,63,"4,780"
Entries,"1,198","1,090","5,755","2,093","2,690","3,056","1,881","4,980","22,741"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,7,53,42,173,205,105,265,876
MT,8,21,21,33,193,224,218,828,"1,546"
PL,59,20,93,65,513,719,426,"1,119","3,013"
CC,38,25,84,58,298,373,176,449,"1,499"
16,177,121,647,329,42,128,115,306,"1,865"
24,210,137,847,399,123,53,95,263,"2,127"
GP,105,100,623,181,121,91,26,43,"1,289"
BP,262,245,"1,829",435,275,260,49,48,"3,402"
Entries,887,674,"4,196","1,541","1,737","2,052","1,209","3,321","15,616"
