Exit stations,Entry stations->,,SATURDAY,,,Oct 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	63 , 	130 , 	45 , 	57 , 	225 , 	88 , 	133 , 	78 , 	190 , 	131 , 	176 , 	10 , 	115 , 	190 , 	126 , 	81 , 	75 , 	121 , 	44 , 	40 , 	29 , 	24 , 	14 , 	30 , 	80 , 	244 , 	147 , 	404 , 	197 , 	80 , 	83 , 	48 , 	66 , 	69 , 	15 , 	44 , 	147 , 	15 , 	83 , 	23 , 	14 , 	26 , 	25 ," 	4,019 ",,,CM line," 	20,372 "," 	2,212 "," 	7,628 "," 	2,661 "," 	1,855 "," 	2,522 "," 	2,364 "," 	39,614 "
SL, 	21 , 	34 , 	15 , 	17 , 	161 , 	28 , 	63 , 	55 , 	113 , 	130 , 	170 , 	125 , 	8 , 	105 , 	99 , 	41 , 	42 , 	63 , 	18 , 	9 , 	12 , 	6 , 	5 , 	17 , 	24 , 	212 , 	132 , 	425 , 	176 , 	65 , 	50 , 	17 , 	21 , 	33 , 	10 , 	33 , 	70 , 	3 , 	20 , 	6 , 	9 , 	29 , 	11 ," 	2,699 ",,,RM line," 	9,527 "," 	2,894 "," 	2,652 "," 	5,911 "," 	1,432 "," 	3,556 ", 	687 ," 	26,657 "
BF, 	30 , 	44 , 	19 , 	16 , 	177 , 	46 , 	78 , 	76 , 	133 , 	130 , 	270 , 	199 , 	122 , 	10 , 	166 , 	93 , 	84 , 	158 , 	20 , 	9 , 	9 , 	3 , 	5 , 	15 , 	41 , 	192 , 	127 , 	429 , 	165 , 	68 , 	34 , 	18 , 	27 , 	28 , 	13 , 	62 , 	174 , 	5 , 	27 , 	7 , 	8 , 	11 , 	8 ," 	3,349 ",,,WP line," 	8,623 "," 	1,185 "," 	1,692 "," 	1,466 "," 	4,016 "," 	1,121 ", 	677 ," 	18,778 "
HY, 	25 , 	46 , 	12 , 	14 , 	118 , 	29 , 	57 , 	50 , 	76 , 	54 , 	159 , 	126 , 	96 , 	194 , 	9 , 	120 , 	105 , 	164 , 	18 , 	11 , 	8 , 	5 , 	3 , 	12 , 	27 , 	148 , 	76 , 	253 , 	123 , 	50 , 	38 , 	18 , 	19 , 	22 , 	10 , 	16 , 	53 , 	2 , 	27 , 	6 , 	8 , 	11 , 	8 ," 	2,423 ",,,FT/ED line," 	11,082 "," 	3,148 "," 	2,378 "," 	3,651 "," 	1,111 "," 	8,737 ", 	623 ," 	30,730 "
SH, 	11 , 	21 , 	8 , 	6 , 	64 , 	11 , 	30 , 	22 , 	38 , 	31 , 	72 , 	74 , 	46 , 	94 , 	106 , 	10 , 	52 , 	97 , 	10 , 	5 , 	3 , 	4 , 	3 , 	4 , 	9 , 	90 , 	51 , 	203 , 	82 , 	32 , 	30 , 	7 , 	20 , 	16 , 	4 , 	19 , 	36 , 	2 , 	16 , 	2 , 	7 , 	9 , 	4 ," 	1,456 ",,,SFIA," 	5,450 ", 	338 ," 	2,247 ", 	657 , 	644 , 	534 , 	845 ," 	10,716 "
UC, 	11 , 	23 , 	9 , 	9 , 	144 , 	24 , 	19 , 	30 , 	50 , 	52 , 	59 , 	80 , 	38 , 	90 , 	100 , 	53 , 	9 , 	100 , 	13 , 	9 , 	7 , 	2 , 	4 , 	11 , 	13 , 	158 , 	85 , 	272 , 	104 , 	46 , 	19 , 	9 , 	17 , 	23 , 	12 , 	11 , 	35 , 	1 , 	15 , 	5 , 	7 , 	19 , 	7 ," 	1,800 ",,,Entries," 	66,177 "," 	18,840 "," 	39,818 "," 	27,090 "," 	19,294 "," 	31,044 "," 	11,896 "," 	214,158 "
FM, 	26 , 	39 , 	35 , 	27 , 	577 , 	36 , 	57 , 	52 , 	102 , 	69 , 	101 , 	132 , 	64 , 	163 , 	168 , 	105 , 	113 , 	30 , 	26 , 	20 , 	14 , 	9 , 	4 , 	30 , 	14 , 	411 , 	199 , 	669 , 	236 , 	113 , 	43 , 	18 , 	23 , 	47 , 	8 , 	21 , 	72 , 	7 , 	33 , 	6 , 	8 , 	46 , 	9 ," 	3,976 ",,,,,,,,,,,
CN, 	19 , 	33 , 	11 , 	13 , 	90 , 	16 , 	58 , 	41 , 	72 , 	13 , 	30 , 	49 , 	18 , 	23 , 	18 , 	11 , 	13 , 	23 , 	11 , 	63 , 	215 , 	81 , 	30 , 	57 , 	9 , 	236 , 	116 , 	326 , 	195 , 	65 , 	52 , 	13 , 	29 , 	38 , 	11 , 	6 , 	14 , 	24 , 	256 , 	11 , 	6 , 	57 , 	14 ," 	2,480 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	14 , 	9 , 	14 , 	167 , 	10 , 	32 , 	32 , 	51 , 	13 , 	17 , 	40 , 	6 , 	6 , 	9 , 	5 , 	10 , 	21 , 	60 , 	10 , 	102 , 	37 , 	17 , 	102 , 	5 , 	328 , 	176 , 	421 , 	224 , 	84 , 	35 , 	17 , 	17 , 	25 , 	7 , 	4 , 	7 , 	11 , 	70 , 	9 , 	5 , 	75 , 	14 ," 	2,319 ",,,Dtwn SF," 	3,322 ",,,,,,,
WC, 	11 , 	23 , 	18 , 	20 , 	220 , 	22 , 	49 , 	42 , 	62 , 	14 , 	30 , 	42 , 	16 , 	11 , 	8 , 	5 , 	9 , 	12 , 	297 , 	110 , 	12 , 	59 , 	46 , 	199 , 	12 , 	415 , 	237 , 	547 , 	327 , 	97 , 	44 , 	27 , 	26 , 	34 , 	9 , 	3 , 	8 , 	30 , 	99 , 	5 , 	9 , 	96 , 	17 ," 	3,372 ",,,OAK," 	15,929 ", 	936 ,,,,,,
