Avg Weekday Trip OD																																																			
																																																			
2024 / 07																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	14	67	60	36	229	48	75	62	77	19	52	47	24	12	17	10	8	10	19	6	17	9	7	14	25	199	160	221	151	96	97	25	31	23	12	2	6	4	9	9	13	55	11	4	8	8	3	9	7	10	"2,135"
EN	73	18	51	42	348	62	108	131	199	42	80	62	34	22	28	10	18	15	19	12	23	7	8	17	24	393	321	361	302	128	101	36	31	40	10	4	11	3	7	13	17	76	26	5	23	18	3	8	15	16	"3,421"
EP	64	41	8	31	257	48	61	80	110	21	27	21	16	8	9	5	9	7	8	9	12	7	3	11	6	243	200	145	138	57	37	16	11	14	2	4	5	3	3	4	8	56	10	4	18	8	0	3	8	10	"1,886"
NB	33	39	29	8	52	23	35	63	82	16	33	26	16	8	10	3	5	8	10	8	11	5	3	7	8	272	195	104	130	61	35	16	6	8	2	2	5	2	4	3	4	61	11	1	16	6	1	3	9	6	"1,501"
BK	263	354	266	69	35	133	149	199	215	84	142	86	92	66	64	43	98	79	46	42	67	29	16	16	46	522	359	290	254	147	124	71	41	46	17	19	77	9	35	20	20	110	65	27	38	61	7	24	79	91	"5,252"
AS	48	65	48	25	127	10	37	68	78	22	52	34	21	13	14	6	12	9	8	11	7	8	1	7	13	244	191	128	154	75	48	17	10	10	3	2	12	2	6	4	5	46	9	2	14	6	1	8	12	13	"1,764"
MA	88	110	57	38	150	38	20	79	101	25	76	74	58	37	32	23	24	25	76	63	70	25	18	35	32	432	325	273	278	159	98	35	28	29	8	7	18	14	61	9	11	79	17	12	17	21	17	61	19	19	"3,418"
19	68	126	79	66	178	69	80	17	20	12	52	72	78	52	58	35	53	53	72	81	98	38	31	58	45	527	405	328	303	179	116	55	42	44	17	14	42	19	51	21	21	62	24	20	18	33	12	56	37	41	"4,078"
12	86	194	109	88	197	75	92	19	23	12	66	93	127	91	73	56	79	75	101	122	114	57	48	72	39	529	360	391	332	166	132	75	66	64	31	14	55	32	80	32	33	88	39	18	23	25	19	80	36	42	"4,870"
LM	19	39	21	18	78	23	24	13	14	12	71	104	158	122	70	59	53	50	12	10	15	4	5	10	14	321	253	234	225	99	62	26	27	27	6	58	118	4	9	4	6	19	6	55	16	40	6	12	30	35	"2,714"
FV	56	70	25	30	135	50	74	60	64	65	24	135	152	125	118	51	44	47	16	11	18	9	13	23	65	337	280	329	327	143	113	32	41	42	4	34	80	4	12	8	11	37	11	38	8	42	8	14	34	38	"3,508"
CL	51	63	20	28	80	31	75	76	91	100	132	15	109	90	91	51	65	52	27	21	22	15	9	16	51	204	148	209	151	63	69	34	28	48	6	37	105	5	23	9	8	20	15	36	16	47	6	28	56	55	"2,807"
SL	27	32	14	19	91	23	60	85	137	162	164	115	17	78	107	73	62	97	16	15	13	2	3	14	29	327	311	278	230	81	58	22	33	39	5	26	97	3	8	5	7	25	6	37	8	43	3	15	38	34	"3,193"
BF	12	19	8	11	66	11	41	57	89	109	126	91	76	15	51	50	40	54	14	3	8	2	2	8	21	248	238	260	192	65	47	19	22	22	4	25	77	2	5	6	9	15	3	40	5	38	3	5	24	21	"2,377"
HY	17	29	9	13	58	14	35	66	79	71	117	89	105	54	13	47	109	118	15	6	9	4	2	6	24	163	131	126	115	37	25	12	12	15	4	9	39	1	7	5	6	9	6	16	7	71	4	9	54	45	"2,034"
SH	9	12	5	5	41	7	24	33	49	53	48	49	62	42	42	9	39	59	7	4	7	1	1	3	10	133	108	84	96	24	24	4	9	7	2	9	20	0	2	2	2	7	4	15	6	58	1	3	37	32	"1,309"
UC	10	18	8	7	97	11	28	54	83	53	45	66	64	45	107	38	16	62	8	4	10	1	4	3	10	224	168	103	102	39	13	8	8	10	3	8	33	1	4	2	3	14	1	15	9	71	0	3	68	49	"1,810"
FM	11	16	6	8	77	10	25	55	74	51	52	48	92	57	116	63	62	19	7	6	7	1	4	5	8	274	184	110	100	32	16	9	7	10	2	14	31	2	3	2	3	19	2	11	10	66	1	4	95	68	"1,956"
