Avg Saturday Trip OD																																																			
																																																			
2024 / 07																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	15	41	45	28	138	32	52	25	43	10	35	24	11	4	10	7	3	4	12	2	9	5	3	8	12	87	54	137	54	43	65	10	18	12	9	2	4	1	6	3	6	35	9	2	4	4	2	6	7	6	"1,160"
EN	46	17	29	31	154	38	67	45	55	14	50	34	14	16	12	9	12	10	12	8	10	5	3	9	20	137	98	188	97	52	62	16	21	21	9	4	7	1	7	10	10	46	11	2	14	7	4	4	7	20	"1,569"
EP	60	29	9	24	148	30	49	34	42	12	21	21	10	4	4	3	4	8	4	3	10	4	3	10	5	91	62	93	58	27	24	7	8	9	2	4	6	1	2	2	3	39	6	1	13	3	1	2	7	7	"1,017"
NB	23	29	28	9	34	16	32	38	25	4	22	14	10	5	7	1	3	4	4	4	10	2	3	7	4	109	67	74	67	44	37	14	4	7	3	1	3	0	2	2	2	40	6	1	10	3	1	1	5	9	843
BK	168	169	169	57	67	71	84	113	130	33	71	46	41	26	28	11	36	30	16	17	29	16	12	11	29	384	189	310	190	116	79	48	27	35	7	12	35	4	11	8	10	81	46	8	29	22	3	5	45	66	"3,242"
AS	37	39	28	24	82	21	30	48	38	9	28	20	12	9	10	5	5	2	5	4	5	5	4	3	12	98	66	94	68	65	37	12	8	8	1	2	3	1	2	1	2	30	11	1	7	2	1	2	8	14	"1,023"
MA	72	79	55	47	127	50	51	52	60	20	55	50	33	22	17	5	12	11	46	31	51	25	22	51	32	195	113	183	144	123	83	29	18	20	3	3	8	8	28	5	10	57	11	3	8	10	7	28	12	20	"2,197"
19	35	49	42	42	111	53	57	16	7	6	30	45	32	22	31	14	14	15	26	20	31	19	9	44	29	221	135	195	151	127	96	30	26	22	7	5	15	8	12	5	7	35	19	4	11	9	5	9	15	24	"1,984"
12	37	57	40	33	121	38	55	7	14	5	29	58	40	28	22	14	16	14	27	21	31	10	13	33	25	223	128	234	149	88	63	25	27	15	10	5	9	7	9	8	16	64	17	2	9	6	2	11	9	15	"1,936"
LM	10	11	11	7	27	8	17	7	6	12	44	64	78	66	30	17	18	25	4	2	5	1	2	5	17	162	89	162	94	78	47	18	20	13	2	36	49	1	3	1	2	11	2	18	12	12	2	1	21	26	"1,370"
FV	41	39	22	19	59	23	51	36	19	30	22	84	85	83	66	23	27	21	9	6	7	7	8	17	46	137	91	193	128	87	82	16	18	17	4	21	39	1	8	4	4	21	7	23	7	20	3	7	22	26	"1,828"
CL	24	30	20	15	35	17	50	41	40	49	70	27	89	83	68	36	37	52	15	21	19	11	8	18	32	119	65	140	65	33	42	14	18	22	2	40	152	5	8	6	6	12	12	52	48	36	4	17	58	69	"1,947"
SL	14	16	6	10	32	11	33	37	43	69	90	79	28	50	66	32	26	26	7	4	5	0	1	10	9	112	75	168	77	36	30	12	17	18	3	19	40	1	5	4	2	16	4	22	8	15	1	7	25	28	"1,448"
BF	9	16	6	5	26	8	22	26	32	65	83	72	53	26	44	36	20	37	6	2	4	1	1	4	14	90	60	164	54	29	26	10	13	15	2	24	77	1	3	3	3	14	3	43	4	23	1	3	31	33	"1,342"
HY	7	12	6	7	24	9	18	28	32	27	61	55	65	39	8	44	48	57	6	2	4	2	2	2	12	54	33	61	31	18	16	4	7	8	5	8	24	1	1	2	4	3	3	10	4	24	2	6	37	43	980
SH	7	9	5	1	14	6	4	13	11	12	24	26	33	29	38	9	22	28	2	1	4	1	1	3	3	47	31	42	21	12	16	4	4	7	2	7	11	1	2	4	1	3	2	10	5	31	1	2	27	27	619
UC	3	11	4	2	34	8	11	19	15	17	25	33	31	25	51	18	13	26	2	3	4	0	2	4	4	86	42	63	38	23	9	6	5	11	1	6	14	1	1	1	1	10	2	7	9	31	1	3	42	46	819
FM	3	9	8	4	39	6	11	16	11	18	25	42	32	37	60	34	30	19	3	2	3	1	2	4	6	114	50	91	50	20	11	7	6	7	2	6	19		4	1	3	9	1	8	7	25	1	3	65	46	977
CN	11	15	4	5	18	5	38	27	22	4	9	16	6	7	7	2	2	4	17	37	95	75	18	34	8	110	51	96	51	21	21	12	8	14	2	2	2	15	59	4	9	53	5	2	6	2	40	42	5	3	"1,114"
PH	5	8	2	3	17	6	27	18	20	1	9	18	3	2	2	2	4	2	31	16	28	18	7	37	7	147	57	99	59	20	17	5	7	8	2	1	2	4	24	4	3	69	3	0	14	2	13	17	4	6	874
WC	11	12	8	13	33	8	45	35	29	3	10	15	6	5	4	3	2	5	116	35	14	25	21	63	9	196	80	120	83	19	20	10	11	9	5	1	2	8	43	5	4	75	4		9	1	17	33	3	6	"1,289"
LF	6	5	7	5	15	6	18	16	11	1	8	11	1	1	2	2	1	2	87	19	26	9	11	27	2	117	42	66	50	21	10	4	4	3	1	0	0	4	9	1	0	49	2	0	6	1	4	9	2	2	701
OR	2	4	3	6	12	3	15	12	10	2	10	6	1	2	1	2	2	3	20	9	23	9	11	29	3	103	45	67	42	20	11	6	3	3	1	0	2	1	6	3	1	40	2	1	5	1	3	5	2	1	567
RR	10	10	14	7	10	4	33	53	35	7	21	18	8	6	2	3	6	4	38	42	75	38	32	30	13	191	106	129	103	61	37	21	8	11	2	4	3	6	15	4	3	64	3	1	7	1	3	19	2	4	"1,318"
OW	13	14	5	7	25	10	30	27	25	10	44	29	14	14	10	4	4	6	7	6	6	2	2	12	29	713	385	620	372	234	141	39	37	33	14	6	11	1	4	9	14	103	17	4	4	3	2	4	4	12	"3,136"
EM	123	186	130	179	478	141	249	297	277	164	178	133	145	133	86	63	115	157	146	190	260	168	134	246	452	199	59	169	111	288	340	185	210	236	61	87	449	48	93	68	74	279	134	141	49	88	17	93	119	149	"8,574"
MT	75	119	78	104	268	87	145	170	173	108	120	80	112	92	43	36	56	58	55	85	100	58	62	141	272	22	66	36	41	190	203	131	240	179	51	50	159	20	54	39	50	199	73	61	29	29	9	32	58	63	"4,774"
PL	131	173	89	82	280	95	191	202	224	154	186	147	139	143	75	42	58	79	94	106	105	77	62	118	386	125	22	104	70	450	546	290	540	402	123	57	203	31	93	82	116	708	142	67	41	40	10	61	75	85	"7,917"
CC	61	88	58	70	156	79	147	159	157	88	135	70	72	59	33	26	39	47	48	71	82	56	42	103	282	95	39	69	65	178	266	144	164	220	80	39	130	17	32	62	74	226	123	38	15	22	10	21	40	57	"4,447"
16	40	59	31	57	113	65	131	122	88	66	92	36	37	26	18	14	25	26	26	23	28	21	19	75	164	257	174	450	185	25	89	114	142	163	57	14	56	5	15	52	54	154	103	17	10	8	5	13	17	34	"3,609"
24	69	61	29	36	85	41	96	99	62	48	74	37	35	27	16	20	10	15	26	13	25	10	11	45	113	283	180	622	282	73	23	110	113	158	50	10	24	3	22	41	61	101	72	10	6	6	3	16	11	18	"3,393"
GP	11	18	9	16	46	10	33	31	29	13	16	14	7	9	5	4	9	5	7	7	15	6	7	27	33	156	107	301	126	105	103	16	19	34	22	6	17	3	9	18	27	63	38	6	7	1	2	5	5	10	"1,589"
BP	17	18	7	4	17	11	18	23	22	16	21	15	16	10	7	3	6	4	9	5	6	3	3	9	30	168	127	577	147	120	108	18	14	27	28	5	9	2	7	16	33	53	29	5	2	4	3	7	3	9	"1,813"
DC	14	25	8	7	30	8	19	20	16	9	19	19	17	17	9	4	7	6	9	6	9	3	4	11	25	185	149	483	239	156	159	37	35	19	13	3	23	2	11	29	56	123	63	6	6	10	2	8	8	12	"2,154"
CM	9	11	3	2	7	3	4	7	8	3	5	1	3	2	2	2	0	2	2	3	3		1	3	8	54	35	164	83	51	55	22	35	15	5		4	1	10	8	14	52	18	1	1	1	2	4	2	4	729
CV	2	3	3	2	11	2	3	6	6	29	25	35	18	17	14	6	7	6	3	1	1	0	0	3	4	69	30	62	35	16	9	7	4	7		8	44		2	0	2	6	2	37	5	2	1		6	2	558
