Avg Sunday Trip OD																																																			
																																																			
2024 / 07																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	29	34	14	109	14	43	19	21	17	25	21	8	7	6	4	4	4	9	4	8	5	2	6	8	81	33	95	44	38	35	8	12	9	6		4	1	2	2	4	39	4	1	6	3	3	4	3	7	876
EN	33	23	29	24	136	32	50	32	46	21	31	36	11	11	11	6	5	9	11	5	10	4	2	7	11	116	62	176	77	45	31	16	11	11	6	1	7	1	3	7	5	52	8	4	16	6	2	4	11	14	"1,284"
EP	37	21	13	19	107	27	33	25	30	15	17	17	7	3	6	3	2	6	4	5	7	3	2	7	3	93	43	76	47	25	12	9	3	6		3	5	0	1	2	2	34	3	2	11	1		3	4	8	806
NB	20	29	19	11	27	16	28	37	25	10	12	25	10	4	5	1	2	5	3	1	6	2	2	4	5	122	55	69	65	47	27	13	5	3	3	2	4	2	1	1	2	48	9	1	12	4		2	8	8	816
BK	130	131	118	38	47	54	70	81	83	36	46	39	21	17	21	9	23	36	12	14	19	10	8	7	23	322	153	251	159	92	72	39	17	22	8	7	28	3	6	3	5	126	38	14	41	15	1	3	57	80	"2,649"
AS	19	28	28	16	43	11	24	39	32	16	24	25	13	9	6	3	6	3	4	5	6	3	2	3	8	110	52	66	63	46	33	12	7	4	1	2	6	1	1	1	4	34	5	1	15	4	1	1	7	13	859
MA	41	53	38	34	63	32	19	30	38	21	45	43	22	19	11	3	8	10	27	27	27	14	12	35	21	173	89	152	127	101	69	26	13	14	5	3	8	5	16	4	5	62	8	2	19	7	4	15	8	15	"1,631"
19	22	28	24	34	74	37	36	16	6	6	21	41	26	15	19	9	10	10	22	15	25	12	6	37	21	184	102	163	128	91	62	24	17	19	4	6	8	2	7	3	4	58	12	2	17	6	1	9	12	18	"1,524"
12	27	38	32	24	110	25	35	6	20	6	20	44	23	16	16	10	10	13	11	12	17	10	6	25	22	169	96	185	109	77	47	26	15	12	5	2	10	3	7	6	13	72	14	1	15	4	3	8	11	11	"1,491"
LM	16	19	11	9	27	13	15	6	5	12	62	71	66	59	28	19	17	21	3	3	6	1	2	6	15	159	90	160	115	78	63	20	17	19	2	24	39	0	4	1	3	9	4	13	16	10	1	2	16	23	"1,390"
FV	25	31	13	11	48	26	44	27	18	61	13	68	67	76	52	21	23	21	10	4	6	5	2	16	31	125	73	167	113	64	50	16	11	19	2	18	35	2	7	5	5	19	3	21	6	11	1	8	16	32	"1,542"
CL	20	36	19	27	32	23	40	39	43	56	62	17	70	61	50	34	35	33	14	21	17	16	12	20	26	108	46	144	59	34	37	14	14	24	4	31	99	7	15	5	7	13	9	34	19	22	2	11	27	40	"1,641"
SL	14	11	5	7	23	10	20	32	33	72	59	67	18	46	46	23	18	15	5	2	3	2	1	8	13	118	69	137	61	27	25	9	13	11	1	15	37	1	4	2	3	18	2	20	5	12	1	5	15	24	"1,181"
BF	5	11	3	5	21	7	21	17	24	56	80	60	43	14	34	21	19	22	8	2	5	1	1	4	11	91	44	139	58	26	15	8	12	9	3	13	38	1	3	1	2	14	1	25	5	12		4	16	20	"1,053"
HY	6	14	5	6	19	8	12	18	17	25	51	39	47	28	12	17	34	42	3	3	4	1	0	2	5	53	25	53	31	13	11	3	6	6	2	6	19	1	2	2	3	4	2	9	7	19	2	4	28	35	758
SH	6	6	4	2	10	3	6	8	8	14	23	31	22	22	22	12	11	23	1	2	3	0	1	1	2	45	21	46	22	8	10	3	3	5	2	3	7	0	1	2	2	3	1	9	7	20		3	19	25	506
UC	4	7	1	4	24	7	13	11	10	18	17	37	22	19	41	13	12	19	2	2	3	0		2	3	76	36	57	39	17	8	4	5	6	1	5	12	1	3	2	1	9	1	7	6	23	0	4	32	38	675
FM	4	7	7	3	26	7	10	11	15	15	20	30	18	20	38	23	19	16	2	1	2	2	1	1	4	112	45	63	39	12	11	8	5	10	2	6	12	1	2	1	2	12	2	6	12	17	0	3	50	44	771
CN	10	10	2	3	16	3	23	20	18	5	11	16	5	8	4	1	2	2	15	30	88	68	8	27	4	100	45	75	39	17	16	10	9	6	2	0	1	8	51	3	6	48	3	1	11	1	24	32	4	7	913
PH	4	3	4	3	13	5	19	15	13	2	4	17	1	1	1	1	1	1	29	12	36	15	3	23	5	139	58	82	55	13	7	6	5	6	3	1	2	3	24	2	3	88	3	0	16	1	9	11	3	4	773
WC	8	9	6	7	18	5	29	26	18	3	9	16	5	4	3	3	1	2	91	45	16	18	15	51	6	210	59	101	80	27	14	9	6	13	3	2	3	5	32	4	6	88	3	0	16	1	8	20	3	7	"1,129"
LF	4	4	4	3	11	2	11	13	11	1	3	15	0	2	1	1	1	0	70	16	22	9	4	23	2	123	48	50	55	18	6	6	5	4	1	1	1	2	4	1	2	61	2		8	1	4	9	1	3	643
OR	2	2	0	1	8	1	10	8	6	1	2	12	0	2	0		1	1	12	3	12	7	7	24	2	115	40	36	35	15	5	3	3	3		1	1	1	6	1	1	43			8	1	2	4	2	0	443
RR	6	7	8	3	8	5	22	36	32	7	11	20	8	3	2	2	3	2	22	22	54	25	20	17	9	183	88	100	94	57	39	20	10	11	3	3	3	3	12	3	3	87	6	2	10	1	2	10	3	8	"1,108"
OW	8	12	1	5	22	8	22	21	24	16	31	26	10	8	8	3	4	5	8	4	5	3	2	7	18	379	165	294	231	134	84	30	31	23	6	5	10	1	3	3	12	71	7	4	5	2	2	7	6	9	"1,800"
EM	98	133	94	123	290	109	188	205	170	136	134	127	116	93	72	48	82	106	104	149	205	142	118	188	430	115	14	72	62	250	265	159	146	215	52	79	383	35	78	42	56	196	121	91	53	51	13	80	74	107	"6,462"
MT	41	72	54	66	172	61	98	112	107	83	78	63	78	62	32	28	34	42	44	58	70	49	40	88	185	15	38	18	22	122	141	75	151	109	31	42	106	9	33	21	36	158	50	22	27	18	5	26	40	54	"3,181"
PL	87	126	60	48	218	62	125	136	166	121	149	131	108	97	46	40	44	55	70	73	72	47	35	74	275	104	16	77	59	331	383	180	384	274	91	38	151	15	64	61	92	501	103	40	42	30	11	49	45	69	"5,668"
CC	47	74	44	56	125	60	127	133	104	77	118	49	64	55	32	20	37	43	36	55	78	47	32	79	236	69	15	46	52	136	205	112	159	182	61	30	115	14	22	43	69	229	106	38	20	15	5	26	41	54	"3,683"
16	34	42	19	43	85	39	95	88	83	64	57	30	21	22	12	10	14	13	17	11	25	17	13	55	140	228	104	368	143	24	57	92	107	147	36	7	30	6	12	37	47	181	68	13	14	5	2	14	14	25	"2,822"
24	40	37	12	35	58	33	71	65	51	57	54	30	24	16	11	12	8	11	19	12	18	8	7	39	90	296	130	473	223	63	19	92	84	122	36	9	19	4	14	28	50	121	52	7	17	3	2	13	10	16	"2,715"
GP	8	17	10	10	42	12	31	34	21	19	14	12	8	8	5	4	4	7	7	8	13	9	3	19	43	156	86	217	104	78	87	11	13	30	13	4	15	3	6	15	25	75	33	6	10	1	2	9	4	8	"1,373"
BP	14	13	5	6	20	8	19	15	14	17	16	13	12	10	5	5	5	4	9	5	9	3	2	10	25	143	97	434	142	98	74	15	12	24	28	3	14	1	10	16	31	70	28	3	3	2	1	8	8	10	"1,533"
DC	14	12	4	5	19	4	10	17	12	13	13	26	15	13	6	4	5	9	10	9	12	5	3	9	25	210	110	349	201	133	124	30	27	15	15	6	22	3	7	26	45	122	52	4	8	2	1	9	7	9	"1,806"
CM	5	9	2	2	7	1	5	3	5	3	2	4	1	2	0	1	1	1	2	2	4	1	1	2	8	47	26	109	65	43	33	14	28	13	7		2	1	4	3	16	45	14	1	0	1	1	4	1	1	548
CV	0	3	2	2	7	3	5	4	4	28	17	31	13	14	7	5	5	6	2	1	2			1	6	78	33	56	34	9	8	5	3	6	0	8	35		1	1	2	9	1	32	4	1	0	1	2	4	495
ED	7	5	4	5	29	5	9	10	12	38	29	85	35	34	16	8	12	11	3	1	3	1	1	4	10	368	114	197	100	35	16	13	14	19	2	29	30	1	1	1	2	69	4	12	38	6	1	1	15	27	"1,488"
NC	1	1	0	1	3	1	7	4	2	2	2	7	2	3	2	0	1	0	10	5	7	2	2	4	2	32	12	18	13	5	4	2	1	3	0		1	4	5	2	1	19	1		4	1	4	5	1	1	204
