Total Trip OD																																																			
																																																			
2024 / 07																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	441	"1,780"	"1,671"	984	"6,129"	"1,260"	"2,061"	"1,553"	"1,979"	542	"1,400"	"1,241"	600	326	439	264	190	265	497	167	447	247	172	366	635	"5,172"	"3,911"	"5,923"	"3,767"	"2,479"	"2,604"	630	814	615	326	55	169	98	226	213	328	"1,555"	299	89	224	209	79	225	192	269	"56,127"
EN	"1,964"	560	"1,367"	"1,162"	"8,925"	"1,672"	"2,884"	"3,221"	"4,816"	"1,070"	"2,124"	"1,709"	856	599	728	298	455	400	523	324	586	185	207	442	675	"9,875"	"7,799"	"9,589"	"7,409"	"3,256"	"2,625"	937	838	"1,034"	275	104	309	80	193	351	429	"2,113"	663	146	622	456	90	197	420	502	"88,064"
EP	"1,826"	"1,135"	277	866	"6,770"	"1,314"	"1,673"	"2,016"	"2,724"	583	757	631	414	211	239	129	215	213	203	231	339	175	95	327	169	"6,257"	"4,854"	"3,931"	"3,500"	"1,485"	970	418	297	371	57	125	159	68	75	109	186	"1,558"	260	102	503	193	14	76	222	292	"49,614"
NB	911	"1,108"	839	264	"1,412"	636	"1,023"	"1,688"	"2,002"	397	874	745	434	221	270	78	129	210	250	188	303	123	85	185	201	"7,019"	"4,838"	"2,896"	"3,395"	"1,730"	"1,057"	465	181	219	79	53	131	41	88	66	98	"1,714"	311	32	454	160	19	85	254	193	"40,154"
BK	"7,059"	"9,093"	"7,096"	"1,932"	"1,252"	"3,487"	"3,933"	"5,197"	"5,650"	"2,159"	"3,626"	"2,270"	"2,288"	"1,641"	"1,615"	"1,045"	"2,392"	"2,012"	"1,128"	"1,052"	"1,684"	758	443	425	"1,249"	"15,021"	"9,479"	"8,825"	"7,124"	"4,144"	"3,393"	"1,925"	"1,097"	"1,250"	428	496	"1,960"	221	843	493	516	"3,340"	"1,791"	686	"1,137"	"1,491"	171	574	"2,181"	"2,616"	"141,688"
AS	"1,291"	"1,709"	"1,294"	721	"3,342"	354	"1,042"	"1,855"	"2,015"	605	"1,366"	955	572	354	370	161	308	217	212	273	195	204	55	180	377	"6,388"	"4,735"	"3,520"	"3,958"	"2,156"	"1,371"	479	288	261	63	70	294	59	141	107	129	"1,306"	275	41	397	154	28	182	335	403	"47,167"
MA	"2,416"	"2,970"	"1,652"	"1,167"	"4,107"	"1,183"	728	"2,094"	"2,645"	729	"2,106"	"2,075"	"1,508"	994	843	553	599	641	"1,997"	"1,624"	"1,859"	704	530	"1,135"	917	"11,272"	"8,074"	"7,500"	"7,285"	"4,462"	"2,824"	"1,011"	765	769	203	176	458	370	"1,529"	228	301	"2,276"	453	272	483	522	425	"1,534"	496	554	"92,018"
19	"1,747"	"3,106"	"2,022"	"1,774"	"4,702"	"1,892"	"2,179"	520	502	322	"1,367"	"1,997"	"1,963"	"1,302"	"1,491"	862	"1,264"	"1,285"	"1,795"	"1,926"	"2,402"	973	737	"1,636"	"1,196"	"13,447"	"9,998"	"8,794"	"7,879"	"4,882"	"3,242"	"1,445"	"1,105"	"1,146"	418	350	"1,030"	467	"1,202"	496	505	"1,779"	659	462	525	786	285	"1,300"	936	"1,080"	"105,180"
12	"2,162"	"4,673"	"2,696"	"2,174"	"5,323"	"1,939"	"2,414"	481	645	317	"1,674"	"2,488"	"3,073"	"2,197"	"1,779"	"1,329"	"1,842"	"1,761"	"2,377"	"2,834"	"2,708"	"1,343"	"1,143"	"1,842"	"1,066"	"13,528"	"8,951"	"10,454"	"8,437"	"4,384"	"3,377"	"1,880"	"1,640"	"1,536"	751	341	"1,281"	750	"1,839"	760	859	"2,541"	"1,000"	415	613	591	449	"1,843"	891	"1,050"	"122,441"
LM	524	978	555	457	"1,962"	598	665	332	349	374	"2,017"	"2,941"	"4,106"	"3,214"	"1,813"	"1,454"	"1,312"	"1,291"	285	236	381	92	114	263	439	"8,602"	"6,352"	"6,568"	"5,878"	"2,863"	"1,852"	740	761	724	142	"1,536"	"2,971"	87	223	108	140	516	153	"1,349"	473	969	135	280	828	976	"71,978"
FV	"1,512"	"1,865"	699	788	"3,475"	"1,316"	"2,021"	"1,590"	"1,576"	"1,830"	680	"3,686"	"3,988"	"3,440"	"3,121"	"1,315"	"1,182"	"1,231"	443	279	443	257	334	636	"1,761"	"8,646"	"6,907"	"8,850"	"8,255"	"3,828"	"3,087"	847	"1,044"	"1,089"	121	913	"2,090"	104	321	215	290	"1,005"	284	"1,022"	233	"1,065"	199	362	912	"1,086"	"92,243"
CL	"1,329"	"1,711"	617	815	"2,064"	887	"2,068"	"2,045"	"2,383"	"2,685"	"3,512"	522	"3,163"	"2,653"	"2,537"	"1,437"	"1,772"	"1,526"	735	678	664	455	297	526	"1,399"	"5,586"	"3,785"	"5,932"	"3,921"	"1,696"	"1,863"	884	776	"1,280"	159	"1,155"	"3,489"	176	602	261	233	563	456	"1,195"	630	"1,310"	155	744	"1,640"	"1,716"	"78,687"
SL	713	835	342	500	"2,235"	604	"1,546"	"2,159"	"3,354"	"4,180"	"4,254"	"3,257"	570	"2,146"	"2,855"	"1,845"	"1,561"	"2,316"	402	355	319	61	84	390	723	"8,327"	"7,491"	"7,472"	"5,663"	"2,078"	"1,525"	566	869	983	121	713	"2,468"	63	221	142	176	690	149	994	238	"1,057"	76	377	"1,005"	970	"82,040"
BF	315	524	205	281	"1,658"	315	"1,091"	"1,442"	"2,226"	"2,916"	"3,478"	"2,619"	"2,097"	500	"1,481"	"1,359"	"1,059"	"1,439"	372	83	210	54	52	209	562	"6,378"	"5,731"	"7,079"	"4,703"	"1,674"	"1,214"	502	597	581	115	712	"2,183"	57	123	146	213	456	93	"1,156"	152	973	57	154	720	682	"62,998"
HY	442	753	236	336	"1,483"	388	903	"1,646"	"1,952"	"1,790"	"3,071"	"2,382"	"2,792"	"1,485"	375	"1,312"	"2,748"	"3,029"	369	153	232	99	41	145	609	"4,177"	"3,150"	"3,289"	"2,788"	938	686	302	322	382	107	264	"1,047"	37	175	134	171	231	144	425	206	"1,744"	101	230	"1,468"	"1,321"	"52,610"
SH	262	320	157	111	995	188	564	809	"1,170"	"1,289"	"1,268"	"1,340"	"1,604"	"1,141"	"1,188"	289	991	"1,534"	161	94	190	35	30	74	254	"3,395"	"2,630"	"2,243"	"2,300"	627	650	123	234	207	63	245	520	13	63	73	45	193	96	410	175	"1,508"	27	86	"1,006"	921	"33,911"
UC	248	478	190	194	"2,382"	309	714	"1,326"	"1,946"	"1,304"	"1,187"	"1,781"	"1,627"	"1,169"	"2,751"	978	458	"1,570"	186	117	243	20	95	97	253	"5,719"	"4,038"	"2,795"	"2,576"	"1,021"	358	213	232	288	82	217	833	35	110	66	72	378	27	390	248	"1,797"	12	98	"1,827"	"1,443"	"46,498"
FM	280	424	201	202	"1,981"	271	633	"1,322"	"1,743"	"1,270"	"1,347"	"1,389"	"2,237"	"1,505"	"2,994"	"1,626"	"1,578"	584	169	135	182	37	94	124	220	"7,264"	"4,475"	"3,090"	"2,592"	839	448	249	210	295	59	366	823	47	84	45	76	505	57	307	305	"1,653"	33	124	"2,606"	"1,889"	"50,989"
CN	528	593	202	257	"1,161"	252	"2,063"	"1,698"	"2,460"	310	444	754	430	339	334	145	193	181	710	"1,421"	"3,627"	"2,449"	622	"1,449"	277	"7,720"	"5,949"	"5,046"	"4,631"	"1,347"	"1,215"	637	560	651	212	62	152	645	"2,784"	179	311	"2,162"	267	80	439	48	"1,550"	"2,207"	200	188	"62,141"
PH	205	293	195	213	"1,122"	276	"1,556"	"2,030"	"2,652"	232	287	614	264	90	161	112	86	107	"1,414"	383	"1,460"	761	343	"1,411"	250	"11,847"	"9,199"	"5,250"	"4,553"	"1,398"	778	535	287	493	136	28	77	276	"1,101"	186	281	"2,920"	205	27	515	67	532	971	144	131	"58,454"
WC	525	610	380	383	"1,684"	208	"1,950"	"2,567"	"2,768"	418	426	603	304	194	221	182	237	176	"3,864"	"1,452"	474	"1,110"	724	"2,420"	295	"13,772"	"9,773"	"5,151"	"4,698"	"1,458"	903	626	447	634	225	68	119	424	"1,941"	279	292	"3,452"	200	22	616	73	665	"1,643"	178	197	"72,031"
LF	245	190	205	159	745	221	673	968	"1,376"	77	263	444	51	55	88	47	27	26	"2,898"	964	"1,139"	261	318	"1,161"	86	"9,565"	"6,622"	"2,523"	"2,473"	803	452	246	188	120	62	12	18	152	417	54	120	"2,197"	74	7	330	40	200	339	40	55	"39,796"
OR	171	194	79	96	494	56	525	722	"1,131"	92	292	285	93	54	35	27	76	102	680	298	748	303	241	927	75	"8,525"	"5,427"	"1,974"	"2,173"	669	312	226	140	179	50	24	22	68	250	66	63	"1,501"	92	12	175	12	178	200	59	34	"30,227"
RR	318	449	370	258	485	164	"1,068"	"1,826"	"2,024"	247	684	539	393	234	152	62	120	123	"1,440"	"1,429"	"2,357"	"1,163"	947	416	453	"13,898"	"9,418"	"4,814"	"5,667"	"2,623"	"1,536"	784	293	454	86	84	106	204	681	228	173	"2,675"	168	59	278	67	176	576	134	186	"63,089"
OW	708	608	151	244	"1,035"	422	885	"1,033"	"1,198"	416	"1,712"	"1,382"	706	631	589	241	214	270	280	231	277	103	74	386	729	"21,082"	"12,719"	"12,780"	"10,860"	"5,744"	"3,405"	"1,040"	964	721	209	271	429	58	231	273	486	"2,370"	405	187	208	114	160	295	195	220	"89,951"
EM	"6,303"	"10,929"	"7,065"	"8,314"	"16,925"	"7,614"	"12,468"	"16,262"	"15,869"	"9,231"	"10,140"	"6,380"	"10,233"	"7,892"	"5,328"	"4,253"	"6,603"	"8,186"	"9,049"	"13,784"	"15,672"	"11,271"	"9,607"	"14,920"	"22,722"	"3,556"	918	"4,163"	"4,612"	"12,817"	"18,187"	"11,963"	"12,712"	"14,345"	"5,325"	"6,088"	"20,758"	"2,571"	"7,607"	"4,533"	"4,445"	"8,447"	"5,662"	"7,838"	"1,891"	"3,208"	897	"5,835"	"4,422"	"4,932"	"444,752"
MT	"4,903"	"8,293"	"5,062"	"5,612"	"10,543"	"5,244"	"8,513"	"11,119"	"10,283"	"7,133"	"7,886"	"4,156"	"8,045"	"6,865"	"3,702"	"2,899"	"4,444"	"4,715"	"6,130"	"9,661"	"9,672"	"6,575"	"5,565"	"9,518"	"14,124"	842	"1,834"	"1,058"	"2,988"	"10,942"	"17,749"	"12,127"	"15,915"	"16,491"	"5,919"	"4,236"	"11,489"	"1,827"	"5,472"	"4,801"	"5,024"	"7,335"	"5,632"	"4,592"	"1,138"	"2,182"	752	"4,405"	"3,187"	"3,355"	"331,954"
