Muni Fast Pass Adult/Clipper OD,,,,,,Jul 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,19,65,90,303,562,519,739,"2,338"
MT,19,27,38,70,380,692,680,"1,258","3,164"
PL,100,59,32,51,304,476,382,922,"2,325"
CC,66,62,46,22,149,288,256,561,"1,450"
16,275,288,372,167,12,71,109,238,"1,534"
24,444,507,568,286,81,14,73,191,"2,165"
GP,460,498,483,240,113,79,11,45,"1,927"
BP,653,776,"1,295",511,228,203,42,24,"3,731"
Entries,"2,058","2,235","2,900","1,437","1,570","2,384","2,072","3,978","18,635"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,8,33,27,118,171,112,270,756
MT,6,13,13,12,139,182,177,636,"1,176"
PL,34,12,36,23,298,443,350,956,"2,152"
CC,20,10,18,20,126,183,101,228,705
16,100,76,328,119,16,82,92,194,"1,006"
24,140,124,479,182,77,26,74,168,"1,268"
GP,92,90,420,96,79,68,9,28,881
BP,230,235,"1,213",197,165,156,26,20,"2,241"
Entries,639,566,"2,539",676,"1,017","1,308",941,"2,497","10,184"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,4,19,15,63,108,79,182,490
MT,2,12,10,10,82,116,116,417,765
PL,26,6,38,18,218,295,228,633,"1,461"
CC,14,5,21,27,89,141,87,203,586
16,80,45,259,100,18,58,59,143,762
24,114,78,356,140,48,20,50,121,926
GP,70,74,331,87,59,63,9,22,713
BP,179,182,992,166,137,116,21,21,"1,812"
Entries,505,407,"2,026",561,713,916,648,"1,741","7,514"
