Muni Fast Pass Adult/Clipper OD,,,,,,May 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,28,97,124,467,804,659,918,"3,142"
MT,27,36,65,114,487,"1,024",882,"1,702","4,336"
PL,147,87,52,82,461,761,515,"1,487","3,592"
CC,92,93,90,30,283,480,367,921,"2,354"
16,391,397,548,309,18,151,154,438,"2,406"
24,639,746,923,481,148,26,140,432,"3,535"
GP,592,669,654,336,161,149,17,90,"2,668"
BP,790,952,"2,007",867,402,440,87,49,"5,595"
Entries,"2,724","3,007","4,436","2,344","2,427","3,834","2,821","6,036","27,630"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,6,40,27,155,207,121,260,834
MT,5,14,20,17,148,237,218,723,"1,381"
PL,43,19,62,38,419,616,387,"1,067","2,649"
CC,22,14,46,25,185,253,150,318,"1,012"
16,137,82,451,189,25,134,106,250,"1,372"
24,163,147,678,260,114,30,109,245,"1,745"
GP,107,113,478,134,92,100,16,43,"1,082"
BP,207,247,"1,379",292,212,207,42,31,"2,615"
Entries,703,642,"3,152",982,"1,348","1,782","1,147","2,935","12,690"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,23,18,102,135,78,165,547
MT,3,14,12,15,96,164,120,428,851
PL,26,8,57,28,275,404,240,676,"1,714"
CC,15,9,29,29,144,186,102,248,761
16,92,55,347,146,27,86,71,160,985
24,122,90,492,191,79,31,87,174,"1,266"
GP,67,82,341,94,76,89,14,22,786
BP,153,153,"1,020",215,143,163,25,26,"1,897"
Entries,501,415,"2,321",738,942,"1,256",736,"1,898","8,808"
