Fast Pass Adjusted OD,,,,,,Jan 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,38,119,127,462,853,729,"1,041","3,418"
MT,38,44,69,118,709,"1,215","1,061","2,018","5,273"
PL,164,87,65,108,610,952,616,"1,437","4,040"
CC,128,127,114,68,518,730,529,"1,272","3,485"
16,383,554,735,497,22,183,163,481,"3,020"
24,723,941,"1,102",702,201,37,139,449,"4,295"
GP,687,809,804,432,164,150,18,101,"3,166"
BP,895,"1,172","2,185","1,148",482,489,100,29,"6,500"
Entries,"3,068","3,773","5,192","3,201","3,168","4,608","3,355","6,829","33,196"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,7,35,24,171,239,98,194,788
MT,8,17,17,25,275,345,294,935,"1,915"
PL,32,16,52,31,479,699,394,892,"2,596"
CC,24,21,43,49,324,393,174,453,"1,481"
16,126,154,543,310,18,127,95,252,"1,624"
24,173,205,780,382,133,30,90,231,"2,024"
GP,85,123,512,152,83,80,20,56,"1,113"
BP,160,284,"1,539",399,254,245,55,21,"2,958"
Entries,628,827,"3,522","1,372","1,737","2,158","1,220","3,034","14,499"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,4,22,18,107,145,50,96,456
MT,4,15,15,14,180,219,189,620,"1,256"
PL,25,8,67,29,337,497,270,594,"1,827"
CC,14,17,41,50,258,290,109,284,"1,061"
16,83,116,404,260,29,75,62,150,"1,178"
24,126,129,595,285,82,32,61,153,"1,464"
GP,52,64,379,96,63,57,14,28,751
BP,108,151,"1,171",242,137,157,34,22,"2,020"
Entries,425,504,"2,694",993,"1,191","1,470",789,"1,945","10,012"
