Muni Fast Pass Adult/Clipper OD,,,,,,Dec 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,27,101,99,365,677,569,815,"2,688"
MT,28,37,60,89,430,880,787,"1,488","3,800"
PL,170,92,53,72,448,680,491,"1,278","3,283"
CC,76,76,76,27,216,395,297,724,"1,887"
16,308,336,530,239,14,120,136,343,"2,025"
24,516,627,836,392,125,21,113,359,"2,988"
GP,488,552,632,279,132,118,15,77,"2,294"
BP,676,822,"1,766",659,319,355,79,35,"4,712"
Entries,"2,298","2,570","4,054","1,856","2,048","3,246","2,487","5,119","23,678"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,5,46,26,133,200,117,259,799
MT,7,9,18,17,154,232,198,685,"1,318"
PL,45,15,51,30,376,579,403,"1,071","2,568"
CC,20,13,34,25,161,239,127,275,891
16,117,79,427,166,16,114,98,228,"1,244"
24,141,136,655,239,95,23,98,243,"1,630"
GP,105,116,472,116,84,92,10,38,"1,031"
BP,199,232,"1,366",231,199,206,39,28,"2,500"
Entries,646,604,"3,067",849,"1,217","1,684","1,090","2,824","11,981"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,4,19,18,92,109,73,134,464
MT,2,17,10,11,90,155,120,455,859
PL,25,9,61,24,284,418,273,716,"1,809"
CC,15,3,26,29,123,171,103,227,697
16,80,52,338,124,21,71,69,145,900
24,120,87,540,179,64,31,61,156,"1,236"
GP,65,79,377,94,68,66,13,25,787
BP,134,145,"1,070",190,142,151,18,24,"1,874"
Entries,456,395,"2,441",669,882,"1,172",730,"1,882","8,627"
