Exit stations,Entry stations->,,SATURDAY,,,Dec 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	58 , 	106 , 	47 , 	46 , 	307 , 	102 , 	137 , 	133 , 	218 , 	93 , 	165 , 	13 , 	103 , 	187 , 	149 , 	81 , 	79 , 	150 , 	43 , 	55 , 	114 , 	88 , 	58 , 	56 , 	91 , 	384 , 	163 , 	541 , 	193 , 	71 , 	78 , 	51 , 	56 , 	92 , 	19 , 	54 , 	158 , 	22 , 	89 , 	20 , 	20 , 	29 , 	27 , 	66 ," 	4,801 ",,,CM line," 	18,442 "," 	2,369 "," 	6,236 "," 	2,350 "," 	1,571 "," 	2,054 "," 	2,329 "," 	35,350 "
SL, 	24 , 	35 , 	17 , 	16 , 	63 , 	35 , 	56 , 	91 , 	119 , 	103 , 	149 , 	98 , 	9 , 	109 , 	96 , 	41 , 	28 , 	50 , 	18 , 	12 , 	16 , 	8 , 	2 , 	15 , 	29 , 	260 , 	160 , 	525 , 	132 , 	49 , 	48 , 	25 , 	25 , 	30 , 	6 , 	25 , 	32 , 	4 , 	25 , 	6 , 	6 , 	23 , 	8 , 	27 ," 	2,649 ",,,RM line," 	8,082 "," 	2,667 "," 	2,160 "," 	3,928 ", 	847 ," 	2,324 ", 	611 ," 	20,618 "
BF, 	25 , 	43 , 	13 , 	17 , 	71 , 	45 , 	62 , 	105 , 	142 , 	130 , 	268 , 	200 , 	104 , 	13 , 	138 , 	95 , 	77 , 	131 , 	19 , 	8 , 	10 , 	5 , 	5 , 	9 , 	41 , 	277 , 	137 , 	517 , 	119 , 	42 , 	43 , 	15 , 	32 , 	26 , 	10 , 	61 , 	88 , 	4 , 	21 , 	7 , 	8 , 	21 , 	8 , 	77 ," 	3,283 ",,,WP line," 	9,028 "," 	1,278 "," 	1,418 ", 	916 ," 	3,099 "," 	1,233 ", 	735 ," 	17,706 "
HY, 	27 , 	36 , 	15 , 	13 , 	61 , 	28 , 	54 , 	72 , 	90 , 	56 , 	154 , 	131 , 	105 , 	142 , 	10 , 	86 , 	98 , 	146 , 	16 , 	6 , 	12 , 	3 , 	2 , 	8 , 	22 , 	208 , 	76 , 	273 , 	80 , 	33 , 	25 , 	14 , 	18 , 	20 , 	4 , 	22 , 	37 , 	3 , 	26 , 	3 , 	9 , 	12 , 	8 , 	31 ," 	2,292 ",,,FT/ED line," 	11,805 "," 	3,274 "," 	1,972 "," 	2,488 "," 	1,276 "," 	7,704 ", 	560 ," 	29,078 "
SH, 	10 , 	17 , 	8 , 	6 , 	30 , 	8 , 	18 , 	27 , 	47 , 	26 , 	70 , 	71 , 	40 , 	78 , 	67 , 	3 , 	47 , 	77 , 	9 , 	3 , 	4 , 	1 , 	2 , 	5 , 	7 , 	150 , 	48 , 	176 , 	46 , 	22 , 	22 , 	7 , 	15 , 	19 , 	7 , 	17 , 	19 , 	3 , 	14 , 	5 , 	6 , 	5 , 	3 , 	14 ," 	1,276 ",,,SFIA," 	5,754 ", 	388 ," 	2,153 ", 	771 , 	653 , 	456 , 	940 ," 	11,115 "
UC, 	10 , 	16 , 	8 , 	12 , 	67 , 	15 , 	24 , 	52 , 	48 , 	39 , 	51 , 	75 , 	30 , 	78 , 	100 , 	39 , 	11 , 	104 , 	10 , 	7 , 	15 , 	4 , 	5 , 	7 , 	7 , 	262 , 	84 , 	383 , 	78 , 	20 , 	21 , 	11 , 	16 , 	22 , 	9 , 	14 , 	21 , 	4 , 	14 , 	5 , 	3 , 	20 , 	8 , 	13 ," 	1,837 ",,,Entries," 	64,893 "," 	20,454 "," 	35,517 "," 	21,985 "," 	19,039 "," 	29,959 "," 	12,311 "," 	204,157 "
FM, 	21 , 	41 , 	21 , 	27 , 	177 , 	35 , 	52 , 	99 , 	93 , 	57 , 	112 , 	145 , 	50 , 	119 , 	147 , 	81 , 	100 , 	26 , 	20 , 	15 , 	15 , 	5 , 	5 , 	16 , 	10 , 	604 , 	175 , 	689 , 	160 , 	35 , 	40 , 	21 , 	30 , 	36 , 	10 , 	25 , 	51 , 	4 , 	32 , 	6 , 	6 , 	39 , 	7 , 	25 ," 	3,479 ",,,,,,,,,,,
CN, 	25 , 	24 , 	10 , 	12 , 	51 , 	16 , 	54 , 	47 , 	63 , 	11 , 	29 , 	45 , 	17 , 	20 , 	15 , 	10 , 	10 , 	19 , 	12 , 	67 , 	188 , 	59 , 	25 , 	56 , 	8 , 	201 , 	228 , 	395 , 	131 , 	33 , 	39 , 	36 , 	22 , 	29 , 	8 , 	6 , 	7 , 	20 , 	230 , 	11 , 	11 , 	57 , 	17 , 	4 ," 	2,369 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	11 , 	12 , 	8 , 	11 , 	47 , 	9 , 	32 , 	33 , 	42 , 	5 , 	16 , 	52 , 	9 , 	7 , 	6 , 	4 , 	7 , 	12 , 	59 , 	14 , 	104 , 	22 , 	12 , 	52 , 	3 , 	243 , 	292 , 	513 , 	161 , 	39 , 	32 , 	29 , 	19 , 	26 , 	5 , 	3 , 	4 , 	9 , 	64 , 	4 , 	6 , 	84 , 	12 , 	2 ," 	2,131 ",,,Dtwn SF," 	3,194 ",,,,,,,
WC, 	17 , 	21 , 	14 , 	21 , 	83 , 	23 , 	57 , 	64 , 	64 , 	14 , 	39 , 	99 , 	12 , 	10 , 	9 , 	4 , 	13 , 	13 , 	239 , 	106 , 	19 , 	53 , 	32 , 	86 , 	12 , 	361 , 	381 , 	721 , 	248 , 	53 , 	51 , 	26 , 	18 , 	31 , 	8 , 	4 , 	9 , 	27 , 	115 , 	9 , 	8 , 	101 , 	18 , 	5 ," 	3,314 ",,,OAK," 	17,892 "," 	1,175 ",,,,,,
