Exit stations,Entry stations->,,SATURDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	42 , 	47 , 	27 , 	182 , 	35 , 	51 , 	39 , 	42 , 	12 , 	49 , 	46 , 	16 , 	16 , 	11 , 	7 , 	10 , 	10 , 	10 , 	5 , 	11 , 	3 , 	4 , 	15 , 	10 , 	109 , 	100 , 	246 , 	107 , 	58 , 	100 , 	21 , 	29 , 	26 , 	8 , 	1 , 	5 , 	3 , 	11 , 	7 , 	8 , 	30 , 	12 , 	2 , 	7 , 	9 , 	-   , 	-   , 	3 , 	5 ," 	1,620 ",,,,,,,,,,
EN, 	46 , 	24 , 	39 , 	37 , 	330 , 	64 , 	88 , 	71 , 	112 , 	31 , 	61 , 	77 , 	25 , 	20 , 	24 , 	13 , 	15 , 	18 , 	17 , 	8 , 	13 , 	3 , 	4 , 	17 , 	19 , 	243 , 	237 , 	501 , 	194 , 	89 , 	98 , 	27 , 	37 , 	45 , 	18 , 	4 , 	11 , 	2 , 	12 , 	8 , 	12 , 	74 , 	17 , 	4 , 	20 , 	25 , 	-   , 	-   , 	3 , 	6 ," 	2,856 ",,,,,,,,,,
EP, 	52 , 	40 , 	12 , 	35 , 	366 , 	44 , 	56 , 	74 , 	78 , 	36 , 	39 , 	34 , 	14 , 	10 , 	6 , 	5 , 	8 , 	17 , 	8 , 	6 , 	13 , 	7 , 	3 , 	15 , 	10 , 	153 , 	178 , 	303 , 	151 , 	61 , 	48 , 	16 , 	13 , 	17 , 	7 , 	4 , 	5 , 	1 , 	2 , 	2 , 	5 , 	56 , 	13 , 	4 , 	19 , 	19 , 	-   , 	-   , 	2 , 	5 ," 	2,065 ",,,,,,,,,,
NB, 	26 , 	37 , 	32 , 	18 , 	121 , 	26 , 	36 , 	67 , 	72 , 	26 , 	35 , 	42 , 	21 , 	12 , 	11 , 	5 , 	13 , 	16 , 	12 , 	10 , 	17 , 	7 , 	3 , 	8 , 	6 , 	155 , 	203 , 	255 , 	203 , 	97 , 	79 , 	24 , 	15 , 	15 , 	6 , 	4 , 	7 , 	3 , 	5 , 	2 , 	4 , 	57 , 	15 , 	4 , 	21 , 	15 , 	-   , 	-   , 	2 , 	4 ," 	1,867 ",,,,,,,,,,
BK, 	197 , 	349 , 	347 , 	127 , 	57 , 	181 , 	160 , 	238 , 	241 , 	111 , 	145 , 	125 , 	61 , 	68 , 	61 , 	25 , 	64 , 	74 , 	40 , 	43 , 	67 , 	36 , 	29 , 	18 , 	44 , 	412 , 	404 , 	704 , 	408 , 	215 , 	177 , 	93 , 	47 , 	67 , 	13 , 	22 , 	48 , 	9 , 	20 , 	14 , 	18 , 	102 , 	75 , 	18 , 	34 , 	133 , 	-   , 	-   , 	7 , 	21 ," 	5,963 ",,,,,,,,,,
AS, 	39 , 	53 , 	36 , 	26 , 	160 , 	12 , 	40 , 	83 , 	83 , 	22 , 	48 , 	55 , 	12 , 	18 , 	16 , 	8 , 	10 , 	10 , 	9 , 	7 , 	12 , 	8 , 	0 , 	7 , 	15 , 	137 , 	161 , 	221 , 	198 , 	116 , 	81 , 	25 , 	13 , 	13 , 	3 , 	3 , 	9 , 	1 , 	5 , 	3 , 	5 , 	40 , 	11 , 	2 , 	9 , 	19 , 	-   , 	-   , 	1 , 	2 ," 	1,862 ",,,,,,,,,,
MA, 	59 , 	89 , 	48 , 	39 , 	173 , 	51 , 	22 , 	66 , 	79 , 	29 , 	92 , 	88 , 	37 , 	35 , 	26 , 	14 , 	13 , 	29 , 	33 , 	29 , 	41 , 	16 , 	14 , 	33 , 	25 , 	254 , 	293 , 	426 , 	299 , 	184 , 	152 , 	41 , 	33 , 	31 , 	12 , 	4 , 	13 , 	9 , 	22 , 	5 , 	9 , 	60 , 	24 , 	7 , 	14 , 	19 , 	-   , 	-   , 	16 , 	23 ," 	3,124 ",,,,,,,,,,
19, 	46 , 	80 , 	76 , 	63 , 	243 , 	82 , 	73 , 	25 , 	23 , 	18 , 	73 , 	104 , 	57 , 	47 , 	42 , 	21 , 	26 , 	42 , 	44 , 	48 , 	65 , 	34 , 	31 , 	52 , 	35 , 	299 , 	291 , 	469 , 	369 , 	227 , 	176 , 	58 , 	44 , 	52 , 	13 , 	14 , 	25 , 	12 , 	17 , 	11 , 	13 , 	54 , 	32 , 	10 , 	13 , 	50 , 	-   , 	-   , 	9 , 	16 ," 	3,718 ",,,,,,,,,,
12, 	43 , 	113 , 	87 , 	74 , 	219 , 	78 , 	78 , 	24 , 	24 , 	12 , 	65 , 	117 , 	68 , 	70 , 	54 , 	19 , 	38 , 	39 , 	53 , 	52 , 	55 , 	28 , 	25 , 	58 , 	54 , 	319 , 	301 , 	525 , 	297 , 	165 , 	137 , 	50 , 	55 , 	50 , 	22 , 	10 , 	18 , 	10 , 	32 , 	15 , 	21 , 	76 , 	40 , 	11 , 	12 , 	42 , 	-   , 	-   , 	7 , 	20 ," 	3,779 ",,,,,,,,,,
LM, 	15 , 	31 , 	35 , 	32 , 	104 , 	29 , 	29 , 	17 , 	11 , 	15 , 	73 , 	149 , 	119 , 	118 , 	42 , 	25 , 	37 , 	35 , 	9 , 	5 , 	10 , 	5 , 	2 , 	16 , 	19 , 	271 , 	283 , 	492 , 	290 , 	151 , 	127 , 	39 , 	46 , 	42 , 	5 , 	53 , 	75 , 	3 , 	4 , 	3 , 	6 , 	24 , 	12 , 	38 , 	12 , 	43 , 	-   , 	-   , 	1 , 	5 ," 	3,000 ",,,,,,,,,,
