Exit stations,Entry stations->,,TOTAL,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,023 "," 	2,224 "," 	1,161 "," 	1,546 "," 	6,735 "," 	1,968 "," 	3,650 "," 	4,143 "," 	5,093 "," 	3,612 ", 	731 ," 	5,355 "," 	4,562 "," 	4,475 "," 	4,339 "," 	1,871 "," 	1,539 "," 	1,981 ", 	942 , 	596 , 	853 , 	331 , 	426 ," 	1,187 "," 	1,991 "," 	19,972 "," 	21,157 "," 	21,014 "," 	17,830 "," 	7,863 "," 	5,200 "," 	1,631 "," 	2,394 "," 	3,466 ", 	242 ," 	1,109 "," 	2,641 ", 	168 , 	610 , 	315 , 	603 ," 	1,450 ", 	581 ," 	1,292 ", 	279 ," 	1,857 ", 	-   , 	-   , 	217 , 	432 ," 	175,657 ",,,,,,,,,,,,,
CL," 	1,577 "," 	2,698 "," 	1,086 ", 	959 ," 	3,642 "," 	1,621 "," 	2,944 "," 	3,811 "," 	5,894 "," 	4,742 "," 	4,820 ", 	563 ," 	3,099 "," 	3,673 "," 	3,191 "," 	1,845 "," 	2,166 "," 	2,317 "," 	1,225 "," 	1,124 "," 	1,019 ", 	527 , 	505 , 	739 ," 	1,945 "," 	12,377 "," 	12,108 "," 	12,970 "," 	9,604 "," 	3,601 "," 	3,075 "," 	1,643 "," 	1,643 "," 	2,954 ", 	374 ," 	1,208 "," 	3,448 ", 	357 ," 	1,049 ", 	400 , 	564 , 	795 , 	534 ," 	1,530 ", 	631 ," 	2,954 ", 	-   , 	-   , 	480 , 	840 ," 	132,871 ",,,,,,,,,,,,,
SL, 	865 ," 	1,310 ", 	603 , 	670 ," 	4,358 "," 	1,032 "," 	2,330 "," 	4,962 "," 	7,434 "," 	6,486 "," 	4,683 "," 	3,183 ", 	395 ," 	2,445 "," 	3,119 "," 	1,321 "," 	1,933 "," 	2,205 ", 	643 , 	553 , 	491 , 	150 , 	147 , 	528 , 	931 ," 	15,475 "," 	17,805 "," 	14,507 "," 	11,459 "," 	3,674 "," 	2,352 "," 	1,053 "," 	1,710 "," 	2,735 ", 	156 , 	942 ," 	2,283 ", 	204 , 	302 , 	299 , 	309 ," 	1,147 ", 	231 ," 	1,192 ", 	224 ," 	1,666 ", 	-   , 	-   , 	136 , 	282 ," 	132,920 ",,,,,,,,,,,,,
BF, 	578 , 	809 , 	322 , 	487 ," 	3,225 ", 	748 ," 	2,092 "," 	4,464 "," 	6,494 "," 	4,973 "," 	4,288 "," 	3,660 "," 	2,327 ", 	434 ," 	2,279 "," 	1,258 "," 	1,834 "," 	3,046 ", 	504 , 	231 , 	195 , 	72 , 	58 , 	256 , 	695 ," 	14,040 "," 	15,012 "," 	12,805 "," 	9,918 "," 	3,426 "," 	1,931 ", 	756 ," 	1,263 "," 	2,087 ", 	265 , 	967 ," 	2,896 ", 	75 , 	196 , 	223 , 	347 , 	594 , 	232 ," 	1,484 ", 	167 ," 	1,893 ", 	-   , 	-   , 	100 , 	133 ," 	116,139 ",,,,,,,,,,,,,
HY, 	778 ," 	1,805 ", 	602 , 	683 ," 	2,816 ", 	842 ," 	1,971 "," 	4,519 "," 	5,956 "," 	3,247 "," 	4,478 "," 	3,382 "," 	3,015 "," 	2,136 ", 	446 ," 	1,960 "," 	4,161 "," 	4,806 ", 	743 , 	456 , 	425 , 	167 , 	105 , 	372 , 	771 ," 	9,657 "," 	10,762 "," 	7,896 "," 	6,414 "," 	2,202 "," 	1,299 ", 	748 , 	839 ," 	1,385 ", 	111 , 	380 ," 	1,544 ", 	303 , 	603 , 	134 , 	214 , 	510 , 	138 , 	852 , 	251 ," 	2,973 ", 	-   , 	-   , 	251 , 	628 ," 	100,736 ",,,,,,,,,,,,,
SH, 	460 , 	508 , 	204 , 	197 ," 	1,650 ", 	410 ," 	1,029 "," 	2,987 "," 	3,358 "," 	1,552 "," 	1,649 "," 	1,774 "," 	1,259 "," 	1,321 "," 	1,692 ", 	298 ," 	1,557 "," 	1,910 ", 	213 , 	124 , 	272 , 	47 , 	41 , 	132 , 	313 ," 	8,228 "," 	8,381 "," 	5,230 "," 	5,244 "," 	1,776 "," 	1,038 ", 	392 , 	554 ," 	1,241 ", 	120 , 	251 , 	743 , 	40 , 	197 , 	117 , 	209 , 	354 , 	87 , 	510 , 	169 ," 	2,062 ", 	-   , 	-   , 	55 , 	146 ," 	62,101 ",,,,,,,,,,,,,
UC, 	419 , 	694 , 	394 , 	450 ," 	3,492 ", 	747 ," 	1,217 "," 	4,254 "," 	4,942 "," 	2,502 "," 	1,669 "," 	2,112 "," 	2,051 "," 	1,808 "," 	4,093 "," 	1,508 ", 	520 ," 	3,816 ", 	335 , 	322 , 	377 , 	93 , 	83 , 	220 , 	309 ," 	18,038 "," 	16,332 "," 	8,225 "," 	7,118 "," 	2,209 ", 	874 , 	324 , 	482 ," 	1,524 ", 	165 , 	340 ," 	1,230 ", 	75 , 	228 , 	91 , 	128 , 	511 , 	70 , 	537 , 	338 ," 	2,259 ", 	-   , 	-   , 	92 , 	232 ," 	99,849 ",,,,,,,,,,,,,
FM, 	564 , 	995 , 	642 , 	518 ," 	3,733 ", 	621 ," 	1,730 "," 	5,272 "," 	5,612 "," 	2,242 "," 	2,072 "," 	2,416 "," 	2,263 "," 	3,017 "," 	4,993 "," 	2,263 "," 	4,950 ", 	852 , 	341 , 	428 , 	264 , 	140 , 	146 , 	344 , 	261 ," 	26,307 "," 	22,681 "," 	9,646 "," 	7,609 "," 	2,452 ", 	875 , 	449 , 	614 ," 	1,358 ", 	140 , 	510 ," 	1,141 ", 	57 , 	247 , 	100 , 	217 , 	708 , 	89 , 	468 , 	433 ," 	2,495 ", 	-   , 	-   , 	107 , 	220 ," 	125,602 ",,,,,,,,,,,,,
CN, 	469 , 	610 , 	497 , 	398 ," 	2,348 ", 	573 ," 	2,978 "," 	5,728 "," 	6,563 ", 	783 , 	973 ," 	1,181 ", 	645 , 	509 , 	797 , 	225 , 	327 , 	362 , 	632 ," 	2,134 "," 	5,435 "," 	1,977 ", 	960 ," 	1,873 ", 	421 ," 	17,013 "," 	17,417 "," 	11,693 "," 	9,813 "," 	3,158 "," 	1,853 "," 	1,105 "," 	1,248 "," 	2,628 ", 	530 , 	105 , 	207 , 	863 ," 	3,481 ", 	489 , 	592 ," 	2,907 ", 	715 , 	85 , 	745 , 	461 , 	-   , 	-   ," 	1,849 "," 	2,366 "," 	120,721 ",,,,,,,,,,,,,
PH, 	344 , 	445 , 	357 , 	462 ," 	3,280 ", 	554 ," 	3,443 "," 	7,673 "," 	8,677 ", 	378 , 	462 ," 	1,034 ", 	511 , 	304 , 	429 , 	106 , 	327 , 	424 ," 	2,042 ", 	601 ," 	2,620 "," 	1,040 ", 	760 ," 	2,701 ", 	251 ," 	32,736 "," 	34,888 "," 	14,851 "," 	13,355 "," 	3,797 "," 	1,921 "," 	1,937 "," 	1,100 "," 	1,825 ", 	309 , 	49 , 	94 , 	984 ," 	1,900 ", 	556 , 	684 ," 	3,670 ", 	534 , 	76 , 	972 , 	460 , 	-   , 	-   , 	683 ," 	1,080 "," 	157,686 ",,,,,,,,,,,,,
