Exit stations,Entry stations->,,WEEKDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	21 , 	106 , 	79 , 	66 , 	420 , 	84 , 	124 , 	159 , 	171 , 	57 , 	80 , 	56 , 	37 , 	23 , 	32 , 	17 , 	18 , 	25 , 	14 , 	15 , 	24 , 	7 , 	8 , 	24 , 	22 , 	379 , 	406 , 	455 , 	355 , 	180 , 	188 , 	51 , 	75 , 	106 , 	17 , 	4 , 	16 , 	4 , 	15 , 	11 , 	19 , 	51 , 	26 , 	5 , 	10 , 	16 , 	-   , 	-   , 	9 , 	12 ," 	4,098 ",,,,,,,,,,,,,
EN, 	104 , 	21 , 	73 , 	87 , 	819 , 	119 , 	240 , 	448 , 	552 , 	113 , 	99 , 	99 , 	53 , 	38 , 	79 , 	21 , 	29 , 	38 , 	26 , 	17 , 	29 , 	8 , 	11 , 	32 , 	30 , 	874 , 	975 , 	858 , 	761 , 	282 , 	200 , 	86 , 	119 , 	184 , 	27 , 	10 , 	23 , 	6 , 	12 , 	31 , 	37 , 	106 , 	71 , 	11 , 	31 , 	41 , 	-   , 	-   , 	7 , 	8 ," 	7,944 ",,,,,,,,,,,,,
EP, 	79 , 	74 , 	11 , 	50 , 	736 , 	76 , 	117 , 	300 , 	333 , 	75 , 	41 , 	39 , 	29 , 	14 , 	26 , 	9 , 	17 , 	27 , 	20 , 	17 , 	21 , 	9 , 	4 , 	28 , 	12 , 	577 , 	660 , 	409 , 	451 , 	141 , 	71 , 	28 , 	41 , 	70 , 	6 , 	5 , 	10 , 	3 , 	6 , 	5 , 	13 , 	56 , 	30 , 	8 , 	25 , 	23 , 	-   , 	-   , 	2 , 	5 ," 	4,812 ",,,,,,,,,,,,,
NB, 	65 , 	83 , 	49 , 	14 , 	221 , 	62 , 	82 , 	254 , 	255 , 	58 , 	59 , 	33 , 	26 , 	19 , 	31 , 	7 , 	19 , 	20 , 	18 , 	20 , 	24 , 	5 , 	8 , 	19 , 	13 , 	632 , 	718 , 	383 , 	490 , 	163 , 	91 , 	31 , 	39 , 	44 , 	5 , 	5 , 	13 , 	3 , 	11 , 	6 , 	9 , 	67 , 	38 , 	6 , 	32 , 	24 , 	-   , 	-   , 	5 , 	5 ," 	4,283 ",,,,,,,,,,,,,
BK, 	446 , 	882 , 	735 , 	234 , 	45 , 	367 , 	369 , 	559 , 	535 , 	277 , 	288 , 	176 , 	201 , 	141 , 	134 , 	84 , 	151 , 	155 , 	107 , 	156 , 	133 , 	67 , 	52 , 	48 , 	77 , 	935 , 	983 , 	691 , 	748 , 	334 , 	249 , 	140 , 	122 , 	139 , 	37 , 	61 , 	109 , 	34 , 	69 , 	41 , 	46 , 	128 , 	142 , 	43 , 	60 , 	143 , 	-   , 	-   , 	32 , 	48 ," 	11,753 ",,,,,,,,,,,,,
AS, 	91 , 	117 , 	78 , 	63 , 	350 , 	16 , 	77 , 	261 , 	266 , 	74 , 	86 , 	62 , 	44 , 	33 , 	32 , 	20 , 	31 , 	25 , 	26 , 	24 , 	19 , 	9 , 	6 , 	12 , 	24 , 	717 , 	787 , 	435 , 	513 , 	231 , 	116 , 	33 , 	44 , 	45 , 	10 , 	9 , 	17 , 	6 , 	12 , 	8 , 	16 , 	49 , 	34 , 	11 , 	20 , 	31 , 	-   , 	-   , 	4 , 	9 ," 	5,006 ",,,,,,,,,,,,,
MA, 	131 , 	239 , 	102 , 	72 , 	349 , 	83 , 	39 , 	212 , 	227 , 	69 , 	150 , 	114 , 	106 , 	92 , 	97 , 	52 , 	62 , 	84 , 	145 , 	168 , 	142 , 	59 , 	41 , 	53 , 	43 ," 	1,095 "," 	1,260 ", 	783 , 	847 , 	372 , 	204 , 	78 , 	94 , 	93 , 	23 , 	27 , 	78 , 	47 , 	139 , 	27 , 	29 , 	86 , 	60 , 	25 , 	23 , 	68 , 	-   , 	-   , 	50 , 	117 ," 	8,556 ",,,,,,,,,,,,,
19, 	175 , 	473 , 	300 , 	260 , 	496 , 	260 , 	207 , 	38 , 	62 , 	46 , 	166 , 	147 , 	224 , 	210 , 	211 , 	148 , 	205 , 	259 , 	284 , 	389 , 	319 , 	166 , 	120 , 	165 , 	58 ," 	1,452 "," 	1,614 ", 	910 ," 	1,061 ", 	471 , 	325 , 	170 , 	145 , 	149 , 	79 , 	72 , 	226 , 	131 , 	173 , 	70 , 	72 , 	77 , 	134 , 	114 , 	28 , 	200 , 	-   , 	-   , 	61 , 	125 ," 	13,250 ",,,,,,,,,,,,,
12, 	192 , 	574 , 	324 , 	261 , 	467 , 	257 , 	222 , 	60 , 	43 , 	43 , 	219 , 	247 , 	350 , 	321 , 	296 , 	179 , 	253 , 	281 , 	327 , 	452 , 	317 , 	148 , 	121 , 	175 , 	94 ," 	1,342 "," 	1,400 ", 	950 , 	995 , 	356 , 	320 , 	206 , 	200 , 	239 , 	132 , 	129 , 	272 , 	151 , 	232 , 	96 , 	90 , 	114 , 	166 , 	142 , 	48 , 	187 , 	-   , 	-   , 	58 , 	182 ," 	14,229 ",,,,,,,,,,,,,
LM, 	49 , 	108 , 	74 , 	57 , 	273 , 	68 , 	66 , 	51 , 	45 , 	17 , 	147 , 	226 , 	295 , 	230 , 	156 , 	81 , 	118 , 	102 , 	40 , 	22 , 	26 , 	7 , 	8 , 	34 , 	39 , 	941 ," 	1,100 ", 	696 , 	678 , 	271 , 	148 , 	63 , 	92 , 	126 , 	8 , 	113 , 	179 , 	9 , 	25 , 	11 , 	15 , 	27 , 	20 , 	84 , 	16 , 	94 , 	-   , 	-   , 	9 , 	22 ," 	7,085 ",,,,,,,,,,,,,
