Exit stations,Entry stations->,,SUNDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	47 , 	45 , 	25 , 	21 , 	104 , 	38 , 	66 , 	68 , 	46 , 	80 , 	21 , 	149 , 	60 , 	98 , 	58 , 	38 , 	25 , 	25 , 	18 , 	12 , 	18 , 	6 , 	6 , 	23 , 	29 , 	169 , 	135 , 	361 , 	185 , 	96 , 	73 , 	27 , 	28 , 	31 , 	4 , 	21 , 	40 , 	3 , 	14 , 	3 , 	5 , 	40 , 	6 , 	23 , 	12 , 	33 , 	-   , 	-   , 	4 , 	8 ," 	2,441 ",,,,,,,,,,,
CL, 	36 , 	78 , 	39 , 	35 , 	59 , 	39 , 	68 , 	75 , 	67 , 	92 , 	139 , 	13 , 	106 , 	126 , 	70 , 	43 , 	80 , 	70 , 	37 , 	31 , 	37 , 	25 , 	33 , 	38 , 	39 , 	144 , 	101 , 	246 , 	111 , 	63 , 	68 , 	51 , 	21 , 	62 , 	8 , 	53 , 	122 , 	12 , 	31 , 	10 , 	9 , 	19 , 	14 , 	64 , 	28 , 	102 , 	-   , 	-   , 	4 , 	28 ," 	2,838 ",,,,,,,,,,,
SL, 	10 , 	18 , 	12 , 	11 , 	46 , 	16 , 	27 , 	65 , 	53 , 	86 , 	71 , 	110 , 	11 , 	54 , 	38 , 	16 , 	22 , 	28 , 	9 , 	6 , 	6 , 	3 , 	1 , 	9 , 	16 , 	101 , 	97 , 	222 , 	94 , 	40 , 	35 , 	14 , 	19 , 	19 , 	4 , 	18 , 	23 , 	3 , 	6 , 	4 , 	6 , 	33 , 	5 , 	21 , 	9 , 	19 , 	-   , 	-   , 	1 , 	5 ," 	1,538 ",,,,,,,,,,,
BF, 	17 , 	19 , 	7 , 	8 , 	46 , 	15 , 	28 , 	51 , 	52 , 	81 , 	105 , 	127 , 	50 , 	10 , 	50 , 	21 , 	30 , 	36 , 	9 , 	3 , 	3 , 	3 , 	3 , 	2 , 	13 , 	91 , 	100 , 	226 , 	71 , 	33 , 	32 , 	13 , 	16 , 	21 , 	6 , 	21 , 	47 , 	1 , 	7 , 	1 , 	7 , 	15 , 	5 , 	36 , 	9 , 	23 , 	-   , 	-   , 	2 , 	4 ," 	1,571 ",,,,,,,,,,,
HY, 	13 , 	18 , 	8 , 	8 , 	35 , 	11 , 	21 , 	40 , 	41 , 	33 , 	60 , 	68 , 	35 , 	45 , 	10 , 	31 , 	36 , 	52 , 	8 , 	3 , 	7 , 	1 , 	1 , 	5 , 	12 , 	44 , 	40 , 	106 , 	40 , 	18 , 	16 , 	10 , 	8 , 	11 , 	2 , 	6 , 	18 , 	2 , 	5 , 	1 , 	4 , 	13 , 	1 , 	19 , 	11 , 	33 , 	-   , 	-   , 	1 , 	7 ," 	1,010 ",,,,,,,,,,,
SH, 	6 , 	14 , 	8 , 	4 , 	18 , 	4 , 	12 , 	18 , 	21 , 	22 , 	35 , 	43 , 	15 , 	28 , 	30 , 	8 , 	17 , 	20 , 	5 , 	1 , 	4 , 	1 , 	0 , 	4 , 	4 , 	33 , 	34 , 	70 , 	30 , 	13 , 	9 , 	4 , 	5 , 	10 , 	1 , 	4 , 	9 , 	2 , 	4 , 	3 , 	4 , 	9 , 	1 , 	7 , 	9 , 	24 , 	-   , 	-   , 	1 , 	4 , 	625 ,,,,,,,,,,,
UC, 	5 , 	9 , 	3 , 	7 , 	52 , 	9 , 	12 , 	19 , 	29 , 	35 , 	24 , 	81 , 	21 , 	34 , 	43 , 	14 , 	13 , 	27 , 	5 , 	3 , 	3 , 	2 , 	1 , 	6 , 	4 , 	73 , 	50 , 	111 , 	45 , 	28 , 	13 , 	6 , 	9 , 	12 , 	3 , 	4 , 	18 , 	1 , 	3 , 	1 , 	2 , 	17 , 	3 , 	11 , 	11 , 	25 , 	-   , 	-   , 	1 , 	4 , 	905 ,,,,,,,,,,,
FM, 	8 , 	16 , 	12 , 	8 , 	60 , 	11 , 	19 , 	32 , 	30 , 	31 , 	29 , 	73 , 	26 , 	42 , 	48 , 	25 , 	29 , 	16 , 	6 , 	6 , 	4 , 	2 , 	1 , 	6 , 	5 , 	89 , 	58 , 	136 , 	58 , 	18 , 	14 , 	4 , 	7 , 	15 , 	2 , 	6 , 	17 , 	1 , 	4 , 	1 , 	2 , 	18 , 	1 , 	8 , 	13 , 	32 , 	-   , 	-   , 	1 , 	3 ," 	1,047 ",,,,,,,,,,,
CN, 	6 , 	13 , 	7 , 	7 , 	26 , 	9 , 	21 , 	25 , 	35 , 	14 , 	16 , 	34 , 	9 , 	9 , 	7 , 	4 , 	5 , 	5 , 	13 , 	30 , 	101 , 	35 , 	13 , 	23 , 	10 , 	87 , 	67 , 	152 , 	66 , 	32 , 	22 , 	15 , 	14 , 	21 , 	7 , 	2 , 	3 , 	10 , 	64 , 	8 , 	8 , 	79 , 	11 , 	2 , 	28 , 	8 , 	-   , 	-   , 	28 , 	31 ," 	1,236 ",,,,,,,,,,,
PH, 	3 , 	8 , 	5 , 	9 , 	37 , 	6 , 	22 , 	30 , 	34 , 	6 , 	8 , 	32 , 	3 , 	4 , 	4 , 	2 , 	4 , 	5 , 	30 , 	10 , 	54 , 	17 , 	8 , 	39 , 	5 , 	113 , 	89 , 	173 , 	95 , 	28 , 	22 , 	13 , 	12 , 	20 , 	4 , 	0 , 	1 , 	5 , 	22 , 	3 , 	6 , 	94 , 	7 , 	0 , 	28 , 	7 , 	-   , 	-   , 	7 , 	14 ," 	1,143 ",,,,,,,,,,,
