Exit stations,Entry stations->,,SATURDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	63 , 	99 , 	39 , 	49 , 	276 , 	90 , 	119 , 	139 , 	112 , 	93 , 	21 , 	236 , 	139 , 	207 , 	129 , 	57 , 	53 , 	103 , 	38 , 	12 , 	22 , 	18 , 	14 , 	37 , 	67 , 	280 , 	227 , 	568 , 	292 , 	183 , 	142 , 	27 , 	48 , 	31 , 	5 , 	39 , 	83 , 	6 , 	45 , 	8 , 	16 , 	46 , 	16 , 	48 , 	12 , 	-   ," 	4,348 ",,,OAK," 	7,599 "," 	1,209 "," 	2,554 "," 	3,359 "," 	1,458 "," 	3,325 ", 	475 ," 	19,978 "
CL, 	68 , 	189 , 	77 , 	86 , 	218 , 	88 , 	149 , 	165 , 	193 , 	156 , 	239 , 	22 , 	202 , 	259 , 	184 , 	85 , 	149 , 	380 , 	86 , 	102 , 	110 , 	61 , 	50 , 	70 , 	65 , 	254 , 	150 , 	311 , 	177 , 	81 , 	79 , 	39 , 	42 , 	61 , 	9 , 	132 , 	564 , 	49 , 	116 , 	14 , 	20 , 	27 , 	27 , 	198 , 	29 , 	-   ," 	5,829 ",,,CM line," 	15,700 "," 	2,577 "," 	5,748 "," 	2,182 "," 	1,239 "," 	1,749 "," 	2,504 "," 	31,698 "
SL, 	27 , 	39 , 	20 , 	19 , 	200 , 	35 , 	52 , 	95 , 	101 , 	139 , 	145 , 	202 , 	14 , 	105 , 	95 , 	37 , 	38 , 	64 , 	14 , 	9 , 	12 , 	7 , 	5 , 	18 , 	27 , 	192 , 	127 , 	325 , 	135 , 	52 , 	50 , 	17 , 	24 , 	21 , 	6 , 	38 , 	49 , 	3 , 	21 , 	7 , 	3 , 	24 , 	7 , 	30 , 	8 , 	-   ," 	2,653 ",,,RM line," 	6,632 "," 	3,478 "," 	2,083 "," 	6,547 "," 	1,379 "," 	3,347 ", 	653 ," 	24,119 "
BF, 	18 , 	39 , 	17 , 	20 , 	175 , 	33 , 	65 , 	99 , 	122 , 	156 , 	205 , 	254 , 	103 , 	17 , 	119 , 	55 , 	74 , 	156 , 	16 , 	9 , 	13 , 	5 , 	5 , 	17 , 	29 , 	175 , 	148 , 	339 , 	112 , 	50 , 	35 , 	11 , 	27 , 	28 , 	7 , 	64 , 	114 , 	4 , 	24 , 	6 , 	9 , 	15 , 	6 , 	97 , 	10 , 	-   ," 	3,098 ",,,WP line," 	6,292 "," 	1,579 "," 	1,296 "," 	1,459 "," 	3,894 "," 	1,335 ", 	786 ," 	16,641 "
HY, 	24 , 	42 , 	8 , 	13 , 	146 , 	27 , 	43 , 	72 , 	80 , 	67 , 	132 , 	185 , 	87 , 	126 , 	15 , 	67 , 	83 , 	149 , 	16 , 	6 , 	12 , 	5 , 	2 , 	11 , 	22 , 	122 , 	74 , 	195 , 	75 , 	32 , 	24 , 	10 , 	18 , 	21 , 	4 , 	26 , 	33 , 	3 , 	26 , 	3 , 	8 , 	17 , 	5 , 	35 , 	10 , 	-   ," 	2,175 ",,,FT/ED line," 	8,283 "," 	3,475 "," 	1,831 "," 	3,541 "," 	1,420 "," 	10,050 ", 	519 ," 	29,118 "
SH, 	13 , 	14 , 	6 , 	7 , 	69 , 	8 , 	17 , 	34 , 	38 , 	28 , 	56 , 	77 , 	29 , 	67 , 	60 , 	13 , 	49 , 	98 , 	6 , 	3 , 	3 , 	3 , 	3 , 	6 , 	6 , 	70 , 	49 , 	122 , 	45 , 	26 , 	21 , 	3 , 	11 , 	16 , 	2 , 	14 , 	18 , 	1 , 	12 , 	4 , 	2 , 	7 , 	2 , 	23 , 	2 , 	-   ," 	1,162 ",,,SFIA," 	5,327 ", 	446 ," 	2,447 ", 	610 , 	678 , 	441 ," 	1,070 "," 	11,018 "
UC, 	10 , 	17 , 	12 , 	8 , 	128 , 	22 , 	22 , 	53 , 	63 , 	47 , 	48 , 	142 , 	41 , 	75 , 	87 , 	48 , 	26 , 	114 , 	13 , 	6 , 	5 , 	4 , 	3 , 	11 , 	9 , 	145 , 	89 , 	205 , 	89 , 	30 , 	16 , 	8 , 	12 , 	25 , 	2 , 	16 , 	29 , 	1 , 	12 , 	1 , 	6 , 	17 , 	5 , 	20 , 	16 , 	-   ," 	1,754 ",,,Entries," 	52,271 "," 	20,830 "," 	31,931 "," 	24,689 "," 	16,598 "," 	28,772 "," 	12,537 "," 	187,628 "
FM, 	26 , 	52 , 	32 , 	32 , 	472 , 	48 , 	63 , 	112 , 	109 , 	80 , 	118 , 	357 , 	64 , 	147 , 	161 , 	107 , 	123 , 	57 , 	35 , 	19 , 	20 , 	9 , 	9 , 	31 , 	16 , 	271 , 	205 , 	389 , 	168 , 	56 , 	41 , 	15 , 	25 , 	43 , 	8 , 	32 , 	101 , 	3 , 	24 , 	6 , 	8 , 	39 , 	7 , 	33 , 	26 , 	-   ," 	3,792 ",,,,,,,,,,,
CN, 	19 , 	28 , 	10 , 	12 , 	93 , 	19 , 	53 , 	76 , 	74 , 	16 , 	26 , 	79 , 	13 , 	14 , 	15 , 	7 , 	12 , 	36 , 	20 , 	74 , 	186 , 	90 , 	21 , 	57 , 	9 , 	223 , 	132 , 	284 , 	108 , 	51 , 	34 , 	20 , 	29 , 	34 , 	8 , 	4 , 	12 , 	24 , 	226 , 	11 , 	16 , 	66 , 	20 , 	7 , 	21 , 	-   ," 	2,386 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	9 , 	12 , 	9 , 	132 , 	17 , 	45 , 	61 , 	58 , 	11 , 	15 , 	86 , 	7 , 	9 , 	7 , 	4 , 	6 , 	15 , 	72 , 	27 , 	91 , 	87 , 	13 , 	75 , 	13 , 	272 , 	177 , 	285 , 	147 , 	50 , 	30 , 	15 , 	16 , 	20 , 	5 , 	2 , 	6 , 	15 , 	75 , 	8 , 	7 , 	87 , 	13 , 	2 , 	29 , 	-   ," 	2,145 ",,,Dtwn SF," 	2,440 ",,,,,,,
