Muni Fast Pass Adult/Clipper OD,,,,,,Sep 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,33,20,67,79,322,628,541,915,"2,606"
MT,23,35,40,79,437,841,788,"1,639","3,884"
PL,107,64,36,57,314,556,425,"1,178","2,737"
CC,71,79,55,19,158,362,352,740,"1,836"
16,284,379,383,167,10,84,119,343,"1,768"
24,496,619,656,363,99,16,92,319,"2,659"
GP,476,603,512,323,125,96,15,73,"2,223"
BP,809,"1,060","1,572",685,341,329,73,44,"4,913"
Entries,"2,298","2,860","3,321","1,772","1,806","2,911","2,406","5,253","22,627"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,5,22,19,112,145,101,281,697
MT,7,13,13,12,98,157,147,611,"1,056"
PL,35,12,34,20,266,398,290,876,"1,931"
CC,21,10,21,15,91,156,103,229,645
16,101,67,286,98,13,64,75,201,904
24,130,103,432,182,60,16,67,178,"1,168"
GP,94,96,350,83,68,56,8,25,780
BP,252,285,"1,141",200,192,150,22,33,"2,274"
Entries,651,590,"2,300",628,899,"1,141",814,"2,432","9,454"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,2,12,11,66,95,65,173,442
MT,3,9,8,7,63,96,87,372,644
PL,19,9,34,19,181,250,199,602,"1,314"
CC,13,5,19,26,79,117,88,208,554
16,65,49,207,87,12,49,53,138,659
24,90,66,309,133,44,14,50,128,834
GP,67,58,262,74,61,55,14,22,614
BP,192,185,890,175,145,107,19,31,"1,744"
Entries,465,383,"1,742",531,651,782,575,"1,674","6,803"
