Exit stations,Entry stations->,,SUNDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	53 , 	67 , 	34 , 	40 , 	140 , 	68 , 	89 , 	158 , 	87 , 	121 , 	17 , 	468 , 	97 , 	146 , 	85 , 	42 , 	33 , 	73 , 	25 , 	9 , 	18 , 	12 , 	9 , 	28 , 	53 , 	228 , 	143 , 	385 , 	255 , 	127 , 	102 , 	20 , 	34 , 	30 , 	4 , 	32 , 	56 , 	4 , 	38 , 	8 , 	8 , 	49 , 	11 , 	30 , 	16 , 	-   ," 	3,547 ",,,OAK," 	5,460 "," 	1,167 "," 	1,846 "," 	2,184 "," 	1,147 "," 	3,086 ", 	575 ," 	15,464 "
CL, 	107 , 	423 , 	176 , 	122 , 	106 , 	137 , 	215 , 	215 , 	251 , 	267 , 	470 , 	31 , 	588 , 	557 , 	352 , 	227 , 	309 , 	831 , 	152 , 	205 , 	189 , 	136 , 	124 , 	103 , 	102 , 	316 , 	196 , 	532 , 	256 , 	93 , 	83 , 	59 , 	52 , 	113 , 	14 , 	331 ," 	1,367 ", 	124 , 	237 , 	26 , 	30 , 	55 , 	47 , 	371 , 	237 , 	-   ," 	10,931 ",,,CM line," 	11,281 "," 	1,812 "," 	4,104 "," 	1,314 ", 	869 ," 	1,506 "," 	2,315 "," 	23,200 "
SL, 	19 , 	21 , 	11 , 	14 , 	65 , 	24 , 	37 , 	94 , 	71 , 	103 , 	108 , 	584 , 	15 , 	72 , 	64 , 	23 , 	26 , 	43 , 	17 , 	7 , 	11 , 	3 , 	5 , 	20 , 	19 , 	135 , 	85 , 	249 , 	113 , 	47 , 	32 , 	12 , 	11 , 	19 , 	5 , 	21 , 	29 , 	3 , 	18 , 	5 , 	5 , 	38 , 	5 , 	30 , 	14 , 	-   ," 	2,343 ",,,RM line," 	4,445 "," 	2,330 "," 	1,381 "," 	3,113 ", 	692 ," 	2,538 ", 	706 ," 	15,204 "
BF, 	17 , 	26 , 	13 , 	16 , 	49 , 	26 , 	41 , 	91 , 	80 , 	100 , 	156 , 	534 , 	71 , 	9 , 	91 , 	46 , 	58 , 	131 , 	11 , 	9 , 	9 , 	5 , 	3 , 	10 , 	17 , 	111 , 	89 , 	229 , 	103 , 	36 , 	21 , 	12 , 	17 , 	17 , 	6 , 	38 , 	87 , 	2 , 	21 , 	2 , 	8 , 	18 , 	5 , 	78 , 	9 , 	-   ," 	2,524 ",,,WP line," 	4,568 "," 	1,284 ", 	914 , 	734 ," 	2,654 "," 	1,791 ", 	888 ," 	12,831 "
HY, 	17 , 	25 , 	8 , 	14 , 	59 , 	18 , 	35 , 	65 , 	46 , 	49 , 	88 , 	333 , 	67 , 	97 , 	10 , 	37 , 	60 , 	119 , 	18 , 	3 , 	8 , 	6 , 	2 , 	8 , 	14 , 	76 , 	44 , 	124 , 	53 , 	19 , 	16 , 	6 , 	8 , 	12 , 	2 , 	16 , 	29 , 	3 , 	18 , 	1 , 	3 , 	17 , 	8 , 	34 , 	18 , 	-   ," 	1,707 ",,,FT/ED line," 	6,554 "," 	3,206 "," 	1,493 "," 	2,592 "," 	1,871 "," 	13,914 ", 	596 ," 	30,223 "
SH, 	8 , 	9 , 	4 , 	8 , 	29 , 	7 , 	12 , 	35 , 	25 , 	28 , 	43 , 	198 , 	24 , 	52 , 	40 , 	11 , 	28 , 	68 , 	5 , 	3 , 	4 , 	1 , 	1 , 	4 , 	7 , 	54 , 	30 , 	80 , 	24 , 	19 , 	15 , 	5 , 	8 , 	12 , 	3 , 	10 , 	16 , 	1 , 	13 , 	1 , 	4 , 	11 , 	3 , 	12 , 	6 , 	-   , 	974 ,,,SFIA," 	4,908 ", 	402 ," 	1,901 ", 	479 , 	625 , 	424 ," 	1,031 "," 	9,770 "
UC, 	7 , 	17 , 	12 , 	8 , 	60 , 	15 , 	22 , 	34 , 	33 , 	34 , 	37 , 	287 , 	23 , 	63 , 	62 , 	32 , 	7 , 	83 , 	7 , 	7 , 	3 , 	2 , 	2 , 	6 , 	5 , 	100 , 	62 , 	125 , 	48 , 	26 , 	13 , 	5 , 	10 , 	9 , 	2 , 	9 , 	24 , 	1 , 	10 , 	2 , 	4 , 	21 , 	1 , 	14 , 	21 , 	-   ," 	1,370 ",,,Entries," 	38,925 "," 	15,793 "," 	22,434 "," 	14,863 "," 	12,336 "," 	29,731 "," 	10,880 "," 	144,961 "
FM, 	23 , 	44 , 	29 , 	27 , 	196 , 	34 , 	42 , 	83 , 	62 , 	67 , 	75 , 	772 , 	56 , 	119 , 	114 , 	71 , 	88 , 	51 , 	23 , 	13 , 	19 , 	10 , 	5 , 	16 , 	11 , 	203 , 	106 , 	270 , 	141 , 	49 , 	26 , 	14 , 	16 , 	25 , 	5 , 	17 , 	66 , 	4 , 	22 , 	2 , 	7 , 	44 , 	5 , 	34 , 	41 , 	-   ," 	3,140 ",,,,,,,,,,,
CN, 	13 , 	19 , 	8 , 	9 , 	39 , 	14 , 	42 , 	70 , 	53 , 	14 , 	30 , 	143 , 	16 , 	14 , 	16 , 	5 , 	7 , 	22 , 	19 , 	60 , 	132 , 	66 , 	13 , 	40 , 	8 , 	139 , 	79 , 	196 , 	107 , 	38 , 	27 , 	15 , 	16 , 	20 , 	5 , 	4 , 	8 , 	16 , 	162 , 	4 , 	7 , 	84 , 	11 , 	6 , 	21 , 	-   ," 	1,832 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	5 , 	8 , 	9 , 	42 , 	11 , 	31 , 	56 , 	39 , 	8 , 	12 , 	182 , 	6 , 	7 , 	3 , 	3 , 	8 , 	13 , 	54 , 	17 , 	76 , 	73 , 	14 , 	48 , 	4 , 	186 , 	100 , 	186 , 	121 , 	35 , 	18 , 	12 , 	10 , 	18 , 	5 , 	2 , 	3 , 	10 , 	52 , 	4 , 	5 , 	127 , 	10 , 	5 , 	47 , 	-   ," 	1,685 ",,,Dtwn SF," 	1,710 ",,,,,,,
