Exit stations,Entry stations->,,SATURDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	62 , 	95 , 	41 , 	54 , 	169 , 	80 , 	109 , 	86 , 	99 , 	76 , 	23 , 	243 , 	130 , 	187 , 	120 , 	52 , 	52 , 	97 , 	36 , 	15 , 	28 , 	15 , 	12 , 	39 , 	80 , 	452 , 	292 , 	691 , 	346 , 	204 , 	165 , 	38 , 	61 , 	49 , 	7 , 	47 , 	77 , 	6 , 	54 , 	8 , 	17 , 	49 , 	18 , 	47 , 	9 , 	-   ," 	4,633 ",,,OAK," 	9,371 "," 	1,098 "," 	2,898 "," 	2,598 "," 	1,210 "," 	2,852 ", 	563 ," 	20,589 "
CL, 	63 , 	159 , 	68 , 	57 , 	128 , 	76 , 	153 , 	147 , 	193 , 	178 , 	243 , 	11 , 	221 , 	246 , 	186 , 	84 , 	137 , 	274 , 	69 , 	82 , 	76 , 	41 , 	35 , 	71 , 	75 , 	383 , 	208 , 	481 , 	211 , 	109 , 	105 , 	47 , 	75 , 	95 , 	20 , 	120 , 	327 , 	36 , 	101 , 	23 , 	29 , 	28 , 	32 , 	127 , 	33 , 	-   ," 	5,657 ",,,CM line," 	15,107 "," 	3,014 "," 	5,318 "," 	2,441 "," 	1,489 "," 	2,060 "," 	2,418 "," 	31,846 "
SL, 	23 , 	35 , 	18 , 	21 , 	80 , 	34 , 	53 , 	52 , 	86 , 	107 , 	137 , 	200 , 	17 , 	93 , 	107 , 	35 , 	37 , 	53 , 	12 , 	7 , 	10 , 	3 , 	3 , 	14 , 	34 , 	314 , 	159 , 	386 , 	140 , 	63 , 	56 , 	18 , 	26 , 	24 , 	8 , 	30 , 	42 , 	1 , 	17 , 	7 , 	6 , 	27 , 	8 , 	26 , 	8 , 	-   ," 	2,630 ",,,RM line," 	8,886 "," 	2,581 "," 	2,365 "," 	3,999 ", 	882 ," 	2,481 ", 	846 ," 	22,040 "
BF, 	17 , 	41 , 	16 , 	17 , 	79 , 	31 , 	53 , 	55 , 	101 , 	113 , 	188 , 	229 , 	95 , 	15 , 	117 , 	59 , 	71 , 	146 , 	14 , 	7 , 	10 , 	3 , 	4 , 	13 , 	33 , 	291 , 	164 , 	383 , 	127 , 	48 , 	46 , 	18 , 	32 , 	27 , 	9 , 	54 , 	136 , 	4 , 	23 , 	7 , 	14 , 	16 , 	5 , 	97 , 	7 , 	-   ," 	3,032 ",,,WP line," 	8,224 "," 	1,309 "," 	1,514 ", 	927 ," 	3,036 "," 	1,160 ", 	937 ," 	17,105 "
HY, 	20 , 	37 , 	8 , 	15 , 	58 , 	22 , 	42 , 	52 , 	65 , 	53 , 	122 , 	166 , 	91 , 	127 , 	19 , 	67 , 	74 , 	128 , 	21 , 	8 , 	11 , 	4 , 	1 , 	10 , 	19 , 	253 , 	92 , 	210 , 	84 , 	35 , 	27 , 	12 , 	18 , 	17 , 	4 , 	23 , 	35 , 	2 , 	21 , 	3 , 	9 , 	17 , 	8 , 	30 , 	8 , 	-   ," 	2,143 ",,,FT/ED line," 	11,517 "," 	2,910 "," 	2,162 "," 	2,594 "," 	1,240 "," 	8,910 ", 	643 ," 	29,974 "
SH, 	10 , 	21 , 	5 , 	7 , 	33 , 	12 , 	20 , 	24 , 	26 , 	26 , 	55 , 	78 , 	34 , 	61 , 	60 , 	7 , 	41 , 	86 , 	6 , 	3 , 	3 , 	2 , 	2 , 	6 , 	11 , 	162 , 	65 , 	152 , 	58 , 	22 , 	25 , 	6 , 	16 , 	15 , 	3 , 	13 , 	24 , 	3 , 	15 , 	5 , 	5 , 	12 , 	5 , 	17 , 	7 , 	-   ," 	1,261 ",,,SFIA," 	5,498 ", 	541 ," 	2,231 ", 	775 , 	829 , 	492 , 	992 ," 	11,359 "
UC, 	11 , 	23 , 	10 , 	10 , 	68 , 	16 , 	26 , 	21 , 	40 , 	39 , 	49 , 	126 , 	38 , 	74 , 	76 , 	35 , 	28 , 	113 , 	12 , 	7 , 	5 , 	3 , 	2 , 	8 , 	8 , 	312 , 	131 , 	245 , 	74 , 	28 , 	26 , 	11 , 	17 , 	16 , 	4 , 	14 , 	42 , 	1 , 	12 , 	2 , 	4 , 	17 , 	3 , 	15 , 	16 , 	-   ," 	1,830 ",,,Entries," 	61,068 "," 	21,139 "," 	32,188 "," 	22,760 "," 	17,228 "," 	29,876 "," 	12,896 "," 	197,155 "
FM, 	21 , 	50 , 	28 , 	29 , 	274 , 	35 , 	69 , 	61 , 	70 , 	62 , 	114 , 	246 , 	56 , 	146 , 	152 , 	103 , 	100 , 	63 , 	25 , 	22 , 	20 , 	9 , 	6 , 	24 , 	20 , 	703 , 	246 , 	556 , 	181 , 	81 , 	42 , 	18 , 	24 , 	36 , 	6 , 	22 , 	63 , 	5 , 	24 , 	6 , 	10 , 	48 , 	8 , 	34 , 	29 , 	-   ," 	3,939 ",,,,,,,,,,,
CN, 	14 , 	29 , 	17 , 	15 , 	50 , 	22 , 	49 , 	46 , 	83 , 	8 , 	32 , 	57 , 	10 , 	11 , 	19 , 	8 , 	10 , 	23 , 	15 , 	81 , 	161 , 	65 , 	22 , 	50 , 	14 , 	343 , 	151 , 	307 , 	133 , 	60 , 	43 , 	26 , 	30 , 	28 , 	12 , 	6 , 	7 , 	22 , 	219 , 	7 , 	11 , 	76 , 	18 , 	3 , 	20 , 	-   ," 	2,425 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	10 , 	9 , 	10 , 	58 , 	13 , 	38 , 	49 , 	44 , 	10 , 	16 , 	75 , 	9 , 	6 , 	6 , 	3 , 	6 , 	17 , 	76 , 	20 , 	79 , 	31 , 	16 , 	55 , 	6 , 	478 , 	229 , 	340 , 	145 , 	56 , 	36 , 	17 , 	10 , 	19 , 	4 , 	2 , 	4 , 	12 , 	67 , 	7 , 	7 , 	108 , 	13 , 	4 , 	28 , 	-   ," 	2,248 ",,,Dtwn SF," 	2,466 ",,,,,,,
WC, 	9 , 	24 , 	14 , 	13 , 	82 , 	20 , 	58 , 	68 , 	65 , 	14 , 	26 , 	68 , 	9 , 	10 , 	9 , 	4 , 	4 , 	21 , 	190 , 	82 , 	16 , 	42 , 	25 , 	97 , 	13 , 	597 , 	276 , 	408 , 	202 , 	82 , 	56 , 	27 , 	15 , 	22 , 	13 , 	3 , 	5 , 	19 , 	126 , 	6 , 	7 , 	120 , 	19 , 	2 , 	26 , 	-   ," 	3,007 ",,,OAK," 	19,058 "," 	1,098 ",,,,,,
LF, 	5 , 	7 , 	9 , 	9 , 	47 , 	8 , 	22 , 	41 , 	27 , 	6 , 	14 , 	39 , 	4 , 	4 , 	3 , 	2 , 	2 , 	10 , 	76 , 	28 , 	42 , 	11 , 	39 , 	47 , 	5 , 	343 , 	141 , 	231 , 	118 , 	42 , 	28 , 	18 , 	8 , 	11 , 	2 , 	-   , 	3 , 	5 , 	27 , 	3 , 	2 , 	82 , 	8 , 	1 , 	15 , 	-   ," 	1,593 ",,,CM line," 	30,807 "," 	5,912 "," 	5,318 ",,,,,
OR, 	7 , 	8 , 	10 , 	13 , 	45 , 	6 , 	21 , 	25 , 	30 , 	7 , 	11 , 	34 , 	3 , 	4 , 	1 , 	2 , 	3 , 	7 , 	18 , 	24 , 	24 , 	36 , 	6 , 	48 , 	5 , 	248 , 	113 , 	202 , 	96 , 	32 , 	23 , 	10 , 	7 , 	10 , 	3 , 	1 , 	1 , 	3 , 	11 , 	2 , 	2 , 	74 , 	9 , 	1 , 	13 , 	-   ," 	1,254 ",,,RM line," 	18,313 "," 	5,179 "," 	4,806 "," 	3,999 ",,,,
RR, 	13 , 	31 , 	26 , 	19 , 	49 , 	14 , 	51 , 	87 , 	72 , 	17 , 	32 , 	59 , 	17 , 	13 , 	9 , 	7 , 	9 , 	23 , 	49 , 	56 , 	88 , 	49 , 	54 , 	20 , 	20 , 	524 , 	304 , 	511 , 	347 , 	214 , 	124 , 	37 , 	15 , 	20 , 	5 , 	5 , 	11 , 	12 , 	37 , 	8 , 	6 , 	115 , 	29 , 	4 , 	14 , 	-   ," 	3,220 ",,,WP line," 	16,767 "," 	2,518 "," 	3,002 "," 	1,810 "," 	3,036 ",,,
OW, 	19 , 	29 , 	15 , 	15 , 	77 , 	29 , 	54 , 	45 , 	72 , 	24 , 	77 , 	72 , 	29 , 	27 , 	18 , 	12 , 	6 , 	16 , 	10 , 	10 , 	9 , 	5 , 	3 , 	20 , 	16 , 	680 , 	428 , 	904 , 	442 , 	279 , 	191 , 	34 , 	54 , 	31 , 	11 , 	10 , 	14 , 	2 , 	18 , 	4 , 	15 , 	64 , 	19 , 	7 , 	3 , 	-   ," 	3,914 ",,,FT/ED line," 	23,438 "," 	5,762 "," 	4,222 "," 	5,075 "," 	2,400 "," 	8,910 ",,
EM, 	205 , 	511 , 	304 , 	432 ," 	1,453 ", 	421 , 	605 , 	520 , 	566 , 	443 , 	547 , 	441 , 	367 , 	327 , 	288 , 	177 , 	351 , 	787 , 	413 , 	565 , 	700 , 	391 , 	294 , 	678 , 	851 , 	108 , 	53 , 	481 , 	203 , 	631 , 	770 , 	460 , 	625 , 	661 , 	219 , 	278 ," 	1,315 ", 	161 , 	393 , 	199 , 	272 , 	563 , 	624 , 	385 , 	90 , 	-   ," 	21,123 ",,,SFIA," 	11,997 "," 	1,104 "," 	4,649 "," 	1,621 "," 	1,766 "," 	1,135 ", 	992 ," 	197,155 "
MT, 	134 , 	290 , 	163 , 	215 , 	600 , 	218 , 	344 , 	322 , 	350 , 	315 , 	331 , 	219 , 	176 , 	195 , 	101 , 	69 , 	136 , 	266 , 	163 , 	226 , 	269 , 	143 , 	123 , 	312 , 	494 , 	50 , 	52 , 	56 , 	110 , 	444 , 	487 , 	373 ," 	1,001 ", 	413 , 	127 , 	124 , 	346 , 	72 , 	161 , 	117 , 	122 , 	334 , 	261 , 	121 , 	51 , 	-   ," 	10,989 ",,,,,,,,,,,
PL, 	285 , 	636 , 	310 , 	311 ," 	1,217 ", 	338 , 	591 , 	491 , 	590 , 	525 , 	652 , 	426 , 	358 , 	355 , 	214 , 	147 , 	212 , 	526 , 	285 , 	346 , 	410 , 	234 , 	193 , 	485 , 	903 , 	440 , 	75 , 	140 , 	175 ," 	1,335 "," 	1,526 ", 	949 ," 	1,749 "," 	1,204 ", 	368 , 	193 , 	629 , 	128 , 	365 , 	282 , 	335 ," 	1,576 ", 	726 , 	219 , 	113 , 	-   ," 	23,560 ",,,,,,,,,,,
CC, 	110 , 	193 , 	131 , 	197 , 	536 , 	221 , 	425 , 	377 , 	270 , 	242 , 	317 , 	166 , 	113 , 	100 , 	75 , 	46 , 	68 , 	186 , 	110 , 	126 , 	181 , 	106 , 	82 , 	284 , 	468 , 	197 , 	91 , 	176 , 	60 , 	452 , 	572 , 	321 , 	509 , 	361 , 	147 , 	82 , 	221 , 	40 , 	108 , 	113 , 	150 , 	477 , 	350 , 	79 , 	40 , 	-   ," 	9,670 ",,,,,,,,,,,
16, 	81 , 	115 , 	81 , 	160 , 	383 , 	195 , 	321 , 	288 , 	209 , 	177 , 	201 , 	108 , 	59 , 	49 , 	38 , 	27 , 	29 , 	82 , 	61 , 	65 , 	86 , 	45 , 	43 , 	219 , 	323 , 	534 , 	390 ," 	1,439 ", 	492 , 	47 , 	218 , 	268 , 	477 , 	321 , 	105 , 	38 , 	91 , 	17 , 	63 , 	81 , 	121 , 	204 , 	268 , 	35 , 	21 , 	-   ," 	8,667 ",,,,,,,,,,,
24, 	77 , 	104 , 	52 , 	93 , 	247 , 	135 , 	253 , 	226 , 	141 , 	129 , 	175 , 	96 , 	54 , 	46 , 	33 , 	33 , 	20 , 	50 , 	44 , 	39 , 	54 , 	33 , 	25 , 	136 , 	208 , 	616 , 	417 ," 	1,659 ", 	626 , 	203 , 	48 , 	214 , 	429 , 	258 , 	103 , 	19 , 	54 , 	12 , 	65 , 	76 , 	132 , 	148 , 	213 , 	20 , 	17 , 	-   ," 	7,826 ",,,,,,,,,,,
GP, 	18 , 	35 , 	21 , 	32 , 	101 , 	35 , 	54 , 	65 , 	63 , 	29 , 	31 , 	41 , 	18 , 	14 , 	10 , 	4 , 	7 , 	18 , 	21 , 	16 , 	26 , 	15 , 	11 , 	38 , 	40 , 	389 , 	290 ," 	1,014 ", 	279 , 	234 , 	212 , 	25 , 	55 , 	50 , 	35 , 	6 , 	25 , 	3 , 	27 , 	21 , 	59 , 	79 , 	73 , 	10 , 	7 , 	-   ," 	3,651 ",,,,,,,,,,,
BP, 	36 , 	48 , 	13 , 	19 , 	65 , 	18 , 	44 , 	44 , 	69 , 	34 , 	50 , 	53 , 	23 , 	26 , 	12 , 	11 , 	12 , 	15 , 	25 , 	11 , 	14 , 	7 , 	9 , 	20 , 	50 , 	521 , 	510 ," 	2,077 ", 	437 , 	395 , 	359 , 	57 , 	38 , 	68 , 	65 , 	8 , 	32 , 	7 , 	30 , 	33 , 	117 , 	94 , 	85 , 	8 , 	6 , 	-   ," 	5,669 ",,,,,,,,,,,
DC, 	28 , 	42 , 	16 , 	13 , 	101 , 	21 , 	32 , 	46 , 	49 , 	33 , 	50 , 	78 , 	25 , 	27 , 	14 , 	13 , 	14 , 	28 , 	26 , 	17 , 	19 , 	10 , 	8 , 	22 , 	37 , 	595 , 	391 ," 	1,293 ", 	343 , 	295 , 	236 , 	56 , 	78 , 	27 , 	29 , 	13 , 	32 , 	8 , 	37 , 	33 , 	101 , 	168 , 	114 , 	13 , 	11 , 	-   ," 	4,634 ",,,,,,,,,,,
CM, 	10 , 	19 , 	4 , 	7 , 	14 , 	5 , 	14 , 	12 , 	14 , 	5 , 	8 , 	11 , 	8 , 	6 , 	4 , 	2 , 	5 , 	5 , 	11 , 	6 , 	10 , 	5 , 	3 , 	3 , 	10 , 	171 , 	108 , 	393 , 	127 , 	86 , 	95 , 	34 , 	66 , 	29 , 	8 , 	1 , 	5 , 	3 , 	20 , 	7 , 	52 , 	100 , 	42 , 	1 , 	2 , 	-   ," 	1,548 ",,,,,,,,,,,
CV, 	3 , 	7 , 	5 , 	7 , 	31 , 	7 , 	9 , 	14 , 	13 , 	53 , 	47 , 	106 , 	28 , 	61 , 	18 , 	12 , 	16 , 	22 , 	7 , 	3 , 	4 , 	1 , 	1 , 	5 , 	14 , 	226 , 	117 , 	223 , 	79 , 	33 , 	18 , 	6 , 	10 , 	16 , 	1 , 	4 , 	60 , 	2 , 	4 , 	4 , 	4 , 	17 , 	6 , 	72 , 	7 , 	-   ," 	1,399 ",,,,,,,,,,,
ED, 	8 , 	22 , 	9 , 	13 , 	186 , 	18 , 	27 , 	29 , 	31 , 	68 , 	89 , 	309 , 	43 , 	135 , 	40 , 	22 , 	41 , 	74 , 	12 , 	6 , 	6 , 	2 , 	1 , 	14 , 	21 ," 	1,083 ", 	360 , 	647 , 	234 , 	83 , 	47 , 	29 , 	31 , 	33 , 	4 , 	63 , 	24 , 	1 , 	14 , 	6 , 	11 , 	128 , 	16 , 	33 , 	66 , 	-   ," 	4,137 ",,,,,,,,,,,
NC, 	2 , 	3 , 	4 , 	4 , 	18 , 	4 , 	12 , 	14 , 	17 , 	1 , 	5 , 	29 , 	2 , 	3 , 	2 , 	3 , 	1 , 	6 , 	17 , 	9 , 	21 , 	3 , 	3 , 	13 , 	1 , 	146 , 	71 , 	121 , 	47 , 	18 , 	12 , 	4 , 	8 , 	11 , 	4 , 	1 , 	1 , 	5 , 	24 , 	2 , 	4 , 	33 , 	5 , 	0 , 	5 , 	-   , 	713 ,,,,,,,,,,,
WP, 	29 , 	38 , 	11 , 	11 , 	49 , 	22 , 	108 , 	43 , 	75 , 	14 , 	58 , 	97 , 	20 , 	27 , 	19 , 	14 , 	15 , 	26 , 	218 , 	78 , 	119 , 	26 , 	18 , 	45 , 	26 , 	362 , 	158 , 	400 , 	137 , 	76 , 	73 , 	32 , 	51 , 	43 , 	24 , 	4 , 	13 , 	26 , 	22 , 	13 , 	24 , 	106 , 	16 , 	5 , 	22 , 	-   ," 	2,808 ",,,,,,,,,,,
SS, 	7 , 	11 , 	4 , 	2 , 	15 , 	5 , 	8 , 	14 , 	13 , 	7 , 	7 , 	17 , 	5 , 	4 , 	3 , 	4 , 	2 , 	7 , 	9 , 	6 , 	7 , 	4 , 	2 , 	6 , 	4 , 	165 , 	98 , 	294 , 	105 , 	79 , 	74 , 	23 , 	37 , 	24 , 	8 , 	2 , 	4 , 	4 , 	15 , 	10 , 	27 , 	34 , 	15 , 	2 , 	2 , 	-   ," 	1,189 ",,,,,,,,,,,
SB, 	12 , 	20 , 	6 , 	4 , 	18 , 	7 , 	13 , 	18 , 	22 , 	8 , 	16 , 	22 , 	9 , 	12 , 	6 , 	4 , 	4 , 	9 , 	8 , 	8 , 	9 , 	3 , 	3 , 	6 , 	16 , 	242 , 	112 , 	365 , 	167 , 	114 , 	121 , 	62 , 	143 , 	104 , 	50 , 	4 , 	9 , 	4 , 	23 , 	25 , 	15 , 	50 , 	27 , 	2 , 	3 , 	-   ," 	1,902 ",,,,,,,,,,,
SO, 	28 , 	56 , 	49 , 	72 , 	163 , 	43 , 	79 , 	52 , 	72 , 	21 , 	38 , 	24 , 	21 , 	15 , 	10 , 	9 , 	12 , 	28 , 	59 , 	91 , 	99 , 	76 , 	60 , 	100 , 	63 , 	377 , 	244 ," 	1,147 ", 	381 , 	144 , 	115 , 	59 , 	95 , 	142 , 	87 , 	13 , 	74 , 	29 , 	79 , 	32 , 	34 , 	26 , 	290 , 	25 , 	21 , 	-   ," 	4,745 ",,,,,,,,,,,
MB, 	7 , 	22 , 	17 , 	23 , 	163 , 	25 , 	29 , 	33 , 	38 , 	14 , 	22 , 	29 , 	9 , 	7 , 	8 , 	4 , 	4 , 	6 , 	17 , 	14 , 	19 , 	9 , 	10 , 	28 , 	18 , 	544 , 	249 , 	711 , 	300 , 	230 , 	184 , 	63 , 	104 , 	133 , 	39 , 	3 , 	12 , 	5 , 	22 , 	20 , 	24 , 	334 , 	32 , 	4 , 	6 , 	-   ," 	3,587 ",,,,,,,,,,,
WD, 	2 , 	10 , 	6 , 	7 , 	36 , 	6 , 	14 , 	14 , 	11 , 	35 , 	48 , 	124 , 	39 , 	106 , 	39 , 	16 , 	20 , 	35 , 	3 , 	3 , 	3 , 	1 , 	1 , 	5 , 	11 , 	374 , 	126 , 	220 , 	78 , 	31 , 	19 , 	12 , 	10 , 	17 , 	1 , 	74 , 	24 , 	0 , 	3 , 	3 , 	3 , 	37 , 	4 , 	14 , 	17 , 	-   ," 	1,659 ",,,,,,,,,,,
OA, 	6 , 	17 , 	11 , 	19 , 	66 , 	17 , 	13 , 	17 , 	27 , 	13 , 	8 , 	43 , 	9 , 	6 , 	7 , 	2 , 	9 , 	22 , 	14 , 	19 , 	18 , 	8 , 	6 , 	10 , 	6 , 	53 , 	33 , 	76 , 	34 , 	17 , 	15 , 	8 , 	4 , 	9 , 	2 , 	5 , 	22 , 	5 , 	10 , 	1 , 	2 , 	27 , 	3 , 	17 , 	15 , 	-   , 	747 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
Entries," 	2,084 "," 	3,885 "," 	2,390 "," 	2,565 "," 	8,926 "," 	3,113 "," 	4,759 "," 	4,326 "," 	4,674 "," 	3,246 "," 	4,755 "," 	5,284 "," 	2,623 "," 	3,054 "," 	2,211 "," 	1,282 "," 	1,814 "," 	3,919 "," 	2,466 "," 	2,353 "," 	2,997 "," 	1,618 "," 	1,274 "," 	3,292 "," 	4,295 "," 	17,672 "," 	9,513 "," 	24,688 "," 	10,187 "," 	8,228 "," 	7,599 "," 	3,821 "," 	6,353 "," 	4,702 "," 	1,631 "," 	1,420 "," 	4,174 ", 	728 ," 	2,610 "," 	1,254 "," 	1,872 "," 	6,126 "," 	3,723 "," 	1,585 "," 	1,010 ", 	-   ," 	202,093 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
